Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",34.35,34.79,33.79,34.76,34.76,"4,171,300"
"Jul 27, 2023",35.06,35.13,33.90,33.91,33.91,"6,002,500"
"Jul 26, 2023",35.02,35.45,34.54,34.84,34.84,"7,282,100"
"Jul 25, 2023",34.69,36.34,34.26,35.61,35.61,"8,928,600"
"Jul 24, 2023",32.89,34.31,32.77,33.75,33.75,"6,036,700"
"Jul 21, 2023",32.79,33.49,32.76,33.38,33.38,"5,565,800"
"Jul 20, 2023",35.33,35.76,32.67,32.68,32.68,"11,962,100"
"Jul 19, 2023",35.17,35.34,34.53,34.84,34.84,"6,127,100"
"Jul 18, 2023",35.31,35.72,34.62,35.04,35.04,"4,661,700"
"Jul 17, 2023",34.35,36.05,34.25,35.57,35.57,"6,405,900"
"Jul 14, 2023",35.50,35.52,34.05,34.52,34.52,"8,079,500"
"Jul 13, 2023",35.70,37.17,35.55,36.69,36.69,"5,835,900"
"Jul 12, 2023",35.81,35.95,35.00,35.05,35.05,"4,288,700"
"Jul 11, 2023",33.60,34.87,33.33,34.69,34.69,"5,218,400"
"Jul 10, 2023",33.70,34.57,33.60,34.14,34.14,"3,891,400"
"Jul 07, 2023",32.80,34.60,32.68,34.09,34.09,"6,297,100"
"Jul 06, 2023",33.03,33.22,31.83,32.54,32.54,"6,066,300"
"Jul 05, 2023",33.91,34.44,33.52,33.68,33.68,"4,490,700"
"Jul 03, 2023",34.50,34.93,34.14,34.27,34.27,"2,460,900"
"Jun 30, 2023",33.99,34.1,33.31,33.93,33.93,"4,966,300"
"Jun 29, 2023",33.5,33.96,33.08,33.76,33.76,"5,419,200"
"Jun 28, 2023",34.0,34.03,33.39,33.66,33.66,"3,657,200"
"Jun 27, 2023",33.49,34.53,33.03,34.43,34.43,"4,130,400"
"Jun 26, 2023",32.78,33.53,32.78,32.99,32.99,"3,311,300"
"Jun 23, 2023",32.73,33.3,32.55,32.84,32.84,"5,471,400"
"Jun 22, 2023",33.8,33.95,32.81,33.41,33.41,"7,327,400"
"Jun 21, 2023",33.7,35.13,33.58,34.91,34.91,"4,907,500"
"Jun 20, 2023",34.58,34.88,33.88,34.22,34.22,"5,372,900"
"Jun 16, 2023",35.97,36.04,34.79,35.62,35.62,"5,811,700"
"Jun 15, 2023",35.67,36.24,35.35,35.97,35.97,"4,217,500"
"Jun 14, 2023",37.74,37.74,35.66,36.13,36.13,"4,615,100"
"Jun 13, 2023",36.02,37.61,35.89,36.7,36.7,"6,175,900"
"Jun 12, 2023",34.87,35.68,34.62,34.99,34.99,"3,856,900"
"Jun 09, 2023",35.61,35.83,34.83,35.23,35.23,"3,071,100"
"Jun 08, 2023",35.61,35.95,34.76,35.58,35.58,"3,779,400"
"Jun 07, 2023",34.93,36.34,34.55,35.35,35.35,"5,266,200"
"Jun 06, 2023",33.5,34.98,33.44,34.55,34.55,"4,132,600"
"Jun 05, 2023",34.83,34.83,33.4,33.78,33.78,"4,118,500"
"Jun 02, 2023",34.29,35.39,33.94,34.94,34.94,"8,042,300"
"Jun 01, 2023",32.0,33.04,31.52,32.7,32.7,"4,830,600"
"May 31, 2023",32.5,32.7,31.14,31.72,31.72,"6,457,600"
"May 30, 2023",33.71,33.71,32.07,32.8,32.8,"6,159,500"
"May 26, 2023",34.59,34.79,33.61,33.69,33.69,"5,876,800"
"May 25, 2023",34.21,34.64,33.51,33.79,33.79,"3,906,500"
"May 24, 2023",35.26,35.36,34.21,34.35,34.35,"3,450,700"
"May 23, 2023",36.0,36.17,35.45,35.67,35.67,"3,542,500"
"May 22, 2023",36.18,36.94,36.06,36.4,36.4,"3,252,800"
"May 19, 2023",37.15,37.15,35.93,36.1,36.1,"3,544,300"
"May 18, 2023",36.29,36.93,35.67,36.81,36.81,"3,326,300"
"May 17, 2023",36.95,37.35,36.19,36.74,36.74,"4,058,300"
"May 16, 2023",36.49,37.03,36.03,36.1,36.1,"3,234,200"
"May 15, 2023",35.51,37.08,35.37,36.99,36.99,"3,438,900"
"May 12, 2023",35.44,35.5,35.03,35.37,35.27,"1,978,200"
"May 11, 2023",35.4,35.93,35.06,35.33,35.23,"3,272,400"
"May 10, 2023",37.14,37.22,35.38,36.14,36.04,"2,961,200"
"May 09, 2023",36.1,36.92,35.71,36.51,36.41,"3,445,000"
"May 08, 2023",37.96,38.2,36.69,36.82,36.72,"3,750,400"
"May 05, 2023",35.24,36.35,34.87,36.15,36.05,"3,869,400"
"May 04, 2023",34.66,35.09,33.95,34.38,34.28,"3,615,300"
"May 03, 2023",35.61,36.25,34.86,35.02,34.92,"3,564,600"
"May 02, 2023",36.46,36.72,35.14,35.68,35.58,"3,927,200"
"May 01, 2023",37.66,37.7,36.77,37.27,37.16,"2,730,300"
"Apr 28, 2023",36.08,37.24,35.78,37.14,37.03,"3,835,100"
"Apr 27, 2023",35.56,36.48,35.4,36.27,36.17,"3,850,900"
"Apr 26, 2023",36.08,36.2,35.02,35.45,35.35,"4,799,500"
"Apr 25, 2023",36.9,36.9,35.72,35.75,35.65,"6,363,500"
"Apr 24, 2023",37.98,38.54,37.56,38.04,37.93,"5,027,800"
"Apr 21, 2023",39.83,39.83,37.41,38.16,38.05,"9,180,100"
"Apr 20, 2023",40.0,42.23,39.62,40.23,40.12,"9,331,200"
"Apr 19, 2023",40.96,41.96,40.5,41.22,41.1,"5,952,000"
"Apr 18, 2023",41.37,42.19,41.0,42.15,42.03,"3,753,200"
"Apr 17, 2023",40.31,40.82,40.09,40.8,40.68,"2,841,200"
"Apr 14, 2023",41.35,41.43,39.99,40.4,40.29,"3,376,700"
"Apr 13, 2023",40.38,41.35,40.12,40.94,40.82,"4,086,500"
"Apr 12, 2023",41.18,41.25,39.38,39.64,39.53,"5,256,000"
"Apr 11, 2023",40.52,41.18,40.15,40.63,40.52,"4,282,000"
"Apr 10, 2023",39.16,40.15,39.0,39.78,39.67,"2,452,000"
"Apr 06, 2023",39.12,39.29,38.08,39.16,39.05,"5,313,600"
