Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",17.72,17.99,17.67,17.94,17.94,"18,597,900"
"Jun 29, 2023",17.64,17.98,17.53,17.60,17.60,"20,315,700"
"Jun 28, 2023",17.35,17.58,17.28,17.55,17.55,"26,466,300"
"Jun 27, 2023",16.53,17.48,16.52,17.35,17.35,"42,031,500"
"Jun 26, 2023",16.15,16.49,16.11,16.44,16.44,"19,715,400"
"Jun 23, 2023",15.94,16.33,15.92,16.26,16.26,"24,406,900"
"Jun 22, 2023",16.23,16.39,16.07,16.36,16.36,"12,694,200"
"Jun 21, 2023",16.25,16.35,16.00,16.30,16.30,"18,543,400"
"Jun 20, 2023",16.38,16.43,16.16,16.32,16.32,"17,926,100"
"Jun 16, 2023",16.67,16.72,16.43,16.48,16.48,"22,635,600"
"Jun 15, 2023",16.45,16.65,16.40,16.65,16.65,"17,235,100"
"Jun 14, 2023",16.40,16.70,16.32,16.59,16.59,"22,866,000"
"Jun 13, 2023",16.25,16.35,16.10,16.31,16.31,"21,911,600"
"Jun 12, 2023",15.74,16.37,15.73,16.02,16.02,"28,381,900"
"Jun 09, 2023",15.31,15.67,15.31,15.57,15.57,"21,126,900"
"Jun 08, 2023",15.16,15.60,15.09,15.30,15.30,"21,698,100"
"Jun 07, 2023",15.00,15.27,14.90,15.16,15.16,"19,871,400"
"Jun 06, 2023",14.81,15.02,14.70,14.93,14.93,"15,840,000"
"Jun 05, 2023",14.87,14.91,14.68,14.81,14.81,"15,399,300"
"Jun 02, 2023",14.90,15.07,14.64,14.87,14.87,"31,041,300"
"Jun 01, 2023",14.87,14.88,14.61,14.70,14.70,"21,239,100"
"May 31, 2023",15.09,15.11,14.49,14.78,14.78,"31,783,200"
"May 30, 2023",14.44,14.75,14.42,14.62,14.62,"20,424,600"
"May 26, 2023",14.41,14.54,14.28,14.35,14.35,"17,083,800"
"May 25, 2023",13.88,14.39,13.80,14.38,14.38,"29,719,900"
"May 24, 2023",13.98,13.98,13.55,13.80,13.80,"30,501,800"
"May 23, 2023",14.35,14.64,14.07,14.07,14.07,"28,899,400"
"May 22, 2023",14.92,14.98,14.10,14.38,14.38,"28,517,200"
"May 19, 2023",15.07,15.09,14.63,14.82,14.82,"17,870,900"
"May 18, 2023",14.91,15.08,14.80,15.05,15.05,"21,604,500"
"May 17, 2023",14.40,15.01,14.37,14.91,14.91,"34,905,500"
"May 16, 2023",14.21,14.45,13.97,14.20,14.20,"20,303,200"
"May 15, 2023",14.04,14.32,13.92,14.28,14.28,"14,994,100"
"May 12, 2023",14.19,14.20,13.87,14.02,14.02,"16,707,500"
"May 11, 2023",14.26,14.29,14.02,14.07,14.07,"17,049,600"
"May 10, 2023",14.67,14.70,14.05,14.34,14.34,"21,469,100"
"May 09, 2023",14.38,14.56,14.21,14.47,14.47,"19,682,700"
"May 08, 2023",14.34,14.66,14.23,14.36,14.36,"34,586,900"
"May 05, 2023",13.73,13.95,13.63,13.87,13.87,"20,608,900"
"May 04, 2023",13.79,13.89,13.35,13.51,13.51,"22,983,700"
"May 03, 2023",13.79,14.04,13.68,13.79,13.79,"20,844,800"
"May 02, 2023",13.83,13.87,13.52,13.77,13.77,"22,469,800"
"May 01, 2023",13.60,14.03,13.52,13.89,13.89,"29,101,800"
"Apr 28, 2023",12.94,13.70,12.85,13.64,13.64,"45,057,400"
