Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 27, 2023",196.02,197.20,192.55,193.22,193.22,"47,406,100"
"Jul 26, 2023",193.67,195.64,193.32,194.50,194.50,"47,471,900"
"Jul 25, 2023",193.33,194.44,192.92,193.62,193.62,"37,283,200"
"Jul 24, 2023",193.41,194.91,192.25,192.75,192.75,"45,377,800"
"Jul 21, 2023",194.10,194.97,191.23,191.94,191.94,"71,917,800"
"Jul 20, 2023",195.09,196.47,192.50,193.13,193.13,"59,581,200"
"Jul 19, 2023",193.10,198.23,192.65,195.10,195.10,"80,507,300"
"Jul 18, 2023",193.35,194.33,192.42,193.73,193.73,"48,353,800"
"Jul 17, 2023",191.90,194.32,191.81,193.99,193.99,"50,520,200"
"Jul 14, 2023",190.23,191.18,189.63,190.69,190.69,"41,573,900"
"Jul 13, 2023",190.50,191.19,189.78,190.54,190.54,"41,342,300"
"Jul 12, 2023",189.68,191.70,188.47,189.77,189.77,"60,750,200"
"Jul 11, 2023",189.16,189.30,186.60,188.08,188.08,"46,638,100"
"Jul 10, 2023",189.26,189.99,187.04,188.61,188.61,"59,922,200"
"Jul 07, 2023",191.41,192.67,190.24,190.68,190.68,"46,778,000"
"Jul 06, 2023",189.84,192.02,189.20,191.81,191.81,"45,094,300"
"Jul 05, 2023",191.57,192.98,190.62,191.33,191.33,"46,920,300"
"Jul 03, 2023",193.78,193.88,191.76,192.46,192.46,"31,458,200"
"Jun 30, 2023",191.63,194.48,191.26,193.97,193.97,"85,069,600"
"Jun 29, 2023",189.08,190.07,188.94,189.59,189.59,"46,347,300"
"Jun 28, 2023",187.93,189.9,187.6,189.25,189.25,"51,216,800"
"Jun 27, 2023",185.89,188.39,185.67,188.06,188.06,"50,730,800"
"Jun 26, 2023",186.83,188.05,185.23,185.27,185.27,"48,088,700"
"Jun 23, 2023",185.55,187.56,185.01,186.68,186.68,"53,079,300"
"Jun 22, 2023",183.74,187.05,183.67,187.0,187.0,"51,245,300"
"Jun 21, 2023",184.9,185.41,182.59,183.96,183.96,"49,515,700"
"Jun 20, 2023",184.41,186.1,184.41,185.01,185.01,"49,799,100"
"Jun 16, 2023",186.73,186.99,184.27,184.92,184.92,"101,235,600"
"Jun 15, 2023",183.96,186.52,183.78,186.01,186.01,"65,433,200"
"Jun 14, 2023",183.37,184.39,182.02,183.95,183.95,"57,462,900"
"Jun 13, 2023",182.8,184.15,182.44,183.31,183.31,"54,929,100"
"Jun 12, 2023",181.27,183.89,180.97,183.79,183.79,"54,274,900"
"Jun 09, 2023",181.5,182.23,180.63,180.96,180.96,"48,870,700"
"Jun 08, 2023",177.9,180.84,177.46,180.57,180.57,"50,214,900"
"Jun 07, 2023",178.44,181.21,177.32,177.82,177.82,"61,944,600"
"Jun 06, 2023",179.97,180.12,177.43,179.21,179.21,"64,848,400"
"Jun 05, 2023",182.63,184.95,178.04,179.58,179.58,"121,946,500"
"Jun 02, 2023",181.03,181.78,179.26,180.95,180.95,"61,945,900"
"Jun 01, 2023",177.7,180.12,176.93,180.09,180.09,"68,901,800"
"May 31, 2023",177.33,179.35,176.76,177.25,177.25,"99,625,300"
"May 30, 2023",176.96,178.99,176.57,177.3,177.3,"55,964,400"
"May 26, 2023",173.32,175.77,173.11,175.43,175.43,"54,835,000"
"May 25, 2023",172.41,173.9,171.69,172.99,172.99,"56,058,300"
"May 24, 2023",171.09,172.42,170.52,171.84,171.84,"45,143,500"
"May 23, 2023",173.13,173.38,171.28,171.56,171.56,"50,747,300"
"May 22, 2023",173.98,174.71,173.45,174.2,174.2,"43,570,900"
"May 19, 2023",176.39,176.39,174.94,175.16,175.16,"55,772,400"
"May 18, 2023",173.0,175.24,172.58,175.05,175.05,"65,496,700"
"May 17, 2023",171.71,172.93,170.42,172.69,172.69,"57,951,600"
"May 16, 2023",171.99,173.14,171.8,172.07,172.07,"42,110,300"
"May 15, 2023",173.16,173.21,171.47,172.07,172.07,"37,266,700"
"May 12, 2023",173.62,174.06,171.0,172.57,172.57,"45,497,800"
"May 11, 2023",173.85,174.59,172.17,173.75,173.51,"49,514,700"
"May 10, 2023",173.02,174.03,171.9,173.56,173.32,"53,724,500"
"May 09, 2023",173.05,173.54,171.6,171.77,171.53,"45,326,900"
"May 08, 2023",172.48,173.85,172.11,173.5,173.26,"55,962,800"
"May 05, 2023",170.98,174.3,170.76,173.57,173.33,"113,316,400"
"May 04, 2023",164.89,167.04,164.31,165.79,165.56,"81,235,400"
"May 03, 2023",169.5,170.92,167.16,167.45,167.22,"65,136,000"
"May 02, 2023",170.09,170.35,167.54,168.54,168.31,"48,425,700"
"May 01, 2023",169.28,170.45,168.64,169.59,169.36,"52,472,900"
"Apr 28, 2023",168.49,169.85,167.88,169.68,169.45,"55,209,200"
"Apr 27, 2023",165.19,168.56,165.19,168.41,168.18,"64,902,300"
"Apr 26, 2023",163.06,165.28,162.8,163.76,163.53,"45,498,800"
"Apr 25, 2023",165.19,166.31,163.73,163.77,163.54,"48,714,100"
"Apr 24, 2023",165.0,165.6,163.89,165.33,165.1,"41,949,600"
"Apr 21, 2023",165.05,166.45,164.49,165.02,164.79,"58,337,300"
"Apr 20, 2023",166.09,167.87,165.56,166.65,166.42,"52,456,400"
"Apr 19, 2023",165.8,168.16,165.54,167.63,167.4,"47,720,200"
"Apr 18, 2023",166.1,167.41,165.65,166.47,166.24,"49,923,000"
"Apr 17, 2023",165.09,165.39,164.03,165.23,165.0,"41,516,200"
"Apr 14, 2023",164.59,166.32,163.82,165.21,164.98,"49,386,500"
"Apr 13, 2023",161.63,165.8,161.42,165.56,165.33,"68,445,600"
"Apr 12, 2023",161.22,162.06,159.78,160.1,159.88,"50,133,100"
"Apr 11, 2023",162.35,162.36,160.51,160.8,160.58,"47,644,200"
"Apr 10, 2023",161.42,162.03,160.08,162.03,161.81,"47,716,900"
"Apr 06, 2023",162.43,164.96,162.0,164.66,164.43,"45,390,100"
"Apr 05, 2023",164.74,165.05,161.8,163.76,163.53,"51,511,700"
"Apr 04, 2023",166.6,166.84,165.11,165.63,165.4,"46,278,300"
"Apr 03, 2023",164.27,166.29,164.22,166.17,165.94,"56,976,200"
"Mar 31, 2023",162.44,165.0,161.91,164.9,164.67,"68,749,800"
"Mar 30, 2023",161.53,162.47,161.27,162.36,162.14,"49,501,700"
"Mar 29, 2023",159.37,161.05,159.35,160.77,160.55,"51,305,700"
"Mar 28, 2023",157.97,158.49,155.98,157.65,157.43,"45,992,200"
"Mar 27, 2023",159.94,160.77,157.87,158.28,158.06,"52,390,300"
"Mar 24, 2023",158.86,160.34,157.85,160.25,160.03,"59,196,500"
"Mar 23, 2023",158.83,161.55,157.68,158.93,158.71,"67,622,100"
"Mar 22, 2023",159.3,162.14,157.81,157.83,157.61,"75,701,800"
"Mar 21, 2023",157.32,159.4,156.54,159.28,159.06,"73,938,300"
"Mar 20, 2023",155.07,157.82,154.15,157.4,157.18,"73,641,400"
"Mar 17, 2023",156.08,156.74,154.28,155.0,154.79,"98,944,600"
"Mar 16, 2023",152.16,156.46,151.64,155.85,155.63,"76,161,100"
"Mar 15, 2023",151.19,153.25,149.92,152.99,152.78,"77,167,900"
"Mar 14, 2023",151.28,153.4,150.1,152.59,152.38,"73,695,900"
"Mar 13, 2023",147.81,153.14,147.7,150.47,150.26,"84,457,100"
"Mar 10, 2023",150.21,150.94,147.61,148.5,148.29,"68,572,400"
"Mar 09, 2023",153.56,154.54,150.23,150.59,150.38,"53,833,600"
"Mar 08, 2023",152.81,153.47,151.83,152.87,152.66,"47,204,800"
"Mar 07, 2023",153.7,154.03,151.13,151.6,151.39,"56,182,000"
"Mar 06, 2023",153.79,156.3,153.46,153.83,153.62,"87,558,000"
"Mar 03, 2023",148.04,151.11,147.33,151.03,150.82,"70,732,300"
"Mar 02, 2023",144.38,146.71,143.9,145.91,145.71,"52,238,100"
"Mar 01, 2023",146.83,147.23,145.01,145.31,145.11,"55,479,000"
"Feb 28, 2023",147.05,149.08,146.83,147.41,147.21,"50,547,000"
"Feb 27, 2023",147.71,149.17,147.45,147.92,147.72,"44,998,500"
"Feb 24, 2023",147.11,147.19,145.72,146.71,146.51,"55,469,600"
"Feb 23, 2023",150.09,150.34,147.24,149.4,149.19,"48,394,200"
"Feb 22, 2023",148.87,149.95,147.16,148.91,148.7,"51,011,300"
"Feb 21, 2023",150.2,151.3,148.41,148.48,148.27,"58,867,200"
"Feb 17, 2023",152.35,153.0,150.85,152.55,152.34,"59,144,100"
"Feb 16, 2023",153.51,156.33,153.35,153.71,153.5,"68,167,900"
"Feb 15, 2023",153.11,155.5,152.88,155.33,155.12,"65,573,800"
"Feb 14, 2023",152.12,153.77,150.86,153.2,152.99,"61,707,600"
"Feb 13, 2023",150.95,154.26,150.92,153.85,153.64,"62,199,000"
"Feb 10, 2023",149.46,151.34,149.22,151.01,150.8,"57,450,700"
"Feb 09, 2023",153.78,154.33,150.42,150.87,150.43,"56,007,100"
"Feb 08, 2023",153.88,154.58,151.17,151.92,151.48,"64,120,100"
"Feb 07, 2023",150.64,155.23,150.64,154.65,154.2,"83,322,600"
"Feb 06, 2023",152.57,153.1,150.78,151.73,151.29,"69,858,300"
"Feb 03, 2023",148.03,157.38,147.83,154.5,154.05,"154,357,300"
"Feb 02, 2023",148.9,151.18,148.17,150.82,150.38,"118,339,000"
"Feb 01, 2023",143.97,146.61,141.32,145.43,145.01,"77,663,600"
"Jan 31, 2023",142.7,144.34,142.28,144.29,143.87,"65,874,500"
"Jan 30, 2023",144.96,145.55,142.85,143.0,142.58,"64,015,300"
"Jan 27, 2023",143.16,147.23,143.08,145.93,145.51,"70,555,800"
"Jan 26, 2023",143.17,144.25,141.9,143.96,143.54,"54,105,100"
"Jan 25, 2023",140.89,142.43,138.81,141.86,141.45,"65,799,300"
"Jan 24, 2023",140.31,143.16,140.3,142.53,142.12,"66,435,100"
"Jan 23, 2023",138.12,143.32,137.9,141.11,140.7,"81,760,300"
"Jan 20, 2023",135.28,138.02,134.22,137.87,137.47,"80,223,600"
"Jan 19, 2023",134.08,136.25,133.77,135.27,134.88,"58,280,400"
"Jan 18, 2023",136.82,138.61,135.03,135.21,134.82,"69,672,800"
"Jan 17, 2023",134.83,137.29,134.13,135.94,135.55,"63,646,600"
"Jan 13, 2023",132.03,134.92,131.66,134.76,134.37,"57,809,700"
"Jan 12, 2023",133.88,134.26,131.44,133.41,133.02,"71,379,600"
"Jan 11, 2023",131.25,133.51,130.46,133.49,133.1,"69,458,900"
"Jan 10, 2023",130.26,131.26,128.12,130.73,130.35,"63,896,200"
"Jan 09, 2023",130.47,133.41,129.89,130.15,129.77,"70,790,800"
"Jan 06, 2023",126.01,130.29,124.89,129.62,129.24,"87,754,700"
"Jan 05, 2023",127.13,127.77,124.76,125.02,124.66,"80,962,700"
"Jan 04, 2023",126.89,128.66,125.08,126.36,125.99,"89,113,600"
"Jan 03, 2023",130.28,130.9,124.17,125.07,124.71,"112,117,500"
"Dec 30, 2022",128.41,129.95,127.43,129.93,129.55,"77,034,200"
"Dec 29, 2022",127.99,130.48,127.73,129.61,129.23,"75,703,700"
"Dec 28, 2022",129.67,131.03,125.87,126.04,125.67,"85,438,400"
"Dec 27, 2022",131.38,131.41,128.72,130.03,129.65,"69,007,800"
"Dec 23, 2022",130.92,132.42,129.64,131.86,131.48,"63,814,900"
"Dec 22, 2022",134.35,134.56,130.3,132.23,131.85,"77,852,100"
"Dec 21, 2022",132.98,136.81,132.75,135.45,135.06,"85,928,000"
"Dec 20, 2022",131.39,133.25,129.89,132.3,131.92,"77,432,800"
"Dec 19, 2022",135.11,135.2,131.32,132.37,131.99,"79,592,600"
