Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",133.47,135.93,132.80,134.73,133.25,"8,710,500"
"Jun 29, 2023",132.37,133.91,132.13,133.23,131.77,"4,947,600"
"Jun 28, 2023",132.60,133.17,130.96,132.51,131.06,"6,911,900"
"Jun 27, 2023",134.88,134.88,132.52,132.60,131.15,"7,839,900"
"Jun 26, 2023",136.15,136.15,133.69,134.95,133.47,"6,468,100"
"Jun 23, 2023",137.30,138.69,135.67,135.92,134.43,"7,394,900"
"Jun 22, 2023",137.15,137.90,135.89,137.41,135.90,"4,826,900"
"Jun 21, 2023",136.75,137.43,134.68,136.86,135.36,"5,828,400"
"Jun 20, 2023",137.10,138.95,136.66,137.82,136.31,"4,868,800"
"Jun 16, 2023",136.70,138.92,136.49,138.64,137.12,"14,615,000"
"Jun 15, 2023",136.75,136.84,135.46,135.89,134.40,"6,614,900"
"Jun 14, 2023",138.81,139.27,136.08,136.23,134.74,"6,128,300"
"Jun 13, 2023",137.51,138.47,137.20,138.31,136.79,"4,229,100"
"Jun 12, 2023",139.58,139.67,136.91,137.73,136.22,"4,888,500"
"Jun 09, 2023",137.56,139.19,137.08,138.18,136.66,"4,359,500"
"Jun 08, 2023",137.00,137.89,136.00,137.64,136.13,"4,714,200"
"Jun 07, 2023",134.90,137.06,134.26,136.50,135.00,"4,645,200"
"Jun 06, 2023",137.47,137.54,134.63,135.43,133.95,"4,359,900"
"Jun 05, 2023",137.00,138.31,136.29,136.86,135.36,"4,276,200"
"Jun 02, 2023",133.71,136.97,133.50,136.87,135.37,"6,661,200"
"Jun 01, 2023",135.26,135.26,131.10,133.44,131.98,"11,895,600"
"May 31, 2023",136.62,138.71,135.77,137.96,136.45,"12,579,100"
"May 30, 2023",135.49,136.84,135.25,136.44,134.94,"7,671,500"
"May 26, 2023",138.72,139.85,137.10,137.56,136.05,"7,590,300"
"May 25, 2023",140.03,140.20,138.26,138.62,137.10,"6,986,600"
"May 24, 2023",142.59,142.94,140.94,141.15,139.60,"4,143,500"
"May 23, 2023",144.45,144.82,142.34,142.52,140.96,"5,121,900"
"May 22, 2023",145.47,146.66,143.78,144.90,143.31,"3,867,300"
"May 19, 2023",143.86,145.80,143.80,145.11,143.52,"5,609,900"
"May 18, 2023",142.61,143.56,141.98,143.44,141.87,"4,791,200"
"May 17, 2023",143.02,143.52,140.52,143.35,141.78,"5,482,000"
"May 16, 2023",145.86,146.94,143.23,143.29,141.72,"4,685,400"
"May 15, 2023",147.67,148.90,145.66,146.59,144.98,"4,391,800"
"May 12, 2023",146.79,147.60,146.07,147.15,145.54,"3,526,200"
"May 11, 2023",147.29,147.57,145.19,146.59,144.98,"4,300,400"
"May 10, 2023",146.52,146.98,145.15,146.42,144.81,"4,127,300"
"May 09, 2023",147.41,148.46,146.27,146.83,145.22,"4,201,600"
"May 08, 2023",148.15,148.20,146.74,147.45,145.83,"3,689,500"
"May 05, 2023",148.54,149.38,147.14,148.03,146.41,"4,447,700"
"May 04, 2023",149.00,149.00,146.35,147.36,145.74,"5,694,300"
"May 03, 2023",151.07,151.51,148.45,149.25,147.61,"6,815,300"
"May 02, 2023",153.55,155.02,151.20,151.62,149.96,"5,135,600"
"May 01, 2023",150.84,154.71,150.82,153.71,152.02,"5,601,000"
"Apr 28, 2023",147.97,151.39,147.44,151.12,149.46,"7,123,800"
"Apr 27, 2023",153.87,153.87,147.16,148.87,147.24,"17,063,000"
"Apr 26, 2023",162.68,163.26,160.50,161.80,160.03,"5,192,000"
"Apr 25, 2023",164.81,166.20,164.49,164.90,163.09,"5,506,200"
"Apr 24, 2023",162.57,164.36,162.33,164.08,162.28,"4,728,900"
"Apr 21, 2023",162.59,163.19,162.02,162.41,160.63,"4,812,100"
"Apr 20, 2023",161.18,161.77,160.58,161.74,159.97,"3,808,100"
"Apr 19, 2023",158.67,161.44,158.52,161.21,159.44,"4,826,900"
"Apr 18, 2023",161.00,161.23,158.41,159.59,157.84,"4,996,200"
"Apr 17, 2023",161.92,162.20,160.65,161.18,159.41,"4,354,100"
"Apr 14, 2023",162.64,163.00,160.93,161.59,159.82,"3,473,100"
"Apr 13, 2023",161.00,162.86,160.55,162.69,160.91,"3,868,500"
"Apr 12, 2023",162.12,163.48,161.60,162.36,159.12,"4,005,000"
"Apr 11, 2023",161.49,162.59,161.19,161.38,158.16,"2,875,800"
"Apr 10, 2023",161.71,162.06,160.21,161.28,158.06,"3,309,500"
"Apr 06, 2023",160.80,162.19,160.62,161.55,158.32,"5,498,300"
"Apr 05, 2023",160.00,161.67,159.01,160.80,157.59,"5,743,000"
"Apr 04, 2023",160.51,161.73,159.53,159.78,156.59,"4,224,400"
"Apr 03, 2023",158.25,160.47,157.79,160.42,157.21,"4,389,400"
"Mar 31, 2023",158.43,159.57,157.73,159.37,156.19,"4,957,300"
"Mar 30, 2023",158.01,158.53,157.42,157.92,154.76,"3,635,800"
