Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",127.25,131.14,127.02,128.16,128.16,"4,600,100"
"Jun 29, 2023",127.64,128.00,123.42,125.10,125.10,"4,242,000"
"Jun 28, 2023",127.39,131.88,126.17,127.63,127.63,"6,130,400"
"Jun 27, 2023",124.41,128.17,123.32,127.89,127.89,"4,507,700"
"Jun 26, 2023",122.90,126.70,122.80,123.13,123.13,"3,645,800"
"Jun 23, 2023",125.99,126.80,124.00,124.73,124.73,"5,794,100"
"Jun 22, 2023",126.58,128.62,125.35,127.96,127.96,"3,935,600"
"Jun 21, 2023",125.09,129.26,125.09,127.46,127.46,"4,711,900"
"Jun 20, 2023",126.37,127.63,124.39,126.45,126.45,"5,383,600"
"Jun 16, 2023",128.68,129.20,126.79,128.68,128.68,"6,892,400"
"Jun 15, 2023",122.96,128.38,122.75,127.85,127.85,"5,599,400"
"Jun 14, 2023",125.39,126.39,122.76,125.14,125.14,"5,696,700"
"Jun 13, 2023",124.61,125.74,123.22,124.90,124.90,"5,276,800"
"Jun 12, 2023",119.36,125.00,118.88,124.59,124.59,"7,876,600"
"Jun 09, 2023",120.25,122.74,117.45,117.86,117.86,"7,427,200"
"Jun 08, 2023",114.97,116.33,113.58,115.50,115.50,"4,432,700"
"Jun 07, 2023",118.14,120.16,115.92,116.55,116.55,"4,637,600"
"Jun 06, 2023",115.92,119.09,115.41,117.30,117.30,"5,025,700"
"Jun 05, 2023",115.12,116.60,112.32,115.69,115.69,"8,324,400"
"Jun 02, 2023",112.93,118.45,112.93,118.06,118.06,"10,122,000"
"Jun 01, 2023",109.84,113.54,109.11,112.16,112.16,"6,644,100"
"May 31, 2023",105.60,110.10,103.74,109.77,109.77,"10,263,100"
"May 30, 2023",107.72,108.79,106.02,107.19,107.19,"5,460,100"
"May 26, 2023",105.18,107.61,104.99,106.81,106.81,"4,677,600"
"May 25, 2023",106.10,106.52,103.74,104.42,104.42,"4,834,500"
"May 24, 2023",105.46,106.59,103.82,105.71,105.71,"5,371,700"
"May 23, 2023",109.00,109.71,105.67,106.25,106.25,"6,498,200"
"May 22, 2023",106.26,110.73,106.20,109.93,109.93,"7,350,600"
"May 19, 2023",110.82,110.82,106.64,107.38,107.38,"9,124,200"
"May 18, 2023",108.34,112.34,108.34,111.87,111.87,"6,945,900"
"May 17, 2023",106.07,109.93,104.94,108.33,108.33,"6,887,400"
"May 16, 2023",105.72,107.58,104.30,105.41,105.41,"5,585,300"
"May 15, 2023",105.06,106.15,103.55,105.78,105.78,"5,422,500"
"May 12, 2023",111.36,111.56,104.21,105.28,105.28,"14,740,400"
"May 11, 2023",113.14,114.46,111.04,111.20,111.20,"9,579,400"
"May 10, 2023",109.85,115.51,109.37,113.19,113.19,"34,191,000"
"May 09, 2023",126.60,128.96,125.01,127.07,127.07,"15,410,300"
"May 08, 2023",123.16,127.56,122.98,125.65,125.65,"10,142,900"
"May 05, 2023",120.01,120.30,116.93,119.90,119.90,"6,618,800"
"May 04, 2023",118.94,119.17,116.18,117.63,117.63,"4,939,900"
"May 03, 2023",120.85,121.19,117.97,118.86,118.86,"3,687,700"
"May 02, 2023",120.24,121.70,117.94,120.58,120.58,"4,861,800"
"May 01, 2023",119.26,122.65,118.98,121.42,121.42,"4,830,600"
"Apr 28, 2023",114.60,120.47,113.00,119.67,119.67,"4,974,300"
"Apr 27, 2023",114.44,115.85,112.29,115.25,115.25,"3,870,500"
"Apr 26, 2023",113.50,114.60,113.20,113.68,113.68,"3,615,500"
"Apr 25, 2023",115.31,115.43,112.47,112.50,112.50,"3,659,700"
"Apr 24, 2023",115.53,116.40,114.51,116.12,116.12,"3,239,500"
"Apr 21, 2023",114.96,115.75,112.02,115.50,115.50,"7,357,800"
"Apr 20, 2023",118.37,119.70,117.82,118.40,118.40,"4,369,700"
"Apr 19, 2023",118.14,120.37,117.64,120.10,120.10,"3,309,700"
"Apr 18, 2023",119.83,121.32,118.10,119.19,119.19,"7,162,200"
"Apr 17, 2023",115.42,116.18,114.59,116.17,116.17,"3,287,100"
"Apr 14, 2023",113.89,115.12,113.02,114.65,114.65,"3,415,200"
"Apr 13, 2023",113.18,114.40,112.81,113.95,113.95,"3,878,100"
"Apr 12, 2023",114.80,115.84,111.40,112.42,112.42,"6,068,700"
"Apr 11, 2023",113.56,114.80,112.59,114.25,114.25,"4,845,400"
"Apr 10, 2023",108.69,112.63,108.40,112.60,112.60,"5,406,400"
"Apr 06, 2023",113.34,113.42,107.66,109.69,109.69,"14,400,100"
"Apr 05, 2023",117.87,117.87,111.49,115.34,115.34,"6,737,000"
"Apr 04, 2023",121.68,122.06,118.21,118.46,118.46,"3,349,300"
"Apr 03, 2023",123.00,123.09,119.71,121.46,121.46,"4,230,600"
"Mar 31, 2023",123.30,125.94,122.80,124.40,124.40,"5,533,800"
"Mar 30, 2023",120.80,122.65,120.11,122.28,122.28,"5,437,900"
"Mar 29, 2023",118.34,119.19,117.15,118.80,118.80,"2,711,500"
"Mar 28, 2023",117.97,118.31,116.01,116.61,116.61,"2,941,000"
"Mar 27, 2023",117.99,119.27,116.74,117.91,117.91,"2,819,600"
"Mar 24, 2023",119.50,119.70,115.39,116.92,116.92,"4,290,900"
"Mar 23, 2023",122.51,124.66,118.33,120.30,120.30,"4,028,500"
