Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",16.96,17.53,16.78,17.27,17.27,"11,925,400"
"Jul 27, 2023",18.33,19.34,16.29,16.43,16.43,"18,385,900"
"Jul 26, 2023",17.34,17.77,16.68,17.73,17.73,"14,981,400"
"Jul 25, 2023",17.30,18.51,17.12,17.60,17.60,"18,258,700"
"Jul 24, 2023",17.15,17.36,16.64,17.07,17.07,"7,133,000"
"Jul 21, 2023",17.35,17.58,16.53,17.12,17.12,"10,342,900"
"Jul 20, 2023",17.15,17.63,16.58,17.12,17.12,"12,579,200"
"Jul 19, 2023",17.56,18.67,17.29,17.65,17.65,"19,552,900"
"Jul 18, 2023",17.18,17.94,16.91,17.04,17.04,"12,304,300"
"Jul 17, 2023",16.35,17.54,15.90,17.12,17.12,"12,892,300"
"Jul 14, 2023",17.33,17.78,16.17,16.39,16.39,"13,558,700"
"Jul 13, 2023",16.58,17.98,16.27,17.45,17.45,"22,101,500"
"Jul 12, 2023",16.74,16.94,16.09,16.36,16.36,"15,479,600"
"Jul 11, 2023",15.44,16.52,14.93,16.21,16.21,"27,264,500"
"Jul 10, 2023",13.46,14.79,13.40,14.78,14.78,"13,031,100"
"Jul 07, 2023",13.84,14.14,13.59,13.65,13.65,"12,679,400"
"Jul 06, 2023",14.40,14.48,12.81,13.79,13.79,"28,003,500"
"Jul 05, 2023",15.85,15.89,15.25,15.42,15.42,"10,879,700"
"Jul 03, 2023",15.45,16.53,15.45,16.12,16.12,"9,692,500"
"Jun 30, 2023",15.78,16.09,15.1,15.33,15.33,"10,989,700"
"Jun 29, 2023",15.66,16.13,15.12,15.38,15.38,"10,243,500"
"Jun 28, 2023",15.0,15.54,14.85,15.48,15.48,"11,892,700"
"Jun 27, 2023",14.98,15.49,14.69,15.2,15.2,"12,195,200"
"Jun 26, 2023",14.85,15.7,14.77,14.84,14.84,"9,037,100"
"Jun 23, 2023",14.78,15.06,14.55,14.81,14.81,"10,625,300"
"Jun 22, 2023",15.32,15.54,14.87,14.89,14.89,"9,323,700"
"Jun 21, 2023",15.89,16.06,15.15,15.5,15.5,"12,325,000"
"Jun 20, 2023",16.5,16.85,15.83,16.05,16.05,"12,107,400"
"Jun 16, 2023",17.15,17.43,16.51,16.67,16.67,"12,268,400"
"Jun 15, 2023",16.79,17.46,16.35,17.28,17.28,"15,607,600"
"Jun 14, 2023",17.69,17.9,16.45,17.04,17.04,"38,468,200"
"Jun 13, 2023",18.63,19.25,18.15,18.74,18.74,"19,438,300"
"Jun 12, 2023",17.55,18.86,17.46,18.26,18.26,"20,602,500"
"Jun 09, 2023",19.18,19.58,17.36,17.39,17.39,"27,901,500"
"Jun 08, 2023",16.52,19.03,16.3,18.85,18.85,"41,192,100"
"Jun 07, 2023",18.42,19.5,16.13,16.2,16.2,"65,058,700"
"Jun 06, 2023",15.26,16.25,15.25,15.82,15.82,"12,844,200"
"Jun 05, 2023",15.82,16.46,15.12,15.55,15.55,"14,801,400"
"Jun 02, 2023",15.08,15.88,14.59,15.7,15.7,"15,216,200"
"Jun 01, 2023",14.73,15.23,14.38,14.58,14.58,"13,232,300"
"May 31, 2023",14.7,15.78,14.3,14.86,14.86,"17,195,400"
"May 30, 2023",14.29,14.95,14.02,14.74,14.74,"11,760,300"
"May 26, 2023",13.75,14.25,13.57,14.08,14.08,"8,104,100"
"May 25, 2023",14.57,14.76,13.5,13.71,13.71,"11,407,300"
"May 24, 2023",14.05,14.37,13.6,14.3,14.3,"13,270,100"
"May 23, 2023",14.38,15.41,14.27,14.41,14.41,"17,572,200"
"May 22, 2023",13.79,14.84,13.58,14.53,14.53,"16,413,200"
"May 19, 2023",14.59,14.65,13.68,13.76,13.76,"14,816,600"
"May 18, 2023",13.3,14.74,13.22,14.69,14.69,"21,996,000"
"May 17, 2023",12.6,13.45,12.4,13.16,13.16,"15,053,800"
"May 16, 2023",12.62,12.83,12.1,12.39,12.39,"12,291,300"
"May 15, 2023",12.13,12.98,11.84,12.8,12.8,"14,335,600"
"May 12, 2023",12.45,12.45,11.57,12.07,12.07,"15,443,700"
"May 11, 2023",12.2,13.19,11.86,12.47,12.47,"18,486,600"
"May 10, 2023",12.11,12.97,11.61,12.25,12.25,"31,110,200"
"May 09, 2023",11.6,12.74,11.54,12.3,12.3,"27,208,400"
"May 08, 2023",10.9,11.98,10.79,11.94,11.94,"20,473,300"
"May 05, 2023",9.28,10.81,9.28,10.71,10.71,"23,216,400"
"May 04, 2023",9.15,9.28,8.8,9.13,9.13,"14,838,600"
"May 03, 2023",9.1,9.86,8.98,9.26,9.26,"18,858,200"
"May 02, 2023",9.89,9.92,9.0,9.01,9.01,"14,544,000"
"May 01, 2023",9.86,10.13,9.42,9.99,9.99,"16,321,100"
"Apr 28, 2023",10.05,10.5,9.8,9.86,9.86,"10,387,700"
"Apr 27, 2023",9.97,10.41,9.83,10.16,10.16,"10,349,600"
"Apr 26, 2023",10.14,10.35,9.76,9.84,9.84,"8,154,000"
"Apr 25, 2023",10.44,10.44,9.94,9.95,9.95,"7,439,000"
"Apr 24, 2023",10.86,10.95,10.26,10.53,10.53,"7,589,400"
"Apr 21, 2023",10.97,11.41,10.89,10.99,10.99,"9,055,700"
"Apr 20, 2023",11.23,11.4,10.9,10.92,10.92,"6,764,900"
"Apr 19, 2023",11.41,11.68,11.23,11.49,11.49,"6,317,600"
"Apr 18, 2023",11.6,11.74,11.34,11.68,11.68,"7,794,900"
"Apr 17, 2023",10.93,11.63,10.83,11.51,11.51,"10,452,500"
"Apr 14, 2023",11.44,11.54,10.69,11.04,11.04,"11,261,100"
"Apr 13, 2023",11.12,11.63,11.04,11.37,11.37,"11,221,900"
"Apr 12, 2023",12.18,12.27,10.9,10.94,10.94,"14,415,100"
"Apr 11, 2023",11.25,11.8,11.22,11.7,11.7,"10,343,700"
"Apr 10, 2023",10.41,11.15,10.28,11.13,11.13,"9,345,900"
"Apr 06, 2023",10.32,10.89,10.12,10.57,10.57,"9,311,300"
"Apr 05, 2023",10.6,10.76,10.01,10.4,10.4,"9,749,600"
"Apr 04, 2023",11.47,11.48,10.63,10.81,10.81,"10,657,200"
"Apr 03, 2023",11.2,11.43,10.83,11.29,11.29,"10,730,900"
"Mar 31, 2023",10.6,11.44,10.41,11.27,11.27,"16,148,500"
"Mar 30, 2023",10.8,10.9,10.33,10.42,10.42,"10,385,200"
"Mar 29, 2023",9.73,10.57,9.54,10.5,10.5,"16,388,000"
"Mar 28, 2023",10.14,10.23,9.11,9.47,9.47,"23,167,300"
"Mar 27, 2023",10.5,10.66,9.92,10.22,10.22,"12,077,000"
"Mar 24, 2023",9.8,10.36,9.67,10.33,10.33,"14,626,400"
"Mar 23, 2023",9.81,10.75,9.66,9.99,9.99,"18,147,800"
"Mar 22, 2023",10.62,10.99,9.73,9.76,9.76,"23,931,000"
"Mar 21, 2023",9.46,10.74,9.4,10.5,10.5,"20,853,800"
"Mar 20, 2023",9.36,9.74,9.15,9.29,9.29,"13,693,100"
"Mar 17, 2023",9.83,9.96,9.17,9.49,9.49,"17,437,800"
"Mar 16, 2023",9.79,10.03,9.36,9.96,9.96,"16,201,400"
"Mar 15, 2023",9.65,9.91,9.31,9.84,9.84,"21,858,600"
"Mar 14, 2023",10.76,10.92,9.84,10.01,10.01,"20,790,000"
"Mar 13, 2023",10.07,10.59,9.41,10.33,10.33,"20,041,200"
"Mar 10, 2023",11.17,11.2,10.03,10.37,10.37,"24,806,200"
"Mar 09, 2023",12.03,12.54,11.13,11.31,11.31,"17,953,800"
"Mar 08, 2023",12.0,12.42,11.63,12.13,12.13,"13,782,100"
"Mar 07, 2023",13.01,13.33,11.95,12.0,12.0,"15,136,100"
"Mar 06, 2023",13.76,14.36,13.11,13.17,13.17,"14,277,700"
"Mar 03, 2023",13.04,13.85,12.95,13.63,13.63,"11,803,500"
"Mar 02, 2023",12.28,12.99,11.96,12.93,12.93,"11,054,000"
"Mar 01, 2023",13.4,13.49,12.3,12.61,12.61,"16,132,600"
"Feb 28, 2023",12.82,13.97,12.72,13.62,13.62,"25,098,400"
"Feb 27, 2023",13.41,13.41,12.83,12.84,12.84,"12,306,900"
"Feb 24, 2023",13.16,13.45,12.75,13.07,13.07,"13,178,200"
"Feb 23, 2023",13.69,13.88,12.96,13.69,13.69,"13,216,100"
"Feb 22, 2023",12.84,13.69,12.8,13.46,13.46,"15,714,400"
"Feb 21, 2023",12.52,12.97,12.22,12.81,12.81,"15,183,000"
"Feb 17, 2023",13.34,13.51,12.51,12.98,12.98,"16,221,100"
"Feb 16, 2023",13.89,14.4,13.53,13.58,13.58,"19,479,300"
"Feb 15, 2023",13.18,15.21,13.05,14.7,14.7,"28,733,500"
"Feb 14, 2023",12.51,13.24,12.15,13.1,13.1,"21,397,200"
"Feb 13, 2023",12.47,13.2,11.98,12.7,12.7,"20,373,200"
"Feb 10, 2023",12.9,13.44,12.36,12.52,12.52,"22,708,500"
"Feb 09, 2023",13.55,14.33,12.52,13.29,13.29,"57,168,800"
"Feb 08, 2023",16.88,17.61,15.95,16.02,16.02,"31,802,000"
"Feb 07, 2023",16.89,17.6,16.13,17.21,17.21,"24,229,000"
"Feb 06, 2023",17.84,18.25,16.85,17.01,17.01,"18,110,600"
"Feb 03, 2023",19.29,20.5,18.03,18.15,18.15,"28,836,400"
