Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",10.19,10.20,10.06,10.13,10.13,"10,127,600"
"Jun 29, 2023",10.17,10.18,9.96,10.15,10.15,"13,694,500"
"Jun 28, 2023",10.30,10.34,10.26,10.32,10.20,"11,207,000"
"Jun 27, 2023",10.17,10.31,10.09,10.29,10.17,"10,010,600"
"Jun 26, 2023",9.99,10.26,9.93,10.16,10.04,"10,761,600"
"Jun 23, 2023",10.09,10.11,9.93,9.94,9.82,"9,589,400"
"Jun 22, 2023",10.16,10.18,10.10,10.13,10.01,"6,158,400"
"Jun 21, 2023",10.16,10.25,10.10,10.18,10.06,"6,528,700"
"Jun 20, 2023",10.17,10.20,10.10,10.13,10.01,"6,729,500"
"Jun 16, 2023",10.23,10.28,10.14,10.21,10.09,"8,896,600"
"Jun 15, 2023",10.10,10.31,10.09,10.25,10.13,"8,760,900"
"Jun 14, 2023",10.18,10.27,10.03,10.12,10.00,"11,593,400"
"Jun 13, 2023",10.08,10.17,10.02,10.14,10.02,"11,489,200"
"Jun 12, 2023",9.79,10.05,9.76,10.03,9.91,"12,383,300"
"Jun 09, 2023",9.74,9.82,9.70,9.79,9.68,"13,677,200"
"Jun 08, 2023",9.70,9.82,9.65,9.73,9.62,"7,955,600"
"Jun 07, 2023",9.71,9.81,9.64,9.68,9.57,"9,762,600"
"Jun 06, 2023",9.46,9.72,9.45,9.66,9.55,"8,671,300"
"Jun 05, 2023",9.51,9.53,9.39,9.49,9.38,"7,952,700"
"Jun 02, 2023",9.54,9.60,9.43,9.47,9.36,"8,966,500"
"Jun 01, 2023",9.19,9.46,9.18,9.45,9.34,"10,243,800"
"May 31, 2023",9.17,9.28,9.07,9.19,9.08,"11,228,800"
"May 30, 2023",9.05,9.32,8.99,9.27,9.16,"11,554,800"
"May 26, 2023",8.76,9.13,8.66,9.11,8.89,"11,757,500"
"May 25, 2023",8.86,8.86,8.57,8.75,8.53,"15,620,200"
"May 24, 2023",9.00,9.00,8.75,8.87,8.65,"15,955,100"
"May 23, 2023",9.21,9.27,9.01,9.01,8.79,"10,666,700"
"May 22, 2023",9.24,9.26,9.12,9.17,8.94,"7,970,900"
"May 19, 2023",9.30,9.36,9.13,9.21,8.98,"9,034,700"
"May 18, 2023",9.18,9.29,9.13,9.28,9.05,"6,795,400"
"May 17, 2023",9.05,9.24,9.02,9.19,8.96,"6,722,100"
"May 16, 2023",9.08,9.11,9.01,9.02,8.80,"5,228,000"
"May 15, 2023",9.21,9.28,9.05,9.12,8.90,"12,496,800"
"May 12, 2023",9.37,9.37,9.15,9.17,8.94,"6,454,800"
"May 11, 2023",9.30,9.35,9.23,9.34,9.11,"5,250,900"
"May 10, 2023",9.50,9.59,9.23,9.34,9.11,"9,495,400"
"May 09, 2023",9.44,9.46,9.32,9.36,9.13,"6,224,000"
"May 08, 2023",9.47,9.53,9.38,9.50,9.27,"6,170,800"
"May 05, 2023",9.40,9.53,9.35,9.47,9.24,"8,068,900"
"May 04, 2023",9.33,9.37,9.12,9.25,9.02,"13,453,400"
"May 03, 2023",9.27,9.64,9.27,9.41,9.18,"15,481,000"
"May 02, 2023",9.57,9.63,9.10,9.24,9.01,"15,078,300"
"May 01, 2023",9.89,9.90,9.55,9.57,9.33,"14,125,000"
"Apr 28, 2023",9.83,9.97,9.81,9.91,9.67,"12,857,300"
"Apr 27, 2023",9.71,9.85,9.69,9.78,9.54,"8,304,700"
"Apr 26, 2023",9.83,9.94,9.70,9.78,9.42,"11,752,800"
"Apr 25, 2023",10.01,10.05,9.70,9.75,9.39,"14,525,100"
"Apr 24, 2023",10.06,10.13,9.84,10.05,9.68,"13,939,500"
"Apr 21, 2023",9.94,10.05,9.85,10.05,9.68,"8,798,900"
"Apr 20, 2023",9.94,10.02,9.88,9.98,9.61,"9,558,900"
"Apr 19, 2023",9.96,10.07,9.88,10.00,9.63,"5,602,500"
"Apr 18, 2023",10.06,10.07,9.92,10.00,9.63,"8,435,900"
"Apr 17, 2023",9.96,10.13,9.85,10.07,9.70,"10,787,700"
"Apr 14, 2023",10.08,10.11,9.82,9.96,9.60,"13,321,500"
"Apr 13, 2023",10.05,10.09,9.90,10.06,9.69,"7,570,300"
"Apr 12, 2023",10.17,10.19,10.01,10.01,9.64,"7,818,000"
"Apr 11, 2023",10.05,10.13,9.93,10.04,9.67,"9,476,300"
"Apr 10, 2023",10.27,10.31,9.76,10.02,9.65,"17,480,300"
"Apr 06, 2023",10.37,10.40,10.26,10.29,9.91,"5,470,700"
"Apr 05, 2023",10.10,10.42,10.08,10.31,9.93,"9,744,200"
"Apr 04, 2023",10.02,10.18,9.92,10.15,9.78,"12,602,000"
"Apr 03, 2023",10.06,10.15,9.95,9.98,9.61,"9,541,200"
"Mar 31, 2023",9.92,10.08,9.91,10.08,9.71,"14,563,300"
"Mar 30, 2023",9.89,9.92,9.79,9.91,9.55,"6,078,300"
"Mar 29, 2023",9.95,9.98,9.89,9.93,9.45,"9,236,800"
"Mar 28, 2023",9.84,9.91,9.77,9.86,9.38,"11,436,400"
"Mar 27, 2023",9.94,9.98,9.80,9.89,9.41,"10,786,200"
"Mar 24, 2023",9.55,9.81,9.40,9.79,9.32,"12,040,600"
"Mar 23, 2023",9.83,10.13,9.58,9.63,9.17,"18,459,100"
"Mar 22, 2023",9.80,9.97,9.71,9.76,9.29,"13,516,500"
"Mar 21, 2023",9.84,9.93,9.81,9.85,9.37,"10,491,200"
"Mar 20, 2023",9.78,9.88,9.68,9.68,9.21,"14,035,800"
"Mar 17, 2023",9.92,9.92,9.64,9.74,9.27,"16,820,000"
"Mar 16, 2023",9.85,9.99,9.74,9.96,9.48,"18,842,000"
"Mar 15, 2023",10.07,10.11,9.81,9.89,9.41,"26,016,100"
"Mar 14, 2023",10.14,10.57,10.11,10.26,9.76,"17,774,100"
"Mar 13, 2023",9.79,10.07,9.52,9.96,9.48,"26,674,400"
"Mar 10, 2023",10.42,10.48,9.95,9.97,9.49,"19,213,800"
"Mar 09, 2023",10.79,10.86,10.43,10.45,9.95,"12,243,400"
"Mar 08, 2023",10.75,10.83,10.66,10.81,10.29,"10,333,600"
"Mar 07, 2023",10.76,10.82,10.57,10.59,10.08,"5,803,700"
"Mar 06, 2023",10.75,10.88,10.71,10.72,10.20,"6,701,600"
"Mar 03, 2023",10.60,10.77,10.56,10.71,10.19,"6,868,300"
"Mar 02, 2023",10.47,10.59,10.36,10.55,10.04,"10,075,200"
"Mar 01, 2023",10.82,10.87,10.52,10.59,10.08,"10,819,900"
"Feb 28, 2023",10.88,10.93,10.81,10.87,10.35,"11,123,000"
"Feb 27, 2023",11.10,11.13,10.87,10.89,10.36,"9,406,500"
"Feb 24, 2023",11.20,11.25,11.02,11.10,10.45,"11,699,900"
"Feb 23, 2023",11.29,11.37,11.17,11.32,10.66,"5,795,500"
"Feb 22, 2023",11.13,11.31,11.12,11.25,10.59,"7,281,100"
"Feb 21, 2023",11.32,11.35,11.04,11.12,10.47,"12,892,000"
"Feb 17, 2023",11.46,11.48,11.31,11.39,10.72,"6,424,000"
"Feb 16, 2023",11.36,11.58,11.30,11.47,10.80,"6,610,900"
"Feb 15, 2023",11.35,11.50,11.25,11.48,10.81,"8,583,700"
"Feb 14, 2023",11.42,11.49,11.24,11.41,10.74,"9,410,500"
"Feb 13, 2023",11.35,11.47,11.32,11.44,10.77,"13,506,400"
