Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",39.01,39.99,38.30,39.76,39.76,"15,776,600"
"Jul 27, 2023",42.34,43.76,37.76,38.21,38.21,"30,001,900"
"Jul 26, 2023",40.00,41.85,39.20,41.22,41.22,"19,255,300"
"Jul 25, 2023",38.30,41.26,38.03,40.36,40.36,"20,859,500"
"Jul 24, 2023",38.50,39.18,37.23,38.17,38.17,"11,140,400"
"Jul 21, 2023",39.73,40.55,37.41,38.03,38.03,"15,804,600"
"Jul 20, 2023",39.80,41.06,38.59,38.97,38.97,"15,659,900"
"Jul 19, 2023",42.00,43.08,39.63,40.74,40.74,"25,311,000"
"Jul 18, 2023",38.73,42.05,38.44,40.61,40.61,"25,147,100"
"Jul 17, 2023",37.20,40.25,36.45,38.73,38.73,"19,596,800"
"Jul 14, 2023",39.61,40.29,37.13,37.23,37.23,"20,473,500"
"Jul 13, 2023",40.50,41.68,39.55,39.65,39.65,"19,720,500"
"Jul 12, 2023",42.50,42.52,39.38,40.22,40.22,"23,173,800"
"Jul 11, 2023",40.99,42.58,40.11,41.47,41.47,"23,278,900"
"Jul 10, 2023",40.00,41.25,37.62,40.80,40.80,"22,534,500"
"Jul 07, 2023",39.56,42.19,39.03,39.25,39.25,"31,146,300"
"Jul 06, 2023",39.00,40.38,36.18,39.08,39.08,"29,200,100"
"Jul 05, 2023",37.44,40.47,36.93,40.12,40.12,"25,266,500"
"Jul 03, 2023",36.94,37.58,35.57,37.48,37.48,"12,739,700"
"Jun 30, 2023",36.61,38.32,36.14,36.43,36.43,"23,942,200"
"Jun 29, 2023",36.17,37.11,35.03,35.9,35.9,"23,019,600"
"Jun 28, 2023",32.8,36.18,32.56,35.46,35.46,"26,407,800"
"Jun 27, 2023",32.6,33.84,31.57,33.37,33.37,"24,558,900"
"Jun 26, 2023",33.81,35.48,31.69,31.96,31.96,"25,571,000"
"Jun 23, 2023",36.08,36.39,32.63,33.39,33.39,"32,012,700"
"Jun 22, 2023",37.77,39.4,36.79,37.44,37.44,"27,095,000"
"Jun 21, 2023",43.76,44.16,37.5,39.04,39.04,"34,634,600"
"Jun 20, 2023",46.19,46.88,42.08,43.19,43.19,"29,571,700"
"Jun 16, 2023",48.41,48.87,43.43,44.49,44.49,"41,027,800"
"Jun 15, 2023",41.82,48.5,41.35,46.37,46.37,"60,058,400"
"Jun 14, 2023",42.36,43.9,40.64,42.84,42.84,"39,559,100"
"Jun 13, 2023",38.4,45.22,37.15,43.11,43.11,"74,591,400"
"Jun 12, 2023",37.66,38.33,36.01,37.6,37.6,"22,789,700"
"Jun 09, 2023",37.33,39.38,35.81,36.99,36.99,"28,387,200"
"Jun 08, 2023",36.2,37.6,35.63,36.22,36.22,"20,886,500"
"Jun 07, 2023",39.26,39.33,35.3,36.42,36.42,"38,176,000"
"Jun 06, 2023",35.1,38.85,34.65,38.19,38.19,"50,647,000"
"Jun 05, 2023",31.21,35.93,30.5,35.32,35.32,"35,706,200"
"Jun 02, 2023",33.6,34.57,30.6,32.26,32.26,"45,347,200"
"Jun 01, 2023",32.76,37.25,30.26,34.72,34.72,"83,477,500"
"May 31, 2023",41.1,42.14,38.01,40.01,40.01,"87,319,500"
"May 30, 2023",37.61,44.02,35.2,43.95,43.95,"107,615,300"
"May 26, 2023",28.75,33.5,28.65,32.94,32.94,"54,634,300"
"May 25, 2023",30.5,30.7,27.01,28.41,28.41,"36,753,800"
"May 24, 2023",27.16,28.43,26.27,27.85,27.85,"19,822,400"
"May 23, 2023",28.82,29.23,26.64,27.16,27.16,"27,567,900"
"May 22, 2023",25.46,28.26,25.22,27.87,27.87,"28,741,900"
"May 19, 2023",26.81,27.75,25.06,25.28,25.28,"19,520,700"
"May 18, 2023",27.4,28.15,25.87,26.82,26.82,"31,462,000"
"May 17, 2023",23.99,27.13,23.57,26.95,26.95,"37,992,800"
