Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",145.30,145.55,143.44,144.54,144.54,"6,142,600"
"Jun 29, 2023",144.69,145.25,143.51,144.23,144.23,"3,916,500"
"Jun 28, 2023",142.80,145.92,142.05,144.03,144.03,"6,645,200"
"Jun 27, 2023",140.15,146.69,139.96,146.55,146.55,"7,343,900"
"Jun 26, 2023",136.47,140.87,136.47,139.80,139.80,"7,256,100"
"Jun 23, 2023",136.55,136.79,134.84,136.07,136.07,"6,955,400"
"Jun 22, 2023",135.00,139.60,135.00,138.92,138.92,"3,763,600"
"Jun 21, 2023",138.53,139.16,135.87,136.67,136.67,"4,715,300"
"Jun 20, 2023",139.11,140.32,137.27,138.52,138.52,"3,840,000"
"Jun 16, 2023",140.89,140.95,138.13,138.93,138.93,"8,846,900"
"Jun 15, 2023",138.69,141.43,137.93,140.11,140.11,"5,524,400"
"Jun 14, 2023",138.41,141.36,138.23,141.17,141.17,"6,474,600"
"Jun 13, 2023",141.50,142.53,139.41,141.79,141.79,"6,859,500"
"Jun 12, 2023",137.74,140.23,136.83,140.01,140.01,"5,931,900"
"Jun 09, 2023",137.79,137.98,135.82,136.12,136.12,"3,675,200"
"Jun 08, 2023",135.85,136.76,134.15,136.20,136.20,"4,507,000"
"Jun 07, 2023",135.27,137.04,133.58,135.01,135.01,"4,835,700"
"Jun 06, 2023",131.40,135.35,130.75,133.94,133.94,"5,468,900"
"Jun 05, 2023",134.82,135.15,133.04,133.73,133.73,"3,798,300"
"Jun 02, 2023",135.14,135.33,132.38,134.63,134.63,"5,327,400"
"Jun 01, 2023",133.73,136.19,131.69,134.83,134.83,"5,007,000"
"May 31, 2023",133.60,135.75,132.16,133.30,133.30,"11,368,600"
"May 30, 2023",138.00,138.80,135.49,136.57,136.57,"7,753,800"
"May 26, 2023",130.77,136.69,129.99,136.06,136.06,"9,083,800"
"May 25, 2023",127.17,130.73,126.13,130.47,130.47,"9,575,700"
"May 24, 2023",121.92,122.62,120.18,121.73,121.73,"6,315,600"
"May 23, 2023",125.89,126.73,124.19,124.49,124.17,"4,604,500"
"May 22, 2023",127.23,127.56,125.65,126.55,126.22,"4,709,100"
"May 19, 2023",128.30,128.32,125.25,126.95,126.62,"10,255,500"
"May 18, 2023",125.81,132.06,125.76,129.92,129.59,"10,891,200"
"May 17, 2023",122.25,126.30,121.88,125.70,125.38,"7,349,600"
"May 16, 2023",120.83,123.07,120.44,120.92,120.61,"5,080,700"
"May 15, 2023",116.69,121.26,116.02,121.11,120.80,"5,859,200"
"May 12, 2023",116.71,117.07,114.99,116.09,115.79,"3,838,200"
"May 11, 2023",115.30,115.84,113.91,115.46,115.16,"3,630,400"
"May 10, 2023",115.52,116.24,114.14,115.41,115.11,"4,101,000"
"May 09, 2023",114.08,114.41,112.86,113.84,113.55,"3,173,700"
"May 08, 2023",116.87,117.59,114.93,115.75,115.45,"3,247,600"
