Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",4.3300,4.4000,4.2500,4.4000,4.4000,"16,934,000"
"Jun 29, 2023",4.3600,4.4300,4.1800,4.4200,4.4200,"28,284,600"
"Jun 28, 2023",4.0900,4.5500,4.0800,4.4100,4.4100,"26,064,400"
"Jun 27, 2023",4.0800,4.1500,4.0100,4.1000,4.1000,"15,942,700"
"Jun 26, 2023",4.0800,4.1300,4.0100,4.0300,4.0300,"14,102,500"
"Jun 23, 2023",4.1200,4.1500,4.0100,4.0100,4.0100,"14,395,500"
"Jun 22, 2023",4.2500,4.2800,4.0700,4.1700,4.1700,"38,343,100"
"Jun 21, 2023",4.6000,4.6400,4.5000,4.5300,4.5300,"13,026,900"
"Jun 20, 2023",4.6900,4.7300,4.4900,4.5900,4.5900,"16,450,200"
"Jun 16, 2023",4.8200,4.8300,4.6700,4.7000,4.7000,"18,483,600"
"Jun 15, 2023",4.8500,4.8500,4.6800,4.7600,4.7600,"16,103,600"
"Jun 14, 2023",5.0700,5.0800,4.8200,4.9000,4.9000,"15,548,700"
"Jun 13, 2023",4.8600,5.1500,4.8200,5.0000,5.0000,"25,602,800"
"Jun 12, 2023",4.7800,4.8800,4.7400,4.7900,4.7900,"10,321,500"
"Jun 09, 2023",4.6500,4.8200,4.6500,4.7700,4.7700,"14,796,000"
"Jun 08, 2023",4.6700,4.7300,4.5200,4.6800,4.6800,"15,714,800"
"Jun 07, 2023",4.7600,4.7600,4.6100,4.7300,4.7300,"15,148,500"
"Jun 06, 2023",4.5900,4.7700,4.5500,4.6400,4.6400,"15,135,000"
"Jun 05, 2023",4.6500,4.6700,4.5500,4.6300,4.6300,"7,717,200"
"Jun 02, 2023",4.6300,4.6700,4.5300,4.5500,4.5500,"9,278,100"
"Jun 01, 2023",4.5100,4.6600,4.4700,4.5500,4.5500,"12,431,000"
"May 31, 2023",4.5800,4.6100,4.3800,4.5000,4.5000,"13,375,400"
"May 30, 2023",4.7400,4.7800,4.5000,4.6300,4.6300,"13,900,500"
"May 26, 2023",4.7500,4.8500,4.6300,4.6400,4.6400,"11,769,900"
"May 25, 2023",4.9300,4.9300,4.6200,4.7000,4.7000,"16,884,100"
"May 24, 2023",5.0000,5.0800,4.8000,4.8800,4.8800,"17,085,800"
"May 23, 2023",5.0900,5.1400,4.9800,5.0300,5.0300,"12,197,300"
"May 22, 2023",5.0300,5.2100,4.9600,5.1200,5.1200,"14,009,300"
"May 19, 2023",5.0900,5.0900,4.9600,5.0300,5.0300,"10,437,600"
"May 18, 2023",5.0800,5.1600,4.9900,5.0700,5.0700,"10,691,500"
"May 17, 2023",4.9700,5.1500,4.8700,5.1000,5.1000,"13,937,700"
"May 16, 2023",5.1000,5.1400,4.9400,4.9600,4.9600,"11,911,000"
"May 15, 2023",5.1000,5.2400,5.0300,5.1400,5.1400,"12,115,100"
"May 12, 2023",5.2700,5.3200,5.0800,5.2000,5.2000,"13,330,900"
"May 11, 2023",5.4200,5.4800,5.1900,5.3400,5.3400,"13,891,600"
"May 10, 2023",5.6000,5.6100,5.4000,5.4900,5.4900,"14,568,400"
"May 09, 2023",5.8100,5.9500,5.5300,5.5400,5.5400,"18,772,800"
"May 08, 2023",5.8300,6.0300,5.7600,5.9000,5.9000,"17,036,100"
"May 05, 2023",6.1000,6.1100,5.6600,5.8900,5.8900,"28,341,000"
"May 04, 2023",5.8400,6.0500,5.7200,5.9200,5.9200,"25,007,500"
"May 03, 2023",5.4100,5.8200,5.4100,5.7400,5.7400,"25,057,200"
"May 02, 2023",5.6700,5.7400,5.3200,5.5000,5.5000,"16,239,700"
"May 01, 2023",5.5300,5.6900,5.3800,5.6500,5.6500,"20,341,200"
"Apr 28, 2023",5.4600,5.5400,5.3400,5.5000,5.5000,"18,975,600"
"Apr 27, 2023",5.2200,5.5600,5.1600,5.3700,5.3700,"21,015,100"
"Apr 26, 2023",5.1800,5.3200,5.0500,5.1900,5.1900,"14,275,100"
"Apr 25, 2023",4.9400,5.3400,4.9200,5.1500,5.1500,"33,038,200"
"Apr 24, 2023",4.9000,5.0300,4.6400,4.9600,4.9600,"22,384,400"
"Apr 21, 2023",4.9400,5.0700,4.9100,4.9900,4.9900,"13,973,200"
"Apr 20, 2023",5.0000,5.0200,4.8900,4.9700,4.9700,"10,295,800"
"Apr 19, 2023",4.9500,5.1700,4.9200,5.1000,5.1000,"12,814,000"
"Apr 18, 2023",5.2300,5.2300,4.9800,5.0500,5.0500,"13,732,300"
"Apr 17, 2023",5.2400,5.3000,5.1300,5.2000,5.2000,"16,213,100"
"Apr 14, 2023",5.7400,5.7600,4.9000,5.1200,5.1200,"35,998,000"
"Apr 13, 2023",5.4800,5.6600,5.3900,5.4600,5.4600,"20,485,400"
"Apr 12, 2023",5.6200,5.7400,5.3400,5.3400,5.3400,"33,620,800"
"Apr 11, 2023",5.4500,5.6300,5.2500,5.4300,5.4300,"36,630,400"
"Apr 10, 2023",4.7700,5.3700,4.7400,5.2400,5.2400,"50,575,700"
"Apr 06, 2023",4.4500,5.1600,4.3100,4.9000,4.9000,"101,554,800"
"Apr 05, 2023",4.0700,4.0900,3.9400,4.0500,4.0500,"30,657,200"
"Apr 04, 2023",4.0800,4.4500,3.8800,3.9100,3.9100,"90,399,500"
"Apr 03, 2023",4.9900,5.1500,4.9400,5.1100,5.1100,"33,616,600"
"Mar 31, 2023",4.9100,5.0600,4.8700,5.0100,5.0100,"19,003,300"
"Mar 30, 2023",5.1100,5.1600,4.8700,4.9700,4.9700,"20,233,500"
"Mar 29, 2023",5.1400,5.2100,4.8300,5.0000,5.0000,"28,097,800"
"Mar 28, 2023",4.5100,5.5000,4.4600,5.1500,5.1500,"89,811,500"
"Mar 27, 2023",4.5100,4.5800,4.3000,4.5500,4.5500,"20,314,400"
"Mar 24, 2023",4.4000,4.5400,4.3800,4.4700,4.4700,"10,477,600"
"Mar 23, 2023",4.4400,4.6800,4.3400,4.4700,4.4700,"19,451,500"
"Mar 22, 2023",4.7300,4.7500,4.3100,4.3400,4.3400,"31,446,600"
"Mar 21, 2023",4.3300,4.4500,4.2100,4.4100,4.4100,"20,847,100"
"Mar 20, 2023",4.2500,4.3800,4.1400,4.2700,4.2700,"17,581,300"
"Mar 17, 2023",4.3000,4.3400,4.1100,4.1800,4.1800,"27,433,600"
"Mar 16, 2023",4.2200,4.6500,4.0600,4.3900,4.3900,"27,931,700"
"Mar 15, 2023",4.5300,4.6100,4.1500,4.2100,4.2100,"36,323,300"
"Mar 14, 2023",5.4800,5.5100,4.3600,4.6400,4.6400,"64,871,300"
"Mar 13, 2023",5.4400,5.5600,5.2400,5.4600,5.4600,"15,518,100"
"Mar 10, 2023",5.5600,5.6200,5.3000,5.3800,5.3800,"15,574,700"
"Mar 09, 2023",5.7400,5.9200,5.5600,5.6500,5.6500,"16,178,500"
"Mar 08, 2023",6.0400,6.1300,5.6700,5.8400,5.8400,"19,862,100"
"Mar 07, 2023",6.2300,6.3500,6.0000,6.0100,6.0100,"16,229,900"
"Mar 06, 2023",6.5800,6.7500,6.2500,6.2500,6.2500,"26,242,800"
