Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",113.03,114.69,112.41,113.91,113.91,"53,331,900"
"Jun 29, 2023",112.07,112.76,109.84,111.24,111.24,"58,347,200"
"Jun 28, 2023",108.21,111.78,107.63,110.17,110.17,"67,534,100"
"Jun 27, 2023",108.57,110.97,107.08,110.39,110.39,"59,381,600"
"Jun 26, 2023",110.95,112.55,107.20,107.51,107.51,"68,557,000"
"Jun 23, 2023",109.31,111.10,107.46,110.01,110.01,"73,545,600"
"Jun 22, 2023",112.24,114.00,109.85,110.70,110.70,"70,754,800"
"Jun 21, 2023",118.49,119.19,111.67,112.11,112.11,"82,835,600"
"Jun 20, 2023",119.09,121.75,117.70,118.93,118.93,"58,851,800"
"Jun 16, 2023",125.82,125.85,119.90,120.08,120.08,"81,846,900"
"Jun 15, 2023",125.39,125.70,122.26,124.24,124.24,"85,587,100"
"Jun 14, 2023",126.53,127.73,123.81,127.33,127.33,"95,888,100"
"Jun 13, 2023",132.32,132.83,122.45,124.53,124.53,"132,461,900"
"Jun 12, 2023",128.52,130.48,126.40,129.19,129.19,"85,394,700"
"Jun 09, 2023",123.57,127.25,123.55,124.92,124.92,"75,051,600"
"Jun 08, 2023",118.30,122.21,117.05,121.05,121.05,"65,246,900"
"Jun 07, 2023",124.03,125.34,117.07,117.83,117.83,"81,755,200"
"Jun 06, 2023",117.91,124.42,117.74,124.23,124.23,"75,257,500"
"Jun 05, 2023",116.59,119.32,116.42,117.93,117.93,"52,602,900"
"Jun 02, 2023",120.75,121.66,117.68,117.86,117.86,"52,331,100"
"Jun 01, 2023",117.29,121.28,116.60,119.47,119.47,"66,032,900"
"May 31, 2023",122.42,123.96,117.86,118.21,118.21,"87,552,200"
"May 30, 2023",130.42,130.79,123.51,125.27,125.27,"98,902,300"
"May 26, 2023",122.46,127.43,120.89,127.03,127.03,"92,922,800"
"May 25, 2023",117.31,120.69,115.80,120.35,120.35,"108,514,700"
"May 24, 2023",105.98,108.91,105.64,108.27,108.27,"65,910,500"
"May 23, 2023",107.25,110.99,107.19,108.12,108.12,"73,099,100"
"May 22, 2023",104.68,108.79,103.49,108.00,108.00,"65,424,200"
"May 19, 2023",106.36,107.29,104.62,105.82,105.82,"67,830,600"
"May 18, 2023",103.98,108.10,103.93,107.93,107.93,"74,338,700"
"May 17, 2023",101.79,104.14,100.05,103.75,103.75,"75,240,900"
"May 16, 2023",97.39,103.28,97.31,101.48,101.48,"90,622,900"
"May 15, 2023",95.20,97.43,93.45,97.40,97.40,"51,749,200"
"May 12, 2023",96.83,97.45,93.68,95.26,95.26,"53,790,400"
"May 11, 2023",98.16,99.19,96.14,97.10,97.10,"57,061,000"
"May 10, 2023",96.42,99.94,96.12,97.02,97.02,"95,619,500"
"May 09, 2023",94.89,96.16,93.43,95.06,95.06,"68,674,800"
"May 08, 2023",89.99,95.66,89.17,95.04,95.04,"95,503,200"
"May 05, 2023",84.99,90.43,84.72,89.84,89.84,"78,407,400"
"May 04, 2023",81.57,91.64,81.11,86.61,86.61,"122,840,500"
"May 03, 2023",83.54,85.48,81.02,81.62,81.62,"109,482,200"
"May 02, 2023",89.32,90.46,88.12,89.91,89.91,"70,483,500"
"May 01, 2023",91.03,91.04,88.61,89.69,89.69,"59,358,700"
"Apr 28, 2023",87.02,89.75,86.44,89.37,89.37,"50,652,100"
"Apr 27, 2023",86.41,87.57,84.09,87.44,87.44,"53,087,200"
"Apr 26, 2023",86.51,87.35,85.32,85.94,85.94,"47,786,600"
"Apr 25, 2023",86.90,87.06,83.76,83.80,83.80,"52,771,500"
"Apr 24, 2023",88.11,88.64,86.34,87.57,87.57,"40,423,800"
"Apr 21, 2023",89.80,89.80,88.06,88.43,88.43,"41,118,300"
"Apr 20, 2023",88.83,91.58,88.73,90.11,90.11,"47,082,700"
"Apr 19, 2023",88.51,90.54,88.22,89.94,89.94,"37,344,500"
"Apr 18, 2023",91.61,92.16,89.33,89.78,89.78,"46,246,300"
"Apr 17, 2023",90.23,90.69,88.30,89.87,89.87,"47,250,800"
"Apr 14, 2023",91.82,92.97,90.50,91.75,91.75,"38,734,800"
"Apr 13, 2023",92.79,93.16,91.83,92.09,92.09,"40,572,500"
"Apr 12, 2023",94.97,95.00,91.74,92.33,92.33,"53,383,100"
"Apr 11, 2023",96.06,96.07,92.69,94.03,94.03,"51,935,800"
"Apr 10, 2023",91.32,95.80,91.02,95.48,95.48,"52,536,300"
