Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",44.54,44.69,43.99,44.14,44.14,"12,055,800"
"Jun 29, 2023",44.20,44.51,43.61,43.79,43.79,"11,056,800"
"Jun 28, 2023",43.26,44.49,43.06,44.18,44.18,"12,814,200"
"Jun 27, 2023",42.30,43.47,42.06,43.32,43.32,"16,946,900"
"Jun 26, 2023",41.86,42.90,41.76,41.90,41.90,"9,556,700"
"Jun 23, 2023",41.93,42.43,41.51,42.14,42.14,"13,755,700"
"Jun 22, 2023",42.29,42.80,41.95,42.67,42.67,"10,918,900"
"Jun 21, 2023",44.30,44.33,42.48,42.66,42.66,"16,387,400"
"Jun 20, 2023",44.01,44.71,43.41,44.26,44.26,"10,835,300"
"Jun 16, 2023",44.95,45.00,44.08,44.31,44.31,"12,963,100"
"Jun 15, 2023",43.53,44.70,43.33,44.54,44.54,"16,791,500"
"Jun 14, 2023",44.35,44.65,43.15,44.07,44.07,"20,211,700"
"Jun 13, 2023",43.89,44.41,43.58,44.29,44.29,"18,559,100"
"Jun 12, 2023",42.76,43.54,42.53,43.28,43.28,"14,792,100"
"Jun 09, 2023",43.50,43.84,42.44,42.51,42.51,"16,319,700"
"Jun 08, 2023",42.09,42.74,41.91,42.68,42.68,"11,506,300"
"Jun 07, 2023",43.30,43.83,42.09,42.25,42.25,"21,574,800"
"Jun 06, 2023",41.39,42.78,41.03,42.68,42.68,"15,320,300"
"Jun 05, 2023",41.58,42.23,41.30,42.06,42.06,"14,419,900"
"Jun 02, 2023",41.71,42.03,40.85,41.62,41.62,"18,017,100"
"Jun 01, 2023",40.15,41.60,39.81,41.11,41.11,"14,767,400"
"May 31, 2023",39.52,40.49,39.35,40.49,40.49,"15,147,000"
"May 30, 2023",40.07,40.83,39.42,39.81,39.81,"20,511,900"
"May 26, 2023",38.41,39.66,38.38,39.10,39.10,"19,082,000"
"May 25, 2023",39.65,39.67,38.16,38.38,38.38,"17,870,500"
"May 24, 2023",39.13,39.66,38.75,39.46,39.46,"16,276,400"
"May 23, 2023",40.25,41.28,39.70,39.70,39.70,"23,436,000"
"May 22, 2023",38.86,40.76,38.73,40.58,40.58,"22,861,800"
"May 19, 2023",39.12,39.30,38.43,38.70,38.70,"15,045,800"
"May 18, 2023",38.55,39.23,38.33,39.12,39.12,"16,548,300"
"May 17, 2023",37.80,38.70,37.42,38.58,38.58,"13,639,000"
"May 16, 2023",38.12,38.17,37.47,37.62,37.62,"12,230,700"
"May 15, 2023",37.61,38.88,37.47,38.57,38.57,"11,591,400"
"May 12, 2023",38.89,38.96,37.50,37.68,37.68,"16,632,000"
"May 11, 2023",38.84,39.07,38.41,38.86,38.86,"11,655,600"
"May 10, 2023",38.93,39.43,38.44,38.79,38.79,"19,015,400"
"May 09, 2023",37.35,38.28,37.25,38.25,38.25,"8,955,100"
"May 08, 2023",37.44,37.88,36.97,37.82,37.82,"14,507,500"
"May 05, 2023",36.53,37.50,36.40,37.39,37.39,"18,035,900"
"May 04, 2023",35.10,35.90,34.97,35.74,35.74,"15,979,600"
"May 03, 2023",34.97,35.79,34.72,34.76,34.76,"22,461,400"
"May 02, 2023",35.56,35.71,34.83,34.90,34.90,"15,783,200"
"May 01, 2023",35.76,36.08,35.40,35.74,35.74,"13,656,900"
"Apr 28, 2023",35.52,36.15,34.97,35.92,35.92,"13,054,400"
"Apr 27, 2023",35.51,36.03,35.24,35.70,35.70,"13,178,100"
"Apr 26, 2023",36.45,36.49,35.09,35.22,35.22,"16,821,100"
"Apr 25, 2023",36.91,36.99,35.91,35.91,35.91,"15,152,500"
"Apr 24, 2023",37.58,37.90,36.58,37.12,37.12,"13,721,600"
"Apr 21, 2023",37.48,37.76,37.17,37.63,37.63,"14,707,800"
"Apr 20, 2023",38.01,38.43,37.34,37.39,37.39,"18,316,100"
"Apr 19, 2023",38.26,39.17,37.94,38.86,38.86,"13,336,400"
"Apr 18, 2023",39.43,39.49,38.68,38.89,38.89,"12,372,300"
"Apr 17, 2023",38.42,39.08,38.21,38.97,38.97,"11,363,800"
"Apr 14, 2023",39.00,39.42,38.32,38.79,38.79,"14,184,200"
"Apr 13, 2023",38.15,39.52,38.07,39.16,39.16,"19,604,700"
"Apr 12, 2023",39.62,39.84,37.61,37.65,37.65,"21,343,900"
"Apr 11, 2023",38.72,39.06,38.35,38.77,38.77,"14,171,000"
"Apr 10, 2023",37.91,38.53,37.55,38.53,38.53,"15,013,200"
"Apr 06, 2023",37.69,38.67,37.18,38.57,38.57,"17,005,200"
"Apr 05, 2023",39.06,39.10,37.60,37.97,37.97,"18,952,500"
"Apr 04, 2023",39.86,39.99,38.94,39.37,39.37,"15,160,000"
"Apr 03, 2023",39.78,40.02,38.75,39.58,39.58,"18,304,600"
"Mar 31, 2023",38.87,40.44,38.59,40.34,40.34,"26,759,800"
"Mar 30, 2023",39.24,39.39,38.31,38.48,38.48,"14,707,000"
"Mar 29, 2023",37.86,38.69,37.62,38.59,38.59,"19,295,200"
"Mar 28, 2023",37.61,37.84,36.96,37.19,37.19,"14,259,300"
"Mar 27, 2023",38.33,38.75,37.36,37.76,37.76,"18,408,700"
"Mar 24, 2023",37.38,37.97,37.02,37.73,37.73,"21,510,300"
"Mar 23, 2023",37.93,39.32,37.19,37.80,37.80,"33,756,800"
"Mar 22, 2023",40.41,40.45,38.37,38.39,38.39,"33,984,500"
"Mar 21, 2023",38.83,40.51,38.65,40.34,40.34,"28,736,400"
"Mar 20, 2023",38.61,38.84,37.65,38.22,38.22,"21,337,400"
"Mar 17, 2023",39.05,39.37,38.09,38.68,38.68,"28,008,200"
"Mar 16, 2023",38.53,39.49,37.92,39.24,39.24,"27,952,200"
"Mar 15, 2023",37.06,38.09,37.01,38.07,38.07,"38,618,400"
"Mar 14, 2023",38.19,38.48,37.26,37.77,37.77,"31,615,500"
"Mar 13, 2023",35.60,37.63,34.81,36.98,36.98,"58,533,200"
"Mar 10, 2023",36.94,37.27,35.27,36.02,36.02,"60,854,100"
"Mar 09, 2023",39.06,39.60,37.19,37.29,37.29,"26,786,400"
"Mar 08, 2023",38.91,39.27,38.24,38.91,38.91,"17,547,700"
"Mar 07, 2023",39.61,40.13,38.95,38.96,38.96,"26,274,200"
"Mar 06, 2023",40.67,40.98,39.61,39.62,39.62,"19,469,500"
"Mar 03, 2023",39.34,40.71,39.23,40.46,40.46,"19,546,300"
"Mar 02, 2023",37.89,39.31,37.62,39.18,39.18,"21,909,600"
"Mar 01, 2023",39.46,39.68,38.48,38.70,38.70,"23,423,300"
"Feb 28, 2023",38.99,40.07,38.99,39.62,39.62,"22,610,700"
"Feb 27, 2023",39.14,39.14,38.35,38.82,38.82,"19,750,200"
"Feb 24, 2023",38.54,38.95,38.05,38.44,38.44,"34,295,900"
"Feb 23, 2023",40.83,40.84,38.46,39.66,39.66,"35,070,500"
"Feb 22, 2023",39.61,40.45,39.17,40.27,40.27,"26,524,100"
"Feb 21, 2023",40.57,41.26,39.29,39.31,39.31,"37,059,600"
"Feb 17, 2023",41.67,41.99,40.73,41.86,41.86,"46,103,700"
"Feb 16, 2023",42.25,43.76,41.72,42.02,42.02,"41,612,400"
"Feb 15, 2023",41.03,43.24,40.97,43.22,43.22,"35,079,100"
"Feb 14, 2023",39.36,40.99,38.85,40.82,40.82,"33,658,600"
"Feb 13, 2023",39.28,40.14,38.57,39.82,39.82,"20,508,000"
"Feb 10, 2023",39.72,40.24,38.73,39.15,39.15,"32,604,500"
"Feb 09, 2023",42.54,42.68,40.23,40.50,40.50,"25,579,600"
