Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",92.35,92.69,92.34,92.53,92.53,"5,643,900"
"Jul 27, 2023",92.67,92.79,92.14,92.14,92.14,"9,448,800"
"Jul 26, 2023",92.66,92.92,92.48,92.67,92.67,"8,385,800"
"Jul 25, 2023",92.50,92.86,92.46,92.73,92.73,"6,541,500"
"Jul 24, 2023",91.93,92.60,91.85,92.55,92.55,"7,875,300"
"Jul 21, 2023",92.35,92.40,91.89,91.91,91.91,"12,924,300"
"Jul 20, 2023",92.10,92.56,92.09,92.29,92.29,"14,757,400"
"Jul 19, 2023",92.63,92.75,91.78,92.20,92.20,"40,003,000"
"Jul 18, 2023",92.53,93.01,92.21,92.74,92.74,"21,791,700"
"Jul 17, 2023",93.54,93.67,92.12,93.21,93.21,"40,278,500"
"Jul 14, 2023",91.10,91.50,89.74,90.07,90.07,"62,152,800"
"Jul 13, 2023",90.00,90.70,89.44,89.54,89.54,"22,036,100"
"Jul 12, 2023",90.05,90.71,89.05,90.00,90.00,"28,102,900"
"Jul 11, 2023",82.56,92.91,82.55,90.99,90.99,"77,867,500"
"Jul 10, 2023",82.76,83.23,82.62,82.70,82.70,"7,139,100"
"Jul 07, 2023",82.78,83.31,82.22,82.43,82.43,"4,817,500"
"Jul 06, 2023",82.40,82.92,81.99,82.70,82.70,"4,075,700"
"Jul 05, 2023",82.97,83.42,82.09,82.87,82.87,"5,180,000"
"Jul 03, 2023",83.92,84.20,83.18,83.34,83.34,"4,150,300"
"Jun 30, 2023",83.5,84.72,83.5,84.3,84.3,"6,877,600"
"Jun 29, 2023",83.09,85.01,82.39,83.08,83.08,"8,478,300"
"Jun 28, 2023",84.5,84.63,83.48,83.6,83.6,"6,878,300"
"Jun 27, 2023",83.25,84.62,83.22,84.13,84.13,"6,812,500"
"Jun 26, 2023",82.25,83.71,82.12,83.4,83.4,"7,870,600"
"Jun 23, 2023",82.04,82.4,81.62,81.9,81.9,"6,735,200"
"Jun 22, 2023",80.48,82.32,80.3,82.3,82.3,"4,877,700"
"Jun 21, 2023",81.65,81.84,80.83,80.94,80.94,"5,277,500"
"Jun 20, 2023",81.69,81.99,81.55,81.89,81.89,"5,246,100"
"Jun 16, 2023",81.35,82.22,80.94,81.97,81.97,"12,236,400"
"Jun 15, 2023",81.42,81.58,80.58,81.45,81.45,"7,096,700"
"Jun 14, 2023",81.27,81.77,80.95,81.23,81.23,"7,949,100"
"Jun 13, 2023",80.2,81.45,79.87,80.7,80.7,"8,293,000"
"Jun 12, 2023",80.38,80.4,79.7,79.77,79.77,"7,941,200"
"Jun 09, 2023",79.98,80.69,79.96,80.38,80.38,"5,824,000"
"Jun 08, 2023",80.51,80.76,79.88,80.02,80.02,"4,437,700"
"Jun 07, 2023",80.88,80.95,79.53,80.5,80.5,"5,516,700"
"Jun 06, 2023",81.0,81.05,80.46,80.88,80.88,"4,725,200"
"Jun 05, 2023",80.85,81.15,80.6,80.84,80.84,"4,068,200"
"Jun 02, 2023",80.24,80.63,79.83,80.5,80.5,"5,895,100"
"Jun 01, 2023",80.25,81.22,80.0,80.2,80.2,"8,707,800"
"May 31, 2023",80.1,80.81,79.68,80.2,80.2,"9,243,900"
"May 30, 2023",79.0,80.27,78.89,80.02,80.02,"8,191,000"
"May 26, 2023",77.35,78.79,77.02,78.66,78.66,"5,244,900"
"May 25, 2023",77.58,77.59,76.76,77.14,77.14,"6,823,500"
"May 24, 2023",79.05,79.39,77.77,77.81,77.81,"5,347,900"
"May 23, 2023",79.1,79.51,78.74,79.13,79.13,"5,284,000"
"May 22, 2023",78.71,79.35,78.59,79.06,79.06,"8,164,000"
"May 19, 2023",78.25,78.78,78.11,78.59,78.59,"6,296,100"
"May 18, 2023",78.0,78.35,77.52,78.19,78.19,"5,276,400"
"May 17, 2023",77.77,78.19,77.35,77.89,77.89,"4,644,300"
"May 16, 2023",77.71,78.04,77.15,77.78,77.78,"6,490,800"
"May 15, 2023",77.31,78.82,77.11,78.33,78.33,"12,994,900"
"May 12, 2023",76.6,78.18,76.6,77.37,77.37,"5,799,500"
"May 11, 2023",76.27,77.27,76.06,77.04,77.04,"6,943,000"
"May 10, 2023",76.6,76.65,75.5,76.0,76.0,"7,229,600"
"May 09, 2023",75.27,75.55,74.9,75.51,75.51,"4,752,600"
"May 08, 2023",75.68,76.05,75.44,75.55,75.55,"4,070,600"
"May 05, 2023",74.83,76.03,74.81,76.0,76.0,"5,202,400"
"May 04, 2023",74.9,74.93,73.61,74.59,74.59,"9,622,300"
"May 03, 2023",75.75,76.18,75.14,75.23,75.23,"5,609,700"
"May 02, 2023",77.04,77.1,75.51,76.0,76.0,"9,071,900"
"May 01, 2023",77.6,77.84,77.29,77.43,77.43,"5,703,500"
"Apr 28, 2023",77.66,77.89,76.94,77.71,77.71,"9,823,700"
