Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",868.52,874.57,864.33,867.43,867.43,"2,313,900"
"Jun 29, 2023",854.45,862.84,846.41,862.57,862.57,"2,338,600"
"Jun 28, 2023",838.73,858.53,837.06,847.94,847.94,"1,944,500"
"Jun 27, 2023",828.68,850.00,821.00,848.40,848.40,"2,492,300"
"Jun 26, 2023",825.00,837.00,820.22,821.63,821.63,"2,137,200"
"Jun 23, 2023",834.01,836.02,818.85,822.15,822.15,"3,740,700"
"Jun 22, 2023",845.09,848.91,835.31,842.43,842.43,"2,346,400"
"Jun 21, 2023",860.00,866.00,844.60,847.66,847.66,"2,322,900"
"Jun 20, 2023",862.66,877.07,861.01,868.03,863.43,"2,753,500"
"Jun 16, 2023",889.28,889.95,865.45,868.11,863.51,"6,829,200"
"Jun 15, 2023",884.41,887.97,871.02,883.43,878.75,"3,381,400"
"Jun 14, 2023",855.90,888.54,847.22,886.18,881.48,"4,352,400"
"Jun 13, 2023",861.13,863.26,841.00,851.12,846.61,"3,899,000"
"Jun 12, 2023",811.12,858.00,811.12,855.36,850.83,"5,106,500"
"Jun 09, 2023",805.80,817.75,803.88,804.62,800.36,"1,924,100"
"Jun 08, 2023",794.91,805.01,788.78,804.20,799.94,"2,190,900"
"Jun 07, 2023",789.82,805.45,787.51,792.63,788.43,"2,895,700"
"Jun 06, 2023",802.00,802.00,776.38,790.00,785.81,"3,782,300"
"Jun 05, 2023",809.20,809.20,794.48,802.30,798.05,"2,622,200"
"Jun 02, 2023",790.64,823.77,787.20,812.00,807.70,"6,279,700"
"Jun 01, 2023",800.62,805.79,785.16,789.95,785.76,"8,079,200"
"May 31, 2023",794.90,821.67,790.13,807.96,803.68,"8,999,800"
"May 30, 2023",835.12,921.78,798.81,803.34,799.08,"11,691,200"
"May 26, 2023",747.43,814.98,747.02,812.73,808.42,"8,250,000"
"May 25, 2023",699.41,732.39,690.77,728.80,724.94,"4,926,300"
"May 24, 2023",681.44,684.31,676.06,679.53,675.93,"2,302,100"
"May 23, 2023",690.64,698.99,682.02,686.50,682.86,"3,608,800"
"May 22, 2023",681.40,684.68,674.12,678.37,674.78,"1,779,600"
"May 19, 2023",680.00,684.95,678.41,682.25,678.63,"2,296,400"
"May 18, 2023",656.00,679.36,656.00,677.90,674.31,"2,638,900"
"May 17, 2023",647.35,660.90,644.58,657.47,653.99,"2,413,300"
"May 16, 2023",640.46,646.91,638.73,641.44,638.04,"1,496,700"
"May 15, 2023",631.87,640.02,628.47,639.80,636.41,"1,461,400"
"May 12, 2023",628.38,632.70,624.21,631.15,627.81,"1,194,200"
"May 11, 2023",626.58,628.48,617.99,627.67,624.34,"1,443,000"
"May 10, 2023",622.06,628.00,618.27,626.27,622.95,"1,917,400"
"May 09, 2023",622.73,624.07,615.86,618.51,615.23,"1,699,000"
"May 08, 2023",629.78,630.73,620.58,629.06,625.73,"1,393,400"
"May 05, 2023",615.95,631.47,613.37,630.12,626.78,"2,486,400"
"May 04, 2023",610.00,613.96,601.29,610.16,606.93,"1,768,400"
"May 03, 2023",616.90,621.95,612.40,613.20,609.95,"1,981,600"
"May 02, 2023",625.76,626.50,605.02,612.34,609.10,"2,835,700"
"May 01, 2023",626.50,638.99,626.20,637.95,634.57,"1,703,000"
"Apr 28, 2023",619.07,626.78,614.56,626.50,623.18,"1,618,300"
"Apr 27, 2023",616.19,620.09,603.23,618.41,615.13,"1,825,000"
"Apr 26, 2023",619.97,623.13,613.51,616.19,612.92,"1,717,900"
"Apr 25, 2023",633.99,635.99,621.74,622.02,618.72,"2,367,000"
"Apr 24, 2023",633.64,638.85,631.79,634.54,631.18,"1,233,800"
"Apr 21, 2023",630.60,633.80,621.99,632.90,629.55,"1,480,700"
"Apr 20, 2023",627.86,642.73,627.14,633.02,629.67,"2,023,900"
"Apr 19, 2023",626.79,636.79,625.55,634.50,631.14,"1,906,000"
"Apr 18, 2023",631.62,635.50,627.13,632.32,628.97,"1,680,600"
"Apr 17, 2023",618.61,628.34,617.81,627.36,624.04,"1,320,100"
"Apr 14, 2023",620.48,628.03,615.21,619.54,616.26,"1,746,500"
"Apr 13, 2023",619.07,626.50,617.11,624.24,620.93,"1,726,500"
"Apr 12, 2023",627.34,627.52,616.26,616.70,613.43,"1,411,200"
"Apr 11, 2023",630.78,630.88,620.82,621.57,618.28,"1,651,800"
"Apr 10, 2023",618.05,627.87,616.45,627.39,624.07,"1,540,000"
