Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",71.39,71.87,70.94,71.33,71.33,"7,621,000"
"Jul 27, 2023",68.73,69.11,68.11,68.14,68.14,"5,257,400"
"Jul 26, 2023",68.46,69.54,68.27,69.38,69.38,"4,678,800"
"Jul 25, 2023",68.19,69.26,68.16,69.20,69.20,"4,214,000"
"Jul 24, 2023",68.96,69.23,68.79,68.92,68.92,"3,608,200"
"Jul 21, 2023",68.61,69.65,68.61,69.34,69.34,"8,774,600"
"Jul 20, 2023",68.42,68.88,68.40,68.56,68.56,"7,134,100"
"Jul 19, 2023",67.77,68.28,67.55,67.55,67.55,"8,437,400"
"Jul 18, 2023",66.94,67.31,66.58,66.77,66.77,"8,914,700"
"Jul 17, 2023",66.83,67.15,66.59,67.05,67.05,"3,472,300"
"Jul 14, 2023",68.92,68.92,67.25,67.38,67.38,"7,557,100"
"Jul 13, 2023",67.45,67.80,67.35,67.71,67.71,"7,068,600"
"Jul 12, 2023",65.63,66.72,65.53,66.47,66.47,"8,746,500"
"Jul 11, 2023",65.01,65.17,64.73,64.86,64.86,"6,478,400"
"Jul 10, 2023",64.97,65.49,64.88,65.19,65.19,"4,403,900"
"Jul 07, 2023",65.33,65.51,64.55,64.85,64.85,"5,210,700"
"Jul 06, 2023",66.15,66.28,65.32,65.41,65.41,"6,023,000"
"Jul 05, 2023",66.86,67.65,66.51,67.06,67.06,"13,544,800"
"Jul 03, 2023",67.09,67.31,65.13,65.25,65.25,"16,349,800"
"Jun 30, 2023",71.76,71.9,71.47,71.57,71.57,"4,778,300"
"Jun 29, 2023",70.37,71.0,70.13,70.85,70.85,"3,315,400"
"Jun 28, 2023",71.46,71.55,70.84,70.96,70.96,"3,398,800"
"Jun 27, 2023",71.58,71.88,71.1,71.67,71.67,"3,587,900"
"Jun 26, 2023",72.31,72.33,71.39,71.73,71.73,"4,139,500"
"Jun 23, 2023",72.6,73.32,72.0,72.12,72.12,"5,922,000"
"Jun 22, 2023",73.24,74.11,73.18,73.95,73.95,"5,372,100"
"Jun 21, 2023",73.44,73.88,73.11,73.38,73.38,"4,400,200"
"Jun 20, 2023",74.5,74.63,73.94,73.95,73.95,"3,551,600"
"Jun 16, 2023",75.42,75.75,75.18,75.22,75.22,"4,899,800"
"Jun 15, 2023",74.0,74.74,73.58,74.62,74.62,"4,450,500"
"Jun 14, 2023",73.75,73.96,72.52,72.77,72.77,"3,820,900"
"Jun 13, 2023",73.95,74.48,73.82,74.13,74.13,"5,108,400"
"Jun 12, 2023",73.64,74.05,73.44,73.85,73.85,"6,950,900"
"Jun 09, 2023",73.93,74.29,73.56,74.06,74.06,"3,797,800"
"Jun 08, 2023",73.14,74.47,73.03,74.25,74.25,"3,584,800"
"Jun 07, 2023",73.89,73.89,72.8,73.31,73.31,"5,477,200"
"Jun 06, 2023",73.78,73.98,73.03,73.4,73.4,"4,716,500"
"Jun 05, 2023",72.87,73.44,72.56,73.2,73.2,"4,444,600"
"Jun 02, 2023",72.92,73.42,72.57,72.59,72.59,"8,040,700"
"Jun 01, 2023",72.28,73.13,71.89,72.84,72.84,"3,298,700"
"May 31, 2023",72.34,73.24,71.75,73.08,73.08,"4,819,400"
"May 30, 2023",72.84,72.86,71.23,71.43,71.43,"4,071,400"
"May 26, 2023",72.55,72.9,72.31,72.52,72.52,"3,480,500"
"May 25, 2023",72.04,72.18,71.44,71.79,71.79,"4,390,300"
"May 24, 2023",72.92,73.1,72.37,72.4,72.4,"6,400,800"
"May 23, 2023",75.17,75.17,74.01,74.07,74.07,"3,991,400"
"May 22, 2023",74.79,75.32,74.31,74.45,74.45,"2,983,300"
"May 19, 2023",74.36,75.3,74.27,74.79,74.79,"3,170,900"
"May 18, 2023",74.91,75.15,73.89,74.21,74.21,"4,144,900"
"May 17, 2023",75.33,75.35,73.95,74.7,74.7,"3,569,400"
"May 16, 2023",75.32,75.66,75.03,75.28,75.28,"2,763,300"
"May 15, 2023",75.19,75.22,74.79,74.99,74.99,"2,442,500"
"May 12, 2023",74.95,75.56,74.54,74.73,74.73,"2,501,500"
"May 11, 2023",74.63,74.81,74.24,74.73,74.73,"2,234,100"
"May 10, 2023",74.68,75.06,74.3,74.87,74.87,"3,283,700"
"May 09, 2023",74.72,75.31,74.72,75.08,75.08,"2,756,100"
"May 08, 2023",75.29,75.62,75.02,75.33,75.33,"2,126,200"
"May 05, 2023",74.36,75.49,74.13,75.27,75.27,"3,407,900"
"May 04, 2023",74.47,74.62,74.13,74.38,74.38,"3,047,400"
"May 03, 2023",74.25,74.98,74.08,74.59,74.59,"3,555,100"
"May 02, 2023",72.98,73.78,72.98,73.7,73.7,"3,663,000"
"May 01, 2023",73.35,73.77,72.87,73.5,73.5,"2,606,900"
"Apr 28, 2023",73.02,73.76,72.83,73.22,73.22,"4,254,700"
"Apr 27, 2023",73.55,73.96,73.14,73.78,73.78,"4,697,000"
"Apr 26, 2023",75.23,75.23,73.45,73.65,73.65,"5,122,700"
"Apr 25, 2023",76.5,76.56,75.66,75.66,75.66,"4,472,400"
"Apr 24, 2023",75.69,75.83,75.35,75.81,75.81,"3,095,900"
"Apr 21, 2023",75.61,75.91,75.33,75.6,75.6,"5,100,200"
"Apr 20, 2023",74.88,74.96,74.36,74.53,74.53,"3,913,700"
"Apr 19, 2023",74.55,74.9,74.41,74.84,74.84,"4,488,300"
"Apr 18, 2023",75.36,75.83,74.47,75.02,75.02,"7,565,700"
"Apr 17, 2023",73.76,73.82,73.01,73.63,73.63,"4,408,700"
"Apr 14, 2023",74.33,74.47,73.57,73.86,73.86,"3,981,400"
"Apr 13, 2023",74.05,74.83,74.02,74.77,74.77,"3,794,200"
"Apr 12, 2023",73.6,74.12,73.26,73.76,73.76,"4,320,400"
"Apr 11, 2023",72.4,72.5,72.07,72.18,72.18,"2,931,200"
"Apr 10, 2023",72.2,72.2,71.17,72.07,72.07,"2,778,100"
"Apr 06, 2023",72.41,72.79,72.19,72.34,72.34,"4,340,100"
"Apr 05, 2023",72.0,72.48,71.8,72.05,72.05,"5,873,200"
"Apr 04, 2023",69.98,70.57,69.81,70.25,70.25,"4,383,400"
"Apr 03, 2023",69.53,69.95,69.36,69.91,69.91,"4,749,200"
"Mar 31, 2023",69.88,69.93,69.24,69.41,69.41,"3,500,300"
"Mar 30, 2023",69.05,69.22,68.63,69.2,69.2,"4,648,100"
"Mar 29, 2023",68.84,68.86,68.31,68.64,68.64,"4,330,300"
"Mar 28, 2023",69.15,69.2,68.36,68.6,68.6,"4,132,800"
"Mar 27, 2023",68.9,69.27,68.61,68.73,68.73,"5,752,800"
"Mar 24, 2023",67.73,68.0,67.08,67.91,67.91,"4,014,700"
"Mar 23, 2023",67.61,67.84,66.92,67.26,67.26,"4,311,700"
"Mar 22, 2023",66.72,67.38,66.55,66.57,66.57,"4,168,000"
"Mar 21, 2023",66.56,67.06,66.41,66.99,66.99,"3,489,600"
"Mar 20, 2023",65.92,66.77,65.79,66.74,66.74,"3,991,600"
"Mar 17, 2023",65.58,65.84,65.33,65.61,65.61,"5,402,800"
"Mar 16, 2023",64.81,66.02,64.41,65.98,65.98,"4,589,200"
"Mar 15, 2023",64.63,64.73,63.89,64.58,64.58,"5,266,700"
"Mar 14, 2023",64.79,65.13,64.47,65.09,65.09,"4,896,500"
"Mar 13, 2023",64.98,65.8,64.79,65.18,65.18,"8,166,700"
"Mar 10, 2023",63.93,64.84,63.92,64.19,64.19,"5,738,600"
"Mar 09, 2023",64.97,65.01,63.97,64.1,64.1,"2,952,100"
"Mar 08, 2023",64.43,64.51,63.77,64.12,64.12,"3,157,300"
"Mar 07, 2023",65.14,65.32,64.1,64.29,64.29,"3,303,600"
"Mar 06, 2023",64.54,64.92,64.39,64.56,64.56,"3,501,200"
"Mar 03, 2023",64.7,65.22,64.58,65.2,65.2,"3,772,300"
"Mar 02, 2023",64.28,65.14,64.25,65.1,65.1,"3,353,700"
"Mar 01, 2023",65.16,65.33,64.71,65.21,65.21,"3,421,900"
"Feb 28, 2023",65.7,66.08,65.13,65.18,65.18,"4,285,100"
"Feb 27, 2023",66.9,67.07,66.53,66.8,66.8,"3,682,600"
"Feb 24, 2023",66.74,66.85,66.08,66.37,66.37,"4,530,000"
"Feb 23, 2023",67.6,67.89,67.1,67.4,67.4,"3,657,900"
"Feb 22, 2023",69.62,69.65,68.72,68.85,67.86,"3,614,000"
"Feb 21, 2023",70.27,70.27,69.41,69.59,68.59,"5,353,800"
"Feb 17, 2023",68.24,69.24,68.08,68.97,67.98,"3,553,100"
"Feb 16, 2023",67.84,68.67,67.68,67.95,66.98,"4,774,400"
"Feb 15, 2023",69.44,69.83,69.27,69.69,68.69,"4,345,300"
"Feb 14, 2023",69.92,70.58,69.8,70.34,69.33,"4,963,000"
"Feb 13, 2023",68.53,69.77,68.5,69.71,68.71,"5,003,600"
"Feb 10, 2023",68.61,69.0,68.21,68.88,67.89,"5,918,200"
"Feb 09, 2023",68.31,68.59,67.28,67.42,66.46,"8,368,000"
"Feb 08, 2023",65.27,65.28,64.2,64.36,63.44,"5,036,800"
"Feb 07, 2023",63.26,64.4,63.19,64.29,63.37,"4,650,200"
"Feb 06, 2023",63.58,63.85,63.21,63.52,62.61,"4,697,400"
"Feb 03, 2023",63.65,64.09,63.2,63.44,62.53,"4,831,700"
"Feb 02, 2023",63.36,63.39,62.52,63.15,62.25,"8,794,100"
"Feb 01, 2023",64.44,64.47,62.82,63.56,62.65,"9,538,000"
"Jan 31, 2023",65.04,65.38,64.85,65.37,64.43,"5,772,700"
"Jan 30, 2023",66.38,66.42,65.72,65.84,64.9,"5,170,200"
"Jan 27, 2023",65.4,65.78,65.19,65.53,64.59,"3,176,200"
"Jan 26, 2023",66.85,66.85,65.64,65.99,65.05,"5,458,400"
"Jan 25, 2023",65.84,66.91,65.84,66.63,65.68,"5,314,200"
"Jan 24, 2023",66.15,66.37,65.52,66.28,65.33,"10,867,200"
"Jan 23, 2023",68.71,69.1,67.56,67.61,66.64,"7,858,100"
"Jan 20, 2023",69.51,69.63,68.58,69.15,68.16,"9,748,100"
"Jan 19, 2023",70.58,70.96,70.27,70.49,69.48,"7,277,200"
"Jan 18, 2023",71.7,71.94,70.83,70.89,69.88,"6,561,600"
"Jan 17, 2023",71.62,71.64,70.64,70.74,69.73,"3,992,200"
"Jan 13, 2023",70.97,71.53,70.76,71.08,70.06,"4,036,800"
"Jan 12, 2023",69.82,70.37,68.43,70.08,69.08,"6,749,700"
"Jan 11, 2023",71.36,71.46,70.44,70.45,69.44,"5,861,400"
"Jan 10, 2023",71.68,72.12,71.42,71.6,70.58,"4,800,400"
"Jan 09, 2023",71.05,71.66,70.72,70.9,69.89,"6,586,400"
"Jan 06, 2023",69.85,71.19,69.61,70.8,69.79,"7,341,500"
"Jan 05, 2023",69.16,70.3,68.89,69.81,68.81,"5,020,200"
"Jan 04, 2023",70.49,70.59,69.12,69.5,68.51,"4,936,300"
"Jan 03, 2023",68.65,69.43,68.6,69.33,68.34,"3,473,900"
"Dec 30, 2022",67.79,68.05,67.13,67.8,66.83,"3,605,400"
"Dec 29, 2022",68.16,68.47,68.03,68.1,67.13,"2,579,000"
"Dec 28, 2022",67.84,68.28,67.51,67.56,66.59,"2,299,400"
"Dec 27, 2022",68.5,68.55,67.72,67.93,66.96,"2,089,000"
"Dec 23, 2022",67.59,67.99,67.46,67.98,67.01,"2,322,600"
"Dec 22, 2022",67.87,68.09,67.44,68.08,67.11,"2,492,800"
"Dec 21, 2022",67.3,68.17,67.16,67.9,66.93,"2,855,200"
"Dec 20, 2022",67.37,67.8,67.14,67.72,66.75,"2,486,500"
"Dec 19, 2022",67.89,67.9,67.19,67.47,66.5,"3,774,900"
"Dec 16, 2022",67.96,68.26,67.66,67.94,66.97,"6,391,300"
"Dec 15, 2022",70.03,70.11,69.24,69.74,68.74,"4,669,400"
"Dec 14, 2022",70.11,70.84,69.68,70.44,69.43,"4,356,500"
"Dec 13, 2022",70.24,70.71,69.38,69.58,68.58,"5,187,900"
"Dec 12, 2022",69.52,69.69,69.17,69.28,68.29,"4,146,700"
"Dec 09, 2022",69.72,70.0,69.42,69.55,68.55,"4,488,600"
"Dec 08, 2022",68.94,69.47,68.83,69.17,68.18,"2,915,600"
"Dec 07, 2022",68.87,69.31,68.38,68.85,67.86,"4,367,200"
"Dec 06, 2022",68.09,69.17,67.81,68.56,67.58,"7,135,100"
"Dec 05, 2022",68.6,68.97,68.29,68.42,67.44,"4,159,400"
"Dec 02, 2022",68.18,68.72,68.04,68.47,67.49,"3,559,400"
"Dec 01, 2022",68.5,68.8,68.28,68.34,67.36,"3,957,800"
"Nov 30, 2022",67.34,67.99,66.39,67.97,67.0,"5,638,700"
"Nov 29, 2022",66.35,66.46,65.88,66.08,65.13,"3,365,000"
"Nov 28, 2022",66.25,66.9,66.16,66.21,65.26,"2,892,100"
"Nov 25, 2022",65.93,66.34,65.72,66.17,65.22,"1,861,300"
"Nov 23, 2022",66.27,66.43,65.79,66.12,65.17,"3,323,200"
"Nov 22, 2022",65.22,66.09,65.2,66.0,65.06,"4,170,000"
"Nov 21, 2022",65.51,65.74,65.13,65.43,64.49,"4,205,300"
"Nov 18, 2022",65.21,65.29,64.56,65.07,64.14,"6,118,400"
"Nov 17, 2022",63.39,64.2,63.25,64.06,63.14,"6,089,600"
"Nov 16, 2022",64.12,64.3,63.47,63.8,62.89,"3,730,500"
"Nov 15, 2022",64.58,64.81,63.05,63.95,63.04,"7,666,300"
"Nov 14, 2022",63.96,64.52,63.54,63.91,63.0,"5,109,600"
"Nov 11, 2022",63.77,63.94,61.94,62.77,61.87,"8,524,100"
"Nov 10, 2022",65.37,65.92,64.19,65.09,64.16,"11,616,500"
"Nov 09, 2022",61.31,61.89,60.96,61.05,60.18,"5,569,900"
"Nov 08, 2022",61.22,61.81,60.98,61.33,60.45,"5,078,100"
"Nov 07, 2022",61.06,61.36,60.8,61.1,60.23,"5,171,400"
"Nov 04, 2022",60.36,61.14,60.14,60.99,60.12,"5,392,700"
"Nov 03, 2022",58.92,60.09,58.86,59.93,59.07,"4,552,300"
"Nov 02, 2022",60.3,61.3,59.69,59.7,58.85,"6,055,800"
"Nov 01, 2022",59.9,60.02,58.96,59.85,58.99,"5,388,900"
"Oct 31, 2022",58.37,59.34,58.36,58.81,57.97,"6,113,600"
"Oct 28, 2022",58.4,58.85,58.0,58.71,57.87,"5,177,600"
"Oct 27, 2022",57.68,58.01,57.41,57.61,56.79,"3,482,900"
"Oct 26, 2022",57.51,58.33,57.42,57.96,57.13,"7,632,200"
"Oct 25, 2022",55.72,56.22,55.5,55.9,55.1,"5,842,200"
"Oct 24, 2022",55.06,55.68,55.0,55.18,54.39,"4,494,500"
"Oct 21, 2022",53.99,55.07,53.78,54.97,54.18,"4,018,100"
"Oct 20, 2022",53.67,54.78,53.52,54.35,53.57,"5,798,800"
"Oct 19, 2022",55.94,56.01,54.35,54.51,53.73,"6,240,900"
"Oct 18, 2022",56.56,56.59,55.63,55.97,55.17,"4,477,800"
"Oct 17, 2022",56.51,56.74,56.11,56.18,55.38,"4,686,300"
"Oct 14, 2022",56.21,56.5,54.82,54.97,54.18,"7,466,400"
"Oct 13, 2022",54.18,55.98,53.99,55.53,54.74,"6,536,600"
"Oct 12, 2022",54.93,55.45,54.71,55.07,54.28,"6,166,500"
"Oct 11, 2022",54.34,56.4,54.13,55.3,54.51,"10,179,300"
"Oct 10, 2022",54.88,54.98,54.17,54.21,53.43,"6,221,500"
"Oct 07, 2022",55.76,56.2,55.21,55.4,54.61,"8,216,200"
