Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",236.12,240.13,235.70,238.69,238.69,"7,054,600"
"Jul 27, 2023",235.25,238.67,231.83,233.75,233.75,"12,018,300"
"Jul 26, 2023",222.16,233.09,221.77,232.80,232.80,"24,923,800"
"Jul 25, 2023",214.20,214.82,210.81,214.12,214.12,"6,513,300"
"Jul 24, 2023",212.06,215.94,211.46,215.87,215.87,"4,898,300"
"Jul 21, 2023",213.89,215.60,211.64,211.80,211.80,"4,053,200"
"Jul 20, 2023",208.83,215.10,208.80,213.61,213.61,"5,782,200"
"Jul 19, 2023",211.12,211.87,208.24,208.60,208.60,"4,814,100"
"Jul 18, 2023",211.00,213.04,209.57,211.57,211.57,"5,895,800"
"Jul 17, 2023",212.50,214.23,211.74,211.87,211.87,"3,621,500"
"Jul 14, 2023",217.00,217.02,212.81,213.12,213.12,"4,287,900"
"Jul 13, 2023",218.13,218.90,216.30,216.85,216.85,"4,291,700"
"Jul 12, 2023",219.51,221.56,216.92,217.11,217.11,"5,123,200"
"Jul 11, 2023",212.92,218.98,211.35,218.76,218.76,"7,458,400"
"Jul 10, 2023",211.84,213.59,211.22,213.31,213.31,"3,497,100"
"Jul 07, 2023",212.94,215.66,211.83,212.10,212.10,"4,891,200"
"Jul 06, 2023",212.48,213.61,209.58,212.62,212.62,"4,674,700"
"Jul 05, 2023",210.00,214.28,207.89,213.31,213.31,"4,921,000"
"Jul 03, 2023",210.50,212.17,210.24,210.92,210.92,"2,143,000"
"Jun 30, 2023",213.14,213.24,209.38,211.16,211.16,"5,484,100"
"Jun 29, 2023",211.12,213.22,210.23,211.83,211.83,"3,443,600"
"Jun 28, 2023",211.21,212.19,209.45,210.72,210.72,"4,276,100"
"Jun 27, 2023",206.15,209.66,206.08,209.43,209.43,"4,465,500"
"Jun 26, 2023",206.11,207.09,204.66,205.58,205.58,"3,444,900"
"Jun 23, 2023",204.02,205.61,202.55,205.41,205.41,"6,334,300"
"Jun 22, 2023",205.61,208.5,203.65,205.61,205.61,"7,057,500"
"Jun 21, 2023",211.83,212.99,209.39,212.08,212.08,"5,356,400"
"Jun 20, 2023",218.89,219.29,211.88,212.37,212.37,"8,226,400"
"Jun 16, 2023",220.72,223.87,218.98,219.99,219.99,"7,799,500"
"Jun 15, 2023",217.17,220.61,215.31,219.41,219.41,"5,001,400"
"Jun 14, 2023",221.4,221.59,216.03,216.9,216.9,"5,629,100"
"Jun 13, 2023",222.35,223.12,219.35,220.38,220.38,"5,881,000"
"Jun 12, 2023",217.16,223.91,216.63,221.56,221.56,"8,065,400"
"Jun 09, 2023",217.99,219.16,215.69,217.31,217.31,"5,297,800"
"Jun 08, 2023",212.34,220.0,212.05,218.11,218.11,"9,359,300"
"Jun 07, 2023",207.99,212.38,207.2,211.93,211.93,"6,462,400"
"Jun 06, 2023",208.37,211.68,200.61,207.29,207.29,"10,957,200"
"Jun 05, 2023",213.28,213.28,207.5,208.78,208.78,"4,996,800"
"Jun 02, 2023",210.0,215.24,210.0,213.32,213.32,"7,482,300"
"Jun 01, 2023",206.46,210.23,206.0,207.96,207.96,"5,125,100"
"May 31, 2023",203.5,206.19,200.91,205.7,205.7,"5,461,600"
"May 30, 2023",204.09,207.8,203.31,204.69,204.69,"3,978,200"
"May 26, 2023",201.6,204.8,201.18,203.63,203.63,"3,820,300"
"May 25, 2023",199.99,201.75,196.6,200.87,200.87,"3,909,200"
"May 24, 2023",201.32,201.32,197.5,199.27,199.27,"4,371,600"
"May 23, 2023",204.58,207.49,202.45,202.6,202.6,"4,011,100"
"May 22, 2023",205.51,206.98,203.9,205.91,205.91,"3,094,300"
"May 19, 2023",208.11,208.37,204.63,205.49,205.49,"3,891,500"
"May 18, 2023",206.45,208.17,204.01,207.24,207.24,"4,349,700"
"May 17, 2023",202.71,208.58,202.71,206.87,206.87,"6,641,900"
"May 16, 2023",201.82,202.36,199.94,200.87,200.87,"3,012,100"
