Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",83.23,84.23,83.01,83.35,83.35,"12,154,300"
"Jun 29, 2023",83.39,83.99,83.00,83.55,83.55,"13,362,500"
"Jun 28, 2023",85.75,85.75,84.38,84.59,84.59,"14,113,800"
"Jun 27, 2023",86.82,87.61,86.71,87.13,87.13,"13,994,500"
"Jun 26, 2023",85.32,86.71,85.21,85.47,85.47,"10,808,700"
"Jun 23, 2023",85.81,85.94,84.37,84.92,84.92,"14,830,800"
"Jun 22, 2023",86.78,87.32,85.32,86.89,86.89,"10,272,700"
"Jun 21, 2023",87.38,89.16,86.62,86.77,86.77,"15,159,900"
"Jun 20, 2023",89.83,90.20,87.32,87.93,87.93,"23,382,900"
"Jun 16, 2023",94.00,94.29,91.52,92.10,92.10,"25,048,200"
"Jun 15, 2023",91.46,92.77,90.60,92.20,92.20,"26,570,500"
"Jun 14, 2023",87.97,90.12,87.71,89.36,89.36,"21,519,300"
"Jun 13, 2023",87.96,89.22,87.25,87.51,87.51,"16,814,100"
"Jun 12, 2023",86.01,87.29,85.63,85.86,85.86,"11,559,000"
"Jun 09, 2023",86.06,86.84,85.07,85.50,85.50,"12,882,700"
"Jun 08, 2023",85.17,86.95,85.17,86.14,86.14,"11,281,000"
"Jun 07, 2023",85.72,86.95,85.09,85.28,85.28,"12,886,700"
"Jun 06, 2023",83.50,87.06,83.37,86.70,86.70,"18,452,000"
"Jun 05, 2023",83.99,84.57,83.24,84.40,84.40,"8,204,000"
"Jun 02, 2023",85.08,86.03,84.14,84.27,84.27,"17,574,200"
"Jun 01, 2023",79.35,84.00,79.35,83.00,83.00,"23,217,600"
"May 31, 2023",79.58,79.67,77.77,79.55,79.55,"16,206,300"
"May 30, 2023",80.12,80.70,78.17,78.67,78.67,"21,209,600"
"May 26, 2023",79.90,81.57,78.40,80.97,80.97,"16,399,200"
"May 25, 2023",80.59,80.71,78.12,78.78,78.78,"21,811,600"
"May 24, 2023",82.17,82.60,80.88,81.21,81.21,"17,045,800"
"May 23, 2023",84.16,84.97,82.70,82.88,82.88,"19,917,800"
"May 22, 2023",85.67,87.48,85.65,86.10,86.10,"16,951,300"
"May 19, 2023",83.85,85.20,83.48,83.98,83.98,"21,538,500"
"May 18, 2023",90.81,91.00,85.00,85.77,85.77,"60,258,600"
"May 17, 2023",88.46,91.43,88.01,90.68,90.68,"27,670,700"
"May 16, 2023",87.11,89.37,87.06,88.76,88.76,"18,177,900"
"May 15, 2023",87.13,88.40,85.83,88.34,88.34,"23,691,200"
"May 12, 2023",86.71,86.71,84.76,85.34,85.34,"19,031,400"
"May 11, 2023",85.43,88.48,84.82,87.89,87.89,"28,104,200"
"May 10, 2023",82.14,84.50,81.77,82.95,82.95,"16,868,100"
"May 09, 2023",80.54,82.66,80.15,82.22,82.22,"13,457,400"
"May 08, 2023",83.63,83.70,82.34,83.31,83.31,"17,392,900"
"May 05, 2023",82.75,83.38,82.03,83.22,83.22,"17,500,600"
"May 04, 2023",82.39,83.13,81.80,82.49,82.49,"23,773,800"
"May 03, 2023",81.31,82.00,80.49,81.48,81.48,"17,759,400"
"May 02, 2023",83.15,83.28,80.65,81.53,81.53,"20,689,500"
"May 01, 2023",84.15,85.28,83.77,84.16,84.16,"12,909,200"
"Apr 28, 2023",84.18,85.08,83.87,84.69,84.69,"18,109,300"
"Apr 27, 2023",83.07,84.64,82.64,84.47,84.47,"24,506,800"
"Apr 26, 2023",85.04,85.22,82.76,82.82,82.82,"24,983,000"
"Apr 25, 2023",85.32,85.70,82.21,82.92,82.92,"36,441,300"
"Apr 24, 2023",88.40,88.48,86.04,86.89,86.89,"22,757,100"
"Apr 21, 2023",89.96,90.19,88.30,89.13,89.13,"23,097,300"
"Apr 20, 2023",93.35,93.79,90.05,90.74,90.74,"25,533,900"
"Apr 19, 2023",94.60,94.82,92.95,93.49,93.49,"18,985,200"
"Apr 18, 2023",99.02,99.17,95.18,95.49,95.49,"20,672,300"
"Apr 17, 2023",96.74,97.23,95.49,96.42,96.42,"15,714,100"
"Apr 14, 2023",95.63,96.12,93.84,94.55,94.55,"14,098,700"
"Apr 13, 2023",95.88,97.19,95.10,96.17,96.17,"24,231,700"
"Apr 12, 2023",97.82,98.89,93.58,93.84,93.84,"35,516,000"
"Apr 11, 2023",102.46,102.54,99.20,99.76,99.76,"19,017,700"
"Apr 10, 2023",100.62,102.83,100.59,101.54,101.54,"16,308,300"
