Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",28.94,29.11,28.67,28.69,28.69,"50,370,700"
"Jun 29, 2023",28.50,29.00,28.40,28.66,28.66,"68,376,400"
"Jun 28, 2023",28.25,28.27,27.90,28.07,28.07,"37,803,800"
"Jun 27, 2023",28.10,28.40,27.95,28.24,28.24,"39,081,800"
"Jun 26, 2023",27.80,28.28,27.79,28.09,28.09,"47,519,300"
"Jun 23, 2023",27.74,27.89,27.59,27.75,27.75,"54,998,400"
"Jun 22, 2023",28.50,28.53,27.90,27.96,27.96,"50,742,900"
"Jun 21, 2023",28.78,29.00,28.54,28.57,28.57,"39,553,400"
"Jun 20, 2023",29.01,29.04,28.58,28.87,28.87,"39,040,900"
"Jun 16, 2023",29.53,29.68,29.16,29.19,29.19,"53,028,200"
"Jun 15, 2023",28.90,29.47,28.69,29.37,29.37,"42,044,900"
"Jun 14, 2023",29.57,29.73,28.99,29.12,29.12,"38,322,800"
"Jun 13, 2023",29.13,29.80,29.03,29.40,29.40,"42,718,800"
"Jun 12, 2023",29.30,29.56,28.91,29.13,29.13,"41,011,300"
"Jun 09, 2023",29.20,29.40,29.08,29.27,29.27,"32,671,800"
"Jun 08, 2023",29.28,29.38,28.99,29.23,29.23,"41,483,100"
"Jun 07, 2023",29.30,29.65,29.01,29.48,29.48,"44,502,600"
"Jun 06, 2023",28.46,29.43,28.45,29.23,29.23,"46,297,900"
"Jun 05, 2023",28.82,28.82,28.30,28.54,28.54,"34,757,800"
"Jun 02, 2023",28.16,28.95,28.12,28.71,28.71,"66,511,100"
"Jun 01, 2023",27.76,27.98,27.34,27.78,27.78,"57,426,100"
"May 31, 2023",28.10,28.16,27.48,27.79,27.57,"61,905,200"
"May 30, 2023",28.32,28.49,27.95,28.26,28.04,"41,819,600"
"May 26, 2023",28.20,28.40,27.79,28.31,28.09,"57,879,100"
"May 25, 2023",27.99,28.24,27.88,28.17,27.95,"40,517,800"
"May 24, 2023",28.33,28.51,28.00,28.10,27.88,"50,606,900"
"May 23, 2023",28.32,29.08,28.30,28.58,28.35,"51,400,400"
"May 22, 2023",28.30,28.45,28.01,28.34,28.12,"36,473,700"
"May 19, 2023",28.46,28.67,28.03,28.11,27.89,"49,984,200"
"May 18, 2023",28.44,28.50,28.00,28.47,28.24,"51,146,100"
"May 17, 2023",27.74,28.67,27.73,28.57,28.34,"61,750,400"
"May 16, 2023",27.78,27.90,27.33,27.36,27.14,"33,347,500"
"May 15, 2023",27.10,27.82,27.03,27.65,27.43,"38,722,800"
"May 12, 2023",27.52,27.55,26.88,27.09,26.88,"38,101,300"
"May 11, 2023",27.01,27.49,26.88,27.39,27.17,"34,897,300"
"May 10, 2023",27.96,28.00,27.02,27.32,27.10,"44,446,400"
"May 09, 2023",27.42,27.83,27.24,27.66,27.44,"32,188,800"
"May 08, 2023",28.08,28.15,27.66,27.69,27.47,"34,245,500"
"May 05, 2023",27.62,27.89,27.47,27.71,27.49,"50,050,100"
"May 04, 2023",27.58,27.81,26.83,26.99,26.78,"82,173,800"
