Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",4.7200,4.7800,4.6800,4.7500,4.7500,"5,061,300"
"Jul 27, 2023",4.7400,4.7600,4.6200,4.6400,4.6400,"3,650,800"
"Jul 26, 2023",4.6900,4.7300,4.6400,4.6700,4.6700,"2,853,400"
"Jul 25, 2023",4.7200,4.7700,4.7000,4.7000,4.7000,"2,813,700"
"Jul 24, 2023",4.6900,4.7600,4.6700,4.7400,4.7400,"3,762,300"
"Jul 21, 2023",4.7400,4.7600,4.6400,4.7000,4.7000,"6,599,800"
"Jul 20, 2023",4.8000,4.8200,4.6300,4.6500,4.6500,"6,647,400"
"Jul 19, 2023",4.8800,4.9200,4.7900,4.8300,4.8300,"4,360,500"
"Jul 18, 2023",4.8300,4.8900,4.8100,4.8600,4.8600,"3,351,300"
"Jul 17, 2023",4.8500,4.9400,4.8000,4.8300,4.8300,"4,123,600"
"Jul 14, 2023",5.0200,5.0400,4.8700,4.8700,4.8700,"3,909,500"
"Jul 13, 2023",4.9600,5.0500,4.9300,5.0500,5.0500,"4,963,900"
"Jul 12, 2023",4.9700,5.0000,4.8400,4.9400,4.9400,"3,659,800"
"Jul 11, 2023",4.8800,4.9500,4.8100,4.9200,4.9200,"2,987,200"
"Jul 10, 2023",4.7600,4.9100,4.7400,4.8400,4.8400,"3,855,600"
"Jul 07, 2023",4.8300,4.8900,4.7500,4.7600,4.7600,"5,178,200"
"Jul 06, 2023",5.0600,5.0600,4.8200,4.8400,4.8400,"9,032,600"
"Jul 05, 2023",5.3400,5.4500,5.1200,5.1400,5.1400,"8,937,000"
"Jul 03, 2023",5.5100,5.5500,5.1400,5.2400,5.2400,"5,897,600"
"Jun 30, 2023",5.39,5.72,5.32,5.53,5.53,"12,020,100"
"Jun 29, 2023",5.26,5.7,5.21,5.36,5.36,"25,394,600"
"Jun 28, 2023",5.03,5.1,4.96,5.01,5.01,"7,851,700"
"Jun 27, 2023",4.8,5.06,4.8,5.05,5.05,"5,856,400"
"Jun 26, 2023",4.74,4.89,4.74,4.78,4.78,"4,400,800"
"Jun 23, 2023",4.88,4.88,4.79,4.79,4.79,"5,159,500"
"Jun 22, 2023",4.83,4.99,4.71,4.97,4.97,"7,687,300"
"Jun 21, 2023",4.94,4.95,4.74,4.83,4.83,"5,876,200"
"Jun 20, 2023",5.07,5.1,4.91,4.95,4.95,"3,490,000"
"Jun 16, 2023",5.14,5.18,5.09,5.1,5.1,"4,861,200"
"Jun 15, 2023",5.12,5.18,5.08,5.16,5.16,"3,306,300"
"Jun 14, 2023",5.22,5.23,5.1,5.18,5.18,"3,012,200"
"Jun 13, 2023",5.27,5.29,5.17,5.21,5.21,"6,507,700"
"Jun 12, 2023",5.18,5.25,5.14,5.23,5.23,"6,567,400"
"Jun 09, 2023",5.2,5.23,5.14,5.15,5.15,"2,421,800"
"Jun 08, 2023",5.17,5.24,5.11,5.19,5.19,"3,803,700"
"Jun 07, 2023",5.34,5.37,5.15,5.18,5.18,"3,773,800"
"Jun 06, 2023",5.19,5.3,5.15,5.3,5.3,"2,594,300"
"Jun 05, 2023",5.27,5.28,5.2,5.21,5.21,"2,102,100"
"Jun 02, 2023",5.42,5.49,5.31,5.31,5.31,"3,627,800"
"Jun 01, 2023",5.3,5.45,5.29,5.37,5.37,"2,535,800"
"May 31, 2023",5.11,5.38,5.1,5.35,5.35,"3,931,400"
"May 30, 2023",5.27,5.34,5.13,5.19,5.19,"3,028,700"
"May 26, 2023",5.18,5.3,5.18,5.23,5.23,"3,174,000"
"May 25, 2023",5.25,5.32,5.17,5.18,5.18,"2,677,600"
"May 24, 2023",5.19,5.24,5.14,5.23,5.23,"3,629,000"
"May 23, 2023",5.38,5.44,5.26,5.28,5.28,"3,167,000"
"May 22, 2023",5.36,5.49,5.34,5.42,5.42,"2,789,000"
"May 19, 2023",5.44,5.48,5.35,5.38,5.38,"2,981,800"
"May 18, 2023",5.41,5.51,5.29,5.41,5.41,"7,268,400"
"May 17, 2023",5.14,5.38,5.1,5.38,5.38,"9,026,900"
"May 16, 2023",5.09,5.13,5.01,5.08,5.08,"2,482,900"
"May 15, 2023",5.0,5.16,4.97,5.14,5.14,"2,284,700"
"May 12, 2023",5.11,5.16,4.93,5.01,5.01,"4,785,100"
"May 11, 2023",5.24,5.37,5.07,5.14,5.14,"4,080,900"
"May 10, 2023",5.1,5.35,5.07,5.23,5.23,"5,905,300"
"May 09, 2023",4.91,5.07,4.88,5.02,5.02,"5,024,600"
"May 08, 2023",4.74,4.99,4.73,4.98,4.98,"5,756,800"
"May 05, 2023",4.37,4.75,4.37,4.69,4.69,"6,475,500"
"May 04, 2023",4.42,4.47,4.33,4.37,4.37,"4,315,200"
"May 03, 2023",4.15,4.43,4.1,4.37,4.37,"6,844,700"
"May 02, 2023",4.21,4.25,4.04,4.24,4.24,"8,902,100"
"May 01, 2023",3.89,3.93,3.85,3.88,3.88,"2,374,000"
"Apr 28, 2023",3.89,3.94,3.83,3.91,3.91,"3,078,600"
"Apr 27, 2023",3.96,4.0,3.9,3.94,3.94,"3,787,800"
"Apr 26, 2023",4.01,4.06,3.9,3.97,3.97,"3,434,600"
"Apr 25, 2023",4.05,4.05,3.94,3.97,3.97,"3,739,800"
"Apr 24, 2023",4.19,4.22,4.05,4.08,4.08,"3,482,100"
"Apr 21, 2023",4.22,4.25,4.18,4.23,4.23,"3,951,400"
"Apr 20, 2023",4.29,4.29,4.18,4.21,4.21,"3,772,800"
"Apr 19, 2023",4.35,4.38,4.32,4.33,4.33,"2,620,200"
"Apr 18, 2023",4.46,4.54,4.4,4.4,4.4,"3,405,000"
"Apr 17, 2023",4.49,4.51,4.43,4.47,4.47,"4,210,600"
"Apr 14, 2023",4.46,4.52,4.42,4.51,4.51,"2,963,600"
"Apr 13, 2023",4.45,4.57,4.43,4.49,4.49,"2,990,400"
"Apr 12, 2023",4.59,4.64,4.38,4.38,4.38,"5,129,600"
"Apr 11, 2023",4.53,4.58,4.53,4.57,4.57,"3,087,100"
"Apr 10, 2023",4.47,4.54,4.43,4.53,4.53,"3,258,600"
"Apr 06, 2023",4.52,4.56,4.45,4.55,4.55,"4,283,600"
"Apr 05, 2023",4.63,4.67,4.51,4.52,4.52,"3,858,300"
"Apr 04, 2023",4.55,4.65,4.46,4.64,4.64,"6,384,700"
"Apr 03, 2023",4.64,4.69,4.52,4.53,4.53,"10,178,400"
"Mar 31, 2023",3.82,4.7,3.82,4.56,4.56,"20,638,700"
"Mar 30, 2023",4.0,4.07,3.96,4.0,4.0,"8,196,600"
"Mar 29, 2023",3.86,4.0,3.85,3.98,3.98,"5,436,600"
