Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",15.57,15.73,15.53,15.60,15.60,"4,025,400"
"Jul 27, 2023",15.69,15.72,15.42,15.47,15.47,"5,557,000"
"Jul 26, 2023",15.57,15.73,15.55,15.67,15.67,"5,112,700"
"Jul 25, 2023",15.53,15.68,15.53,15.57,15.57,"3,367,600"
"Jul 24, 2023",15.61,15.62,15.38,15.52,15.52,"6,137,600"
"Jul 21, 2023",15.96,16.08,15.90,15.95,15.95,"5,296,600"
"Jul 20, 2023",16.15,16.19,15.77,15.88,15.88,"6,927,300"
"Jul 19, 2023",15.98,16.10,15.88,16.04,16.04,"6,536,600"
"Jul 18, 2023",15.90,16.06,15.75,15.87,15.87,"8,064,400"
"Jul 17, 2023",16.17,16.23,15.85,15.97,15.97,"7,977,000"
"Jul 14, 2023",16.69,16.83,16.01,16.13,16.13,"19,755,000"
"Jul 13, 2023",16.38,17.15,16.33,17.04,17.04,"30,266,700"
"Jul 12, 2023",16.42,16.55,16.17,16.21,16.21,"9,254,100"
"Jul 11, 2023",16.27,16.51,16.20,16.40,16.40,"8,862,600"
"Jul 10, 2023",16.16,16.56,16.16,16.56,16.56,"6,047,700"
"Jul 07, 2023",16.24,16.36,16.14,16.19,16.19,"7,390,600"
"Jul 06, 2023",16.43,16.44,16.01,16.24,16.24,"7,977,400"
"Jul 05, 2023",16.22,16.45,16.20,16.33,16.33,"6,365,100"
"Jul 03, 2023",16.48,16.80,16.45,16.73,16.73,"7,649,900"
"Jun 30, 2023",17.45,17.46,16.41,16.98,16.98,"25,169,500"
"Jun 29, 2023",17.29,17.31,17.08,17.19,17.19,"6,181,900"
"Jun 28, 2023",16.92,17.11,16.75,16.89,16.89,"8,890,600"
"Jun 27, 2023",17.18,17.44,17.07,17.21,17.21,"13,825,200"
"Jun 26, 2023",17.1,17.25,16.81,16.97,16.97,"10,123,900"
"Jun 23, 2023",16.96,17.7,16.82,17.41,17.41,"30,382,100"
"Jun 22, 2023",17.04,17.11,16.61,16.98,16.98,"10,033,300"
"Jun 21, 2023",16.36,17.28,16.32,16.92,16.92,"20,063,300"
"Jun 20, 2023",15.05,15.84,14.92,15.79,15.79,"14,810,600"
"Jun 16, 2023",14.3,14.86,14.05,14.78,14.78,"13,207,700"
"Jun 15, 2023",13.99,14.27,13.9,14.24,14.24,"9,002,500"
"Jun 14, 2023",14.56,14.6,14.4,14.48,14.48,"4,082,800"
"Jun 13, 2023",14.62,14.64,14.38,14.48,14.48,"2,847,800"
"Jun 12, 2023",14.5,14.54,14.35,14.46,14.46,"3,662,100"
"Jun 09, 2023",14.99,15.0,14.77,14.78,14.78,"4,424,400"
"Jun 08, 2023",14.8,15.06,14.73,14.89,14.89,"4,071,900"
"Jun 07, 2023",15.0,15.09,14.7,14.84,14.84,"5,708,400"
"Jun 06, 2023",14.28,15.28,14.22,15.2,15.2,"16,512,400"
"Jun 05, 2023",14.97,15.02,14.17,14.32,14.32,"11,901,200"
"Jun 02, 2023",15.16,15.31,15.02,15.29,15.29,"4,084,700"
"Jun 01, 2023",15.07,15.22,14.92,15.02,15.02,"7,235,600"
"May 31, 2023",15.66,15.71,15.45,15.52,15.09,"5,401,600"
"May 30, 2023",16.16,16.2,15.89,16.12,15.68,"5,987,800"
"May 26, 2023",15.24,15.55,15.24,15.44,15.01,"6,555,500"
"May 25, 2023",15.19,15.31,15.04,15.24,14.82,"7,247,800"
"May 24, 2023",15.43,15.43,15.02,15.15,14.73,"8,394,300"
"May 23, 2023",15.77,15.84,15.67,15.72,15.29,"4,509,400"
"May 22, 2023",15.48,15.68,15.48,15.53,15.1,"7,539,600"
"May 19, 2023",15.56,15.73,15.4,15.53,15.1,"6,261,600"
"May 18, 2023",15.71,15.85,15.23,15.46,15.03,"9,027,900"
"May 17, 2023",15.45,15.89,15.32,15.85,15.41,"7,985,100"
"May 16, 2023",15.65,15.71,15.53,15.57,15.14,"3,403,900"
