Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",15.85,15.99,15.17,15.87,15.87,"2,192,600"
"Jul 27, 2023",16.80,16.88,15.25,15.27,15.27,"2,833,200"
"Jul 26, 2023",15.52,16.74,15.52,16.30,16.30,"2,392,600"
"Jul 25, 2023",15.65,15.81,15.32,15.53,15.53,"1,305,400"
"Jul 24, 2023",15.01,16.05,15.01,15.47,15.47,"2,152,500"
"Jul 21, 2023",15.60,15.78,14.84,15.17,15.17,"3,680,800"
"Jul 20, 2023",16.86,16.89,15.36,15.46,15.46,"3,787,800"
"Jul 19, 2023",16.77,17.96,16.74,17.01,17.01,"3,554,400"
"Jul 18, 2023",16.58,17.24,16.49,16.55,16.55,"2,662,300"
"Jul 17, 2023",16.99,17.55,16.40,16.81,16.81,"2,446,000"
"Jul 14, 2023",17.73,19.25,16.75,17.04,17.04,"6,059,000"
"Jul 13, 2023",17.90,17.96,16.55,17.67,17.67,"6,669,000"
"Jul 12, 2023",15.94,18.38,15.55,17.55,17.55,"14,395,300"
"Jul 11, 2023",15.46,16.00,14.93,15.46,15.46,"4,713,400"
"Jul 10, 2023",14.65,15.24,14.35,14.86,14.86,"2,778,200"
"Jul 07, 2023",13.79,15.09,13.56,14.78,14.78,"4,684,700"
"Jul 06, 2023",13.81,13.84,12.92,13.63,13.63,"3,733,400"
"Jul 05, 2023",13.03,14.33,13.00,13.81,13.81,"4,202,200"
"Jul 03, 2023",12.98,13.71,12.90,13.17,13.17,"2,033,100"
"Jun 30, 2023",13.16,13.34,12.89,12.98,12.98,"1,847,300"
"Jun 29, 2023",12.65,13.62,12.62,12.97,12.97,"3,525,500"
"Jun 28, 2023",12.24,12.58,12.1,12.53,12.53,"1,959,100"
"Jun 27, 2023",11.98,12.5,11.68,12.41,12.41,"2,322,300"
"Jun 26, 2023",12.96,12.96,11.72,11.95,11.95,"3,368,200"
"Jun 23, 2023",12.28,13.46,12.28,12.91,12.91,"3,221,300"
"Jun 22, 2023",12.38,13.17,11.93,12.52,12.52,"3,779,000"
"Jun 21, 2023",12.0,12.69,11.82,12.42,12.42,"2,043,900"
"Jun 20, 2023",13.18,13.18,12.07,12.18,12.18,"2,456,200"
"Jun 16, 2023",13.15,13.55,12.79,12.86,12.86,"2,838,100"
"Jun 15, 2023",13.48,13.66,12.79,13.07,13.07,"4,199,300"
"Jun 14, 2023",14.13,14.13,13.27,13.54,13.54,"3,274,500"
"Jun 13, 2023",12.93,14.63,12.51,13.94,13.94,"8,244,700"
"Jun 12, 2023",12.23,12.79,12.09,12.38,12.38,"2,501,800"
"Jun 09, 2023",13.22,13.3,11.47,12.06,12.06,"5,957,000"
"Jun 08, 2023",10.8,13.87,10.56,12.88,12.88,"14,984,700"
"Jun 07, 2023",11.18,11.37,10.68,10.76,10.76,"1,874,300"
"Jun 06, 2023",10.8,11.19,10.67,11.07,11.07,"1,598,100"
"Jun 05, 2023",10.71,10.99,10.51,10.88,10.88,"1,442,600"
"Jun 02, 2023",10.37,10.83,10.17,10.63,10.63,"1,605,100"
"Jun 01, 2023",10.08,10.47,9.92,10.17,10.17,"2,058,900"
"May 31, 2023",10.25,10.48,10.1,10.15,10.15,"1,417,100"
"May 30, 2023",10.46,10.59,9.95,10.3,10.3,"2,123,900"
"May 26, 2023",10.76,10.99,10.33,10.35,10.35,"2,092,600"
"May 25, 2023",11.43,11.43,10.58,10.86,10.86,"1,924,900"
"May 24, 2023",11.1,11.61,10.84,11.44,11.44,"2,017,300"
"May 23, 2023",10.81,11.47,10.7,11.1,11.1,"2,140,700"
"May 22, 2023",10.65,10.99,10.54,10.85,10.85,"1,902,700"
"May 19, 2023",11.22,11.36,10.26,10.71,10.71,"2,859,800"
"May 18, 2023",10.9,11.42,10.77,11.42,11.42,"1,988,800"
"May 17, 2023",9.99,10.99,9.99,10.91,10.91,"2,959,700"
"May 16, 2023",10.6,10.6,9.92,10.02,10.02,"3,577,100"
"May 15, 2023",10.54,10.87,10.34,10.68,10.68,"2,067,300"
"May 12, 2023",10.13,10.82,9.81,10.47,10.47,"5,449,000"
"May 11, 2023",11.82,11.9,10.11,10.2,10.2,"12,009,400"
"May 10, 2023",12.52,12.66,12.25,12.48,12.48,"5,663,600"
"May 09, 2023",12.85,12.86,12.07,12.24,12.24,"3,074,500"
"May 08, 2023",12.9,13.17,12.76,13.01,13.01,"1,670,600"
"May 05, 2023",12.95,13.25,12.83,12.91,12.91,"1,124,700"
"May 04, 2023",12.68,12.89,12.33,12.83,12.83,"1,045,600"
"May 03, 2023",12.8,13.35,12.69,12.74,12.74,"1,621,100"
"May 02, 2023",13.33,13.33,12.6,12.85,12.85,"1,441,200"
"May 01, 2023",13.55,14.18,13.33,13.34,13.34,"1,293,700"
"Apr 28, 2023",13.58,13.68,13.16,13.54,13.54,"1,074,300"
"Apr 27, 2023",13.06,13.97,13.03,13.55,13.55,"1,784,900"
"Apr 26, 2023",13.37,13.53,12.86,12.96,12.96,"988,900"
"Apr 25, 2023",13.76,14.0,13.25,13.29,13.29,"1,420,500"
"Apr 24, 2023",13.97,14.17,13.76,13.99,13.99,"759,000"
"Apr 21, 2023",13.87,14.43,13.79,14.09,14.09,"1,566,900"
"Apr 20, 2023",14.6,14.6,13.72,13.93,13.93,"1,664,500"
"Apr 19, 2023",14.7,15.15,14.42,14.86,14.86,"1,089,900"
"Apr 18, 2023",14.65,14.92,14.53,14.82,14.82,"927,700"
"Apr 17, 2023",14.71,14.99,14.51,14.74,14.74,"1,266,200"
"Apr 14, 2023",14.83,15.37,14.6,14.82,14.82,"1,143,900"
"Apr 13, 2023",14.68,15.12,14.65,14.83,14.83,"1,157,200"
"Apr 12, 2023",15.19,15.4,14.46,14.68,14.68,"1,391,900"
"Apr 11, 2023",15.2,15.72,15.05,15.08,15.08,"1,061,000"
"Apr 10, 2023",15.3,15.47,14.65,15.21,15.21,"1,486,400"
"Apr 06, 2023",15.97,16.24,15.28,15.33,15.33,"1,661,200"
"Apr 05, 2023",16.1,16.16,15.67,15.97,15.97,"1,058,800"
"Apr 04, 2023",16.35,16.46,15.7,16.37,16.37,"1,356,900"
"Apr 03, 2023",16.23,16.48,15.87,16.34,16.34,"1,242,500"
"Mar 31, 2023",15.85,16.65,15.85,16.23,16.23,"1,407,700"
"Mar 30, 2023",15.99,16.19,15.56,15.89,15.89,"1,248,900"
"Mar 29, 2023",15.8,16.09,15.49,15.75,15.75,"1,187,900"
"Mar 28, 2023",15.52,16.37,15.47,15.68,15.68,"1,026,300"
"Mar 27, 2023",16.39,16.49,15.32,15.91,15.91,"1,930,300"
"Mar 24, 2023",15.16,16.92,15.14,16.27,16.27,"2,378,800"
"Mar 23, 2023",15.26,15.8,14.88,15.29,15.29,"1,511,700"
"Mar 22, 2023",15.63,15.79,15.04,15.06,15.06,"1,553,000"
"Mar 21, 2023",15.35,16.01,15.35,15.58,15.58,"1,658,200"
"Mar 20, 2023",15.55,16.05,15.04,15.17,15.17,"1,921,600"
"Mar 17, 2023",16.82,16.83,15.42,15.54,15.54,"4,413,200"
"Mar 16, 2023",17.11,17.11,16.45,16.85,16.85,"1,911,400"
"Mar 15, 2023",17.45,17.74,16.77,17.05,17.05,"2,484,400"
"Mar 14, 2023",17.85,18.68,17.62,17.8,17.8,"1,975,400"
"Mar 13, 2023",17.11,18.37,16.71,17.6,17.6,"2,609,200"
"Mar 10, 2023",17.46,17.6,16.41,17.27,17.27,"2,279,300"
"Mar 09, 2023",18.04,18.62,17.33,17.36,17.36,"1,630,100"
"Mar 08, 2023",17.85,18.22,17.57,18.18,18.18,"1,591,200"
"Mar 07, 2023",18.0,18.49,17.76,18.06,18.06,"1,573,700"
"Mar 06, 2023",18.45,18.67,17.57,18.08,18.08,"2,644,100"
"Mar 03, 2023",17.72,18.73,17.45,18.71,18.71,"2,218,200"
"Mar 02, 2023",16.8,17.86,16.52,17.68,17.68,"1,681,700"
"Mar 01, 2023",17.69,17.88,16.76,16.94,16.94,"2,332,600"
"Feb 28, 2023",18.65,19.24,17.71,17.84,17.84,"3,007,500"
"Feb 27, 2023",18.75,19.72,17.88,18.77,18.77,"4,778,400"
"Feb 24, 2023",19.55,22.87,18.42,18.88,18.88,"25,691,700"
"Feb 23, 2023",17.1,17.7,16.63,17.14,17.14,"3,940,600"
"Feb 22, 2023",16.49,17.13,16.14,17.1,17.1,"1,388,100"
"Feb 21, 2023",17.26,17.56,16.37,16.4,16.4,"1,902,700"
"Feb 17, 2023",17.13,17.87,16.36,17.74,17.74,"2,452,600"
"Feb 16, 2023",17.06,17.99,17.01,17.1,17.1,"3,191,000"
"Feb 15, 2023",15.5,17.45,15.45,17.43,17.43,"2,897,700"
"Feb 14, 2023",15.99,16.14,15.35,15.52,15.52,"1,654,000"
