Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",259.93,262.98,258.99,260.43,260.43,"2,101,200"
"Jul 27, 2023",258.97,261.10,256.82,258.30,258.30,"2,284,400"
"Jul 26, 2023",260.53,262.54,257.25,258.32,258.32,"2,622,800"
"Jul 25, 2023",260.10,263.88,259.44,262.06,262.06,"2,016,600"
"Jul 24, 2023",258.30,262.44,258.10,259.37,259.37,"2,195,300"
"Jul 21, 2023",261.75,261.76,257.51,257.65,257.65,"2,249,400"
"Jul 20, 2023",264.17,265.40,260.44,261.09,261.09,"2,102,300"
"Jul 19, 2023",260.14,262.92,259.70,262.75,262.75,"2,771,900"
"Jul 18, 2023",257.63,264.16,256.93,263.81,263.81,"3,833,400"
"Jul 17, 2023",254.27,258.85,252.01,257.46,257.46,"2,674,500"
"Jul 14, 2023",256.48,256.48,252.91,255.62,255.62,"1,936,800"
"Jul 13, 2023",254.56,256.46,252.74,255.86,255.86,"1,949,400"
"Jul 12, 2023",255.49,257.64,251.44,253.60,253.60,"2,986,200"
"Jul 11, 2023",249.84,254.47,249.84,252.85,252.85,"3,294,800"
"Jul 10, 2023",244.51,249.36,244.09,248.81,248.81,"2,771,900"
"Jul 07, 2023",240.19,247.80,240.11,245.18,245.18,"2,903,900"
"Jul 06, 2023",242.75,243.87,238.84,240.58,240.58,"3,079,700"
"Jul 05, 2023",245.00,247.50,244.12,244.83,244.83,"1,820,600"
"Jul 03, 2023",245.95,248.39,245.27,247.33,247.33,"1,045,700"
"Jun 30, 2023",246.57,246.93,243.89,246.05,244.84,"2,377,900"
"Jun 29, 2023",241.94,246.86,241.37,244.24,243.04,"2,070,000"
"Jun 28, 2023",239.29,242.05,237.86,241.87,240.68,"2,200,100"
"Jun 27, 2023",237.48,240.84,235.32,240.69,239.5,"2,283,000"
"Jun 26, 2023",235.46,239.62,235.13,236.95,235.78,"1,748,300"
"Jun 23, 2023",234.44,235.86,231.28,234.44,233.28,"3,354,000"
"Jun 22, 2023",240.23,240.98,235.95,237.34,236.17,"2,421,600"
"Jun 21, 2023",238.84,245.26,238.03,241.48,240.29,"2,892,500"
"Jun 20, 2023",242.33,243.22,240.55,241.15,239.96,"2,979,800"
"Jun 16, 2023",249.4,250.89,244.97,245.27,244.06,"5,260,800"
"Jun 15, 2023",244.0,248.38,243.48,247.67,246.45,"2,743,900"
"Jun 14, 2023",246.8,248.32,241.57,243.32,242.12,"3,122,400"
"Jun 13, 2023",240.08,246.68,239.68,245.44,244.23,"4,335,100"
"Jun 12, 2023",235.23,238.89,233.32,237.9,236.73,"3,644,200"
"Jun 09, 2023",235.7,235.81,231.43,235.03,233.87,"2,488,500"
"Jun 08, 2023",234.54,236.28,231.74,234.45,233.29,"3,546,800"
"Jun 07, 2023",227.81,236.36,226.28,235.55,234.39,"5,586,400"
"Jun 06, 2023",221.86,228.27,221.45,226.68,225.56,"3,230,100"
"Jun 05, 2023",226.99,226.99,220.75,222.47,221.37,"3,438,400"
"Jun 02, 2023",214.95,227.78,214.01,226.63,225.51,"8,356,400"
"Jun 01, 2023",207.68,210.57,206.04,209.07,208.04,"2,989,100"
"May 31, 2023",209.13,210.78,205.6,205.75,204.74,"5,937,000"
"May 30, 2023",211.18,212.89,208.25,209.9,208.87,"2,885,900"
"May 26, 2023",211.74,213.28,210.21,211.8,210.76,"1,973,900"
"May 25, 2023",209.69,211.79,208.6,209.98,208.95,"2,243,600"
"May 24, 2023",211.81,212.48,209.22,209.7,208.67,"2,964,000"
"May 23, 2023",213.2,215.26,211.35,212.71,211.66,"2,298,300"
"May 22, 2023",214.25,217.16,211.89,214.26,213.2,"2,540,600"
"May 19, 2023",219.46,219.89,212.95,214.78,213.72,"4,401,300"
"May 18, 2023",211.0,215.66,210.23,214.72,213.66,"2,643,600"
"May 17, 2023",209.28,213.84,208.65,212.1,211.05,"2,897,400"
"May 16, 2023",210.05,210.27,207.05,207.2,206.18,"2,771,500"
"May 15, 2023",210.31,213.31,209.15,211.29,210.25,"1,925,600"
"May 12, 2023",211.71,212.55,207.93,209.54,208.51,"2,172,300"
"May 11, 2023",209.0,210.28,208.42,210.03,209.0,"3,263,300"
"May 10, 2023",215.43,215.99,210.19,213.17,212.12,"2,446,100"
"May 09, 2023",213.74,215.39,211.95,213.49,212.44,"4,111,900"
"May 08, 2023",216.44,218.11,213.63,214.79,213.73,"2,414,100"
"May 05, 2023",213.59,215.68,212.4,215.09,214.03,"2,716,300"
"May 04, 2023",216.05,216.93,209.33,210.38,209.34,"3,211,000"
"May 03, 2023",215.64,219.17,214.86,215.64,214.58,"2,635,100"
"May 02, 2023",217.11,217.11,210.59,215.15,214.09,"2,858,000"
"May 01, 2023",219.34,221.96,216.53,217.27,216.2,"2,876,400"
"Apr 28, 2023",213.24,220.56,213.0,218.8,217.72,"4,668,800"
"Apr 27, 2023",210.48,216.08,204.04,214.33,213.27,"7,711,100"
"Apr 26, 2023",217.73,220.39,216.12,216.19,215.12,"3,254,700"
"Apr 25, 2023",222.36,223.23,218.27,218.63,217.55,"2,505,600"
"Apr 24, 2023",220.53,223.69,220.53,223.43,222.33,"2,790,700"
"Apr 21, 2023",220.67,220.99,217.5,220.27,219.18,"2,712,500"
"Apr 20, 2023",222.42,224.22,220.93,222.27,219.98,"2,826,800"
"Apr 19, 2023",224.8,225.15,222.41,224.65,222.34,"2,078,400"
"Apr 18, 2023",225.56,227.5,224.06,225.2,222.88,"2,567,100"
"Apr 17, 2023",225.01,226.92,224.3,225.24,222.92,"1,751,800"
"Apr 14, 2023",222.99,225.83,221.44,223.68,221.38,"2,246,900"
"Apr 13, 2023",219.94,222.18,216.66,221.67,219.39,"2,909,100"
"Apr 12, 2023",222.15,223.22,219.89,220.5,218.23,"2,385,100"
"Apr 11, 2023",216.17,222.9,216.17,220.6,218.33,"3,882,000"
"Apr 10, 2023",210.22,216.09,209.32,215.53,213.31,"3,839,000"
"Apr 06, 2023",212.67,213.0,208.94,209.17,207.02,"4,180,100"
"Apr 05, 2023",216.2,217.88,211.55,213.53,211.33,"4,265,300"
"Apr 04, 2023",228.9,229.49,216.25,217.45,215.21,"4,282,100"
"Apr 03, 2023",230.01,233.85,228.86,229.87,227.5,"2,242,500"
"Mar 31, 2023",226.38,229.06,224.9,228.84,226.48,"2,746,700"
"Mar 30, 2023",225.05,226.34,223.99,224.54,222.23,"1,921,100"
"Mar 29, 2023",222.74,223.22,221.5,223.0,220.7,"1,857,300"
"Mar 28, 2023",218.15,220.56,217.71,220.16,217.89,"1,802,000"
"Mar 27, 2023",214.93,218.96,213.92,218.0,215.75,"3,209,500"
"Mar 24, 2023",216.85,217.43,213.14,217.01,214.77,"2,976,800"
"Mar 23, 2023",220.51,225.3,217.6,219.44,217.18,"2,957,400"
