Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",30.99,31.42,30.90,31.33,31.33,"4,091,400"
"Jun 29, 2023",30.07,31.10,30.01,30.88,30.88,"5,437,400"
"Jun 28, 2023",29.55,30.18,29.25,30.02,30.02,"3,732,400"
"Jun 27, 2023",30.04,30.12,29.32,29.58,29.58,"4,204,600"
"Jun 26, 2023",29.85,30.29,29.73,29.91,29.91,"3,904,400"
"Jun 23, 2023",30.43,30.48,29.88,29.90,29.90,"4,719,600"
"Jun 22, 2023",30.90,31.18,30.60,30.87,30.87,"3,543,000"
"Jun 21, 2023",31.74,31.84,31.33,31.35,31.35,"4,032,900"
"Jun 20, 2023",31.98,32.28,31.39,31.95,31.95,"4,604,700"
"Jun 16, 2023",31.73,31.99,31.48,31.76,31.76,"4,297,000"
"Jun 15, 2023",30.93,31.93,30.91,31.64,31.64,"4,874,600"
"Jun 14, 2023",32.00,32.00,30.86,31.21,31.21,"6,565,200"
"Jun 13, 2023",32.26,33.00,31.22,31.58,31.58,"8,654,300"
"Jun 12, 2023",30.62,32.00,30.58,31.95,31.95,"7,346,100"
"Jun 09, 2023",30.58,30.86,29.96,30.76,30.76,"2,551,200"
"Jun 08, 2023",29.93,30.99,29.76,30.61,30.61,"4,694,400"
"Jun 07, 2023",30.70,31.05,29.72,29.81,29.81,"4,860,000"
"Jun 06, 2023",30.63,30.81,29.94,30.60,30.60,"3,815,600"
"Jun 05, 2023",30.14,31.45,30.14,30.89,30.89,"5,275,800"
"Jun 02, 2023",30.69,30.98,29.89,30.08,30.08,"7,286,600"
"Jun 01, 2023",27.99,31.02,27.99,30.30,30.30,"19,361,600"
"May 31, 2023",26.39,28.02,26.15,27.84,27.84,"6,216,500"
"May 30, 2023",27.21,27.28,26.24,26.67,26.67,"3,356,200"
"May 26, 2023",28.00,28.04,26.92,27.35,27.35,"3,850,000"
"May 25, 2023",27.78,28.35,27.50,27.75,27.75,"5,534,600"
"May 24, 2023",28.06,28.27,27.53,27.85,27.85,"4,919,200"
"May 23, 2023",27.64,28.57,27.52,28.32,28.32,"3,784,600"
"May 22, 2023",26.89,28.61,26.89,27.95,27.95,"5,008,200"
"May 19, 2023",27.44,27.54,26.83,26.92,26.92,"2,292,400"
"May 18, 2023",27.18,27.33,26.78,27.28,27.28,"2,454,700"
"May 17, 2023",27.30,27.56,26.99,27.28,27.28,"2,805,100"
"May 16, 2023",27.33,27.77,26.78,27.05,27.05,"4,711,800"
"May 15, 2023",27.88,28.01,27.53,27.57,27.57,"2,150,600"
"May 12, 2023",27.73,28.01,27.33,27.71,27.71,"2,715,500"
"May 11, 2023",28.22,28.68,27.52,27.72,27.72,"2,836,500"
"May 10, 2023",28.75,29.06,28.19,28.62,28.62,"3,665,800"
"May 09, 2023",27.49,28.64,27.32,28.52,28.52,"3,954,600"
"May 08, 2023",27.78,27.92,27.39,27.47,27.47,"2,846,600"
