Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",8.80,8.84,8.63,8.79,8.79,"9,026,300"
"Jun 29, 2023",8.40,8.85,8.30,8.69,8.69,"14,422,800"
"Jun 28, 2023",7.83,8.37,7.76,8.36,8.36,"14,331,800"
"Jun 27, 2023",7.63,7.88,7.39,7.87,7.87,"10,948,400"
"Jun 26, 2023",7.35,7.61,7.33,7.42,7.42,"6,046,700"
"Jun 23, 2023",7.49,7.54,7.22,7.36,7.36,"15,646,900"
"Jun 22, 2023",7.89,7.94,7.58,7.60,7.60,"14,701,100"
"Jun 21, 2023",8.11,8.17,7.84,7.99,7.99,"19,122,200"
"Jun 20, 2023",8.69,8.80,8.13,8.20,8.20,"17,452,200"
"Jun 16, 2023",9.15,9.16,8.65,8.88,8.88,"13,307,000"
"Jun 15, 2023",8.91,9.26,8.77,9.05,9.05,"10,051,800"
"Jun 14, 2023",9.71,9.78,8.92,9.05,9.05,"13,312,800"
"Jun 13, 2023",8.96,9.81,8.93,9.62,9.62,"19,590,400"
"Jun 12, 2023",8.39,8.98,7.90,8.90,8.90,"26,161,000"
"Jun 09, 2023",8.87,9.06,8.30,8.34,8.34,"33,808,800"
"Jun 08, 2023",9.83,10.10,9.51,9.61,9.61,"8,624,500"
"Jun 07, 2023",9.69,10.05,9.56,9.78,9.78,"13,496,200"
"Jun 06, 2023",8.72,9.59,8.66,9.47,9.47,"12,748,800"
"Jun 05, 2023",9.08,9.08,8.66,8.75,8.75,"9,980,100"
"Jun 02, 2023",9.67,9.99,9.07,9.07,9.07,"18,915,600"
"Jun 01, 2023",9.81,9.97,9.34,9.75,9.75,"14,613,400"
"May 31, 2023",9.52,9.88,9.31,9.67,9.67,"13,211,000"
"May 30, 2023",9.25,9.86,8.94,9.69,9.69,"23,615,600"
"May 26, 2023",8.35,8.52,8.05,8.49,8.49,"7,820,700"
"May 25, 2023",8.45,8.51,8.14,8.32,8.32,"4,962,400"
"May 24, 2023",8.40,8.40,8.12,8.36,8.36,"4,566,800"
"May 23, 2023",8.29,8.77,8.20,8.49,8.49,"7,843,400"
"May 22, 2023",7.96,8.41,7.84,8.31,8.31,"8,518,600"
"May 19, 2023",8.19,8.26,7.82,7.93,7.93,"9,540,000"
"May 18, 2023",8.31,8.33,8.01,8.18,8.18,"7,383,500"
"May 17, 2023",8.06,8.34,7.90,8.33,8.33,"8,946,400"
"May 16, 2023",8.50,8.56,8.00,8.01,8.01,"10,138,300"
"May 15, 2023",8.21,8.74,8.19,8.63,8.63,"6,495,600"
"May 12, 2023",8.63,8.88,8.16,8.23,8.23,"8,047,300"
"May 11, 2023",8.78,8.81,8.58,8.58,8.58,"4,053,500"
"May 10, 2023",9.19,9.20,8.73,8.77,8.77,"5,413,400"
"May 09, 2023",8.85,9.03,8.66,9.01,9.01,"5,836,400"
"May 08, 2023",8.83,9.17,8.62,9.06,9.06,"7,267,300"
"May 05, 2023",8.84,9.00,8.76,8.77,8.77,"5,040,700"
"May 04, 2023",8.56,8.73,8.48,8.71,8.71,"5,660,900"
"May 03, 2023",8.20,8.77,8.12,8.56,8.56,"8,632,100"
"May 02, 2023",8.38,8.46,8.10,8.24,8.24,"8,513,500"
"May 01, 2023",8.70,8.70,8.21,8.46,8.46,"8,383,400"
"Apr 28, 2023",8.82,9.00,8.61,8.67,8.67,"9,426,600"
"Apr 27, 2023",8.66,9.02,8.59,8.91,8.91,"6,106,200"
"Apr 26, 2023",8.65,8.71,8.43,8.54,8.54,"6,208,200"
"Apr 25, 2023",8.72,8.75,8.47,8.60,8.60,"8,743,000"
"Apr 24, 2023",8.83,8.97,8.66,8.84,8.84,"4,470,000"
"Apr 21, 2023",8.82,9.03,8.72,8.84,8.84,"8,825,100"
"Apr 20, 2023",8.82,9.05,8.78,8.86,8.86,"5,284,400"
"Apr 19, 2023",8.96,9.12,8.69,9.05,9.05,"8,525,000"
"Apr 18, 2023",9.17,9.22,8.93,9.05,9.05,"7,805,500"
"Apr 17, 2023",8.75,9.21,8.65,9.18,9.18,"9,960,600"
"Apr 14, 2023",8.51,8.88,8.41,8.72,8.72,"13,403,900"
"Apr 13, 2023",8.88,8.98,8.51,8.55,8.55,"14,623,900"
"Apr 12, 2023",9.51,9.62,8.75,8.78,8.78,"14,824,200"
"Apr 11, 2023",9.40,9.57,9.23,9.26,9.26,"7,940,100"
"Apr 10, 2023",9.10,9.37,9.01,9.35,9.35,"8,562,600"
"Apr 06, 2023",9.25,9.36,9.06,9.19,9.19,"8,592,600"
"Apr 05, 2023",9.91,10.01,9.20,9.34,9.34,"11,505,900"
"Apr 04, 2023",10.40,10.51,9.90,10.02,10.02,"5,873,200"
"Apr 03, 2023",10.36,10.60,10.07,10.31,10.31,"4,271,500"
"Mar 31, 2023",10.32,10.71,10.20,10.47,10.47,"9,130,800"
"Mar 30, 2023",10.31,10.53,10.07,10.15,10.15,"7,960,700"
"Mar 29, 2023",9.66,10.09,9.46,10.03,10.03,"6,647,100"
"Mar 28, 2023",9.64,9.76,9.40,9.46,9.46,"4,297,300"
"Mar 27, 2023",10.00,10.03,9.44,9.72,9.72,"5,039,800"
"Mar 24, 2023",9.95,10.09,9.68,9.83,9.83,"5,177,300"
"Mar 23, 2023",10.00,10.65,9.89,10.06,10.06,"7,642,300"
"Mar 22, 2023",9.80,10.20,9.67,9.84,9.84,"8,571,000"
"Mar 21, 2023",9.33,9.96,9.33,9.86,9.86,"8,890,200"
"Mar 20, 2023",9.27,9.50,9.11,9.26,9.26,"5,540,600"
"Mar 17, 2023",9.22,9.42,8.96,9.34,9.34,"7,932,900"
"Mar 16, 2023",9.26,9.51,9.09,9.34,9.34,"6,109,300"
"Mar 15, 2023",9.24,9.49,8.97,9.26,9.26,"7,236,400"
"Mar 14, 2023",10.05,10.19,9.31,9.44,9.44,"11,189,700"
"Mar 13, 2023",9.50,10.18,9.17,9.79,9.79,"9,153,400"
"Mar 10, 2023",10.16,10.18,9.44,9.67,9.67,"14,041,900"
"Mar 09, 2023",10.45,10.72,10.04,10.19,10.19,"6,240,600"
"Mar 08, 2023",10.24,10.54,9.94,10.46,10.46,"7,229,500"
"Mar 07, 2023",10.69,10.75,10.26,10.27,10.27,"7,533,400"
"Mar 06, 2023",11.31,11.38,10.59,10.74,10.74,"10,060,600"
"Mar 03, 2023",9.96,11.44,9.90,11.08,11.08,"23,094,500"
"Mar 02, 2023",10.80,11.36,10.55,11.26,11.26,"11,643,300"
"Mar 01, 2023",11.42,11.58,10.96,11.08,11.08,"7,788,300"
"Feb 28, 2023",10.80,11.62,10.67,11.36,11.36,"8,769,600"
"Feb 27, 2023",10.68,11.02,10.47,10.84,10.84,"7,549,900"
"Feb 24, 2023",11.10,11.18,10.32,10.45,10.45,"12,511,300"
"Feb 23, 2023",11.61,11.78,10.98,11.42,11.42,"7,332,000"
"Feb 22, 2023",11.41,11.73,11.14,11.33,11.33,"5,510,900"
"Feb 21, 2023",11.96,12.15,11.35,11.38,11.38,"6,947,700"
"Feb 17, 2023",12.47,12.48,12.04,12.22,12.22,"8,574,600"
"Feb 16, 2023",12.99,13.48,12.62,12.63,12.63,"9,136,000"
"Feb 15, 2023",12.19,13.48,12.15,13.38,13.38,"11,865,100"
"Feb 14, 2023",11.35,12.17,11.10,12.16,12.16,"8,209,100"
"Feb 13, 2023",11.30,11.64,10.98,11.46,11.46,"4,889,000"
"Feb 10, 2023",11.65,11.79,11.03,11.26,11.26,"11,332,000"
"Feb 09, 2023",12.40,12.85,11.75,11.86,11.86,"9,437,500"
"Feb 08, 2023",12.39,13.06,12.16,12.18,12.18,"8,045,900"
"Feb 07, 2023",12.36,12.56,11.76,12.44,12.44,"8,309,100"
"Feb 06, 2023",12.24,12.68,12.12,12.37,12.37,"6,055,700"
"Feb 03, 2023",12.47,13.50,12.32,12.49,12.49,"10,230,200"
"Feb 02, 2023",12.85,13.65,12.70,12.97,12.97,"13,745,300"
"Feb 01, 2023",12.25,12.76,11.68,12.46,12.46,"9,941,000"
