Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",41.76,41.88,41.40,41.55,41.26,"16,271,200"
"Jun 29, 2023",41.38,41.73,41.30,41.47,41.18,"11,151,700"
"Jun 28, 2023",41.96,42.04,41.31,41.67,41.38,"16,198,900"
"Jun 27, 2023",40.37,41.59,40.37,41.48,41.19,"14,987,800"
"Jun 26, 2023",40.27,40.78,40.17,40.56,40.28,"18,285,100"
"Jun 23, 2023",40.32,40.51,39.94,40.09,39.81,"19,048,300"
"Jun 22, 2023",40.70,40.75,40.20,40.58,40.30,"13,004,000"
"Jun 21, 2023",40.60,40.94,40.32,40.62,40.34,"13,308,200"
"Jun 20, 2023",41.24,41.31,40.62,40.64,40.36,"13,864,900"
"Jun 16, 2023",41.64,41.66,41.10,41.20,40.91,"34,132,900"
"Jun 15, 2023",40.80,41.55,40.70,41.47,41.18,"15,685,200"
"Jun 14, 2023",40.72,41.22,40.61,40.84,40.55,"18,627,500"
"Jun 13, 2023",40.92,41.13,40.62,40.68,40.40,"12,572,000"
"Jun 12, 2023",40.19,40.80,40.10,40.69,40.41,"16,800,600"
"Jun 09, 2023",40.25,40.48,40.10,40.23,39.95,"12,142,100"
"Jun 08, 2023",40.31,40.51,39.99,40.47,40.19,"10,762,600"
"Jun 07, 2023",39.50,40.47,39.44,40.35,40.07,"18,455,900"
"Jun 06, 2023",39.93,40.01,39.27,39.46,39.18,"14,302,900"
"Jun 05, 2023",39.28,39.84,39.22,39.79,39.51,"24,043,000"
"Jun 02, 2023",38.55,39.55,38.48,39.19,38.92,"24,603,200"
"Jun 01, 2023",39.57,39.57,38.68,39.04,38.77,"30,453,900"
"May 31, 2023",39.21,39.47,38.85,39.35,39.08,"53,653,200"
"May 30, 2023",39.12,39.76,39.07,39.16,38.89,"24,313,500"
"May 26, 2023",39.27,39.67,39.09,39.48,39.20,"35,819,800"
"May 25, 2023",39.48,39.86,38.99,39.09,38.82,"28,091,200"
"May 24, 2023",40.51,40.58,39.88,39.98,39.70,"20,956,800"
"May 23, 2023",41.21,41.50,40.37,40.38,40.10,"19,594,700"
"May 22, 2023",41.49,41.66,41.17,41.24,40.95,"13,572,300"
"May 19, 2023",41.51,41.59,40.98,41.18,40.89,"17,728,500"
"May 18, 2023",39.83,41.36,39.82,41.31,41.02,"18,785,400"
"May 17, 2023",39.86,40.47,39.73,40.29,40.01,"13,146,900"
"May 16, 2023",40.09,40.18,39.53,39.74,39.46,"12,333,000"
"May 15, 2023",40.38,40.51,40.07,40.20,39.92,"13,489,800"
"May 12, 2023",40.45,40.56,40.02,40.21,39.93,"17,166,700"
"May 11, 2023",39.79,40.52,39.78,40.37,40.09,"19,003,400"
"May 10, 2023",39.93,39.93,39.28,39.86,39.58,"19,204,300"
"May 09, 2023",40.41,40.50,39.57,39.62,39.34,"23,318,300"
"May 08, 2023",40.53,40.80,40.26,40.59,40.31,"16,351,900"
"May 05, 2023",40.57,40.63,39.85,40.43,40.15,"18,935,300"
"May 04, 2023",40.77,40.78,40.01,40.22,39.94,"15,143,000"
"May 03, 2023",41.36,41.53,40.81,40.89,40.60,"19,592,900"
"May 02, 2023",41.53,41.64,40.52,41.20,40.91,"20,977,800"
"May 01, 2023",42.00,42.00,41.53,41.64,41.35,"17,235,500"
"Apr 28, 2023",40.04,41.42,39.99,41.37,41.08,"24,805,400"
"Apr 27, 2023",37.70,40.42,37.60,40.27,39.99,"31,581,400"
"Apr 26, 2023",36.68,36.95,36.39,36.52,36.27,"19,547,800"
"Apr 25, 2023",36.97,37.13,36.75,36.90,36.64,"18,185,400"
"Apr 24, 2023",37.67,37.73,37.08,37.21,36.95,"13,364,800"
"Apr 21, 2023",37.80,37.85,37.50,37.74,37.48,"13,679,400"
"Apr 20, 2023",38.04,38.17,37.58,37.73,37.47,"14,347,700"
"Apr 19, 2023",38.03,38.43,37.98,38.25,37.98,"13,401,000"
"Apr 18, 2023",38.85,39.06,37.95,38.27,38.00,"17,250,100"
"Apr 17, 2023",37.99,38.24,37.94,38.09,37.82,"14,930,500"
"Apr 14, 2023",37.99,38.21,37.43,37.96,37.70,"19,679,100"
"Apr 13, 2023",37.89,38.30,37.74,38.05,37.78,"15,539,200"
"Apr 12, 2023",38.70,38.74,37.54,37.64,37.38,"16,207,500"
"Apr 11, 2023",38.33,38.69,38.28,38.38,38.11,"14,214,800"
"Apr 10, 2023",37.53,38.28,37.42,38.23,37.96,"12,432,400"
"Apr 06, 2023",38.04,38.08,37.55,37.69,37.43,"20,359,100"
"Apr 05, 2023",37.63,38.10,37.53,37.92,37.66,"16,510,500"
"Apr 04, 2023",37.95,38.04,37.46,37.77,37.51,"20,121,000"
"Apr 03, 2023",38.00,38.35,37.82,38.01,37.46,"19,698,300"
"Mar 31, 2023",37.28,37.95,37.21,37.91,37.36,"15,858,200"
"Mar 30, 2023",37.39,37.40,36.97,37.15,36.61,"14,922,200"
"Mar 29, 2023",36.83,36.99,36.73,36.95,36.41,"14,579,700"
"Mar 28, 2023",36.41,36.79,36.35,36.45,35.92,"11,818,100"
"Mar 27, 2023",36.18,36.62,36.17,36.40,35.87,"16,333,800"
