Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",94.80,96.92,93.55,94.76,94.76,"7,228,000"
"Jul 27, 2023",102.59,102.73,91.80,92.69,92.69,"12,232,300"
"Jul 26, 2023",97.37,101.32,97.28,99.75,99.75,"6,575,800"
"Jul 25, 2023",99.34,102.59,97.63,97.68,97.68,"7,726,000"
"Jul 24, 2023",99.23,100.39,95.70,98.85,98.85,"9,755,700"
"Jul 21, 2023",102.57,104.33,98.71,100.82,100.82,"10,464,800"
"Jul 20, 2023",109.26,111.88,100.37,101.26,101.26,"15,274,600"
"Jul 19, 2023",107.31,111.06,105.08,110.15,110.15,"15,920,800"
"Jul 18, 2023",104.50,109.85,101.90,104.59,104.59,"17,582,100"
"Jul 17, 2023",104.57,109.48,103.50,105.55,105.55,"19,191,400"
"Jul 14, 2023",106.68,114.43,101.22,105.31,105.31,"42,087,400"
"Jul 13, 2023",85.35,109.21,83.42,107.00,107.00,"65,424,400"
"Jul 12, 2023",89.00,89.07,84.45,85.95,85.95,"16,752,300"
"Jul 11, 2023",80.49,92.15,80.49,89.15,89.15,"35,672,100"
"Jul 10, 2023",79.08,81.37,76.55,81.21,81.21,"10,739,700"
"Jul 07, 2023",78.15,81.19,77.62,78.72,78.72,"13,254,500"
"Jul 06, 2023",78.05,78.46,74.52,78.10,78.10,"11,110,400"
"Jul 05, 2023",76.90,79.93,76.16,78.35,78.35,"14,670,000"
"Jul 03, 2023",73.20,80.85,73.01,79.93,79.93,"19,891,700"
"Jun 30, 2023",73.8,74.97,68.15,71.55,71.55,"24,558,900"
"Jun 29, 2023",72.03,74.18,70.83,72.43,72.43,"14,730,500"
"Jun 28, 2023",69.0,74.31,69.0,70.75,70.75,"23,086,200"
"Jun 27, 2023",63.8,70.37,62.84,69.89,69.89,"25,447,400"
"Jun 26, 2023",61.1,66.16,61.0,61.94,61.94,"20,724,100"
"Jun 23, 2023",56.85,61.89,55.75,61.47,61.47,"26,042,300"
"Jun 22, 2023",58.98,59.28,55.1,57.49,57.49,"12,837,400"
"Jun 21, 2023",58.9,59.24,56.82,58.1,58.1,"20,569,700"
"Jun 20, 2023",55.9,57.94,53.63,57.09,57.09,"14,143,500"
"Jun 16, 2023",55.41,56.28,53.9,55.59,55.59,"13,726,100"
"Jun 15, 2023",52.71,54.58,50.93,54.25,54.25,"11,801,700"
"Jun 14, 2023",52.81,54.79,51.56,53.9,53.9,"11,241,200"
"Jun 13, 2023",51.8,52.66,50.52,52.4,52.4,"11,560,800"
"Jun 12, 2023",52.53,52.93,50.1,50.56,50.56,"12,447,200"
"Jun 09, 2023",55.0,57.42,52.48,53.28,53.28,"14,365,000"
"Jun 08, 2023",52.21,55.05,51.96,54.9,54.9,"12,773,600"
"Jun 07, 2023",53.29,54.0,51.7,53.26,53.26,"18,905,500"
"Jun 06, 2023",47.1,52.38,46.43,51.61,51.61,"56,259,900"
"Jun 05, 2023",63.38,64.44,55.81,58.71,58.71,"26,413,200"
"Jun 02, 2023",65.11,65.22,62.0,64.55,64.55,"8,599,200"
"Jun 01, 2023",61.8,66.36,60.67,63.57,63.57,"11,729,000"
"May 31, 2023",59.3,62.59,59.21,62.2,62.2,"10,112,600"
"May 30, 2023",60.1,63.38,59.23,61.17,61.17,"14,814,200"
"May 26, 2023",56.86,58.91,56.63,56.92,56.92,"7,788,100"
"May 25, 2023",58.56,59.14,55.88,56.87,56.87,"7,997,400"
"May 24, 2023",57.78,58.97,56.6,58.36,58.36,"8,198,300"
"May 23, 2023",61.0,63.25,58.67,59.1,59.1,"12,208,200"
"May 22, 2023",56.89,61.1,55.9,61.07,61.07,"12,683,400"
"May 19, 2023",60.57,61.47,56.59,56.78,56.78,"12,474,800"
"May 18, 2023",60.47,61.7,58.6,60.26,60.26,"8,330,300"
"May 17, 2023",57.49,61.31,57.3,61.04,61.04,"8,998,400"
"May 16, 2023",58.68,60.11,57.14,57.88,57.88,"7,867,900"
"May 15, 2023",58.4,61.3,57.2,60.77,60.77,"9,429,300"
"May 12, 2023",60.89,61.13,56.77,57.34,57.34,"9,096,200"
"May 11, 2023",62.41,63.11,59.77,60.35,60.35,"8,843,500"
"May 10, 2023",61.45,63.75,59.89,62.64,62.64,"15,481,300"
"May 09, 2023",57.9,60.24,56.59,60.21,60.21,"9,641,200"
"May 08, 2023",55.9,58.8,54.61,58.1,58.1,"15,259,400"
"May 05, 2023",54.05,58.58,53.75,58.24,58.24,"25,551,700"
"May 04, 2023",48.72,50.47,47.65,49.22,49.22,"13,044,400"
"May 03, 2023",50.15,51.6,48.31,48.49,48.49,"13,325,600"
"May 02, 2023",50.2,52.14,48.26,51.32,51.32,"16,778,400"
"May 01, 2023",53.17,54.38,48.45,50.14,50.14,"18,437,900"
"Apr 28, 2023",53.65,54.52,52.17,53.79,53.79,"11,629,800"
"Apr 27, 2023",54.67,55.72,53.58,54.17,54.17,"12,010,900"
"Apr 26, 2023",59.51,59.51,53.6,53.89,53.89,"16,761,200"
"Apr 25, 2023",55.71,56.09,53.62,55.55,55.55,"14,383,300"
"Apr 24, 2023",58.96,59.09,54.08,54.75,54.75,"21,135,700"
"Apr 21, 2023",61.08,61.45,58.71,59.04,59.04,"13,235,100"
"Apr 20, 2023",63.23,65.33,60.17,60.5,60.5,"11,452,900"
"Apr 19, 2023",64.36,65.94,63.4,64.44,64.44,"10,327,000"
"Apr 18, 2023",70.39,71.79,66.55,67.26,67.26,"14,835,500"
"Apr 17, 2023",67.12,68.05,64.9,67.72,67.72,"13,344,200"
"Apr 14, 2023",69.3,71.7,67.87,69.91,69.91,"12,887,200"
"Apr 13, 2023",69.89,72.53,68.05,68.95,68.95,"19,718,500"
"Apr 12, 2023",70.77,72.02,66.23,67.84,67.84,"16,773,400"
"Apr 11, 2023",68.09,72.61,67.24,70.19,70.19,"25,348,800"
"Apr 10, 2023",61.37,66.19,59.66,66.13,66.13,"14,391,800"
"Apr 06, 2023",59.57,62.74,58.2,61.44,61.44,"11,875,200"
"Apr 05, 2023",62.54,63.05,59.22,60.78,60.78,"10,788,900"
"Apr 04, 2023",64.66,65.4,60.95,62.54,62.54,"11,654,400"
"Apr 03, 2023",66.01,68.33,62.7,63.61,63.61,"14,040,300"
"Mar 31, 2023",64.7,68.57,63.93,67.57,67.57,"15,926,600"
"Mar 30, 2023",66.53,67.17,63.68,64.16,64.16,"11,563,100"
"Mar 29, 2023",65.42,68.63,63.77,65.3,65.3,"17,673,800"
"Mar 28, 2023",62.32,64.05,61.11,63.04,63.04,"11,635,900"
"Mar 27, 2023",67.2,67.6,60.51,62.54,62.54,"23,531,300"
"Mar 24, 2023",64.18,68.73,63.53,67.83,67.83,"21,614,100"
"Mar 23, 2023",61.85,70.0,61.51,66.3,66.3,"43,152,800"
"Mar 22, 2023",84.25,85.38,76.86,77.14,77.14,"24,463,200"
"Mar 21, 2023",76.24,85.05,75.77,83.99,83.99,"22,991,900"
"Mar 20, 2023",76.76,77.06,72.87,75.14,75.14,"19,026,400"
"Mar 17, 2023",70.52,76.8,69.1,74.98,74.98,"31,006,200"
"Mar 16, 2023",64.4,68.62,63.12,67.78,67.78,"15,474,500"
