Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",534.17,539.56,533.63,538.38,538.38,"2,221,900"
"Jun 29, 2023",530.58,532.45,528.95,531.69,531.69,"1,121,800"
"Jun 28, 2023",528.98,533.49,528.61,532.80,532.80,"1,245,200"
"Jun 27, 2023",522.65,532.41,522.10,530.33,530.33,"1,673,600"
"Jun 26, 2023",524.40,524.87,521.26,523.42,523.42,"1,278,500"
"Jun 23, 2023",523.13,525.40,519.34,524.44,524.44,"1,433,700"
"Jun 22, 2023",520.69,524.68,519.68,524.20,524.20,"1,114,000"
"Jun 21, 2023",517.91,521.64,516.54,519.62,519.62,"1,273,600"
"Jun 20, 2023",521.95,522.90,518.14,519.70,519.70,"1,684,400"
"Jun 16, 2023",530.10,530.42,522.63,523.65,523.65,"3,147,400"
"Jun 15, 2023",529.00,531.26,526.66,529.18,529.18,"1,871,600"
"Jun 14, 2023",525.00,527.85,523.14,527.20,527.20,"1,841,400"
"Jun 13, 2023",522.02,522.95,517.91,522.02,522.02,"1,204,700"
"Jun 12, 2023",517.28,521.27,516.00,520.97,520.97,"1,404,500"
"Jun 09, 2023",518.19,522.06,515.50,517.28,517.28,"1,287,300"
"Jun 08, 2023",512.50,520.29,512.50,520.09,520.09,"1,530,400"
"Jun 07, 2023",514.51,519.29,510.57,511.23,511.23,"1,784,700"
"Jun 06, 2023",518.25,518.63,512.76,516.26,516.26,"1,410,300"
"Jun 05, 2023",512.59,518.92,512.02,518.25,518.25,"2,023,500"
"Jun 02, 2023",510.32,518.50,509.40,512.59,512.59,"2,283,900"
"Jun 01, 2023",509.33,513.74,502.10,512.60,512.60,"2,407,700"
"May 31, 2023",508.86,513.87,504.95,511.56,511.56,"3,320,800"
"May 30, 2023",509.79,514.79,501.59,508.03,508.03,"2,544,800"
"May 26, 2023",485.65,510.75,484.12,507.26,507.26,"5,302,600"
"May 25, 2023",480.21,488.54,476.75,486.55,486.55,"3,421,900"
"May 24, 2023",487.25,487.25,480.91,482.76,482.76,"1,600,600"
"May 23, 2023",487.17,487.17,482.97,484.87,484.87,"1,800,200"
"May 22, 2023",497.00,497.00,488.54,491.87,491.87,"1,943,800"
