Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",155.50,157.04,153.50,155.60,155.60,"2,003,100"
"Jul 27, 2023",156.95,158.08,152.20,152.85,152.85,"2,671,000"
"Jul 26, 2023",150.28,154.95,148.45,154.63,154.63,"2,798,600"
"Jul 25, 2023",150.62,153.41,150.54,150.94,150.94,"2,246,200"
"Jul 24, 2023",150.97,151.79,147.15,149.74,149.74,"2,745,100"
"Jul 21, 2023",149.93,152.38,148.88,150.90,150.90,"5,949,600"
"Jul 20, 2023",154.93,156.14,147.50,148.07,148.07,"4,791,900"
"Jul 19, 2023",155.00,161.50,154.90,157.61,157.61,"4,787,500"
"Jul 18, 2023",153.00,154.23,150.74,152.95,152.95,"2,411,900"
"Jul 17, 2023",149.07,155.56,148.43,152.73,152.73,"3,687,600"
"Jul 14, 2023",150.45,152.24,148.93,149.40,149.40,"2,642,900"
"Jul 13, 2023",147.98,153.54,147.53,150.75,150.75,"4,044,700"
"Jul 12, 2023",153.19,153.93,144.34,146.13,146.13,"4,597,300"
"Jul 11, 2023",150.75,152.74,149.27,150.79,150.79,"3,520,700"
"Jul 10, 2023",143.80,149.98,143.50,149.95,149.95,"3,451,900"
"Jul 07, 2023",143.51,146.80,143.48,144.05,144.05,"2,280,900"
"Jul 06, 2023",142.75,143.71,139.37,143.61,143.61,"3,788,800"
"Jul 05, 2023",145.56,147.27,144.88,145.08,145.08,"3,179,100"
"Jul 03, 2023",147.18,147.55,145.01,145.96,145.96,"1,386,400"
"Jun 30, 2023",145.09,149.32,144.87,146.87,146.87,"3,091,300"
"Jun 29, 2023",145.77,146.49,143.17,143.99,143.99,"2,450,100"
"Jun 28, 2023",143.89,146.02,142.44,145.09,145.09,"2,374,800"
"Jun 27, 2023",142.49,145.07,142.07,144.28,144.28,"2,563,100"
"Jun 26, 2023",143.04,145.18,141.35,141.81,141.81,"2,186,100"
"Jun 23, 2023",143.43,144.95,142.21,143.65,143.65,"2,897,700"
"Jun 22, 2023",142.56,146.94,141.5,145.8,145.8,"3,306,400"
"Jun 21, 2023",150.58,151.38,143.27,143.85,143.85,"6,245,200"
"Jun 20, 2023",152.6,155.72,150.26,152.08,152.08,"3,595,400"
"Jun 16, 2023",162.1,162.25,154.81,155.14,155.14,"6,347,700"
"Jun 15, 2023",153.23,161.19,152.22,159.81,159.81,"7,568,000"
"Jun 14, 2023",153.15,154.0,150.68,153.96,153.96,"2,673,700"
"Jun 13, 2023",153.06,154.27,150.57,153.11,153.11,"3,145,800"
"Jun 12, 2023",150.24,151.86,148.91,151.11,151.11,"2,446,200"
"Jun 09, 2023",153.53,153.83,146.84,149.53,149.53,"3,548,600"
"Jun 08, 2023",149.12,151.69,148.51,151.3,151.3,"2,276,600"
"Jun 07, 2023",154.75,155.9,148.4,149.23,149.23,"3,492,100"
"Jun 06, 2023",153.78,155.77,152.4,153.04,153.04,"2,894,400"
"Jun 05, 2023",151.05,154.76,148.24,154.08,154.08,"4,680,700"
"Jun 02, 2023",158.66,159.4,150.53,151.32,151.32,"7,981,700"
"Jun 01, 2023",146.72,159.79,142.49,157.55,157.55,"15,842,100"
"May 31, 2023",158.83,161.79,157.01,160.13,160.13,"10,277,600"
"May 30, 2023",159.54,160.78,154.91,158.59,158.59,"6,715,700"
"May 26, 2023",150.29,158.18,150.0,154.12,154.12,"5,650,100"
"May 25, 2023",150.65,151.13,147.19,149.61,149.61,"3,556,400"
"May 24, 2023",144.05,149.48,143.15,149.2,149.2,"4,865,800"
"May 23, 2023",146.11,148.63,143.79,143.9,143.9,"3,223,100"
"May 22, 2023",144.26,148.56,143.82,147.41,147.41,"3,433,400"
"May 19, 2023",142.74,148.34,142.39,144.72,144.72,"6,018,200"
"May 18, 2023",137.44,141.96,137.23,141.85,141.85,"3,952,100"
"May 17, 2023",134.84,139.09,133.61,137.23,137.23,"3,147,600"
"May 16, 2023",134.0,135.61,133.3,134.01,134.01,"1,963,500"
"May 15, 2023",130.89,135.92,130.41,135.55,135.55,"3,140,600"
"May 12, 2023",132.76,132.94,129.25,130.23,130.23,"2,024,700"
"May 11, 2023",134.4,134.81,131.27,132.15,132.15,"2,557,800"
"May 10, 2023",132.35,135.96,131.03,133.8,133.8,"3,995,600"
"May 09, 2023",132.41,134.17,129.16,129.94,129.94,"3,388,900"
"May 08, 2023",126.0,132.88,125.4,132.41,132.41,"6,057,700"
"May 05, 2023",119.23,123.23,119.02,122.45,122.45,"2,992,200"
"May 04, 2023",118.39,120.16,117.45,117.88,117.88,"2,130,200"
"May 03, 2023",116.46,119.03,115.67,117.67,117.67,"1,908,600"
"May 02, 2023",118.9,119.15,116.04,116.74,116.74,"3,077,400"
"May 01, 2023",118.56,119.94,116.89,118.79,118.79,"3,724,400"
"Apr 28, 2023",123.2,123.97,119.42,120.05,120.05,"5,191,100"
"Apr 27, 2023",125.19,127.5,123.56,126.05,126.05,"3,097,300"
"Apr 26, 2023",123.82,125.92,122.87,124.12,124.12,"2,706,700"
"Apr 25, 2023",128.19,128.47,121.81,122.15,122.15,"6,106,600"
"Apr 24, 2023",132.49,133.73,129.02,130.4,130.4,"2,054,400"
"Apr 21, 2023",130.58,132.74,130.15,132.25,132.25,"1,937,600"
"Apr 20, 2023",131.03,131.92,129.07,129.89,129.89,"2,445,800"
"Apr 19, 2023",135.0,135.69,132.01,132.83,132.83,"2,859,200"
"Apr 18, 2023",139.05,139.89,136.13,136.38,136.38,"1,926,900"
"Apr 17, 2023",136.66,137.95,134.64,137.37,137.37,"2,346,500"
"Apr 14, 2023",134.45,136.7,133.86,135.77,135.77,"2,912,500"
"Apr 13, 2023",136.6,140.21,135.72,136.1,136.1,"4,748,400"
"Apr 12, 2023",132.5,137.16,131.16,135.0,135.0,"5,517,800"
"Apr 11, 2023",127.54,131.72,127.27,129.86,129.86,"4,014,700"
"Apr 10, 2023",126.72,128.18,124.55,128.1,128.1,"2,673,600"
