Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",52.06,52.42,51.77,52.09,52.09,"27,491,300"
"Jul 27, 2023",53.60,53.89,52.86,53.00,53.00,"15,795,500"
"Jul 26, 2023",53.54,53.65,52.96,53.22,53.22,"13,563,700"
"Jul 25, 2023",53.19,53.76,53.11,53.60,53.60,"16,136,600"
"Jul 24, 2023",52.69,53.31,52.67,53.11,53.11,"18,390,200"
"Jul 21, 2023",52.75,53.00,52.53,52.63,52.63,"51,284,200"
"Jul 20, 2023",52.06,52.87,51.92,52.37,52.37,"22,784,400"
"Jul 19, 2023",52.21,52.44,51.70,52.43,52.43,"21,745,000"
"Jul 18, 2023",50.98,51.37,50.85,51.24,51.24,"16,434,200"
"Jul 17, 2023",50.20,50.95,50.14,50.81,50.81,"16,140,700"
"Jul 14, 2023",50.42,50.97,50.06,50.38,50.38,"19,564,800"
"Jul 13, 2023",50.69,51.62,50.65,51.53,51.53,"17,864,800"
"Jul 12, 2023",51.56,51.93,50.53,50.74,50.74,"26,332,500"
"Jul 11, 2023",51.57,52.15,51.54,52.12,52.12,"15,002,700"
"Jul 10, 2023",51.07,51.50,51.02,51.40,51.40,"19,046,500"
"Jul 07, 2023",51.00,51.65,50.74,50.99,50.99,"15,579,600"
"Jul 06, 2023",51.07,51.19,50.65,51.11,51.11,"13,931,100"
"Jul 05, 2023",50.97,51.57,50.93,51.51,51.51,"14,950,500"
"Jul 03, 2023",51.36,51.83,51.33,51.82,51.43,"7,338,300"
"Jun 30, 2023",51.88,52.26,51.52,51.74,51.35,"18,186,300"
"Jun 29, 2023",50.86,51.27,50.82,51.21,50.82,"14,246,000"
"Jun 28, 2023",50.78,51.02,50.44,50.87,50.49,"11,387,600"
"Jun 27, 2023",50.31,51.04,50.25,50.86,50.48,"12,981,000"
"Jun 26, 2023",50.31,50.8,50.18,50.21,49.83,"13,032,100"
"Jun 23, 2023",50.64,50.72,50.09,50.33,49.95,"16,540,300"
"Jun 22, 2023",50.65,51.14,50.43,51.12,50.74,"14,993,800"
"Jun 21, 2023",51.38,51.4,50.82,50.85,50.47,"16,939,600"
"Jun 20, 2023",51.94,52.08,51.47,51.55,51.16,"20,138,000"
"Jun 16, 2023",52.2,52.41,51.93,52.07,51.68,"37,133,300"
"Jun 15, 2023",50.91,52.07,50.83,51.93,51.54,"22,496,900"
"Jun 14, 2023",50.8,51.22,50.63,50.96,50.58,"16,630,700"
"Jun 13, 2023",50.69,50.94,50.45,50.8,50.42,"24,035,500"
"Jun 12, 2023",49.92,50.51,49.67,50.48,50.1,"15,495,000"
"Jun 09, 2023",49.53,49.97,49.37,49.66,49.29,"12,173,400"
"Jun 08, 2023",49.92,50.0,49.57,49.68,49.31,"13,289,100"
"Jun 07, 2023",49.7,50.14,49.65,49.78,49.41,"15,950,600"
"Jun 06, 2023",49.79,49.91,49.14,49.81,49.44,"16,029,600"
"Jun 05, 2023",50.22,50.58,50.04,50.21,49.83,"13,964,100"
"Jun 02, 2023",49.87,50.25,49.73,50.02,49.64,"19,153,700"
"Jun 01, 2023",49.76,50.09,49.26,49.74,49.37,"17,817,000"
"May 31, 2023",49.91,50.03,49.61,49.67,49.3,"51,990,300"
"May 30, 2023",49.99,50.49,49.74,50.17,49.79,"19,074,800"
"May 26, 2023",49.11,50.09,49.11,49.86,49.48,"19,825,600"
"May 25, 2023",47.77,49.23,47.72,49.03,48.66,"21,717,000"
"May 24, 2023",48.95,49.0,48.17,48.41,48.05,"15,452,900"
"May 23, 2023",48.61,49.35,48.6,48.91,48.54,"17,645,900"
"May 22, 2023",49.11,49.23,48.77,48.82,48.45,"18,667,500"
"May 19, 2023",48.43,49.34,48.4,49.13,48.76,"28,561,700"
"May 18, 2023",45.76,48.25,45.7,48.2,47.84,"41,475,700"
"May 17, 2023",47.15,47.76,47.01,47.63,47.27,"29,326,000"
"May 16, 2023",47.24,47.33,46.8,46.92,46.57,"16,496,300"
"May 15, 2023",46.8,47.26,46.56,47.1,46.75,"13,204,400"
"May 12, 2023",46.28,46.81,46.28,46.71,46.36,"14,094,800"
"May 11, 2023",46.83,46.85,46.2,46.37,46.02,"12,521,900"
"May 10, 2023",46.7,46.93,46.15,46.71,46.36,"15,625,100"
