Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",42.54,45.60,40.87,44.02,44.02,"23,620,600"
"Jul 27, 2023",43.65,44.34,39.70,40.46,40.46,"16,844,400"
"Jul 26, 2023",44.50,45.58,42.60,43.75,43.75,"17,293,400"
"Jul 25, 2023",46.35,48.40,43.91,44.11,44.11,"20,681,400"
"Jul 24, 2023",45.80,47.73,43.01,46.24,46.24,"22,073,600"
"Jul 21, 2023",47.14,49.25,43.64,45.62,45.62,"29,733,800"
"Jul 20, 2023",53.37,57.19,45.10,46.73,46.73,"46,125,500"
"Jul 19, 2023",53.99,56.92,47.10,55.80,55.80,"119,949,000"
"Jul 18, 2023",36.60,42.27,36.32,39.80,39.80,"38,800,400"
"Jul 17, 2023",37.77,39.90,36.19,36.53,36.53,"21,073,700"
"Jul 14, 2023",36.89,41.28,35.57,37.70,37.70,"29,171,900"
"Jul 13, 2023",35.67,39.43,34.60,37.68,37.68,"45,335,300"
"Jul 12, 2023",37.39,44.64,35.59,38.89,38.89,"72,824,900"
"Jul 11, 2023",34.41,37.58,32.82,35.57,35.57,"42,291,200"
"Jul 10, 2023",29.36,34.59,28.12,34.27,34.27,"48,778,100"
"Jul 07, 2023",24.85,29.81,24.68,29.45,29.45,"29,286,100"
"Jul 06, 2023",25.30,25.68,23.43,24.32,24.32,"13,141,400"
"Jul 05, 2023",26.49,26.82,24.45,25.85,25.85,"13,080,500"
"Jul 03, 2023",25.90,26.35,25.20,25.80,25.80,"7,548,200"
"Jun 30, 2023",26.78,27.45,25.15,25.92,25.92,"19,331,600"
"Jun 29, 2023",29.01,29.13,24.66,25.74,25.74,"28,143,000"
"Jun 28, 2023",23.72,28.4,23.66,28.03,28.03,"34,977,700"
"Jun 27, 2023",21.85,24.51,21.15,24.3,24.3,"19,206,800"
"Jun 26, 2023",21.64,22.33,20.6,20.91,20.91,"12,252,700"
"Jun 23, 2023",24.99,25.87,21.4,21.41,21.41,"29,560,100"
