Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",75.93,75.93,74.30,74.61,74.61,"9,475,100"
"Jul 27, 2023",75.32,75.99,75.26,75.47,75.47,"8,764,300"
"Jul 26, 2023",75.57,76.22,75.01,75.10,75.10,"9,856,600"
"Jul 25, 2023",75.75,75.98,75.41,75.66,75.66,"8,630,100"
"Jul 24, 2023",75.23,76.21,75.20,75.95,75.95,"7,495,800"
"Jul 21, 2023",75.18,75.56,74.67,75.05,75.05,"9,613,600"
"Jul 20, 2023",74.11,75.03,73.82,74.87,74.87,"9,869,600"
"Jul 19, 2023",73.26,74.57,73.16,74.38,73.78,"12,922,700"
"Jul 18, 2023",71.54,72.67,71.41,72.31,71.72,"8,480,500"
"Jul 17, 2023",71.22,71.53,70.50,71.17,70.59,"7,804,400"
"Jul 14, 2023",72.00,72.30,71.31,71.38,70.80,"9,698,200"
"Jul 13, 2023",70.78,71.62,70.72,71.22,70.64,"13,087,400"
"Jul 12, 2023",71.57,71.68,70.21,70.47,69.90,"13,736,100"
"Jul 11, 2023",69.65,71.32,69.65,71.27,70.69,"7,182,700"
"Jul 10, 2023",69.00,69.53,68.70,69.36,68.80,"8,087,100"
"Jul 07, 2023",69.54,70.24,69.01,69.17,68.61,"6,687,600"
"Jul 06, 2023",68.87,69.64,68.76,69.54,68.97,"7,952,100"
"Jul 05, 2023",69.50,70.38,69.24,69.59,69.02,"8,947,500"
"Jul 03, 2023",69.12,70.28,68.88,69.77,69.20,"3,489,900"
"Jun 30, 2023",68.96,69.51,68.53,69.13,68.57,"7,887,600"
"Jun 29, 2023",68.14,68.8,67.95,68.76,68.2,"5,941,400"
"Jun 28, 2023",68.68,68.68,67.81,68.14,67.59,"8,893,800"
"Jun 27, 2023",67.96,69.04,67.53,68.68,68.12,"12,286,000"
"Jun 26, 2023",69.83,70.62,69.26,69.85,69.28,"9,453,000"
"Jun 23, 2023",69.37,69.86,69.16,69.6,69.03,"8,563,500"
"Jun 22, 2023",68.98,69.69,68.72,69.41,68.85,"6,912,200"
"Jun 21, 2023",68.29,69.64,68.16,68.77,68.21,"8,191,300"
"Jun 20, 2023",67.75,68.96,67.65,68.67,68.11,"9,137,900"
"Jun 16, 2023",69.29,69.59,67.49,67.72,67.17,"18,202,800"
"Jun 15, 2023",67.43,69.65,67.27,69.5,68.93,"15,509,700"
"Jun 14, 2023",68.27,68.97,66.64,66.65,66.11,"23,633,500"
"Jun 13, 2023",71.5,72.83,71.24,72.26,71.67,"6,632,700"
"Jun 12, 2023",71.58,71.9,71.17,71.5,70.92,"4,868,100"
"Jun 09, 2023",71.99,72.1,71.27,71.76,71.18,"4,701,400"
"Jun 08, 2023",71.53,71.81,71.0,71.75,71.17,"5,084,600"
"Jun 07, 2023",70.7,71.78,70.19,71.48,70.9,"5,969,600"
"Jun 06, 2023",70.74,70.89,69.75,70.51,69.94,"7,401,800"
"Jun 05, 2023",70.51,71.42,70.51,70.74,70.16,"7,932,900"
"Jun 02, 2023",69.34,70.34,68.66,69.99,69.42,"7,343,900"
"Jun 01, 2023",68.34,69.77,68.05,68.88,68.32,"8,319,700"
"May 31, 2023",66.52,68.23,66.34,68.03,67.48,"12,753,400"
"May 30, 2023",67.0,67.37,66.62,67.15,66.6,"10,204,000"
"May 26, 2023",68.05,68.3,66.97,67.64,67.09,"6,493,400"
"May 25, 2023",68.5,68.5,66.61,67.67,67.12,"10,605,400"
"May 24, 2023",69.68,69.8,68.64,68.82,68.26,"6,519,700"
"May 23, 2023",69.3,69.98,68.92,69.67,69.1,"6,672,300"
"May 22, 2023",69.79,69.85,68.71,69.42,68.86,"7,392,200"
"May 19, 2023",69.34,69.89,69.14,69.38,68.82,"7,919,800"
"May 18, 2023",69.25,69.42,68.12,69.31,68.75,"10,537,500"
"May 17, 2023",67.11,69.45,67.1,69.43,68.87,"11,572,100"
"May 16, 2023",68.64,68.74,67.05,67.1,66.55,"8,476,000"
"May 15, 2023",68.58,68.89,68.21,68.85,68.29,"6,472,300"
"May 12, 2023",69.01,69.32,68.28,68.58,68.02,"5,664,500"
"May 11, 2023",69.2,69.63,68.71,68.97,68.41,"6,537,700"
"May 10, 2023",70.19,70.32,69.39,69.71,69.14,"7,125,500"
"May 09, 2023",69.58,70.26,69.48,69.97,69.4,"6,448,000"
"May 08, 2023",70.43,70.51,69.55,69.68,69.11,"8,329,600"
"May 05, 2023",71.01,71.52,70.39,70.68,70.11,"10,647,100"
"May 04, 2023",69.61,70.17,68.1,68.79,68.23,"10,416,400"
"May 03, 2023",71.4,71.54,69.32,70.08,69.51,"15,216,200"
"May 02, 2023",73.1,73.73,71.65,72.76,72.17,"9,031,200"
"May 01, 2023",73.59,74.07,72.84,73.89,73.29,"5,965,000"
"Apr 28, 2023",73.03,73.59,72.67,73.31,72.71,"8,103,000"
"Apr 27, 2023",72.32,73.13,72.23,73.06,72.47,"7,151,000"
"Apr 26, 2023",72.44,72.75,71.94,72.26,71.67,"8,486,500"
"Apr 25, 2023",73.05,73.95,72.72,72.87,72.28,"7,496,900"
"Apr 24, 2023",73.2,73.55,72.56,73.44,72.84,"8,101,700"
"Apr 21, 2023",73.54,73.57,72.55,72.84,72.25,"7,054,300"
"Apr 20, 2023",73.25,73.81,72.93,73.25,72.65,"8,579,500"
"Apr 19, 2023",75.25,75.26,73.94,74.21,73.01,"8,784,300"
"Apr 18, 2023",77.07,77.19,75.44,76.14,74.9,"9,382,900"
"Apr 17, 2023",74.25,75.94,74.25,75.8,74.57,"11,724,700"
"Apr 14, 2023",75.78,75.8,74.34,74.7,73.49,"7,434,600"
"Apr 13, 2023",74.94,75.92,74.42,75.42,74.2,"8,439,700"
"Apr 12, 2023",76.34,76.66,74.79,74.92,73.7,"9,602,300"
"Apr 11, 2023",76.44,76.96,76.11,76.29,75.05,"8,746,600"
"Apr 10, 2023",76.95,77.3,75.77,76.04,74.81,"9,299,100"
"Apr 06, 2023",77.95,78.48,77.16,77.54,76.28,"8,778,300"
"Apr 05, 2023",76.39,77.81,76.1,77.75,76.49,"7,645,500"
"Apr 04, 2023",75.99,76.54,75.62,76.25,75.01,"6,469,700"
"Apr 03, 2023",75.03,76.58,74.75,76.09,74.86,"9,742,200"
"Mar 31, 2023",74.77,74.89,74.08,74.31,73.1,"10,515,000"
"Mar 30, 2023",75.15,75.23,74.04,74.7,73.49,"6,523,500"
"Mar 29, 2023",73.68,74.11,73.16,74.09,72.89,"8,064,000"
"Mar 28, 2023",73.6,74.26,72.9,73.12,71.93,"6,457,100"
"Mar 27, 2023",74.13,74.56,73.32,73.57,72.38,"5,587,500"
"Mar 24, 2023",72.33,73.56,72.13,73.26,72.07,"6,061,500"
"Mar 23, 2023",74.22,74.22,72.11,72.37,71.2,"9,031,800"
"Mar 22, 2023",75.73,76.3,74.39,74.41,73.2,"6,806,000"
"Mar 21, 2023",75.51,75.66,74.75,75.56,74.33,"6,779,800"
"Mar 20, 2023",74.63,75.59,74.63,74.98,73.76,"6,191,000"
"Mar 17, 2023",75.85,75.95,73.91,74.37,73.16,"16,807,800"
"Mar 16, 2023",75.06,76.15,74.58,75.83,74.6,"6,639,100"
"Mar 15, 2023",74.9,75.44,74.52,75.4,74.18,"7,989,900"
"Mar 14, 2023",76.76,76.89,74.79,75.56,74.33,"8,180,500"
"Mar 13, 2023",76.48,77.62,75.9,76.28,75.04,"7,165,400"
"Mar 10, 2023",77.01,78.16,76.87,77.1,75.85,"7,852,500"
"Mar 09, 2023",79.97,80.07,76.66,77.0,75.75,"11,040,400"
"Mar 08, 2023",80.33,80.65,79.53,79.81,78.52,"6,657,000"
"Mar 07, 2023",82.65,83.0,80.24,80.45,79.15,"9,669,600"
"Mar 06, 2023",82.0,83.0,81.65,82.97,81.62,"10,156,100"
"Mar 03, 2023",81.95,81.96,81.22,81.81,80.48,"12,145,900"
"Mar 02, 2023",82.05,82.39,81.36,81.43,80.11,"10,094,700"
"Mar 01, 2023",82.9,83.26,81.98,82.47,81.13,"7,444,400"
"Feb 28, 2023",84.84,84.94,83.14,83.54,82.18,"9,559,100"
"Feb 27, 2023",86.04,86.28,84.63,84.84,83.46,"7,933,300"
"Feb 24, 2023",86.45,86.69,85.47,85.77,84.38,"9,271,000"
"Feb 23, 2023",87.41,87.9,86.72,86.87,85.46,"7,283,000"
"Feb 22, 2023",87.55,87.76,86.95,87.21,85.8,"5,614,400"
"Feb 21, 2023",88.11,88.59,87.26,87.62,86.2,"7,245,900"
"Feb 17, 2023",88.11,88.75,87.87,88.58,87.14,"7,320,800"
"Feb 16, 2023",87.47,88.62,87.35,87.97,86.54,"8,317,900"
"Feb 15, 2023",87.92,88.47,87.74,88.35,86.92,"6,435,700"
"Feb 14, 2023",89.87,89.99,88.14,88.52,87.08,"7,497,400"
"Feb 13, 2023",89.58,90.58,89.14,89.87,88.41,"7,818,900"
"Feb 10, 2023",90.34,90.6,89.5,89.66,88.21,"7,718,500"
"Feb 09, 2023",89.33,90.62,89.2,90.07,88.61,"10,703,400"
"Feb 08, 2023",87.89,90.25,87.75,88.96,87.52,"17,068,700"
"Feb 07, 2023",85.15,86.63,84.6,85.98,84.59,"15,264,800"
"Feb 06, 2023",85.89,86.59,85.2,85.25,83.87,"8,319,400"
"Feb 03, 2023",86.7,87.6,85.61,85.77,84.38,"7,256,700"
"Feb 02, 2023",86.54,86.97,85.46,86.18,84.78,"11,244,300"
"Feb 01, 2023",88.01,88.18,86.68,87.49,86.07,"7,420,300"
"Jan 31, 2023",87.5,88.5,87.07,88.22,86.79,"8,189,900"
"Jan 30, 2023",87.89,88.39,86.99,87.05,85.64,"8,540,000"
"Jan 27, 2023",87.75,88.12,87.0,87.78,86.36,"7,480,900"
"Jan 26, 2023",86.46,87.76,86.03,87.66,86.24,"9,263,400"
"Jan 25, 2023",85.39,86.01,84.82,85.75,84.36,"18,389,700"
"Jan 24, 2023",86.48,86.83,85.92,86.02,84.62,"14,708,600"
"Jan 23, 2023",87.0,87.45,86.75,87.2,85.79,"14,720,100"
"Jan 20, 2023",87.48,87.49,86.75,87.0,85.59,"13,008,000"
"Jan 19, 2023",87.71,88.31,87.05,87.48,86.06,"11,430,400"
"Jan 18, 2023",89.59,89.75,88.03,88.2,86.17,"9,495,000"
"Jan 17, 2023",90.1,90.56,89.11,89.37,87.32,"12,365,300"
"Jan 13, 2023",88.7,90.4,88.51,89.92,87.85,"10,209,500"
"Jan 12, 2023",89.79,89.97,89.03,89.18,87.13,"10,466,200"
"Jan 11, 2023",91.56,91.69,89.35,89.75,87.69,"10,221,100"
"Jan 10, 2023",90.85,91.37,88.5,90.65,88.57,"10,828,300"
"Jan 09, 2023",92.14,93.25,91.42,91.49,89.39,"10,415,900"
"Jan 06, 2023",91.33,91.93,90.98,91.6,89.5,"8,957,500"
"Jan 05, 2023",91.71,92.17,90.43,90.45,88.37,"8,441,600"
"Jan 04, 2023",93.28,93.41,91.66,91.98,89.87,"7,330,400"
"Jan 03, 2023",91.72,93.05,91.04,92.91,90.78,"6,543,500"
"Dec 30, 2022",93.25,93.45,92.49,93.19,91.05,"3,568,500"
"Dec 29, 2022",93.21,93.75,92.92,93.45,91.3,"3,297,200"
"Dec 28, 2022",93.4,93.69,92.58,92.76,90.63,"3,807,000"
"Dec 27, 2022",93.11,93.32,92.13,93.02,90.88,"3,977,400"
"Dec 23, 2022",93.31,94.21,93.07,93.56,91.41,"7,307,000"
"Dec 22, 2022",93.52,94.04,92.44,93.4,91.25,"5,384,100"
"Dec 21, 2022",95.59,95.62,93.01,94.12,91.96,"6,278,400"
