Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",157.46,157.92,156.60,157.35,157.35,"6,346,600"
"Jun 29, 2023",155.43,156.27,154.44,156.24,156.24,"5,633,500"
"Jun 28, 2023",153.44,155.02,152.19,154.92,154.92,"5,773,800"
"Jun 27, 2023",153.50,154.71,152.82,153.53,153.53,"6,581,700"
"Jun 26, 2023",151.62,154.97,151.54,154.01,154.01,"7,371,800"
"Jun 23, 2023",151.01,151.70,150.13,151.35,151.35,"15,172,700"
"Jun 22, 2023",153.35,153.59,151.97,152.64,152.64,"7,088,600"
"Jun 21, 2023",152.67,155.96,152.50,154.88,154.88,"7,328,200"
"Jun 20, 2023",156.15,156.57,152.24,153.68,153.68,"10,438,700"
"Jun 16, 2023",158.57,159.24,157.26,157.26,157.26,"22,908,100"
"Jun 15, 2023",157.32,159.79,157.32,158.28,158.28,"7,705,400"
"Jun 14, 2023",159.98,160.77,156.15,157.09,157.09,"7,721,100"
"Jun 13, 2023",158.52,160.58,158.27,158.51,158.51,"7,660,800"
"Jun 12, 2023",157.06,159.33,156.23,157.33,157.33,"7,159,600"
"Jun 09, 2023",159.28,160.39,158.62,158.86,158.86,"6,669,500"
"Jun 08, 2023",160.16,160.49,157.09,159.24,159.24,"7,142,200"
"Jun 07, 2023",156.55,160.21,156.50,159.83,159.83,"9,900,000"
"Jun 06, 2023",153.33,156.16,153.20,155.79,155.79,"6,176,400"
"Jun 05, 2023",158.45,158.45,155.24,155.51,155.51,"6,443,800"
"Jun 02, 2023",154.58,156.75,153.61,156.26,156.26,"9,460,100"
"Jun 01, 2023",151.30,153.74,149.74,152.16,152.16,"9,887,700"
"May 31, 2023",151.54,152.42,150.36,150.62,150.62,"13,346,400"
"May 30, 2023",151.67,153.26,151.21,153.12,153.12,"7,814,800"
"May 26, 2023",155.29,155.63,153.46,154.08,154.08,"7,736,200"
"May 25, 2023",154.68,155.63,153.50,154.56,154.56,"7,037,700"
"May 24, 2023",157.95,158.57,156.29,157.27,157.27,"7,064,000"
"May 23, 2023",154.14,157.68,153.84,156.85,156.85,"10,436,200"
"May 22, 2023",153.79,154.83,152.09,152.44,152.44,"11,661,000"
"May 19, 2023",154.89,156.44,153.99,155.23,155.23,"8,099,200"
"May 18, 2023",152.87,154.24,151.53,154.01,154.01,"7,477,700"
"May 17, 2023",154.79,156.42,153.96,155.71,154.20,"6,169,600"
"May 16, 2023",156.48,157.02,153.33,153.51,152.02,"7,007,700"
"May 15, 2023",157.23,158.16,156.23,157.20,155.68,"5,096,700"
"May 12, 2023",157.00,157.93,155.56,156.62,155.10,"4,897,500"
"May 11, 2023",155.38,156.32,153.89,156.22,154.71,"6,666,100"
"May 10, 2023",160.44,160.44,155.88,157.09,155.57,"6,161,200"
"May 09, 2023",158.11,160.42,157.91,159.12,157.58,"5,019,800"
"May 08, 2023",161.57,162.30,159.52,159.58,158.03,"5,028,200"
"May 05, 2023",159.30,161.12,158.78,160.21,158.66,"5,801,500"
"May 04, 2023",157.11,158.20,155.42,156.22,154.71,"7,500,400"
"May 03, 2023",158.15,159.57,156.74,156.83,155.31,"7,538,100"
"May 02, 2023",165.32,165.38,158.45,160.04,158.49,"10,701,700"
"May 01, 2023",167.71,168.73,166.36,167.24,165.62,"6,099,800"
"Apr 28, 2023",164.50,168.94,164.05,168.58,166.95,"10,033,600"
"Apr 27, 2023",166.43,167.39,165.07,166.95,165.33,"6,417,200"
"Apr 26, 2023",168.21,168.95,165.23,165.98,164.37,"5,927,400"
"Apr 25, 2023",170.32,170.40,168.43,168.99,167.35,"5,807,200"
