Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",46.65,47.73,46.49,47.54,47.44,"13,325,700"
"Jun 29, 2023",46.75,47.41,46.22,46.31,46.21,"15,246,600"
"Jun 28, 2023",46.27,46.91,46.05,46.71,46.61,"17,184,100"
"Jun 27, 2023",43.68,46.27,43.37,46.09,45.99,"25,947,100"
"Jun 26, 2023",42.85,43.58,42.66,43.14,43.05,"10,820,000"
"Jun 23, 2023",42.25,43.00,42.09,42.86,42.77,"19,580,500"
"Jun 22, 2023",42.61,43.10,42.48,42.94,42.85,"7,195,500"
"Jun 21, 2023",42.49,43.04,42.36,42.79,42.70,"9,063,100"
"Jun 20, 2023",42.42,42.64,42.13,42.48,42.39,"12,208,700"
"Jun 16, 2023",42.86,43.16,42.55,42.79,42.70,"12,213,000"
"Jun 15, 2023",41.74,43.02,41.65,42.88,42.79,"14,463,100"
"Jun 14, 2023",41.71,42.23,41.48,42.19,42.10,"13,048,900"
"Jun 13, 2023",40.39,41.65,40.20,41.56,41.47,"14,333,300"
"Jun 12, 2023",39.58,40.22,39.54,40.20,40.12,"10,953,500"
"Jun 09, 2023",39.12,39.90,39.08,39.28,39.20,"14,940,000"
"Jun 08, 2023",38.24,39.21,38.24,39.11,39.03,"14,879,500"
"Jun 07, 2023",37.84,38.26,37.60,38.23,38.15,"10,268,900"
"Jun 06, 2023",36.65,37.67,36.61,37.64,37.56,"5,744,700"
"Jun 05, 2023",37.08,37.22,36.55,37.10,37.02,"8,285,200"
"Jun 02, 2023",36.91,37.64,36.63,37.01,36.93,"8,924,900"
"Jun 01, 2023",36.42,36.81,36.00,36.38,36.30,"7,769,000"
"May 31, 2023",36.87,36.92,35.88,36.33,36.25,"9,972,100"
"May 30, 2023",36.29,36.93,36.10,36.28,36.20,"8,652,600"
"May 26, 2023",35.75,36.25,35.71,35.89,35.81,"6,703,600"
"May 25, 2023",35.10,35.82,35.03,35.75,35.68,"6,880,100"
"May 24, 2023",35.56,35.74,34.51,34.93,34.86,"8,803,900"
"May 23, 2023",35.74,36.64,35.31,35.91,35.83,"10,602,100"
"May 22, 2023",36.07,36.34,35.21,35.46,35.39,"9,021,000"
"May 19, 2023",35.93,36.00,35.01,35.59,35.52,"8,997,500"
"May 18, 2023",35.89,36.12,35.54,35.89,35.81,"9,786,300"
"May 17, 2023",34.30,36.18,34.22,35.93,35.85,"16,957,300"
"May 16, 2023",33.65,34.24,33.36,33.82,33.75,"8,646,700"
"May 15, 2023",33.35,33.73,33.06,33.72,33.65,"7,586,600"
"May 12, 2023",33.38,33.55,32.85,33.23,33.16,"8,929,900"
"May 11, 2023",33.55,33.64,33.01,33.22,33.15,"7,620,000"
"May 10, 2023",34.65,34.73,33.11,33.80,33.73,"9,025,300"
"May 09, 2023",33.94,34.42,33.70,34.20,34.13,"5,845,700"
"May 08, 2023",34.24,34.43,33.73,34.20,34.13,"8,726,300"
"May 05, 2023",33.44,34.19,33.32,33.94,33.87,"8,694,400"
"May 04, 2023",33.95,33.98,32.68,33.08,33.01,"11,694,300"
"May 03, 2023",34.53,34.81,34.05,34.13,34.06,"11,166,100"
"May 02, 2023",34.50,34.67,33.89,34.53,34.46,"10,014,900"
"May 01, 2023",34.43,35.16,34.18,34.72,34.65,"9,901,400"
"Apr 28, 2023",33.45,34.39,33.24,34.31,34.24,"11,108,900"
"Apr 27, 2023",33.05,33.45,32.73,33.33,33.26,"9,561,500"
"Apr 26, 2023",33.18,33.47,32.69,32.75,32.68,"9,237,500"
"Apr 25, 2023",33.90,33.99,33.09,33.11,33.04,"9,119,000"
"Apr 24, 2023",34.42,34.47,33.46,34.12,34.05,"8,452,700"
"Apr 21, 2023",34.68,34.69,33.86,34.33,34.26,"9,579,200"
"Apr 20, 2023",35.59,35.65,34.59,34.64,34.57,"11,195,600"
"Apr 19, 2023",35.15,36.19,35.12,35.93,35.85,"11,774,200"
"Apr 18, 2023",34.94,35.47,34.54,35.36,35.29,"13,113,100"
"Apr 17, 2023",33.81,34.61,33.67,34.59,34.52,"12,113,600"
"Apr 14, 2023",33.71,34.00,33.02,33.77,33.70,"15,803,000"
"Apr 13, 2023",34.05,34.11,32.44,33.37,33.30,"37,172,700"
"Apr 12, 2023",34.32,34.47,33.14,33.74,33.67,"21,581,700"
"Apr 11, 2023",33.97,34.78,33.94,34.58,34.51,"9,801,200"
"Apr 10, 2023",33.69,34.16,33.62,33.97,33.90,"8,534,800"
"Apr 06, 2023",33.58,33.82,33.22,33.69,33.62,"6,291,800"
"Apr 05, 2023",33.56,33.63,32.85,33.46,33.39,"8,679,600"
