Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",343.22,344.58,342.76,343.85,343.33,"3,025,000"
"Jun 29, 2023",338.41,341.39,338.11,341.16,340.64,"2,902,700"
"Jun 28, 2023",338.73,338.94,337.43,338.63,338.11,"2,305,000"
"Jun 27, 2023",337.10,339.65,337.10,339.23,338.71,"1,778,800"
"Jun 26, 2023",336.80,338.08,335.95,337.14,336.63,"2,301,900"
"Jun 23, 2023",337.12,338.19,336.22,337.16,336.65,"3,720,500"
"Jun 22, 2023",338.94,339.93,338.24,339.34,338.82,"2,605,500"
"Jun 21, 2023",339.62,340.91,338.68,339.43,338.91,"3,050,700"
"Jun 20, 2023",341.30,341.61,339.00,340.46,339.94,"3,387,200"
"Jun 16, 2023",345.35,345.73,342.72,342.95,342.43,"5,574,600"
"Jun 15, 2023",340.35,345.58,340.18,344.77,343.47,"4,722,500"
"Jun 14, 2023",341.39,342.04,338.34,340.42,339.14,"3,766,000"
"Jun 13, 2023",341.74,343.63,341.60,342.62,341.33,"3,259,300"
"Jun 12, 2023",339.74,341.30,339.23,341.17,339.88,"2,035,500"
"Jun 09, 2023",338.57,340.26,338.32,339.27,337.99,"3,162,300"
"Jun 08, 2023",337.23,339.26,336.75,338.81,337.53,"2,700,300"
"Jun 07, 2023",336.54,337.52,335.93,337.17,335.90,"2,739,000"
"Jun 06, 2023",336.03,336.74,334.47,336.17,334.90,"2,824,900"
"Jun 05, 2023",338.21,338.48,335.96,336.13,334.86,"3,415,600"
"Jun 02, 2023",333.24,338.50,333.11,338.07,336.80,"5,582,600"
"Jun 01, 2023",328.91,331.98,327.32,330.94,329.69,"3,081,300"
"May 31, 2023",329.45,330.17,327.70,329.52,328.28,"3,067,600"
"May 30, 2023",330.65,331.32,328.92,330.52,329.27,"3,474,500"
"May 26, 2023",328.13,331.62,327.92,330.84,329.59,"3,580,000"
"May 25, 2023",328.07,328.73,325.82,327.75,326.51,"3,499,900"
"May 24, 2023",330.00,330.24,327.48,328.01,326.77,"2,978,300"
