Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",89.18,89.60,88.61,89.28,89.28,"12,826,200"
"Jun 29, 2023",87.80,89.12,87.34,88.95,88.95,"13,402,600"
"Jun 28, 2023",89.39,89.40,88.53,88.83,88.83,"12,118,300"
"Jun 27, 2023",88.90,89.66,88.49,89.06,89.06,"10,032,700"
"Jun 26, 2023",88.04,89.49,87.77,88.70,88.70,"13,132,700"
"Jun 23, 2023",88.02,88.40,87.61,88.10,88.10,"13,538,000"
"Jun 22, 2023",88.44,89.19,88.12,88.49,88.49,"10,915,300"
"Jun 21, 2023",89.55,89.67,88.11,88.64,88.64,"17,873,000"
"Jun 20, 2023",90.29,90.78,89.74,89.75,89.75,"14,939,200"
"Jun 16, 2023",92.88,92.97,90.86,91.32,91.32,"22,665,000"
"Jun 15, 2023",92.06,93.52,91.61,92.94,92.94,"13,354,600"
"Jun 14, 2023",94.26,94.52,91.92,92.45,92.45,"15,877,400"
"Jun 13, 2023",94.12,94.44,93.44,93.85,93.85,"12,964,400"
"Jun 12, 2023",92.25,93.23,91.77,93.14,93.14,"12,341,600"
"Jun 09, 2023",92.78,92.92,91.55,91.93,91.93,"9,625,400"
"Jun 08, 2023",92.52,92.68,91.30,92.53,92.53,"9,030,200"
"Jun 07, 2023",92.78,93.08,91.86,92.52,92.52,"11,082,400"
"Jun 06, 2023",91.10,92.51,91.02,92.16,92.16,"12,109,100"
"Jun 05, 2023",91.20,91.76,89.44,91.00,91.00,"18,506,700"
"Jun 02, 2023",89.63,91.34,89.60,90.77,90.77,"14,330,500"
"Jun 01, 2023",88.40,89.06,87.11,88.59,88.59,"11,993,200"
"May 31, 2023",87.58,88.17,87.15,87.96,87.96,"11,440,600"
"May 30, 2023",88.97,88.97,87.01,87.82,87.82,"14,800,700"
"May 26, 2023",88.49,89.24,88.10,88.29,88.29,"12,892,700"
"May 25, 2023",89.56,89.56,87.79,88.14,88.14,"13,605,800"
"May 24, 2023",89.44,89.49,88.41,89.07,89.07,"15,350,800"
"May 23, 2023",91.10,92.03,89.81,89.82,89.82,"14,778,700"
"May 22, 2023",91.33,91.94,89.89,91.82,91.82,"14,150,600"
"May 19, 2023",93.00,93.00,91.32,91.35,91.35,"16,411,500"
"May 18, 2023",92.85,94.24,92.46,93.76,93.76,"15,014,800"
"May 17, 2023",91.02,93.05,90.85,92.77,92.77,"12,461,600"
"May 16, 2023",92.04,92.42,90.78,90.98,90.98,"17,013,300"
"May 15, 2023",91.54,92.87,90.70,92.86,92.86,"16,792,000"
