Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",31.42,32.45,31.34,32.38,32.38,"9,180,300"
"Jul 27, 2023",32.12,32.17,30.63,30.96,30.96,"8,396,600"
"Jul 26, 2023",30.92,31.96,30.89,31.51,31.51,"7,100,200"
"Jul 25, 2023",31.10,32.32,30.88,30.98,30.98,"10,255,500"
"Jul 24, 2023",31.13,31.24,30.42,30.61,30.61,"6,883,900"
"Jul 21, 2023",31.12,31.29,30.73,31.08,31.08,"7,048,000"
"Jul 20, 2023",30.40,31.20,30.33,30.68,30.68,"6,203,700"
"Jul 19, 2023",31.18,31.38,30.38,30.85,30.85,"8,844,100"
"Jul 18, 2023",31.16,31.59,31.01,31.29,31.29,"6,824,800"
"Jul 17, 2023",30.55,31.61,30.40,31.24,31.24,"8,338,100"
"Jul 14, 2023",31.38,31.47,30.33,30.55,30.55,"8,692,400"
"Jul 13, 2023",30.80,31.70,30.57,31.30,31.30,"13,458,100"
"Jul 12, 2023",30.12,31.33,29.96,30.49,30.49,"19,661,400"
"Jul 11, 2023",29.01,29.24,28.45,28.96,28.96,"13,408,900"
"Jul 10, 2023",26.87,28.89,26.74,28.86,28.86,"15,692,400"
"Jul 07, 2023",25.60,26.96,25.49,26.65,26.65,"10,191,000"
"Jul 06, 2023",25.65,25.86,24.97,25.23,25.23,"8,048,100"
"Jul 05, 2023",26.04,26.17,25.67,26.08,26.08,"6,734,700"
"Jul 03, 2023",26.50,26.72,26.01,26.25,26.25,"6,349,900"
"Jun 30, 2023",26.5,26.75,26.06,26.57,26.57,"7,921,700"
"Jun 29, 2023",26.19,26.87,25.98,26.27,26.27,"11,927,400"
"Jun 28, 2023",25.86,26.28,25.6,25.66,25.66,"6,171,400"
"Jun 27, 2023",25.3,26.0,25.22,25.96,25.96,"6,944,600"
"Jun 26, 2023",24.93,25.93,24.67,25.18,25.18,"6,764,700"
"Jun 23, 2023",25.38,25.73,25.01,25.03,25.03,"13,302,800"
"Jun 22, 2023",24.69,25.79,24.62,25.49,25.49,"9,314,300"
"Jun 21, 2023",24.65,25.14,24.33,24.95,24.95,"8,469,300"
"Jun 20, 2023",24.3,24.87,24.16,24.76,24.76,"7,439,100"
"Jun 16, 2023",25.36,25.48,24.39,24.51,24.51,"14,101,600"
"Jun 15, 2023",25.0,25.42,24.75,24.83,24.83,"8,161,900"
"Jun 14, 2023",25.95,26.02,25.18,25.27,25.27,"9,096,900"
"Jun 13, 2023",25.75,26.37,25.3,26.14,26.14,"9,751,400"
"Jun 12, 2023",25.07,25.6,24.82,25.46,25.46,"7,337,700"
