Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",49.10,49.10,48.32,48.34,48.34,"8,873,000"
"Jun 29, 2023",47.94,48.43,47.74,48.40,48.40,"6,745,800"
"Jun 28, 2023",47.54,47.90,46.89,47.69,47.69,"8,819,700"
"Jun 27, 2023",47.67,47.99,47.31,47.32,47.32,"7,871,700"
"Jun 26, 2023",47.29,48.19,47.21,47.74,47.74,"6,833,700"
"Jun 23, 2023",47.00,47.40,46.90,47.15,47.15,"13,663,600"
"Jun 22, 2023",48.14,48.20,47.48,47.69,47.69,"7,243,500"
"Jun 21, 2023",48.20,49.33,48.13,48.94,48.94,"6,950,800"
"Jun 20, 2023",49.23,49.42,47.39,48.27,48.27,"10,540,800"
"Jun 16, 2023",49.95,50.22,49.58,49.80,49.80,"16,256,000"
"Jun 15, 2023",49.12,50.27,49.07,49.60,49.60,"8,670,000"
"Jun 14, 2023",50.08,50.67,48.62,48.95,48.95,"10,790,700"
"Jun 13, 2023",50.76,51.41,50.32,50.39,49.67,"13,214,200"
"Jun 12, 2023",49.09,50.04,48.90,49.40,48.69,"8,611,900"
"Jun 09, 2023",49.93,50.48,49.52,49.87,49.16,"6,105,400"
"Jun 08, 2023",49.86,50.49,48.96,50.02,49.31,"7,162,900"
"Jun 07, 2023",49.29,50.51,49.09,50.05,49.33,"7,190,000"
"Jun 06, 2023",47.50,49.04,47.41,48.95,48.25,"5,952,500"
"Jun 05, 2023",49.60,49.60,48.24,48.37,47.68,"7,367,600"
"Jun 02, 2023",47.88,49.02,47.50,48.53,47.84,"8,822,200"
"Jun 01, 2023",46.31,47.73,45.98,46.78,46.11,"7,568,000"
"May 31, 2023",46.31,46.79,45.89,46.10,45.44,"11,537,800"
"May 30, 2023",47.31,47.71,46.32,46.96,46.29,"11,242,800"
"May 26, 2023",48.45,48.49,47.58,48.07,47.38,"6,377,100"
"May 25, 2023",48.68,48.92,47.67,47.87,47.19,"11,289,800"
"May 24, 2023",49.27,50.05,48.68,49.67,48.96,"6,903,000"
"May 23, 2023",49.75,50.17,49.06,49.11,48.41,"7,381,000"
"May 22, 2023",49.19,49.98,48.91,49.32,48.62,"5,510,700"
"May 19, 2023",49.03,49.59,48.82,49.20,48.50,"8,284,100"
"May 18, 2023",47.37,48.37,47.06,48.28,47.59,"6,115,900"
"May 17, 2023",46.59,48.28,46.45,47.71,47.03,"7,930,900"
"May 16, 2023",47.36,47.66,46.05,46.13,45.47,"8,030,900"
"May 15, 2023",47.93,48.19,47.43,47.71,47.03,"7,187,000"
"May 12, 2023",47.64,47.79,46.84,47.52,46.84,"5,949,900"
"May 11, 2023",47.33,47.85,46.89,47.26,46.58,"7,922,500"
"May 10, 2023",49.17,49.21,47.20,48.11,47.42,"12,036,100"
"May 09, 2023",50.23,51.24,48.80,49.17,48.47,"13,774,400"
"May 08, 2023",51.76,52.03,50.95,51.00,50.27,"8,842,500"
"May 05, 2023",49.90,50.86,49.70,50.36,49.64,"8,310,700"
"May 04, 2023",49.13,49.75,48.05,48.24,47.55,"7,220,100"
"May 03, 2023",49.50,50.15,48.87,49.01,48.31,"9,470,800"
"May 02, 2023",52.14,52.39,49.96,50.71,49.99,"9,588,100"
"May 01, 2023",52.69,53.74,52.53,53.24,52.48,"5,921,700"
"Apr 28, 2023",52.12,54.03,51.94,53.43,52.67,"7,658,800"
"Apr 27, 2023",52.51,52.68,51.40,52.25,51.50,"6,360,400"
"Apr 26, 2023",52.72,53.33,51.54,52.20,51.45,"6,955,900"
"Apr 25, 2023",53.60,53.76,52.65,53.21,52.45,"6,242,700"
"Apr 24, 2023",53.53,54.84,53.39,54.47,53.69,"5,473,400"
"Apr 21, 2023",54.17,54.17,53.24,53.63,52.86,"5,510,400"
"Apr 20, 2023",53.79,54.15,53.47,54.02,53.25,"6,705,700"
"Apr 19, 2023",54.18,54.96,53.95,54.85,54.07,"5,112,300"
"Apr 18, 2023",54.90,55.46,54.49,55.22,54.43,"5,329,700"
"Apr 17, 2023",55.59,56.19,55.08,55.30,54.51,"6,132,100"
"Apr 14, 2023",55.26,56.06,55.10,55.70,54.90,"5,969,300"
"Apr 13, 2023",54.40,55.49,54.39,55.22,54.43,"6,567,500"
"Apr 12, 2023",54.53,55.25,54.26,54.54,53.76,"7,277,200"
"Apr 11, 2023",53.76,54.81,53.48,54.30,53.52,"6,427,300"
"Apr 10, 2023",53.10,54.53,53.10,53.39,52.63,"6,996,900"
"Apr 06, 2023",53.23,53.53,52.72,52.91,52.15,"6,239,500"
"Apr 05, 2023",52.80,53.59,52.10,53.53,52.77,"8,297,200"
"Apr 04, 2023",53.30,53.52,51.50,52.74,51.99,"10,252,700"
"Apr 03, 2023",53.41,54.66,52.90,53.31,52.55,"18,907,000"
"Mar 31, 2023",50.33,50.85,50.12,50.61,49.89,"7,652,500"
"Mar 30, 2023",50.55,50.66,49.63,49.85,49.14,"6,603,000"
"Mar 29, 2023",49.47,49.92,49.25,49.79,49.08,"8,150,400"
"Mar 28, 2023",47.72,49.22,47.68,48.57,47.88,"7,671,100"
"Mar 27, 2023",47.40,48.41,46.58,48.08,47.39,"7,759,600"
"Mar 24, 2023",45.45,46.99,45.44,46.57,45.90,"8,727,600"
"Mar 23, 2023",48.13,48.61,46.23,46.72,46.05,"8,905,800"
"Mar 22, 2023",49.19,49.54,47.69,47.76,47.08,"8,633,200"
"Mar 21, 2023",48.04,49.51,47.88,49.06,48.36,"11,184,700"
"Mar 20, 2023",46.00,47.32,45.98,47.00,46.33,"8,906,600"
"Mar 17, 2023",46.31,46.45,45.04,46.15,45.49,"28,300,500"
"Mar 16, 2023",44.41,46.35,44.03,46.27,45.61,"14,250,200"
"Mar 15, 2023",47.09,47.27,44.37,45.12,44.48,"23,274,200"
"Mar 14, 2023",49.01,50.84,48.31,49.22,48.52,"12,442,500"
"Mar 13, 2023",50.00,51.07,49.02,49.98,48.39,"15,449,700"
"Mar 10, 2023",52.85,53.67,51.34,51.76,50.11,"12,351,100"
"Mar 09, 2023",54.82,55.37,52.85,52.98,51.29,"9,275,200"
"Mar 08, 2023",54.69,55.58,54.01,54.50,52.76,"8,379,100"
"Mar 07, 2023",56.11,56.34,54.76,55.03,53.28,"9,492,500"
"Mar 06, 2023",56.16,56.80,55.87,56.49,54.69,"8,926,300"
"Mar 03, 2023",54.91,57.13,54.78,56.67,54.87,"10,997,800"
"Mar 02, 2023",54.25,56.00,54.20,55.70,53.93,"8,660,000"
"Mar 01, 2023",53.82,55.05,53.56,54.74,53.00,"9,308,100"
"Feb 28, 2023",54.97,55.13,53.88,53.92,52.20,"10,887,300"
"Feb 27, 2023",55.12,55.27,54.26,54.52,52.78,"9,624,200"
"Feb 24, 2023",54.42,55.19,53.90,55.00,53.25,"10,030,100"
"Feb 23, 2023",54.40,55.27,53.80,55.00,53.25,"11,919,400"
"Feb 22, 2023",53.71,54.35,52.56,53.59,51.88,"13,144,400"
"Feb 21, 2023",53.68,54.09,53.19,53.73,52.02,"11,378,800"
"Feb 17, 2023",54.80,54.80,52.45,53.33,51.63,"25,514,600"
"Feb 16, 2023",57.01,57.42,55.68,55.72,53.95,"17,678,700"
"Feb 15, 2023",58.85,59.17,55.40,57.23,55.41,"52,418,700"
"Feb 14, 2023",62.92,64.40,62.54,63.94,61.90,"8,775,600"
"Feb 13, 2023",62.96,64.11,62.40,63.56,61.54,"7,606,800"
"Feb 10, 2023",61.37,63.69,61.22,63.54,61.52,"8,727,500"
"Feb 09, 2023",61.27,61.51,60.16,60.30,58.38,"5,685,300"
"Feb 08, 2023",62.30,62.80,60.90,61.33,59.38,"7,848,700"
"Feb 07, 2023",60.72,62.33,59.86,62.21,60.23,"8,170,800"
"Feb 06, 2023",60.61,61.32,59.31,60.14,58.23,"7,394,900"
"Feb 03, 2023",61.00,62.54,60.77,60.85,58.91,"6,564,100"
"Feb 02, 2023",62.06,62.06,60.00,60.95,59.01,"8,770,300"
"Feb 01, 2023",62.56,62.80,60.74,61.89,59.92,"9,653,400"
"Jan 31, 2023",62.40,63.74,61.96,63.24,61.23,"7,472,300"
"Jan 30, 2023",64.60,64.94,62.29,62.34,60.36,"8,003,900"
"Jan 27, 2023",65.72,66.96,65.25,65.27,63.19,"7,210,200"
"Jan 26, 2023",65.13,65.73,63.69,65.72,63.63,"6,346,700"
"Jan 25, 2023",63.40,64.18,62.41,64.17,62.13,"5,834,700"
"Jan 24, 2023",65.75,66.12,63.81,63.97,61.93,"7,043,500"
"Jan 23, 2023",65.33,66.26,65.04,65.76,63.67,"6,246,100"
"Jan 20, 2023",64.31,64.95,63.39,64.75,62.69,"7,093,800"
"Jan 19, 2023",62.18,64.20,62.04,64.08,62.04,"7,312,900"
"Jan 18, 2023",64.04,65.41,62.59,62.62,60.63,"8,349,600"
"Jan 17, 2023",63.77,64.39,63.19,63.49,61.47,"5,383,900"
"Jan 13, 2023",63.91,64.15,62.88,63.59,61.57,"5,474,100"
"Jan 12, 2023",63.44,64.78,63.27,64.03,61.99,"7,232,000"
"Jan 11, 2023",63.94,64.11,62.26,62.85,60.85,"7,557,100"
"Jan 10, 2023",62.80,63.16,61.47,63.13,61.12,"5,909,300"
"Jan 09, 2023",62.69,63.49,61.94,62.20,60.22,"7,567,900"
"Jan 06, 2023",61.17,62.26,60.80,61.23,59.28,"7,332,500"
