Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",39.56,39.72,39.47,39.56,39.56,"23,366,700"
"Jun 29, 2023",39.16,39.28,39.15,39.25,39.25,"23,278,300"
"Jun 28, 2023",39.39,39.51,39.30,39.46,39.46,"21,628,400"
"Jun 27, 2023",39.62,39.72,39.52,39.70,39.70,"21,799,500"
"Jun 26, 2023",39.33,39.48,39.26,39.30,39.30,"18,302,400"
"Jun 23, 2023",39.23,39.23,39.06,39.17,39.17,"26,321,400"
"Jun 22, 2023",39.64,39.80,39.58,39.75,39.75,"22,804,200"
"Jun 21, 2023",39.86,39.96,39.74,39.89,39.89,"20,771,300"
"Jun 20, 2023",40.29,40.35,39.96,40.08,40.08,"50,477,100"
"Jun 16, 2023",41.09,41.09,40.77,40.88,40.88,"40,001,500"
"Jun 15, 2023",40.84,41.04,40.76,41.02,41.02,"36,328,400"
"Jun 14, 2023",40.35,40.73,40.33,40.64,40.64,"37,898,300"
"Jun 13, 2023",40.37,40.47,40.23,40.34,40.34,"35,053,100"
"Jun 12, 2023",39.88,39.99,39.82,39.94,39.94,"25,267,100"
"Jun 09, 2023",39.83,40.05,39.82,39.86,39.86,"22,199,200"
"Jun 08, 2023",39.43,39.72,39.42,39.68,39.68,"26,886,800"
"Jun 07, 2023",39.56,39.77,39.34,39.40,39.40,"44,313,300"
"Jun 06, 2023",39.45,39.93,39.41,39.88,39.57,"35,447,700"
"Jun 05, 2023",39.43,39.55,39.35,39.53,39.22,"16,947,400"
"Jun 02, 2023",39.50,39.64,39.49,39.54,39.23,"53,716,400"
"Jun 01, 2023",38.25,38.89,38.23,38.87,38.57,"32,875,300"
"May 31, 2023",38.24,38.25,37.91,38.19,37.89,"35,917,900"
"May 30, 2023",38.90,38.91,38.44,38.55,38.25,"25,536,900"
"May 26, 2023",38.66,39.07,38.66,39.00,38.70,"24,941,700"
"May 25, 2023",38.51,38.51,38.25,38.32,38.02,"28,492,700"
"May 24, 2023",38.65,38.67,38.38,38.40,38.10,"31,559,600"
"May 23, 2023",38.95,39.05,38.67,38.69,38.39,"43,844,500"
"May 22, 2023",39.26,39.47,39.26,39.30,38.99,"30,254,000"
"May 19, 2023",39.05,39.09,38.90,38.98,38.68,"26,847,500"
"May 18, 2023",39.01,39.03,38.78,38.95,38.65,"30,378,900"
"May 17, 2023",38.98,39.21,38.91,39.16,38.86,"24,358,200"
"May 16, 2023",38.99,39.15,38.96,38.98,38.68,"24,887,200"
"May 15, 2023",38.96,39.31,38.84,39.26,38.95,"28,911,000"
"May 12, 2023",38.74,38.75,38.47,38.55,38.25,"32,788,900"
"May 11, 2023",38.81,39.02,38.70,39.01,38.71,"34,620,300"
"May 10, 2023",39.13,39.26,38.94,39.15,38.85,"22,410,300"
"May 09, 2023",39.01,39.20,38.97,39.17,38.87,"17,294,900"
"May 08, 2023",39.53,39.55,39.34,39.41,39.10,"19,721,300"
"May 05, 2023",39.05,39.42,38.99,39.39,39.08,"18,248,200"
"May 04, 2023",38.88,39.00,38.78,38.87,38.57,"29,417,100"
"May 03, 2023",38.66,38.82,38.53,38.56,38.26,"18,827,800"
"May 02, 2023",38.85,38.85,38.48,38.62,38.32,"24,041,500"
"May 01, 2023",38.97,39.27,38.95,39.00,38.70,"16,797,000"
"Apr 28, 2023",38.94,39.16,38.92,39.13,38.83,"22,481,000"
"Apr 27, 2023",38.63,38.98,38.59,38.93,38.63,"23,496,200"
"Apr 26, 2023",38.66,38.69,38.38,38.41,38.11,"45,521,300"
"Apr 25, 2023",38.40,38.43,38.13,38.19,37.89,"31,095,100"
"Apr 24, 2023",38.92,38.98,38.79,38.92,38.62,"19,963,200"
"Apr 21, 2023",39.04,39.06,38.79,39.01,38.71,"26,632,600"
"Apr 20, 2023",39.39,39.62,39.26,39.38,39.07,"29,763,400"
"Apr 19, 2023",39.38,39.49,39.30,39.44,39.13,"25,851,700"
"Apr 18, 2023",39.96,40.01,39.74,39.84,39.53,"23,990,600"
"Apr 17, 2023",39.88,39.95,39.73,39.89,39.58,"26,173,500"
"Apr 14, 2023",39.75,39.92,39.53,39.72,39.41,"26,673,200"
"Apr 13, 2023",39.85,40.00,39.81,39.93,39.62,"28,752,600"
"Apr 12, 2023",39.80,39.83,39.31,39.39,39.08,"30,341,900"
"Apr 11, 2023",39.77,39.84,39.65,39.67,39.36,"23,177,000"
"Apr 10, 2023",39.27,39.44,39.20,39.43,39.12,"20,271,700"
"Apr 06, 2023",39.14,39.47,39.03,39.39,39.08,"22,277,700"
