Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",72.29,72.55,72.21,72.50,72.50,"28,381,100"
"Jun 29, 2023",71.39,71.62,71.35,71.62,71.62,"6,736,000"
"Jun 28, 2023",71.65,71.86,71.52,71.72,71.72,"9,256,500"
"Jun 27, 2023",71.26,71.72,71.05,71.67,71.67,"11,034,100"
"Jun 26, 2023",71.05,71.19,70.94,71.05,71.05,"12,950,900"
"Jun 23, 2023",70.83,71.15,70.81,70.96,70.96,"15,929,200"
"Jun 22, 2023",72.01,72.20,71.94,72.08,72.08,"11,313,300"
"Jun 21, 2023",72.30,72.78,72.19,72.53,72.53,"11,322,700"
"Jun 20, 2023",72.59,72.72,72.27,72.42,72.42,"16,873,000"
"Jun 16, 2023",73.88,73.91,73.36,73.39,73.39,"20,036,200"
"Jun 15, 2023",72.77,73.59,72.72,73.55,73.55,"14,597,200"
"Jun 14, 2023",72.97,73.18,72.38,72.78,72.78,"17,305,800"
"Jun 13, 2023",72.49,72.69,72.38,72.51,72.51,"17,620,600"
"Jun 12, 2023",71.76,71.86,71.59,71.83,71.83,"15,814,700"
"Jun 09, 2023",71.57,71.68,71.40,71.52,71.52,"15,419,000"
"Jun 08, 2023",71.23,71.65,71.11,71.64,71.64,"15,781,000"
"Jun 07, 2023",71.25,71.50,70.83,70.89,70.89,"29,259,200"
"Jun 06, 2023",72.38,72.87,72.35,72.83,71.52,"17,811,900"
"Jun 05, 2023",72.54,72.61,72.18,72.23,70.93,"18,029,700"
"Jun 02, 2023",72.65,72.76,72.47,72.65,71.34,"18,693,200"
"Jun 01, 2023",71.05,71.78,71.00,71.72,70.43,"29,681,600"
"May 31, 2023",70.69,70.80,70.13,70.67,69.40,"32,754,700"
"May 30, 2023",71.92,71.94,71.21,71.41,70.12,"13,979,800"
"May 26, 2023",71.75,72.20,71.74,72.14,70.84,"11,189,800"
"May 25, 2023",71.51,71.57,71.15,71.44,70.15,"17,393,700"
"May 24, 2023",71.89,71.91,71.50,71.54,70.25,"21,758,100"
"May 23, 2023",73.04,73.15,72.57,72.60,71.29,"19,215,100"
"May 22, 2023",73.56,73.82,73.55,73.68,72.35,"12,122,700"
"May 19, 2023",73.55,73.84,73.47,73.66,72.33,"15,971,200"
"May 18, 2023",73.17,73.26,72.83,73.23,71.91,"10,657,000"
"May 17, 2023",73.09,73.39,72.82,73.34,72.02,"21,491,300"
"May 16, 2023",73.32,73.44,72.97,73.00,71.69,"13,335,700"
"May 15, 2023",73.36,73.71,73.28,73.70,72.37,"10,580,600"
"May 12, 2023",73.36,73.41,72.87,73.14,71.82,"15,823,200"
"May 11, 2023",73.03,73.27,72.72,73.27,71.95,"14,971,700"
"May 10, 2023",73.68,73.69,72.99,73.45,72.13,"14,009,800"
"May 09, 2023",73.29,73.70,73.25,73.60,72.28,"14,835,400"
"May 08, 2023",74.03,74.05,73.77,73.90,72.57,"7,533,200"
"May 05, 2023",73.17,73.99,73.12,73.88,72.55,"11,096,900"
"May 04, 2023",72.75,73.07,72.56,72.81,71.50,"17,411,200"
"May 03, 2023",73.04,73.55,72.95,72.96,71.65,"13,977,300"
"May 02, 2023",72.83,72.84,72.33,72.77,71.46,"12,907,200"
"May 01, 2023",73.69,73.89,73.49,73.51,72.19,"24,499,500"
"Apr 28, 2023",73.03,73.63,73.01,73.62,72.29,"16,936,400"
"Apr 27, 2023",73.12,73.66,72.97,73.65,72.32,"14,505,700"
"Apr 26, 2023",73.24,73.25,72.65,72.74,71.43,"16,928,600"
"Apr 25, 2023",73.48,73.52,72.78,72.79,71.48,"12,582,200"
"Apr 24, 2023",73.63,73.85,73.61,73.82,72.49,"12,864,900"
"Apr 21, 2023",73.35,73.68,73.03,73.63,72.30,"14,053,000"
"Apr 20, 2023",73.09,73.44,73.07,73.26,71.94,"12,478,600"
"Apr 19, 2023",73.12,73.34,73.10,73.26,71.94,"8,840,800"
"Apr 18, 2023",73.46,73.55,73.29,73.49,72.17,"13,753,400"
"Apr 17, 2023",73.02,73.12,72.74,73.09,71.77,"17,323,800"
"Apr 14, 2023",73.49,73.69,72.94,73.22,71.90,"14,209,900"
"Apr 13, 2023",73.19,73.58,73.11,73.52,72.20,"12,233,000"
"Apr 12, 2023",72.78,72.94,72.37,72.59,71.28,"13,241,500"
"Apr 11, 2023",72.05,72.25,71.99,72.13,70.83,"11,264,100"
"Apr 10, 2023",71.49,71.90,71.38,71.89,70.60,"12,854,000"
"Apr 06, 2023",71.61,72.13,71.52,71.94,70.65,"13,659,900"
"Apr 05, 2023",71.72,71.92,71.36,71.60,70.31,"16,313,900"
"Apr 04, 2023",72.10,72.32,71.89,72.10,70.80,"15,364,600"
"Apr 03, 2023",71.69,72.11,71.59,72.09,70.79,"20,737,100"
"Mar 31, 2023",71.35,71.68,71.35,71.52,70.23,"28,532,600"
"Mar 30, 2023",71.15,71.26,70.99,71.16,69.88,"21,615,800"
"Mar 29, 2023",70.18,70.40,70.05,70.34,69.07,"29,119,300"
"Mar 28, 2023",69.43,69.66,69.33,69.50,68.25,"20,324,500"
"Mar 27, 2023",69.24,69.53,69.08,69.47,68.22,"23,269,300"
"Mar 24, 2023",68.54,68.86,68.14,68.82,67.58,"27,879,000"
"Mar 23, 2023",69.63,70.04,68.72,69.03,67.79,"23,067,200"
"Mar 22, 2023",69.37,70.22,68.98,69.02,67.78,"16,277,900"
"Mar 21, 2023",69.23,69.33,68.86,69.26,68.01,"16,669,400"
"Mar 20, 2023",67.93,68.46,67.81,68.23,67.00,"24,003,200"
"Mar 17, 2023",67.38,67.53,66.91,67.18,65.97,"23,846,200"
"Mar 16, 2023",66.61,67.99,66.55,67.99,66.77,"33,179,100"
"Mar 15, 2023",66.53,67.05,66.07,66.95,65.74,"37,928,500"
"Mar 14, 2023",68.89,69.10,68.56,69.09,67.85,"18,054,000"
"Mar 13, 2023",67.93,68.74,67.81,68.18,66.95,"27,005,100"
"Mar 10, 2023",69.41,69.57,68.58,68.65,67.41,"31,703,800"
"Mar 09, 2023",70.03,70.27,69.27,69.39,68.14,"25,914,100"
"Mar 08, 2023",69.74,70.11,69.57,69.90,68.64,"21,016,200"
"Mar 07, 2023",70.60,70.66,69.44,69.52,68.27,"26,319,800"
"Mar 06, 2023",70.72,71.00,70.62,70.70,69.43,"22,289,600"
"Mar 03, 2023",70.25,70.92,70.06,70.88,69.60,"23,663,300"
"Mar 02, 2023",69.23,69.92,69.21,69.86,68.60,"20,540,100"
"Mar 01, 2023",69.90,70.06,69.46,69.72,68.46,"20,961,000"
"Feb 28, 2023",69.66,69.82,69.32,69.35,68.10,"28,408,000"
"Feb 27, 2023",69.84,70.04,69.64,69.86,68.60,"19,736,300"
"Feb 24, 2023",69.02,69.27,68.76,69.04,67.80,"25,120,200"
"Feb 23, 2023",70.15,70.29,69.57,70.21,68.95,"25,783,700"
"Feb 22, 2023",70.12,70.24,69.70,69.85,68.59,"12,991,700"
"Feb 21, 2023",70.52,70.77,70.19,70.24,68.98,"14,419,700"
"Feb 17, 2023",70.51,71.10,70.39,71.02,69.74,"13,768,200"
