Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",162.34,168.77,159.70,167.48,167.48,"5,156,500"
"Jun 29, 2023",162.31,165.10,157.43,158.77,158.77,"3,414,000"
"Jun 28, 2023",160.00,164.70,158.65,161.42,161.42,"2,919,200"
"Jun 27, 2023",160.00,161.42,157.16,161.03,161.03,"3,014,200"
"Jun 26, 2023",159.18,162.56,158.23,159.21,159.21,"2,770,500"
"Jun 23, 2023",159.72,162.17,155.87,158.69,158.69,"4,459,500"
"Jun 22, 2023",164.84,165.30,156.01,162.53,162.53,"5,989,400"
"Jun 21, 2023",171.80,174.17,167.28,167.99,167.99,"3,376,700"
"Jun 20, 2023",181.90,182.00,168.30,171.99,171.99,"5,351,600"
"Jun 16, 2023",183.29,184.92,176.58,181.81,181.81,"4,626,800"
"Jun 15, 2023",177.35,182.06,175.46,180.51,180.51,"3,574,900"
"Jun 14, 2023",179.00,180.93,174.65,179.20,179.20,"2,985,700"
"Jun 13, 2023",179.99,184.20,175.80,179.66,179.66,"3,123,100"
"Jun 12, 2023",172.83,177.11,169.63,176.89,176.89,"3,129,900"
"Jun 09, 2023",182.77,182.80,174.48,174.58,174.58,"2,594,800"
"Jun 08, 2023",182.10,183.94,179.53,181.40,181.40,"1,803,700"
"Jun 07, 2023",184.05,186.80,181.67,182.09,182.09,"2,496,100"
"Jun 06, 2023",180.56,185.85,179.73,182.61,182.61,"2,100,100"
"Jun 05, 2023",183.64,186.70,180.25,182.73,182.73,"2,743,000"
"Jun 02, 2023",187.87,187.99,179.73,181.86,181.86,"3,046,600"
"Jun 01, 2023",174.25,184.06,172.30,181.47,181.47,"3,087,200"
"May 31, 2023",173.85,176.22,169.30,173.88,173.88,"3,659,000"
"May 30, 2023",167.72,175.81,167.30,174.12,174.12,"4,056,600"
"May 26, 2023",165.66,166.88,161.85,165.20,165.20,"2,686,300"
"May 25, 2023",165.36,165.37,161.55,164.59,164.59,"2,562,800"
"May 24, 2023",160.25,164.33,158.81,164.05,164.05,"2,458,700"
"May 23, 2023",162.38,166.14,161.54,162.83,162.83,"2,664,600"
"May 22, 2023",162.80,166.95,162.66,164.65,164.65,"2,622,800"
"May 19, 2023",165.35,166.72,161.52,162.37,162.37,"3,103,000"
"May 18, 2023",163.27,164.57,159.60,163.72,163.72,"2,503,500"
"May 17, 2023",161.30,165.59,159.09,163.73,163.73,"2,930,200"
"May 16, 2023",167.35,169.00,160.80,160.96,160.96,"3,329,700"
"May 15, 2023",167.71,172.11,165.59,168.71,168.71,"3,397,400"
"May 12, 2023",163.86,172.60,163.84,167.55,167.55,"6,716,600"
"May 11, 2023",159.40,162.72,159.06,160.79,160.79,"1,969,900"
"May 10, 2023",158.98,162.03,157.59,161.42,161.42,"2,957,800"
"May 09, 2023",161.01,161.74,156.31,157.83,157.83,"3,613,700"
"May 08, 2023",161.70,164.56,158.45,163.29,163.29,"2,784,200"
"May 05, 2023",157.59,160.70,154.82,159.65,159.65,"3,401,100"
"May 04, 2023",158.87,159.88,154.63,155.42,155.42,"4,198,800"
"May 03, 2023",153.41,158.63,152.63,155.42,155.42,"4,434,200"
"May 02, 2023",158.73,158.88,152.15,152.88,152.88,"5,177,300"
"May 01, 2023",164.00,166.64,159.70,160.59,160.59,"5,245,200"
"Apr 28, 2023",163.32,164.30,156.31,164.20,164.20,"7,878,600"
"Apr 27, 2023",166.53,169.12,162.37,164.18,164.18,"8,898,200"
"Apr 26, 2023",178.63,183.31,160.61,163.83,163.83,"25,345,200"
"Apr 25, 2023",222.41,228.36,220.27,220.60,220.60,"4,423,300"
"Apr 24, 2023",223.61,225.32,214.53,224.60,224.60,"3,468,900"
"Apr 21, 2023",223.75,226.77,219.90,223.61,223.61,"2,661,300"
"Apr 20, 2023",220.50,226.26,219.30,224.79,224.79,"2,516,400"
"Apr 19, 2023",225.06,228.50,222.28,224.27,224.27,"2,234,300"
"Apr 18, 2023",225.43,231.42,222.23,227.87,227.87,"3,599,200"
"Apr 17, 2023",215.00,229.24,214.78,224.92,224.92,"7,481,800"
"Apr 14, 2023",209.77,214.65,204.60,208.90,208.90,"2,996,400"
"Apr 13, 2023",200.01,211.59,198.52,209.69,209.69,"4,395,700"
"Apr 12, 2023",199.90,201.26,195.81,196.03,196.03,"1,991,400"
"Apr 11, 2023",195.90,199.04,193.12,196.88,196.88,"1,638,900"
"Apr 10, 2023",189.09,195.90,188.51,195.80,195.80,"1,978,600"
"Apr 06, 2023",191.43,192.00,187.15,191.00,191.00,"2,907,800"
"Apr 05, 2023",200.00,201.71,187.73,193.67,193.67,"3,914,900"
"Apr 04, 2023",202.89,203.20,198.65,202.54,202.54,"2,164,100"
"Apr 03, 2023",213.98,215.89,201.63,202.60,202.60,"3,609,600"
