Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",19.06,20.45,18.18,19.83,19.83,"9,394,200"
"Jul 27, 2023",22.04,23.90,18.40,18.64,18.64,"23,670,600"
"Jul 26, 2023",18.88,20.06,18.81,19.60,19.60,"7,777,100"
"Jul 25, 2023",19.04,19.48,19.01,19.02,19.02,"3,705,300"
"Jul 24, 2023",19.65,19.90,18.47,18.92,18.92,"5,290,400"
"Jul 21, 2023",20.01,20.39,19.15,19.48,19.48,"8,695,500"
"Jul 20, 2023",21.05,21.66,20.52,21.07,21.07,"7,782,300"
"Jul 19, 2023",22.14,22.50,20.94,21.26,21.26,"7,030,600"
"Jul 18, 2023",21.90,23.70,21.41,22.21,22.21,"12,604,900"
"Jul 17, 2023",20.56,21.77,20.24,21.41,21.41,"6,319,100"
"Jul 14, 2023",20.86,21.39,20.19,20.55,20.55,"6,700,500"
"Jul 13, 2023",20.37,20.90,20.04,20.77,20.77,"7,353,400"
"Jul 12, 2023",20.55,20.63,19.28,20.04,20.04,"5,973,400"
"Jul 11, 2023",19.80,20.80,19.47,20.03,20.03,"7,447,300"
"Jul 10, 2023",18.96,19.86,18.03,19.80,19.80,"7,155,800"
"Jul 07, 2023",18.60,19.71,18.49,18.74,18.74,"7,819,400"
"Jul 06, 2023",18.76,18.93,17.56,18.63,18.63,"8,841,600"
"Jul 05, 2023",18.70,19.53,18.52,19.26,19.26,"8,353,400"
"Jul 03, 2023",18.00,18.89,17.99,18.82,18.82,"4,906,400"
"Jun 30, 2023",18.07,18.55,17.26,18.04,18.04,"9,417,500"
"Jun 29, 2023",17.32,18.1,17.22,17.92,17.92,"9,483,300"
"Jun 28, 2023",16.47,17.45,15.88,17.19,17.19,"17,144,700"
"Jun 27, 2023",13.91,16.43,13.71,16.43,16.43,"27,693,400"
"Jun 26, 2023",13.62,14.13,12.78,13.12,13.12,"6,393,700"
"Jun 23, 2023",13.16,13.94,13.11,13.79,13.79,"7,860,700"
"Jun 22, 2023",14.15,14.22,13.55,13.63,13.63,"5,951,900"
"Jun 21, 2023",14.52,14.86,14.0,14.42,14.42,"5,603,700"
"Jun 20, 2023",15.0,15.63,13.84,14.68,14.68,"13,483,100"
"Jun 16, 2023",15.25,15.25,13.83,15.12,15.12,"19,304,600"
"Jun 15, 2023",13.42,13.87,13.29,13.63,13.63,"3,195,500"
"Jun 14, 2023",14.05,14.13,13.32,13.57,13.57,"4,266,200"
"Jun 13, 2023",13.65,14.32,13.58,14.12,14.12,"5,340,000"
"Jun 12, 2023",13.83,14.07,13.18,13.44,13.44,"3,601,000"
"Jun 09, 2023",14.18,14.23,13.51,13.73,13.73,"3,623,300"
"Jun 08, 2023",13.59,14.34,13.16,14.14,14.14,"6,812,100"
"Jun 07, 2023",13.8,14.35,13.6,13.61,13.61,"6,655,200"
"Jun 06, 2023",13.17,13.8,13.0,13.72,13.72,"5,444,100"
"Jun 05, 2023",13.61,13.97,12.75,13.11,13.11,"7,684,100"
"Jun 02, 2023",14.75,14.8,13.85,14.27,14.27,"5,142,100"
"Jun 01, 2023",13.21,14.5,13.05,14.48,14.48,"8,010,600"
"May 31, 2023",13.23,13.49,12.74,13.27,13.27,"5,785,900"
