Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",2.2400,2.4100,2.0300,2.2600,2.2600,"16,275,400"
"Jul 27, 2023",3.5900,3.6400,1.2400,2.6500,2.6500,"55,814,400"
"Jul 26, 2023",3.1400,3.5400,3.1300,3.4800,3.4800,"5,602,800"
"Jul 25, 2023",3.1100,3.2750,3.1000,3.1800,3.1800,"4,359,000"
"Jul 24, 2023",3.1300,3.4500,3.0000,3.1200,3.1200,"5,412,000"
"Jul 21, 2023",3.1800,3.3050,2.9800,3.1500,3.1500,"6,953,500"
"Jul 20, 2023",3.3100,3.5700,3.1000,3.1600,3.1600,"6,883,400"
"Jul 19, 2023",3.5000,3.8500,3.1900,3.2800,3.2800,"13,079,300"
"Jul 18, 2023",3.6000,4.1400,3.5100,3.5300,3.5300,"7,834,700"
"Jul 17, 2023",3.5100,3.7350,3.3700,3.5800,3.5800,"6,255,900"
"Jul 14, 2023",3.8500,4.0300,3.5150,3.6000,3.6000,"8,760,100"
"Jul 13, 2023",4.2000,4.2600,3.7800,3.8700,3.8700,"9,535,600"
"Jul 12, 2023",4.7500,5.0500,4.1050,4.1400,4.1400,"9,140,300"
"Jul 11, 2023",4.8100,4.8100,4.1900,4.6500,4.6500,"6,910,900"
"Jul 10, 2023",4.6500,5.0180,4.6500,4.9000,4.9000,"5,990,500"
"Jul 07, 2023",4.0500,4.6100,4.0200,4.5400,4.5400,"7,615,200"
"Jul 06, 2023",4.1600,4.1700,3.8500,4.0200,4.0200,"7,681,200"
"Jul 05, 2023",4.2500,4.5100,4.0600,4.2600,4.2600,"5,334,300"
"Jul 03, 2023",4.4200,4.5600,4.1600,4.3400,4.3400,"4,046,700"
"Jun 30, 2023",4.785,4.82,3.84,4.34,4.34,"15,362,900"
"Jun 29, 2023",5.14,5.665,4.83,4.93,4.93,"15,724,200"
"Jun 28, 2023",4.61,5.14,4.57,5.03,5.03,"12,684,000"
"Jun 27, 2023",4.08,4.69,4.06,4.54,4.54,"10,930,800"
"Jun 26, 2023",3.5,4.22,3.36,4.06,4.06,"9,978,000"
"Jun 23, 2023",3.58,3.805,3.28,3.51,3.51,"23,766,000"
"Jun 22, 2023",3.46,3.75,3.285,3.6,3.6,"6,287,600"
"Jun 21, 2023",3.24,3.54,3.21,3.51,3.51,"6,590,200"
"Jun 20, 2023",3.25,3.31,2.97,3.26,3.26,"6,790,100"
"Jun 16, 2023",3.19,3.47,3.15,3.34,3.34,"11,929,900"
"Jun 15, 2023",3.08,3.28,3.05,3.22,3.22,"4,445,000"
"Jun 14, 2023",3.24,3.27,2.88,3.15,3.15,"7,157,800"
"Jun 13, 2023",3.05,3.29,3.0,3.2,3.2,"6,857,100"
"Jun 12, 2023",2.82,3.22,2.8,2.99,2.99,"11,300,500"
"Jun 09, 2023",2.85,2.89,2.705,2.71,2.71,"4,173,300"
"Jun 08, 2023",2.74,2.9,2.63,2.84,2.84,"5,242,000"
"Jun 07, 2023",2.6,2.93,2.581,2.8,2.8,"5,403,800"
"Jun 06, 2023",2.42,2.615,2.29,2.59,2.59,"4,143,400"
"Jun 05, 2023",2.43,2.58,2.375,2.43,2.43,"4,244,400"
"Jun 02, 2023",2.32,2.445,2.12,2.43,2.43,"5,688,800"
"Jun 01, 2023",2.23,2.4,2.14,2.31,2.31,"5,550,200"
"May 31, 2023",2.14,2.22,2.02,2.21,2.21,"4,438,700"
"May 30, 2023",1.98,2.13,1.97,2.08,2.08,"3,749,300"
"May 26, 2023",1.9,1.975,1.77,1.89,1.89,"3,372,700"
"May 25, 2023",2.0,2.0,1.84,1.89,1.89,"5,923,200"
"May 24, 2023",2.1,2.12,1.94,1.99,1.99,"5,379,700"
"May 23, 2023",2.11,2.295,2.07,2.08,2.08,"5,259,100"
"May 22, 2023",2.24,2.24,2.05,2.11,2.11,"5,442,500"
"May 19, 2023",2.32,2.455,2.14,2.21,2.21,"15,729,000"
"May 18, 2023",2.12,2.42,2.02,2.32,2.32,"9,773,400"
"May 17, 2023",2.13,2.2,2.07,2.15,2.15,"4,737,800"
"May 16, 2023",2.3,2.46,2.15,2.18,2.18,"5,378,300"
"May 15, 2023",2.08,2.49,2.07,2.31,2.31,"12,578,900"
"May 12, 2023",2.18,2.52,2.13,2.44,2.44,"7,292,000"
"May 11, 2023",2.1,2.214,2.01,2.17,2.17,"5,528,000"
"May 10, 2023",1.95,2.19,1.9,2.15,2.15,"7,645,400"
"May 09, 2023",1.92,1.92,1.77,1.8,1.8,"2,768,800"
"May 08, 2023",2.05,2.06,1.82,1.92,1.92,"3,748,600"
"May 05, 2023",1.94,2.07,1.9,2.03,2.03,"4,988,300"
"May 04, 2023",1.74,1.887,1.67,1.84,1.84,"5,314,100"
"May 03, 2023",1.59,1.755,1.52,1.72,1.72,"4,915,100"
"May 02, 2023",1.73,1.74,1.54,1.58,1.58,"4,590,500"
"May 01, 2023",1.69,1.85,1.67,1.71,1.71,"3,938,500"
"Apr 28, 2023",1.75,1.75,1.56,1.69,1.69,"4,962,900"
"Apr 27, 2023",1.77,1.865,1.69,1.75,1.75,"6,458,400"
"Apr 26, 2023",1.92,1.92,1.75,1.78,1.78,"4,816,800"
"Apr 25, 2023",2.09,2.09,1.75,1.9,1.9,"8,292,500"
"Apr 24, 2023",2.35,2.35,2.0,2.11,2.11,"8,568,400"
"Apr 21, 2023",2.4,2.425,2.28,2.34,2.34,"2,961,800"
"Apr 20, 2023",2.58,2.66,2.36,2.41,2.41,"5,841,000"
"Apr 19, 2023",2.77,2.8,2.5,2.68,2.68,"5,402,000"
"Apr 18, 2023",2.98,3.01,2.775,2.86,2.86,"3,352,000"
"Apr 17, 2023",2.67,2.94,2.61,2.93,2.93,"5,087,500"
"Apr 14, 2023",2.76,2.84,2.58,2.62,2.62,"5,937,200"
"Apr 13, 2023",2.8,2.94,2.56,2.76,2.76,"5,064,000"
"Apr 12, 2023",3.24,3.29,2.6,2.61,2.61,"9,839,500"
"Apr 11, 2023",2.75,3.23,2.65,3.13,3.13,"6,352,500"
"Apr 10, 2023",2.56,3.22,2.55,3.08,3.08,"8,126,800"
"Apr 06, 2023",2.48,2.5,2.32,2.47,2.47,"2,145,100"
"Apr 05, 2023",2.66,2.68,2.41,2.52,2.52,"2,202,400"
"Apr 04, 2023",2.78,2.78,2.55,2.7,2.7,"3,113,700"
"Apr 03, 2023",2.62,2.78,2.562,2.76,2.76,"4,053,400"
"Mar 31, 2023",2.385,2.62,2.36,2.57,2.57,"2,566,600"
"Mar 30, 2023",2.15,2.5,2.15,2.35,2.35,"3,468,100"
"Mar 29, 2023",2.0,2.14,1.88,2.1,2.1,"3,076,800"
"Mar 28, 2023",2.01,2.07,1.95,1.95,1.95,"2,413,000"
