Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",13.16,13.26,13.11,13.25,13.25,"8,154,500"
"Jul 27, 2023",13.22,13.23,13.13,13.14,13.14,"8,511,800"
"Jul 26, 2023",13.25,13.25,13.13,13.16,13.16,"9,701,800"
"Jul 25, 2023",13.30,13.30,13.21,13.21,13.21,"9,701,600"
"Jul 24, 2023",13.20,13.30,13.18,13.28,13.28,"9,769,800"
"Jul 21, 2023",13.24,13.25,13.13,13.15,13.15,"8,513,300"
"Jul 20, 2023",13.21,13.25,13.19,13.20,13.20,"7,327,900"
"Jul 19, 2023",13.14,13.20,13.13,13.18,13.18,"5,458,400"
"Jul 18, 2023",13.01,13.15,13.00,13.11,13.11,"9,132,600"
"Jul 17, 2023",12.95,13.00,12.93,12.97,12.97,"9,644,900"
"Jul 14, 2023",13.04,13.04,12.89,12.90,12.90,"15,175,600"
"Jul 13, 2023",13.03,13.04,12.99,13.03,13.03,"14,448,600"
"Jul 12, 2023",13.05,13.08,12.97,12.99,12.99,"13,100,400"
"Jul 11, 2023",12.88,13.01,12.86,12.95,12.95,"13,900,200"
"Jul 10, 2023",12.77,12.87,12.75,12.84,12.84,"8,525,600"
"Jul 07, 2023",12.80,12.87,12.74,12.75,12.75,"8,797,500"
"Jul 06, 2023",12.77,12.82,12.68,12.80,12.80,"5,937,600"
"Jul 05, 2023",12.85,12.85,12.77,12.84,12.84,"7,126,900"
"Jul 03, 2023",12.77,12.86,12.75,12.85,12.85,"3,776,700"
"Jun 30, 2023",12.82,12.85,12.68,12.7,12.7,"10,167,000"
"Jun 29, 2023",12.79,12.83,12.74,12.77,12.77,"5,661,000"
"Jun 28, 2023",12.64,12.75,12.57,12.74,12.74,"7,262,900"
"Jun 27, 2023",12.63,12.68,12.56,12.64,12.64,"8,095,800"
"Jun 26, 2023",12.51,12.67,12.5,12.6,12.6,"9,068,400"
"Jun 23, 2023",12.6,12.65,12.5,12.5,12.5,"10,912,000"
"Jun 22, 2023",12.74,12.75,12.61,12.67,12.67,"9,201,900"
"Jun 21, 2023",12.74,12.9,12.71,12.78,12.78,"12,131,900"
"Jun 20, 2023",12.82,12.83,12.71,12.75,12.75,"8,491,600"
"Jun 16, 2023",12.87,12.88,12.77,12.82,12.82,"9,312,500"
