Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",33.40,33.49,33.22,33.39,33.39,"16,883,200"
"Jul 27, 2023",33.93,33.96,33.07,33.08,33.08,"27,377,100"
"Jul 26, 2023",33.79,34.18,33.69,34.11,34.11,"25,017,000"
"Jul 25, 2023",33.98,34.08,33.73,33.82,33.82,"18,383,300"
"Jul 24, 2023",33.21,33.88,33.07,33.69,33.69,"27,539,600"
"Jul 21, 2023",32.88,33.22,32.82,33.02,33.02,"28,974,500"
"Jul 20, 2023",32.44,32.51,32.13,32.32,32.32,"18,759,100"
"Jul 19, 2023",32.04,32.39,31.86,32.27,32.27,"20,431,500"
"Jul 18, 2023",32.14,32.47,31.97,32.21,32.21,"22,283,900"
"Jul 17, 2023",31.81,32.34,31.58,32.33,32.33,"20,566,800"
"Jul 14, 2023",32.51,32.59,32.13,32.25,32.25,"22,484,400"
"Jul 13, 2023",32.49,32.79,32.43,32.67,32.67,"26,812,100"
"Jul 12, 2023",32.27,32.55,32.01,32.02,32.02,"29,777,000"
"Jul 11, 2023",31.07,31.75,30.83,31.70,31.70,"22,390,300"
"Jul 10, 2023",31.83,31.99,31.61,31.67,31.67,"19,188,900"
"Jul 07, 2023",31.75,32.31,31.75,32.02,32.02,"21,820,400"
"Jul 06, 2023",31.78,32.03,31.00,31.26,31.26,"38,925,300"
"Jul 05, 2023",32.24,32.58,32.11,32.35,32.35,"22,163,900"
"Jul 03, 2023",32.74,32.96,32.69,32.83,32.83,"16,799,600"
"Jun 30, 2023",32.42,32.66,32.29,32.43,32.43,"37,302,700"
"Jun 29, 2023",31.8,32.2,31.7,32.19,32.19,"28,996,400"
"Jun 28, 2023",31.93,31.99,31.62,31.73,31.73,"26,933,800"
"Jun 27, 2023",32.73,32.76,31.94,32.29,32.29,"24,140,200"
"Jun 26, 2023",32.57,32.84,32.34,32.63,32.63,"18,568,500"
"Jun 23, 2023",32.5,32.83,32.38,32.69,32.69,"29,973,400"
"Jun 22, 2023",32.81,32.86,32.49,32.78,32.78,"30,470,400"
"Jun 21, 2023",32.75,33.25,32.69,33.17,33.17,"28,760,200"
"Jun 20, 2023",32.73,32.78,32.37,32.72,32.72,"32,289,700"
"Jun 16, 2023",32.22,32.64,32.1,32.32,32.32,"25,506,700"
"Jun 15, 2023",32.59,32.76,32.42,32.66,32.66,"27,051,500"
"Jun 14, 2023",31.83,32.53,31.75,32.44,32.44,"38,624,600"
"Jun 13, 2023",31.84,31.91,31.43,31.57,31.57,"25,975,400"
"Jun 12, 2023",31.51,31.76,31.29,31.72,31.72,"23,258,900"
"Jun 09, 2023",31.16,31.77,31.1,31.6,31.6,"27,604,500"
"Jun 08, 2023",30.82,31.08,30.78,31.03,31.03,"12,791,400"
"Jun 07, 2023",30.94,31.03,30.55,30.81,30.81,"37,231,400"
"Jun 06, 2023",30.75,31.45,30.73,31.35,30.59,"42,389,700"
"Jun 05, 2023",30.7,30.85,30.43,30.75,30.01,"24,590,200"
"Jun 02, 2023",30.56,30.66,30.33,30.59,29.85,"38,715,100"
"Jun 01, 2023",28.97,29.74,28.88,29.72,29.0,"32,608,300"
"May 31, 2023",28.85,28.93,28.45,28.82,28.13,"28,321,400"
"May 30, 2023",29.35,29.36,28.85,29.12,28.42,"29,600,100"
"May 26, 2023",29.83,30.18,29.55,29.94,29.22,"36,451,700"
"May 25, 2023",29.87,29.87,29.32,29.44,28.73,"31,401,800"
"May 24, 2023",29.84,29.88,29.54,29.62,28.91,"28,127,100"
"May 23, 2023",29.97,30.28,29.68,29.81,29.09,"30,536,300"
"May 22, 2023",30.13,30.15,29.83,29.87,29.15,"23,143,300"
"May 19, 2023",29.67,30.08,29.66,29.89,29.17,"29,628,900"
"May 18, 2023",29.78,29.97,29.56,29.93,29.21,"17,312,300"
"May 17, 2023",29.91,30.07,29.68,29.99,29.27,"31,465,000"
"May 16, 2023",30.32,30.44,29.53,29.57,28.86,"31,355,700"
"May 15, 2023",29.9,30.2,29.67,30.15,29.42,"28,005,900"
"May 12, 2023",29.48,29.92,29.46,29.8,29.08,"29,634,600"
"May 11, 2023",29.0,29.74,28.9,29.56,28.85,"34,637,100"
"May 10, 2023",29.31,29.4,28.99,29.35,28.64,"34,322,400"
"May 09, 2023",28.46,29.29,28.42,29.04,28.34,"27,999,000"
