Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",39.91,40.09,39.44,40.00,39.85,"12,636,600"
"Jun 29, 2023",38.93,39.40,38.60,39.35,39.21,"10,597,100"
"Jun 28, 2023",39.75,39.75,38.76,39.22,39.08,"14,802,000"
"Jun 27, 2023",39.57,40.51,39.45,40.41,40.26,"12,084,700"
"Jun 26, 2023",38.44,39.57,38.44,39.27,39.13,"9,130,600"
"Jun 23, 2023",38.48,38.55,37.90,38.37,38.23,"12,450,700"
"Jun 22, 2023",39.49,39.77,39.15,39.72,39.57,"10,897,100"
"Jun 21, 2023",38.97,40.04,38.91,39.77,39.62,"10,526,700"
"Jun 20, 2023",39.55,39.66,38.58,39.40,39.25,"11,959,300"
"Jun 16, 2023",39.79,40.15,39.58,39.89,39.74,"16,132,500"
"Jun 15, 2023",40.01,40.51,39.88,40.08,39.93,"12,694,600"
"Jun 14, 2023",40.60,40.75,39.52,40.06,39.91,"10,557,700"
"Jun 13, 2023",39.24,40.12,39.17,39.82,39.67,"17,147,800"
"Jun 12, 2023",37.47,38.19,36.88,37.82,37.68,"10,721,100"
"Jun 09, 2023",37.80,38.05,37.55,37.89,37.75,"9,268,800"
"Jun 08, 2023",37.88,38.07,37.41,37.84,37.70,"9,407,100"
"Jun 07, 2023",37.79,38.31,37.53,37.57,37.43,"15,290,200"
"Jun 06, 2023",36.92,37.81,36.92,37.74,37.60,"8,924,700"
"Jun 05, 2023",37.45,37.45,36.27,37.04,36.90,"10,166,900"
"Jun 02, 2023",37.29,37.56,36.62,37.19,37.05,"20,447,500"
"Jun 01, 2023",34.86,35.89,34.68,35.47,35.34,"14,008,700"
"May 31, 2023",33.73,34.42,33.31,34.34,34.21,"16,890,300"
"May 30, 2023",34.72,34.74,33.84,34.23,34.10,"13,296,500"
"May 26, 2023",34.87,35.13,34.47,34.77,34.64,"14,099,700"
"May 25, 2023",33.40,33.74,33.06,33.63,33.51,"12,397,000"
"May 24, 2023",34.10,34.13,33.05,33.21,33.09,"17,677,500"
"May 23, 2023",35.22,35.24,34.51,34.68,34.55,"11,101,800"
"May 22, 2023",35.72,36.04,35.60,35.62,35.49,"6,280,800"
"May 19, 2023",36.03,36.24,35.43,35.73,35.60,"8,718,700"
"May 18, 2023",35.12,35.86,34.83,35.68,35.55,"9,791,600"
"May 17, 2023",36.33,36.52,35.41,35.82,35.69,"14,459,700"
"May 16, 2023",35.95,36.30,35.17,35.25,35.12,"12,940,400"
"May 15, 2023",35.23,36.25,34.96,36.13,36.00,"13,039,800"
"May 12, 2023",34.70,34.99,34.37,34.99,34.86,"10,941,700"
"May 11, 2023",34.76,34.96,34.29,34.54,34.41,"17,097,700"
"May 10, 2023",36.95,37.00,35.51,36.24,36.11,"11,944,500"
"May 09, 2023",36.30,36.92,36.16,36.66,36.52,"11,133,300"
"May 08, 2023",37.20,37.42,36.45,36.56,36.43,"9,274,700"
"May 05, 2023",35.91,36.72,35.76,36.47,36.34,"13,539,400"
"May 04, 2023",36.18,36.33,34.76,35.22,35.09,"19,129,300"
"May 03, 2023",36.70,37.08,36.28,36.33,36.20,"12,554,000"
"May 02, 2023",37.05,37.18,36.24,36.60,36.47,"10,714,600"
"May 01, 2023",38.86,38.86,37.35,37.63,37.49,"9,629,300"
"Apr 28, 2023",37.03,37.93,36.91,37.91,37.77,"9,460,600"
"Apr 27, 2023",37.19,37.49,36.68,37.47,37.33,"10,761,200"
"Apr 26, 2023",37.99,38.05,37.07,37.28,37.14,"10,484,500"
"Apr 25, 2023",38.19,38.28,37.10,37.75,37.61,"20,736,100"
