Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",267.25,269.88,266.19,268.85,268.85,"1,058,500"
"Jul 27, 2023",268.75,270.27,264.97,265.37,265.37,"1,945,100"
"Jul 26, 2023",260.97,269.32,260.92,268.13,268.13,"2,751,300"
"Jul 25, 2023",258.25,261.75,254.64,259.66,259.66,"2,363,700"
"Jul 24, 2023",255.00,260.82,254.44,258.77,258.77,"2,010,400"
"Jul 21, 2023",260.44,262.47,259.26,259.67,259.67,"1,785,100"
"Jul 20, 2023",259.25,264.52,259.00,263.54,263.54,"2,138,600"
"Jul 19, 2023",261.50,261.79,257.91,260.26,260.26,"2,655,500"
"Jul 18, 2023",262.00,265.60,259.99,261.97,261.97,"2,766,700"
"Jul 17, 2023",256.39,256.90,253.89,254.73,254.73,"1,494,400"
"Jul 14, 2023",258.19,259.73,256.16,257.45,257.45,"1,044,400"
"Jul 13, 2023",262.09,262.87,257.01,258.46,258.46,"1,747,600"
"Jul 12, 2023",259.93,262.63,259.41,261.61,261.61,"2,068,300"
"Jul 11, 2023",252.00,258.88,251.98,258.40,258.40,"3,039,700"
"Jul 10, 2023",250.46,252.53,249.32,251.69,251.69,"1,573,000"
"Jul 07, 2023",246.76,253.13,246.76,251.25,251.25,"2,423,500"
"Jul 06, 2023",246.65,249.33,246.65,247.67,247.67,"1,712,900"
"Jul 05, 2023",246.21,250.37,246.19,248.32,248.32,"1,613,300"
"Jul 03, 2023",247.11,248.37,246.18,247.55,247.55,"1,281,600"
"Jun 30, 2023",250.0,250.08,245.65,247.9,247.9,"2,604,200"
"Jun 29, 2023",248.7,249.99,248.15,249.98,249.98,"2,314,400"
"Jun 28, 2023",246.0,249.8,245.09,248.44,248.44,"2,980,800"
"Jun 27, 2023",236.09,246.89,236.01,246.76,246.76,"4,162,000"
"Jun 26, 2023",232.87,237.05,232.59,234.93,234.93,"2,205,800"
"Jun 23, 2023",230.65,233.79,230.15,232.34,232.34,"3,028,000"
"Jun 22, 2023",225.01,234.79,224.4,232.93,232.93,"3,592,100"
"Jun 21, 2023",223.8,232.36,223.24,225.84,225.84,"7,126,000"
"Jun 20, 2023",234.59,234.74,229.96,231.65,231.65,"5,215,800"
"Jun 16, 2023",237.35,238.0,233.36,233.46,233.46,"3,288,900"
"Jun 15, 2023",229.77,236.88,229.77,236.44,236.44,"2,321,600"
"Jun 14, 2023",229.76,232.46,228.07,229.67,229.67,"2,091,200"
"Jun 13, 2023",224.2,228.99,222.01,228.87,228.87,"2,341,800"
"Jun 12, 2023",224.43,225.09,222.71,224.55,224.55,"1,437,000"
"Jun 09, 2023",224.44,224.47,221.2,223.76,223.76,"1,654,200"
"Jun 08, 2023",225.07,226.4,222.11,225.01,223.75,"1,631,500"
"Jun 07, 2023",220.45,224.82,220.02,224.6,223.34,"2,141,500"
"Jun 06, 2023",220.0,220.69,218.55,219.5,218.27,"1,474,700"
"Jun 05, 2023",221.96,223.21,220.35,221.08,219.84,"1,187,900"
"Jun 02, 2023",218.53,222.66,218.32,221.74,220.5,"1,541,200"
