Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",223.59,224.50,194.22,208.40,208.40,"11,359,300"
"Jul 27, 2023",199.50,200.65,194.35,198.80,198.80,"2,931,700"
"Jul 26, 2023",196.10,199.41,190.76,197.41,197.41,"1,855,000"
"Jul 25, 2023",199.30,202.25,196.68,200.01,200.01,"1,351,100"
"Jul 24, 2023",198.47,199.04,194.01,197.66,197.66,"1,304,400"
"Jul 21, 2023",200.30,200.90,194.84,197.91,197.91,"1,327,000"
"Jul 20, 2023",197.00,200.60,196.67,198.50,198.50,"1,334,000"
"Jul 19, 2023",202.31,203.66,197.61,198.58,198.58,"1,188,800"
"Jul 18, 2023",206.27,211.28,201.42,201.57,201.57,"1,802,400"
"Jul 17, 2023",192.00,208.19,191.01,206.71,206.71,"2,568,700"
"Jul 14, 2023",198.31,198.31,190.34,191.30,191.30,"1,245,300"
"Jul 13, 2023",196.69,197.64,194.43,196.95,196.95,"1,375,700"
"Jul 12, 2023",191.21,196.79,190.54,194.96,194.96,"1,903,600"
"Jul 11, 2023",192.30,192.63,187.89,189.62,189.62,"1,082,300"
"Jul 10, 2023",188.00,193.28,182.77,190.82,190.82,"1,462,500"
"Jul 07, 2023",190.91,194.42,186.54,189.14,189.14,"2,020,800"
"Jul 06, 2023",184.08,187.09,181.64,183.14,183.14,"1,190,900"
"Jul 05, 2023",192.63,193.75,185.52,186.95,186.95,"1,266,800"
"Jul 03, 2023",191.11,195.65,189.78,191.39,191.39,"1,092,400"
"Jun 30, 2023",186.1,190.8,183.35,190.09,190.09,"1,819,500"
"Jun 29, 2023",185.71,186.77,182.4,184.01,184.01,"897,800"
"Jun 28, 2023",180.29,187.22,180.28,184.22,184.22,"1,283,300"
"Jun 27, 2023",181.41,185.31,180.97,182.73,182.73,"1,606,200"
"Jun 26, 2023",183.0,187.17,176.96,178.55,178.55,"1,722,800"
"Jun 23, 2023",183.37,188.73,182.87,184.52,184.52,"2,545,700"
"Jun 22, 2023",183.66,188.47,181.0,187.08,187.08,"1,443,700"
"Jun 21, 2023",186.1,187.17,183.31,184.58,184.58,"1,680,200"
"Jun 20, 2023",189.29,190.3,184.35,186.1,186.1,"2,077,800"
"Jun 16, 2023",193.94,195.18,187.37,188.99,188.99,"3,106,000"
"Jun 15, 2023",191.41,194.68,190.9,192.88,192.88,"1,552,400"
"Jun 14, 2023",195.7,196.24,189.18,193.03,193.03,"1,523,600"
"Jun 13, 2023",199.18,202.22,195.08,195.99,195.99,"1,275,700"
"Jun 12, 2023",191.33,197.9,189.69,196.24,196.24,"1,427,600"
"Jun 09, 2023",193.34,196.05,191.09,192.0,192.0,"1,271,900"
"Jun 08, 2023",190.49,193.19,188.42,192.33,192.33,"1,154,800"
"Jun 07, 2023",196.24,198.65,189.51,191.76,191.76,"2,308,400"
"Jun 06, 2023",199.97,203.15,196.23,196.82,196.82,"1,805,200"
"Jun 05, 2023",207.09,208.97,200.39,203.67,203.67,"1,320,200"
"Jun 02, 2023",211.76,212.35,204.13,206.74,206.74,"1,476,400"
"Jun 01, 2023",204.62,211.05,201.86,208.74,208.74,"1,509,500"
"May 31, 2023",201.68,203.26,198.79,202.96,202.96,"2,623,800"
"May 30, 2023",206.24,210.38,199.72,202.4,202.4,"1,908,700"
"May 26, 2023",201.04,203.87,198.53,201.77,201.77,"1,689,300"
"May 25, 2023",199.65,202.12,196.48,200.94,200.94,"1,488,800"
"May 24, 2023",199.7,204.74,196.95,198.55,198.55,"1,724,900"
"May 23, 2023",199.24,202.87,197.53,200.89,200.89,"2,216,300"
"May 22, 2023",205.52,207.54,200.1,201.69,201.69,"2,381,300"
"May 19, 2023",206.01,208.26,200.66,203.53,203.53,"2,042,800"
"May 18, 2023",208.32,208.93,203.45,206.28,206.28,"2,167,000"
"May 17, 2023",214.1,214.14,207.32,209.76,209.76,"3,136,200"
"May 16, 2023",220.0,221.49,212.25,212.8,212.8,"3,479,800"
"May 15, 2023",228.08,229.66,221.26,221.59,221.59,"7,313,200"
"May 12, 2023",203.8,232.0,203.4,231.69,231.69,"23,871,100"
"May 11, 2023",179.78,183.49,178.79,183.19,183.19,"1,122,300"
"May 10, 2023",180.39,181.66,177.27,180.74,180.74,"927,100"
"May 09, 2023",176.61,178.43,174.85,178.0,178.0,"1,208,800"
"May 08, 2023",179.7,180.8,176.44,177.46,177.46,"1,099,300"
"May 05, 2023",173.01,178.76,172.25,178.6,178.6,"1,652,000"
"May 04, 2023",175.34,176.97,170.92,171.59,171.59,"1,516,100"
"May 03, 2023",176.44,178.07,173.91,174.33,174.33,"1,517,500"
"May 02, 2023",180.44,182.02,174.52,176.4,176.4,"2,753,100"
"May 01, 2023",182.58,188.25,178.76,180.85,180.85,"3,948,500"
"Apr 28, 2023",184.68,184.97,170.55,182.58,182.58,"10,340,900"
"Apr 27, 2023",200.59,203.63,198.63,200.83,200.83,"2,728,000"
"Apr 26, 2023",205.01,205.29,197.3,199.51,199.51,"3,261,000"
"Apr 25, 2023",207.5,210.67,204.71,210.53,210.53,"2,064,300"
"Apr 24, 2023",209.51,210.5,201.23,209.9,209.9,"4,036,200"
"Apr 21, 2023",214.53,218.81,213.21,216.89,216.89,"1,348,400"
"Apr 20, 2023",213.34,218.01,212.33,215.53,215.53,"1,384,200"
"Apr 19, 2023",217.65,220.33,215.6,218.19,218.19,"1,539,500"
"Apr 18, 2023",215.87,220.23,215.32,219.48,219.48,"1,601,900"
"Apr 17, 2023",208.2,221.88,208.01,218.89,218.89,"2,941,100"
"Apr 14, 2023",211.32,211.83,205.48,208.4,208.4,"1,207,700"
"Apr 13, 2023",204.48,212.98,204.13,211.26,211.26,"1,960,100"
"Apr 12, 2023",212.0,213.67,207.69,207.89,207.89,"1,581,300"
"Apr 11, 2023",212.16,212.52,208.82,210.03,210.03,"1,727,300"
"Apr 10, 2023",202.99,212.22,202.99,212.03,212.03,"1,380,600"
"Apr 06, 2023",201.08,204.64,199.86,204.51,204.51,"1,484,300"
"Apr 05, 2023",207.53,209.03,199.81,201.61,201.61,"1,707,500"
"Apr 04, 2023",207.32,209.47,205.79,208.14,208.14,"1,158,400"
"Apr 03, 2023",217.28,218.52,207.65,208.49,208.49,"2,205,700"
"Mar 31, 2023",213.54,218.05,213.54,217.5,217.5,"1,290,000"
"Mar 30, 2023",218.63,219.55,212.54,213.32,213.32,"1,542,200"
