Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",5.74,5.90,5.70,5.90,5.90,"11,911,900"
"Jul 27, 2023",5.95,5.96,5.62,5.64,5.64,"10,208,100"
"Jul 26, 2023",5.75,6.01,5.62,5.82,5.82,"14,135,000"
"Jul 25, 2023",6.16,6.20,5.74,5.74,5.74,"12,678,000"
"Jul 24, 2023",6.13,6.27,6.05,6.15,6.15,"4,822,600"
"Jul 21, 2023",6.44,6.50,6.12,6.15,6.15,"6,720,500"
"Jul 20, 2023",6.60,6.62,6.28,6.35,6.35,"7,536,000"
"Jul 19, 2023",6.63,6.88,6.58,6.73,6.73,"10,484,700"
"Jul 18, 2023",6.73,6.93,6.48,6.55,6.55,"10,097,200"
"Jul 17, 2023",6.16,6.91,6.04,6.85,6.85,"10,894,800"
"Jul 14, 2023",6.60,6.75,5.99,6.17,6.17,"14,659,300"
"Jul 13, 2023",6.86,7.22,6.56,6.66,6.66,"13,337,700"
"Jul 12, 2023",6.86,6.87,6.47,6.83,6.83,"14,079,400"
"Jul 11, 2023",6.60,6.95,6.46,6.74,6.74,"18,104,300"
"Jul 10, 2023",6.07,7.06,5.84,7.03,7.03,"28,160,000"
"Jul 07, 2023",5.80,6.28,5.80,6.00,6.00,"12,869,000"
"Jul 06, 2023",5.87,5.88,5.54,5.76,5.76,"5,916,100"
"Jul 05, 2023",5.75,6.03,5.66,5.96,5.96,"7,312,500"
"Jul 03, 2023",5.83,6.04,5.66,5.72,5.72,"5,261,000"
"Jun 30, 2023",5.43,5.73,5.42,5.64,5.64,"7,092,800"
"Jun 29, 2023",5.23,5.54,5.22,5.45,5.45,"5,777,200"
"Jun 28, 2023",5.07,5.37,5.03,5.23,5.23,"7,805,800"
"Jun 27, 2023",4.91,5.1,4.77,5.08,5.08,"7,505,800"
"Jun 26, 2023",5.1,5.19,4.86,4.86,4.86,"6,248,400"
"Jun 23, 2023",5.29,5.37,5.05,5.09,5.09,"10,819,100"
"Jun 22, 2023",5.4,5.46,5.18,5.24,5.24,"5,194,900"
"Jun 21, 2023",5.89,5.89,5.42,5.46,5.46,"8,887,300"
"Jun 20, 2023",5.85,6.01,5.73,5.9,5.9,"5,427,500"
"Jun 16, 2023",6.05,6.09,5.83,5.93,5.93,"8,067,400"
"Jun 15, 2023",5.85,6.12,5.81,6.02,6.02,"8,182,200"
"Jun 14, 2023",6.29,6.49,5.92,5.96,5.96,"10,743,600"
"Jun 13, 2023",5.86,6.4,5.82,6.28,6.28,"10,380,700"
"Jun 12, 2023",5.79,5.98,5.68,5.78,5.78,"4,941,000"
"Jun 09, 2023",5.86,5.99,5.7,5.75,5.75,"5,866,100"
"Jun 08, 2023",5.96,6.09,5.56,5.7,5.7,"12,664,000"
"Jun 07, 2023",5.95,6.66,5.9,6.18,6.18,"13,661,500"
"Jun 06, 2023",5.69,5.93,5.62,5.84,5.84,"6,756,100"
"Jun 05, 2023",6.19,6.25,5.74,5.76,5.76,"8,791,900"
"Jun 02, 2023",6.26,6.35,6.13,6.16,6.16,"3,672,000"
"Jun 01, 2023",6.5,6.55,6.01,6.14,6.14,"9,910,600"
"May 31, 2023",6.52,6.55,6.15,6.28,6.28,"7,625,200"
"May 30, 2023",6.56,6.7,6.13,6.57,6.57,"7,043,600"
"May 26, 2023",6.57,6.57,6.27,6.44,6.44,"3,610,500"
"May 25, 2023",6.84,6.99,6.49,6.57,6.57,"5,053,500"
"May 24, 2023",6.56,6.8,6.52,6.79,6.79,"6,854,800"
"May 23, 2023",6.55,6.9,6.49,6.69,6.69,"7,505,300"
