Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",27.17,27.32,27.09,27.19,27.19,"19,670,600"
"Jun 29, 2023",26.92,27.03,26.88,26.94,26.94,"24,342,100"
"Jun 28, 2023",27.38,27.39,27.19,27.37,27.37,"16,775,600"
"Jun 27, 2023",27.47,27.61,27.40,27.60,27.60,"26,468,300"
"Jun 26, 2023",27.00,27.21,26.96,27.01,27.01,"18,872,600"
"Jun 23, 2023",27.03,27.05,26.76,26.87,26.87,"28,699,000"
"Jun 22, 2023",27.41,27.51,27.23,27.44,27.44,"15,063,200"
"Jun 21, 2023",27.52,27.73,27.43,27.50,27.50,"21,544,700"
"Jun 20, 2023",28.09,28.17,27.61,27.67,27.67,"52,582,900"
"Jun 16, 2023",29.24,29.25,28.79,28.91,28.91,"31,165,500"
"Jun 15, 2023",28.93,29.08,28.76,29.08,29.08,"39,549,400"
"Jun 14, 2023",28.07,28.57,28.03,28.45,28.45,"35,568,800"
"Jun 13, 2023",28.09,28.31,28.00,28.07,28.07,"22,651,900"
"Jun 12, 2023",27.82,27.89,27.74,27.75,27.75,"18,288,700"
"Jun 09, 2023",27.92,28.02,27.78,27.82,27.82,"20,194,300"
"Jun 08, 2023",27.67,27.92,27.65,27.79,27.79,"31,269,800"
"Jun 07, 2023",27.69,27.96,27.49,27.50,27.50,"30,327,200"
"Jun 06, 2023",27.37,28.06,27.31,27.99,27.84,"39,715,000"
"Jun 05, 2023",27.26,27.44,27.15,27.39,27.24,"20,666,900"
"Jun 02, 2023",27.33,27.62,27.33,27.43,27.28,"58,100,700"
"Jun 01, 2023",25.97,26.74,25.96,26.63,26.48,"43,154,100"
"May 31, 2023",25.87,25.98,25.51,25.97,25.83,"37,719,400"
"May 30, 2023",26.41,26.48,25.91,26.04,25.90,"41,485,900"
"May 26, 2023",26.53,26.92,26.43,26.83,26.68,"25,118,900"
"May 25, 2023",26.72,26.73,26.34,26.39,26.24,"35,351,900"
"May 24, 2023",27.20,27.26,26.89,26.94,26.79,"37,998,100"
"May 23, 2023",27.82,27.90,27.48,27.49,27.34,"36,146,200"
"May 22, 2023",28.32,28.62,28.31,28.35,28.19,"23,553,200"
"May 19, 2023",27.89,27.97,27.80,27.90,27.75,"22,346,100"
"May 18, 2023",28.40,28.43,27.90,28.05,27.90,"34,716,900"
"May 17, 2023",28.25,28.48,28.16,28.44,28.28,"26,237,600"
"May 16, 2023",28.50,28.82,28.49,28.74,28.58,"26,522,600"
"May 15, 2023",28.56,29.06,28.42,29.04,28.88,"48,130,400"
"May 12, 2023",28.12,28.13,27.73,27.79,27.64,"30,844,100"
"May 11, 2023",28.22,28.57,28.17,28.54,28.38,"27,595,000"
"May 10, 2023",28.14,28.35,28.04,28.24,28.08,"22,425,600"
"May 09, 2023",28.19,28.47,28.14,28.44,28.28,"22,820,100"
"May 08, 2023",29.00,29.01,28.78,28.89,28.73,"21,775,100"
"May 05, 2023",28.48,28.72,28.35,28.67,28.51,"19,258,800"
"May 04, 2023",28.11,28.39,28.10,28.30,28.14,"32,223,000"
"May 03, 2023",27.61,27.75,27.49,27.56,27.41,"23,905,400"
"May 02, 2023",27.92,27.93,27.47,27.69,27.54,"32,574,500"
"May 01, 2023",28.24,28.46,28.19,28.22,28.06,"20,397,600"
"Apr 28, 2023",28.15,28.35,28.08,28.33,28.17,"20,474,700"
"Apr 27, 2023",27.89,28.27,27.85,28.19,28.03,"23,274,900"
"Apr 26, 2023",28.03,28.08,27.74,27.80,27.65,"30,506,600"
"Apr 25, 2023",27.60,27.64,27.28,27.35,27.20,"42,267,400"
"Apr 24, 2023",28.24,28.26,28.02,28.11,27.96,"24,197,800"
"Apr 21, 2023",28.43,28.50,28.25,28.40,28.24,"27,016,700"
"Apr 20, 2023",29.02,29.21,28.73,28.82,28.66,"23,301,800"
"Apr 19, 2023",28.97,29.09,28.88,29.01,28.85,"19,982,800"
"Apr 18, 2023",29.61,29.66,29.30,29.37,29.21,"17,830,500"
"Apr 17, 2023",29.39,29.50,29.25,29.49,29.33,"30,774,900"
"Apr 14, 2023",28.93,28.98,28.61,28.71,28.55,"21,020,200"
"Apr 13, 2023",29.00,29.13,28.92,29.07,28.91,"29,611,900"
"Apr 12, 2023",29.04,29.08,28.33,28.41,28.25,"44,014,100"
"Apr 11, 2023",29.46,29.53,29.18,29.21,29.05,"31,524,000"
"Apr 10, 2023",29.06,29.20,28.96,29.19,29.03,"23,139,700"
"Apr 06, 2023",28.96,29.41,28.89,29.29,29.13,"29,216,900"
"Apr 05, 2023",29.20,29.20,28.75,28.93,28.77,"34,422,400"
"Apr 04, 2023",29.13,29.35,29.01,29.27,29.11,"39,701,900"
"Apr 03, 2023",29.50,29.57,29.30,29.40,29.24,"27,890,700"
"Mar 31, 2023",29.68,29.78,29.45,29.53,29.37,"27,696,400"
"Mar 30, 2023",29.71,30.01,29.62,29.91,29.75,"38,117,000"
"Mar 29, 2023",29.29,29.54,29.09,29.41,29.25,"31,586,300"
"Mar 28, 2023",29.07,29.42,28.95,29.40,29.24,"45,880,000"
"Mar 27, 2023",28.28,28.36,28.09,28.24,28.08,"28,465,400"
"Mar 24, 2023",28.62,28.93,28.62,28.83,28.67,"19,786,700"
"Mar 23, 2023",29.01,29.31,28.71,28.95,28.79,"42,660,300"
"Mar 22, 2023",28.24,28.48,28.05,28.07,27.92,"21,821,700"
"Mar 21, 2023",27.85,28.05,27.76,27.98,27.83,"30,148,500"
"Mar 20, 2023",27.38,27.83,27.28,27.59,27.44,"25,374,700"
"Mar 17, 2023",27.82,27.89,27.41,27.61,27.46,"27,744,000"
"Mar 16, 2023",27.17,27.72,27.15,27.68,27.53,"30,243,900"
