Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",30.72,30.86,30.48,30.72,30.72,"18,505,800"
"Jul 27, 2023",31.37,31.39,30.33,30.35,30.35,"38,582,400"
"Jul 26, 2023",31.83,31.83,31.34,31.65,31.65,"14,698,500"
"Jul 25, 2023",31.40,31.89,31.30,31.78,31.78,"14,009,400"
"Jul 24, 2023",31.46,31.60,31.01,31.29,31.29,"10,810,300"
"Jul 21, 2023",31.20,31.57,31.04,31.49,31.49,"12,283,400"
"Jul 20, 2023",32.08,32.21,31.36,31.39,31.39,"22,811,500"
"Jul 19, 2023",32.44,32.57,32.23,32.36,32.36,"9,273,300"
"Jul 18, 2023",32.37,32.92,32.10,32.63,32.63,"20,921,500"
"Jul 17, 2023",31.71,32.11,31.48,31.97,31.97,"9,777,900"
"Jul 14, 2023",32.11,32.40,31.90,31.96,31.96,"15,315,200"
"Jul 13, 2023",32.17,32.26,31.94,32.19,32.19,"19,564,800"
"Jul 12, 2023",30.83,31.95,30.82,31.82,31.82,"44,179,100"
"Jul 11, 2023",30.24,30.47,30.03,30.24,30.24,"14,834,000"
"Jul 10, 2023",29.31,30.15,29.26,30.04,30.04,"24,983,300"
"Jul 07, 2023",29.30,29.82,29.25,29.45,29.45,"16,730,400"
"Jul 06, 2023",29.64,29.66,28.91,29.07,29.07,"29,161,500"
"Jul 05, 2023",30.73,30.77,29.81,29.83,29.83,"22,271,400"
"Jul 03, 2023",30.25,30.77,30.17,30.69,30.69,"17,734,800"
"Jun 30, 2023",29.72,30.13,29.5,30.11,30.11,"20,728,900"
"Jun 29, 2023",28.9,29.62,28.76,29.62,29.62,"17,501,700"
"Jun 28, 2023",29.41,29.58,29.17,29.22,29.22,"25,956,600"
"Jun 27, 2023",30.12,30.18,29.37,29.65,29.65,"23,419,500"
"Jun 26, 2023",29.91,30.3,29.65,30.07,30.07,"14,255,700"
"Jun 23, 2023",30.13,30.34,29.7,29.79,29.79,"15,039,400"
"Jun 22, 2023",29.6,29.92,29.53,29.85,29.85,"18,070,900"
"Jun 21, 2023",30.0,30.26,29.62,30.06,30.06,"16,163,900"
"Jun 20, 2023",30.83,30.86,30.13,30.14,30.14,"28,348,000"
"Jun 16, 2023",31.2,31.74,30.9,31.39,31.39,"19,283,100"
"Jun 15, 2023",30.77,31.04,30.53,31.0,31.0,"18,198,300"
"Jun 14, 2023",31.26,31.48,30.53,30.87,30.87,"15,747,200"
"Jun 13, 2023",31.43,31.64,30.8,30.89,30.89,"17,547,600"
"Jun 12, 2023",31.03,31.25,30.78,31.24,31.24,"10,282,800"
"Jun 09, 2023",31.47,31.55,31.07,31.08,31.08,"12,657,800"
"Jun 08, 2023",31.55,31.87,31.4,31.54,31.54,"18,419,900"
"Jun 07, 2023",31.7,32.24,30.93,31.05,31.05,"23,061,300"
"Jun 06, 2023",31.65,31.7,31.24,31.63,31.63,"11,372,900"
"Jun 05, 2023",31.26,31.77,31.22,31.56,31.56,"12,300,700"
"Jun 02, 2023",32.06,32.25,31.21,31.41,31.41,"26,592,200"
"Jun 01, 2023",31.08,32.29,31.03,32.01,32.01,"32,224,600"
"May 31, 2023",30.31,31.25,30.25,30.91,30.91,"35,961,000"
"May 30, 2023",30.45,30.58,30.11,30.2,30.2,"23,317,600"
"May 26, 2023",30.69,30.8,30.16,30.41,30.41,"16,912,800"
"May 25, 2023",30.65,30.66,30.18,30.26,30.26,"21,432,500"
"May 24, 2023",31.81,31.82,30.82,30.92,30.92,"23,978,700"
"May 23, 2023",31.7,31.94,31.54,31.65,31.65,"13,619,000"
"May 22, 2023",32.08,32.23,31.87,31.87,31.87,"13,003,800"
"May 19, 2023",32.06,32.58,31.74,32.16,32.16,"18,815,300"
"May 18, 2023",32.17,32.22,31.48,31.88,31.88,"31,404,600"
"May 17, 2023",33.0,33.02,32.49,32.73,32.73,"19,201,300"
"May 16, 2023",33.77,33.87,32.81,33.01,33.01,"25,027,400"
"May 15, 2023",33.78,34.17,33.71,33.91,33.91,"13,341,900"
"May 12, 2023",33.5,33.76,33.3,33.6,33.6,"17,352,600"
"May 11, 2023",34.68,34.68,33.52,33.52,33.52,"31,069,300"
"May 10, 2023",35.3,35.35,34.56,35.0,35.0,"21,045,500"
"May 09, 2023",35.28,35.53,35.09,35.25,35.25,"9,795,800"
"May 08, 2023",35.49,35.81,35.16,35.36,35.36,"12,247,900"
"May 05, 2023",34.62,35.59,34.52,35.4,35.4,"22,247,900"
"May 04, 2023",35.13,36.26,35.1,35.69,35.69,"35,165,200"
"May 03, 2023",34.64,35.16,34.52,34.86,34.86,"23,335,800"
"May 02, 2023",33.42,34.78,33.34,34.74,34.74,"34,821,200"
"May 01, 2023",34.15,34.3,33.37,33.41,33.41,"13,286,700"
"Apr 28, 2023",33.79,33.92,33.31,33.58,33.58,"17,740,100"
"Apr 27, 2023",33.24,33.88,33.06,33.85,33.85,"16,943,200"
"Apr 26, 2023",34.17,34.22,33.25,33.33,33.33,"14,899,900"
"Apr 25, 2023",33.6,33.92,33.24,33.77,33.77,"14,439,600"
"Apr 24, 2023",33.55,33.89,33.35,33.71,33.71,"15,115,500"
"Apr 21, 2023",33.74,34.07,33.29,33.61,33.61,"23,143,200"
"Apr 20, 2023",34.31,34.63,33.97,34.06,34.06,"15,975,600"
"Apr 19, 2023",33.93,34.38,33.83,34.08,34.08,"27,055,300"
"Apr 18, 2023",34.41,35.19,34.38,34.55,34.55,"25,445,800"
"Apr 17, 2023",34.67,34.83,34.07,34.3,34.3,"25,510,100"
"Apr 14, 2023",35.37,35.58,34.38,35.09,35.09,"34,145,100"
"Apr 13, 2023",35.48,36.1,35.43,35.87,35.87,"28,524,900"
"Apr 12, 2023",35.13,35.24,34.46,34.92,34.92,"20,592,200"
"Apr 11, 2023",34.24,35.03,34.24,34.58,34.58,"21,024,200"
"Apr 10, 2023",33.97,34.04,33.67,33.99,33.99,"20,707,900"
"Apr 06, 2023",34.2,34.51,33.77,34.43,34.43,"16,111,400"
"Apr 05, 2023",34.52,34.7,33.84,34.34,34.34,"27,676,300"
"Apr 04, 2023",33.11,34.28,32.92,34.19,34.19,"38,919,700"
"Apr 03, 2023",32.5,33.29,32.24,33.08,33.08,"32,416,400"
"Mar 31, 2023",32.62,32.73,32.09,32.35,32.35,"18,460,400"
"Mar 30, 2023",32.36,32.63,32.11,32.52,32.52,"18,704,200"
