Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",38.31,38.86,38.00,38.56,38.56,"11,612,500"
"Jun 29, 2023",38.33,38.62,38.00,38.20,38.20,"10,460,300"
"Jun 28, 2023",37.50,38.21,37.41,38.19,38.19,"12,882,100"
"Jun 27, 2023",37.01,37.52,36.45,37.48,37.48,"9,125,200"
"Jun 26, 2023",36.03,36.99,36.03,36.70,36.70,"11,904,900"
"Jun 23, 2023",35.93,36.44,35.80,36.18,36.18,"10,153,500"
"Jun 22, 2023",36.78,36.96,36.36,36.66,36.66,"8,616,300"
"Jun 21, 2023",37.31,37.31,36.88,37.01,37.01,"9,085,800"
"Jun 20, 2023",37.70,37.84,36.92,37.32,37.32,"14,380,100"
"Jun 16, 2023",38.12,38.25,37.65,37.96,37.96,"14,518,700"
"Jun 15, 2023",37.19,38.26,37.18,38.03,38.03,"15,692,500"
"Jun 14, 2023",37.84,37.97,37.04,37.36,37.36,"14,879,200"
"Jun 13, 2023",36.96,37.84,36.96,37.65,37.65,"16,449,900"
"Jun 12, 2023",36.27,37.02,36.26,36.67,36.67,"14,901,900"
"Jun 09, 2023",37.49,38.17,36.23,36.23,36.23,"24,307,400"
"Jun 08, 2023",36.20,36.44,35.68,35.85,35.85,"16,196,100"
"Jun 07, 2023",35.39,36.46,35.23,36.22,36.22,"23,167,200"
"Jun 06, 2023",34.00,35.38,33.98,35.24,35.24,"15,596,900"
"Jun 05, 2023",34.45,34.45,33.66,34.13,34.13,"10,067,800"
"Jun 02, 2023",33.66,34.48,33.47,34.28,34.28,"15,308,500"
"Jun 01, 2023",32.49,33.30,32.14,33.02,33.02,"12,466,700"
"May 31, 2023",32.95,33.05,31.86,32.41,32.32,"17,934,200"
"May 30, 2023",33.70,34.28,33.32,33.36,33.27,"12,671,700"
"May 26, 2023",32.62,33.49,32.35,33.29,33.20,"13,656,800"
"May 25, 2023",32.16,32.64,32.13,32.41,32.32,"10,492,700"
"May 24, 2023",33.00,33.04,32.01,32.28,32.19,"13,357,500"
"May 23, 2023",33.00,33.84,32.94,33.42,33.33,"17,717,900"
"May 22, 2023",32.71,32.93,32.39,32.86,32.77,"8,866,400"
"May 19, 2023",33.12,33.17,32.49,32.66,32.57,"12,598,700"
"May 18, 2023",32.28,32.96,32.25,32.90,32.81,"14,241,000"
"May 17, 2023",31.81,32.59,31.64,32.44,32.35,"11,269,500"
