Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",16.94,17.08,16.87,16.98,16.98,"11,239,800"
"Jul 27, 2023",17.07,17.07,16.76,16.78,16.78,"15,500,500"
"Jul 26, 2023",17.50,17.51,17.08,17.25,17.25,"14,498,600"
"Jul 25, 2023",17.40,17.59,17.32,17.53,17.53,"11,324,400"
"Jul 24, 2023",17.38,17.44,17.25,17.38,17.38,"7,299,900"
"Jul 21, 2023",17.18,17.41,17.15,17.40,17.40,"9,513,100"
"Jul 20, 2023",17.60,17.61,17.26,17.28,17.28,"11,990,100"
"Jul 19, 2023",17.62,17.76,17.58,17.65,17.65,"10,516,100"
"Jul 18, 2023",17.50,17.90,17.40,17.65,17.65,"14,456,200"
"Jul 17, 2023",17.30,17.47,17.15,17.36,17.36,"8,837,600"
"Jul 14, 2023",17.53,17.70,17.34,17.35,17.35,"15,180,500"
"Jul 13, 2023",17.63,17.69,17.48,17.60,17.60,"17,776,200"
"Jul 12, 2023",16.99,17.53,16.95,17.48,17.48,"19,715,500"
"Jul 11, 2023",16.62,16.74,16.53,16.71,16.71,"11,802,500"
"Jul 10, 2023",16.27,16.55,16.24,16.53,16.53,"16,319,600"
"Jul 07, 2023",16.37,16.56,16.29,16.34,16.34,"9,647,800"
"Jul 06, 2023",16.55,16.60,16.17,16.22,16.22,"17,042,100"
"Jul 05, 2023",17.11,17.11,16.68,16.70,16.70,"14,417,000"
"Jul 03, 2023",16.98,17.20,16.90,17.09,17.09,"7,798,500"
"Jun 30, 2023",16.69,16.93,16.6,16.93,16.93,"12,247,700"
"Jun 29, 2023",16.38,16.66,16.26,16.63,16.63,"14,737,200"
"Jun 28, 2023",16.47,16.61,16.4,16.6,16.6,"16,191,800"
"Jun 27, 2023",16.58,16.7,16.25,16.66,16.66,"15,073,900"
"Jun 26, 2023",16.46,16.81,16.32,16.57,16.57,"16,119,300"
"Jun 23, 2023",16.51,16.63,16.32,16.46,16.46,"19,954,200"
