Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",130.97,134.07,130.92,133.01,133.01,"26,959,800"
"Jul 27, 2023",131.80,133.60,129.18,129.87,129.87,"35,931,600"
"Jul 26, 2023",130.36,131.37,128.71,129.66,129.66,"46,216,900"
"Jul 25, 2023",121.88,123.69,121.53,122.79,122.79,"31,820,800"
"Jul 24, 2023",121.93,123.35,121.38,121.88,121.88,"22,276,100"
"Jul 21, 2023",120.87,121.30,119.07,120.31,120.31,"56,498,100"
"Jul 20, 2023",122.12,124.70,118.68,119.53,119.53,"27,541,700"
"Jul 19, 2023",124.79,125.47,122.47,122.78,122.78,"22,313,800"
"Jul 18, 2023",124.90,124.99,123.30,124.08,124.08,"21,071,200"
"Jul 17, 2023",126.06,127.28,124.50,125.06,125.06,"20,675,300"
"Jul 14, 2023",125.13,127.09,124.90,125.70,125.70,"20,482,800"
"Jul 13, 2023",121.54,125.33,121.06,124.83,124.83,"31,535,900"
"Jul 12, 2023",119.30,120.96,119.00,119.62,119.62,"22,059,600"
"Jul 11, 2023",116.76,118.22,115.83,117.71,117.71,"18,286,600"
"Jul 10, 2023",119.07,119.07,116.64,116.87,116.87,"32,960,100"
"Jul 07, 2023",120.89,121.75,120.09,120.14,120.14,"20,982,400"
"Jul 06, 2023",120.64,121.15,119.25,120.93,120.93,"17,732,500"
"Jul 05, 2023",120.06,123.37,120.06,122.63,122.63,"17,830,300"
"Jul 03, 2023",120.32,121.02,119.71,120.56,120.56,"13,888,300"
"Jun 30, 2023",121.1,122.03,120.88,120.97,120.97,"23,865,800"
"Jun 29, 2023",120.09,120.91,119.21,120.01,120.01,"18,517,500"
"Jun 28, 2023",117.96,121.27,117.6,121.08,121.08,"19,753,100"
"Jun 27, 2023",117.84,119.89,116.91,119.01,119.01,"27,221,700"
"Jun 26, 2023",121.47,122.72,118.99,119.09,119.09,"23,185,000"
"Jun 23, 2023",122.04,123.44,121.86,123.02,123.02,"29,542,900"
"Jun 22, 2023",120.66,123.93,119.6,123.87,123.87,"20,781,900"
"Jun 21, 2023",123.24,123.41,120.86,121.26,121.26,"22,612,000"
"Jun 20, 2023",123.54,125.18,122.83,123.85,123.85,"22,698,000"
"Jun 16, 2023",126.7,126.7,123.79,124.06,124.06,"56,686,800"
"Jun 15, 2023",123.88,126.16,123.14,125.79,125.79,"24,517,100"
"Jun 14, 2023",123.8,124.79,122.16,124.38,124.38,"24,659,600"
"Jun 13, 2023",125.65,125.86,123.85,124.43,124.43,"19,287,700"
"Jun 12, 2023",123.39,124.75,122.35,124.35,124.35,"22,255,700"
"Jun 09, 2023",122.56,124.29,122.42,122.87,122.87,"20,304,500"
"Jun 08, 2023",122.58,123.73,122.01,122.67,122.67,"24,815,000"
"Jun 07, 2023",127.57,129.55,122.63,122.94,122.94,"34,179,300"
"Jun 06, 2023",126.6,128.88,125.97,127.91,127.91,"19,450,100"
"Jun 05, 2023",124.61,127.99,124.38,126.63,126.63,"22,672,500"
"Jun 02, 2023",124.49,126.75,124.35,125.23,125.23,"19,362,400"
"Jun 01, 2023",123.5,125.04,123.3,124.37,124.37,"25,017,700"
"May 31, 2023",123.7,124.9,123.1,123.37,123.37,"41,548,800"
"May 30, 2023",126.29,126.38,122.89,124.64,124.64,"27,230,700"
"May 26, 2023",124.07,126.0,123.29,125.43,125.43,"25,154,700"
"May 25, 2023",125.21,125.98,122.9,124.35,124.35,"33,812,700"
"May 24, 2023",121.88,122.75,120.75,121.64,121.64,"23,087,900"
"May 23, 2023",124.93,125.42,123.05,123.29,123.29,"24,477,900"
"May 22, 2023",123.51,127.05,123.45,125.87,125.87,"29,760,200"
"May 19, 2023",124.2,126.48,122.72,123.25,123.25,"30,251,300"
"May 18, 2023",121.56,123.9,121.49,123.52,123.52,"27,014,500"
"May 17, 2023",120.18,122.28,119.46,121.48,121.48,"26,659,600"
"May 16, 2023",116.83,121.2,116.83,120.09,120.09,"32,370,100"
"May 15, 2023",116.49,118.79,116.48,116.96,116.96,"22,107,900"
"May 12, 2023",117.0,118.26,116.55,117.92,117.92,"31,272,500"
"May 11, 2023",115.86,118.44,114.93,116.9,116.9,"57,115,100"
"May 10, 2023",108.55,113.51,108.48,112.28,112.28,"47,533,500"
"May 09, 2023",108.78,110.6,107.72,107.94,107.94,"24,782,400"
"May 08, 2023",105.79,108.42,105.79,108.24,108.24,"17,266,000"
"May 05, 2023",105.32,106.44,104.74,106.21,106.21,"20,705,300"
"May 04, 2023",106.16,106.3,104.7,105.21,105.21,"19,780,600"
"May 03, 2023",106.22,108.13,105.62,106.12,106.12,"17,116,300"
"May 02, 2023",107.66,107.73,104.5,105.98,105.98,"20,343,100"
"May 01, 2023",107.72,108.68,107.5,107.71,107.71,"20,926,300"
