Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",356.11,356.50,351.61,353.23,353.23,"1,827,400"
"Jul 27, 2023",358.13,360.54,354.17,354.51,354.51,"2,010,800"
"Jul 26, 2023",354.49,360.26,354.28,357.56,357.56,"2,281,600"
"Jul 25, 2023",357.42,360.82,353.98,354.70,354.70,"2,893,000"
"Jul 24, 2023",352.83,361.62,352.00,358.93,358.93,"3,517,500"
"Jul 21, 2023",351.78,355.08,346.78,351.96,351.96,"3,216,300"
"Jul 20, 2023",339.16,351.68,339.16,350.86,350.86,"3,915,000"
"Jul 19, 2023",338.00,345.88,331.30,340.55,340.55,"6,037,400"
"Jul 18, 2023",327.30,338.25,327.30,337.27,337.27,"3,899,100"
"Jul 17, 2023",325.89,327.49,324.36,327.20,327.20,"1,777,400"
"Jul 14, 2023",331.99,332.48,325.02,326.19,326.19,"1,814,800"
"Jul 13, 2023",327.35,329.28,325.69,328.68,328.68,"2,787,800"
"Jul 12, 2023",324.58,333.35,324.25,326.40,326.40,"2,741,300"
"Jul 11, 2023",318.83,321.04,314.58,320.88,320.88,"2,042,600"
"Jul 10, 2023",316.67,320.08,316.00,316.47,316.47,"1,775,800"
"Jul 07, 2023",313.20,317.37,312.70,315.17,315.17,"2,901,200"
"Jul 06, 2023",318.00,318.64,312.84,313.00,313.00,"2,896,900"
"Jul 05, 2023",323.95,324.61,319.63,320.05,320.05,"2,561,000"
"Jul 03, 2023",322.41,329.40,322.41,326.61,326.61,"1,106,800"
"Jun 30, 2023",325.82,326.03,322.45,322.54,322.54,"2,361,200"
"Jun 29, 2023",317.85,325.5,316.25,323.09,323.09,"3,553,600"
"Jun 28, 2023",311.72,314.9,310.69,313.66,313.66,"2,423,500"
"Jun 27, 2023",312.41,315.68,310.56,313.45,313.45,"2,156,800"
"Jun 26, 2023",315.13,316.64,312.17,312.36,312.36,"2,481,000"
"Jun 23, 2023",316.56,317.71,314.07,314.71,314.71,"2,609,200"
