Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",309.58,311.43,308.30,310.64,310.64,"3,229,900"
"Jun 29, 2023",306.78,308.13,304.03,307.82,307.82,"3,279,700"
"Jun 28, 2023",312.00,312.94,306.06,306.51,306.51,"4,025,600"
"Jun 27, 2023",308.15,315.46,307.89,313.74,313.74,"5,342,500"
"Jun 26, 2023",302.67,309.21,301.98,307.89,307.89,"4,440,100"
"Jun 23, 2023",300.32,302.32,299.10,300.81,300.81,"8,525,900"
"Jun 22, 2023",301.50,302.83,299.60,301.18,301.18,"3,052,000"
"Jun 21, 2023",302.87,303.57,300.18,300.70,300.70,"2,713,300"
"Jun 20, 2023",299.77,302.75,298.23,301.41,301.41,"3,371,100"
"Jun 16, 2023",304.34,305.98,300.14,300.38,300.38,"10,808,400"
"Jun 15, 2023",300.84,303.43,299.58,302.02,302.02,"4,109,700"
"Jun 14, 2023",300.99,302.55,295.63,299.71,299.71,"4,176,000"
"Jun 13, 2023",302.40,304.12,298.67,300.08,300.08,"4,043,400"
"Jun 12, 2023",298.40,302.61,297.65,300.86,300.86,"4,456,600"
"Jun 09, 2023",300.98,301.43,296.10,297.35,297.35,"3,485,800"
"Jun 08, 2023",302.16,305.45,300.79,301.09,301.09,"3,757,300"
"Jun 07, 2023",297.31,302.20,297.11,301.70,301.70,"4,842,700"
"Jun 06, 2023",291.82,296.92,291.65,296.00,296.00,"2,855,400"
"Jun 05, 2023",295.62,295.72,291.37,293.10,293.10,"3,028,800"
"Jun 02, 2023",290.65,296.21,289.72,295.94,295.94,"4,514,600"
"Jun 01, 2023",284.05,289.22,279.98,288.39,288.39,"4,305,100"
"May 31, 2023",289.59,290.00,281.96,283.45,283.45,"18,288,800"
"May 30, 2023",293.28,294.45,288.95,292.40,290.31,"5,193,300"
"May 26, 2023",287.00,293.30,285.69,292.83,290.74,"4,626,100"
"May 25, 2023",291.79,291.79,286.06,286.75,284.70,"5,355,900"
"May 24, 2023",297.37,297.52,290.18,291.10,289.02,"4,978,200"
"May 23, 2023",289.28,297.77,289.28,294.94,292.83,"5,352,200"
"May 22, 2023",290.73,292.99,288.08,290.66,288.58,"3,736,200"
"May 19, 2023",295.76,295.76,289.95,290.88,288.80,"4,469,900"
"May 18, 2023",292.65,295.93,291.60,295.16,293.05,"4,547,000"
"May 17, 2023",282.15,294.05,281.21,292.39,290.30,"7,956,900"
"May 16, 2023",281.75,286.09,277.09,282.33,280.31,"12,362,100"
"May 15, 2023",289.92,290.92,286.94,288.54,286.48,"5,353,600"
"May 12, 2023",288.00,290.97,287.45,290.47,288.39,"3,436,100"
"May 11, 2023",288.74,289.45,285.02,287.69,285.63,"3,859,700"
"May 10, 2023",291.71,293.57,285.92,289.03,286.96,"3,571,000"
"May 09, 2023",286.17,291.06,285.76,290.58,288.50,"2,570,000"
"May 08, 2023",289.00,289.84,284.44,287.93,285.87,"3,736,500"
"May 05, 2023",287.17,290.87,286.10,289.62,287.55,"3,806,300"
"May 04, 2023",292.72,294.59,285.33,285.75,283.71,"4,422,500"
"May 03, 2023",294.56,298.76,292.50,293.08,290.99,"2,743,400"
"May 02, 2023",298.44,298.67,291.05,294.28,292.18,"3,413,200"
"May 01, 2023",298.98,299.56,297.37,297.70,295.57,"2,970,000"
"Apr 28, 2023",293.77,300.82,293.38,300.54,298.39,"4,062,300"
"Apr 27, 2023",288.00,294.71,287.80,293.93,291.83,"3,133,600"
"Apr 26, 2023",295.43,295.97,287.08,288.07,286.01,"4,037,400"
"Apr 25, 2023",301.50,302.69,296.13,296.33,294.21,"4,529,500"
"Apr 24, 2023",300.00,301.90,299.22,301.64,299.48,"2,515,400"
"Apr 21, 2023",301.62,303.20,299.35,300.04,297.90,"3,506,700"
"Apr 20, 2023",295.97,301.31,295.50,298.57,296.44,"3,371,800"
"Apr 19, 2023",296.45,298.29,295.05,296.91,294.79,"2,889,300"
"Apr 18, 2023",296.32,299.24,295.92,298.95,296.81,"2,847,800"
"Apr 17, 2023",291.70,295.50,291.55,295.40,293.29,"2,621,900"
"Apr 14, 2023",292.15,296.20,291.38,292.19,290.10,"2,653,200"
"Apr 13, 2023",290.89,292.47,286.37,292.15,290.06,"3,505,800"
"Apr 12, 2023",296.20,298.44,289.58,290.44,288.36,"3,341,400"
"Apr 11, 2023",292.69,295.10,291.76,293.77,291.67,"2,497,000"
"Apr 10, 2023",286.13,292.64,285.66,291.17,289.09,"2,799,900"
"Apr 06, 2023",287.25,289.79,284.24,288.61,286.55,"3,193,400"
"Apr 05, 2023",295.00,295.71,288.48,288.67,286.61,"4,002,400"
"Apr 04, 2023",297.50,299.80,294.40,294.96,292.85,"2,965,700"
"Apr 03, 2023",294.87,297.97,294.74,297.73,295.60,"4,007,600"
"Mar 31, 2023",286.99,295.55,286.76,295.12,293.01,"5,800,600"
"Mar 30, 2023",285.36,286.10,283.85,285.36,283.32,"3,432,800"
"Mar 29, 2023",281.25,283.99,281.25,283.36,281.33,"3,607,500"
"Mar 28, 2023",280.80,283.29,279.93,280.82,278.81,"3,633,300"
"Mar 27, 2023",283.75,284.94,280.91,281.27,279.26,"4,269,700"
"Mar 24, 2023",282.56,284.93,280.83,283.02,281.00,"3,851,000"
"Mar 23, 2023",285.26,286.11,280.22,283.91,281.88,"6,005,800"
"Mar 22, 2023",290.09,291.21,282.45,282.61,280.59,"3,723,400"
"Mar 21, 2023",291.43,292.89,287.60,289.43,287.36,"4,788,200"
"Mar 20, 2023",287.43,289.83,286.61,289.26,287.19,"3,677,800"
"Mar 17, 2023",287.82,291.95,286.26,288.39,286.33,"8,342,000"
"Mar 16, 2023",287.00,288.03,285.00,286.73,284.68,"4,400,200"
