Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",12.45,12.74,12.37,12.73,12.73,"8,980,400"
"Jul 27, 2023",12.88,12.94,12.09,12.23,12.23,"10,579,500"
"Jul 26, 2023",12.46,12.80,12.40,12.74,12.74,"12,181,100"
"Jul 25, 2023",12.74,12.89,12.52,12.54,12.54,"5,928,600"
"Jul 24, 2023",12.68,12.93,12.64,12.74,12.74,"7,916,200"
"Jul 21, 2023",12.91,12.95,12.65,12.76,12.76,"8,720,100"
"Jul 20, 2023",12.95,13.08,12.57,12.81,12.81,"10,455,900"
"Jul 19, 2023",12.68,13.23,12.67,13.12,13.12,"16,594,200"
"Jul 18, 2023",12.51,12.76,12.39,12.59,12.59,"12,920,100"
"Jul 17, 2023",12.34,12.85,12.22,12.49,12.49,"15,187,700"
"Jul 14, 2023",12.50,12.51,12.06,12.38,12.38,"14,163,400"
"Jul 13, 2023",11.98,12.61,11.84,12.45,12.45,"18,580,400"
"Jul 12, 2023",12.04,12.11,11.69,11.94,11.94,"15,229,600"
"Jul 11, 2023",11.47,12.02,11.32,11.83,11.83,"23,071,300"
"Jul 10, 2023",10.88,11.27,10.54,11.21,11.21,"14,643,400"
"Jul 07, 2023",10.40,10.91,10.40,10.79,10.79,"12,618,000"
"Jul 06, 2023",10.57,10.64,10.19,10.41,10.41,"10,419,500"
"Jul 05, 2023",10.72,10.76,10.39,10.72,10.72,"12,285,700"
"Jul 03, 2023",10.00,10.80,9.98,10.66,10.66,"12,564,500"
"Jun 30, 2023",10.13,10.14,9.86,9.98,9.98,"8,490,600"
"Jun 29, 2023",9.99,10.15,9.71,9.97,9.97,"11,985,800"
"Jun 28, 2023",10.01,10.52,9.98,10.18,10.18,"13,019,500"
"Jun 27, 2023",9.6,10.02,9.56,9.94,9.94,"11,603,800"
"Jun 26, 2023",9.47,9.74,9.38,9.63,9.63,"5,827,200"
"Jun 23, 2023",9.36,9.58,9.3,9.49,9.49,"12,405,300"
"Jun 22, 2023",9.69,9.71,9.1,9.45,9.45,"14,812,600"
"Jun 21, 2023",9.96,10.06,9.75,9.76,9.76,"5,614,600"
"Jun 20, 2023",9.95,10.05,9.64,10.0,10.0,"7,452,900"
"Jun 16, 2023",10.07,10.22,9.94,10.03,10.03,"14,165,300"
"Jun 15, 2023",9.82,10.14,9.8,9.98,9.98,"10,373,900"
"Jun 14, 2023",9.65,9.98,9.58,9.95,9.95,"8,686,700"
"Jun 13, 2023",9.47,9.69,9.36,9.6,9.6,"10,102,700"
"Jun 12, 2023",9.36,9.41,9.23,9.36,9.36,"6,510,300"
"Jun 09, 2023",9.61,9.8,9.4,9.41,9.41,"4,520,900"
"Jun 08, 2023",9.36,9.54,9.17,9.5,9.5,"5,689,800"
"Jun 07, 2023",9.2,9.58,9.16,9.4,9.4,"8,088,900"
"Jun 06, 2023",8.73,9.12,8.6,9.12,9.12,"10,484,400"
"Jun 05, 2023",9.29,9.32,8.98,9.03,9.03,"6,164,300"
"Jun 02, 2023",9.12,9.35,8.92,9.34,9.34,"9,523,600"
"Jun 01, 2023",8.92,9.12,8.78,9.02,9.02,"4,888,000"
"May 31, 2023",8.82,9.03,8.74,8.92,8.92,"5,338,200"
"May 30, 2023",9.0,9.18,8.91,8.92,8.92,"7,134,900"
"May 26, 2023",8.6,8.88,8.6,8.82,8.82,"4,544,500"
"May 25, 2023",8.66,8.74,8.58,8.6,8.6,"5,062,600"
"May 24, 2023",8.55,8.66,8.46,8.6,8.6,"2,911,600"
"May 23, 2023",8.7,8.86,8.59,8.68,8.68,"4,313,200"
"May 22, 2023",8.47,8.78,8.45,8.76,8.76,"6,963,200"
"May 19, 2023",8.58,8.67,8.43,8.47,8.47,"4,795,500"
"May 18, 2023",8.43,8.67,8.39,8.62,8.62,"5,201,900"
"May 17, 2023",8.38,8.65,8.34,8.46,8.46,"9,629,000"
"May 16, 2023",8.53,8.59,8.31,8.35,8.35,"9,509,000"
"May 15, 2023",8.72,8.74,8.51,8.65,8.65,"10,032,900"
"May 12, 2023",9.62,9.64,8.71,8.74,8.74,"15,430,900"
"May 11, 2023",9.55,9.96,9.18,9.65,9.65,"23,998,400"
"May 10, 2023",9.31,9.38,8.79,9.07,9.07,"11,104,000"
"May 09, 2023",8.87,9.17,8.84,9.11,9.11,"7,773,500"
"May 08, 2023",8.82,8.95,8.76,8.91,8.91,"4,851,800"
"May 05, 2023",8.62,8.86,8.6,8.85,8.85,"5,314,400"
"May 04, 2023",8.36,8.6,8.21,8.48,8.48,"6,071,700"
"May 03, 2023",8.41,8.59,8.33,8.38,8.38,"6,100,000"
"May 02, 2023",8.75,8.79,8.41,8.46,8.46,"7,051,000"
"May 01, 2023",8.8,8.85,8.65,8.82,8.82,"6,564,000"
"Apr 28, 2023",8.77,8.94,8.72,8.85,8.85,"4,550,100"
"Apr 27, 2023",8.9,8.94,8.72,8.82,8.82,"8,924,700"
"Apr 26, 2023",9.15,9.25,8.8,8.82,8.82,"7,099,200"
"Apr 25, 2023",9.3,9.37,9.05,9.09,9.09,"4,345,300"
"Apr 24, 2023",9.63,9.69,9.38,9.4,9.4,"3,977,900"
"Apr 21, 2023",9.69,9.76,9.55,9.64,9.64,"4,759,800"
"Apr 20, 2023",9.7,9.84,9.62,9.73,9.73,"3,626,700"
"Apr 19, 2023",9.67,9.86,9.62,9.82,9.82,"3,042,300"
"Apr 18, 2023",9.97,10.02,9.75,9.84,9.84,"3,515,900"
"Apr 17, 2023",9.85,9.91,9.58,9.88,9.88,"7,762,100"
"Apr 14, 2023",10.04,10.1,9.91,10.0,10.0,"8,618,500"
"Apr 13, 2023",10.09,10.14,9.9,10.07,10.07,"5,893,600"
"Apr 12, 2023",10.12,10.2,9.66,10.01,10.01,"5,637,400"
"Apr 11, 2023",10.0,10.02,9.82,9.96,9.96,"6,217,200"
"Apr 10, 2023",9.93,10.0,9.65,9.98,9.98,"5,884,900"
"Apr 06, 2023",9.72,10.08,9.71,10.01,10.01,"6,895,000"
"Apr 05, 2023",9.7,9.78,9.52,9.75,9.75,"9,488,800"
"Apr 04, 2023",9.8,9.8,9.6,9.76,9.76,"6,472,700"
"Apr 03, 2023",9.65,9.82,9.53,9.76,9.76,"8,771,600"
"Mar 31, 2023",9.5,9.73,9.48,9.71,9.71,"7,841,600"
"Mar 30, 2023",9.22,9.48,9.2,9.46,9.46,"11,434,200"
"Mar 29, 2023",8.83,9.22,8.74,9.1,9.1,"8,636,700"
"Mar 28, 2023",8.6,8.71,8.54,8.67,8.67,"3,027,500"
"Mar 27, 2023",8.76,8.84,8.52,8.61,8.61,"4,069,800"
"Mar 24, 2023",8.5,8.73,8.38,8.68,8.68,"5,005,300"
"Mar 23, 2023",8.89,9.06,8.54,8.57,8.57,"9,078,100"
"Mar 22, 2023",9.32,9.4,8.92,8.93,8.93,"4,657,200"
"Mar 21, 2023",8.93,9.38,8.88,9.34,9.34,"6,674,500"
"Mar 20, 2023",9.16,9.19,8.8,8.8,8.8,"6,042,000"
"Mar 17, 2023",9.29,9.37,9.04,9.19,9.19,"6,001,200"
"Mar 16, 2023",9.1,9.37,8.98,9.31,9.31,"4,240,100"
"Mar 15, 2023",8.81,9.22,8.76,9.2,9.2,"5,927,900"
"Mar 14, 2023",9.33,9.48,9.0,9.11,9.11,"7,339,600"
"Mar 13, 2023",8.85,9.27,8.71,8.99,8.99,"8,538,100"
"Mar 10, 2023",9.32,9.37,8.51,9.01,9.01,"12,787,000"
"Mar 09, 2023",9.58,9.83,9.35,9.44,9.44,"7,287,500"
"Mar 08, 2023",9.42,9.72,9.34,9.65,9.65,"3,962,500"
"Mar 07, 2023",9.71,9.78,9.4,9.42,9.42,"6,980,400"
"Mar 06, 2023",9.94,10.04,9.68,9.72,9.72,"4,740,500"
"Mar 03, 2023",9.61,9.95,9.58,9.9,9.9,"4,935,000"
"Mar 02, 2023",9.48,9.74,9.21,9.62,9.62,"8,123,200"
"Mar 01, 2023",10.01,10.11,9.7,9.73,9.73,"4,785,400"
"Feb 28, 2023",9.73,10.16,9.72,10.07,10.07,"6,183,900"
"Feb 27, 2023",9.72,9.88,9.61,9.72,9.72,"4,516,800"
"Feb 24, 2023",9.81,9.92,9.47,9.59,9.59,"6,090,400"
"Feb 23, 2023",10.06,10.1,9.72,10.09,10.09,"4,670,700"
"Feb 22, 2023",9.89,10.1,9.79,9.95,9.95,"5,135,800"
"Feb 21, 2023",10.13,10.29,9.83,9.9,9.9,"5,568,900"
"Feb 17, 2023",10.2,10.37,9.81,10.35,10.35,"9,328,900"
"Feb 16, 2023",10.43,10.92,10.33,10.34,10.34,"8,078,100"
"Feb 15, 2023",10.06,10.63,10.02,10.63,10.63,"7,752,600"
"Feb 14, 2023",9.89,10.26,9.81,10.06,10.06,"5,431,500"
"Feb 13, 2023",9.98,10.08,9.81,9.92,9.92,"5,829,700"
"Feb 10, 2023",9.92,10.32,9.84,9.98,9.98,"8,612,300"
