Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",3.3800,3.5500,3.3050,3.4800,3.4800,"9,653,400"
"Jul 27, 2023",3.6500,3.6600,3.2700,3.3000,3.3000,"11,262,200"
"Jul 26, 2023",3.4600,3.5800,3.4100,3.5800,3.5800,"10,137,700"
"Jul 25, 2023",3.4600,3.6200,3.4400,3.4500,3.4500,"10,466,900"
"Jul 24, 2023",3.4900,3.5200,3.3720,3.4700,3.4700,"8,380,700"
"Jul 21, 2023",3.6600,3.7200,3.4300,3.6300,3.6300,"11,031,200"
"Jul 20, 2023",3.8500,3.9200,3.6000,3.6100,3.6100,"11,370,500"
"Jul 19, 2023",3.8400,4.0000,3.7600,3.8200,3.8200,"12,180,400"
"Jul 18, 2023",3.7600,3.9000,3.6700,3.8000,3.8000,"12,066,400"
"Jul 17, 2023",4.1750,4.3110,3.7700,3.8300,3.8300,"22,591,300"
"Jul 14, 2023",4.4600,4.5500,4.0600,4.1600,4.1600,"21,933,700"
"Jul 13, 2023",3.8600,4.4800,3.8000,4.4700,4.4700,"26,807,300"
"Jul 12, 2023",3.8600,4.0300,3.7000,3.7500,3.7500,"21,243,800"
"Jul 11, 2023",3.9200,3.9500,3.6800,3.7500,3.7500,"22,908,700"
"Jul 10, 2023",3.8600,3.9500,3.5700,3.9400,3.9400,"19,340,400"
"Jul 07, 2023",3.5500,3.9700,3.5400,3.8000,3.8000,"22,733,600"
"Jul 06, 2023",3.6800,3.7200,3.4530,3.5800,3.5800,"15,720,800"
"Jul 05, 2023",3.4300,3.7200,3.4000,3.6600,3.6600,"18,479,600"
"Jul 03, 2023",3.2700,3.6100,3.2500,3.5200,3.5200,"10,954,700"
"Jun 30, 2023",3.38,3.4,3.07,3.3,3.3,"16,754,800"
"Jun 29, 2023",3.19,3.33,3.13,3.22,3.22,"16,009,800"
"Jun 28, 2023",2.83,3.14,2.82,3.06,3.06,"15,795,900"
"Jun 27, 2023",2.78,2.99,2.73,2.96,2.96,"11,857,000"
"Jun 26, 2023",2.92,2.96,2.63,2.66,2.66,"16,994,600"
"Jun 23, 2023",2.73,2.98,2.62,2.93,2.93,"20,015,900"
"Jun 22, 2023",2.77,2.84,2.595,2.79,2.79,"16,261,900"
"Jun 21, 2023",2.72,2.9,2.65,2.76,2.76,"24,491,600"
"Jun 20, 2023",2.45,2.77,2.44,2.56,2.56,"33,914,200"
"Jun 16, 2023",2.08,2.4,2.06,2.3,2.3,"20,276,700"
"Jun 15, 2023",2.02,2.08,1.97,2.07,2.07,"5,403,000"
"Jun 14, 2023",2.1,2.14,2.05,2.09,2.09,"5,424,100"
"Jun 13, 2023",2.06,2.15,2.015,2.11,2.11,"9,065,800"
"Jun 12, 2023",1.89,2.0,1.89,2.0,2.0,"4,312,100"
"Jun 09, 2023",2.03,2.03,1.89,1.91,1.91,"5,432,000"
"Jun 08, 2023",1.98,2.01,1.94,1.96,1.96,"3,664,100"
"Jun 07, 2023",2.08,2.105,1.96,1.97,1.97,"6,589,100"
"Jun 06, 2023",2.02,2.08,1.96,2.08,2.08,"6,943,400"
"Jun 05, 2023",2.12,2.13,2.04,2.06,2.06,"4,766,200"
"Jun 02, 2023",2.22,2.22,2.11,2.16,2.16,"5,204,500"
"Jun 01, 2023",2.1,2.21,2.1,2.16,2.16,"5,465,500"
"May 31, 2023",2.01,2.16,1.97,2.16,2.16,"4,442,600"
"May 30, 2023",2.09,2.18,2.04,2.08,2.08,"7,105,700"
"May 26, 2023",1.88,2.0,1.87,1.97,1.97,"6,127,800"
