Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",75.21,75.38,75.15,75.32,75.32,"27,588,400"
"Jul 27, 2023",75.63,75.69,74.73,74.89,74.89,"48,675,800"
"Jul 26, 2023",75.16,75.56,75.12,75.49,75.49,"33,068,400"
"Jul 25, 2023",75.16,75.27,75.06,75.19,75.19,"30,067,600"
"Jul 24, 2023",75.43,75.54,75.22,75.24,75.24,"20,925,500"
"Jul 21, 2023",75.20,75.49,75.20,75.37,75.37,"37,447,800"
"Jul 20, 2023",75.21,75.30,74.98,75.18,75.18,"27,028,500"
"Jul 19, 2023",75.59,75.65,75.46,75.51,75.51,"26,794,800"
"Jul 18, 2023",75.30,75.55,75.27,75.45,75.45,"25,991,800"
"Jul 17, 2023",75.06,75.36,75.00,75.24,75.24,"28,836,600"
"Jul 14, 2023",75.57,75.63,75.05,75.10,75.10,"36,081,800"
"Jul 13, 2023",75.50,75.73,75.41,75.65,75.65,"33,954,200"
"Jul 12, 2023",75.09,75.31,75.02,75.20,75.20,"42,820,700"
"Jul 11, 2023",74.41,74.62,74.29,74.62,74.62,"32,000,700"
"Jul 10, 2023",73.92,74.30,73.91,74.22,74.22,"45,752,200"
"Jul 07, 2023",73.76,74.33,73.73,73.85,73.85,"42,269,100"
"Jul 06, 2023",73.78,73.86,73.58,73.78,73.78,"52,251,100"
"Jul 05, 2023",74.52,74.54,74.20,74.32,74.32,"37,947,100"
"Jul 03, 2023",74.68,74.69,74.52,74.55,74.55,"13,046,500"
"Jun 30, 2023",74.96,75.24,74.89,75.07,74.26,"35,841,100"
"Jun 29, 2023",74.64,74.72,74.43,74.71,73.91,"41,712,000"
"Jun 28, 2023",74.47,74.91,74.42,74.91,74.11,"35,679,600"
"Jun 27, 2023",74.31,74.55,74.29,74.48,73.68,"31,707,600"
"Jun 26, 2023",74.2,74.33,74.09,74.23,73.43,"36,111,900"
"Jun 23, 2023",74.21,74.26,74.0,74.19,73.39,"33,811,100"
"Jun 22, 2023",74.37,74.48,74.3,74.32,73.52,"31,504,700"
"Jun 21, 2023",74.58,74.7,74.39,74.54,73.74,"39,751,900"
"Jun 20, 2023",74.81,74.93,74.73,74.73,73.93,"31,930,500"
"Jun 16, 2023",75.09,75.11,74.9,74.93,74.13,"47,560,800"
"Jun 15, 2023",74.86,75.15,74.82,75.12,74.31,"42,412,300"
"Jun 14, 2023",74.8,74.99,74.41,74.76,73.96,"32,864,600"
"Jun 13, 2023",74.83,74.94,74.62,74.73,73.93,"39,425,900"
"Jun 12, 2023",74.79,74.8,74.48,74.64,73.84,"30,629,500"
"Jun 09, 2023",74.76,74.86,74.69,74.72,73.92,"27,016,700"
"Jun 08, 2023",74.23,74.74,74.23,74.7,73.9,"33,987,800"
"Jun 07, 2023",74.7,74.79,74.14,74.23,73.43,"32,340,900"
"Jun 06, 2023",74.45,74.66,74.32,74.64,73.84,"23,006,600"
"Jun 05, 2023",74.52,74.55,74.34,74.52,73.72,"24,080,200"
"Jun 02, 2023",74.46,74.77,74.3,74.58,73.78,"49,950,900"
"Jun 01, 2023",73.8,74.31,73.78,74.2,73.4,"42,425,700"
"May 31, 2023",74.14,74.25,73.95,74.11,72.97,"43,393,600"
"May 30, 2023",74.35,74.35,74.09,74.34,73.19,"27,482,600"
"May 26, 2023",73.65,74.11,73.62,74.02,72.88,"23,547,600"
"May 25, 2023",73.89,73.91,73.55,73.57,72.43,"21,457,900"
"May 24, 2023",73.93,74.02,73.47,73.62,72.48,"38,083,200"
"May 23, 2023",74.39,74.48,74.07,74.14,72.99,"32,415,500"
"May 22, 2023",74.22,74.67,74.22,74.53,73.38,"34,897,700"
"May 19, 2023",74.19,74.36,74.07,74.2,73.05,"36,044,600"
"May 18, 2023",73.86,74.19,73.81,74.12,72.97,"29,129,200"
"May 17, 2023",73.96,74.34,73.93,74.08,72.94,"38,534,100"
"May 16, 2023",74.26,74.28,73.81,73.88,72.74,"40,998,700"
"May 15, 2023",74.43,74.49,74.3,74.4,73.25,"19,764,500"
"May 12, 2023",74.68,74.79,74.28,74.42,73.27,"27,553,200"
"May 11, 2023",74.74,74.77,74.61,74.69,73.54,"25,265,500"
"May 10, 2023",74.77,74.92,74.53,74.81,73.65,"35,392,700"
"May 09, 2023",74.35,74.48,74.27,74.36,73.21,"21,732,900"
"May 08, 2023",74.7,74.7,74.38,74.55,73.4,"18,367,400"
"May 05, 2023",74.58,74.86,74.48,74.76,73.61,"31,591,500"
"May 04, 2023",74.38,74.41,74.09,74.36,73.21,"45,207,600"
"May 03, 2023",74.7,75.04,74.56,74.58,73.43,"33,178,300"
"May 02, 2023",74.69,74.74,74.37,74.62,73.47,"39,045,300"
"May 01, 2023",74.93,75.0,74.53,74.69,73.54,"37,748,300"
"Apr 28, 2023",75.06,75.48,75.06,75.36,73.87,"33,821,100"
"Apr 27, 2023",74.93,75.25,74.8,75.04,73.56,"39,687,600"
"Apr 26, 2023",75.06,75.11,74.68,74.79,73.32,"33,762,700"
"Apr 25, 2023",75.16,75.3,75.01,75.08,73.6,"34,575,300"
"Apr 24, 2023",75.03,75.26,74.95,75.2,73.72,"24,661,600"
"Apr 21, 2023",74.88,75.03,74.69,74.99,73.51,"33,061,800"
"Apr 20, 2023",74.65,74.88,74.55,74.76,73.29,"30,203,900"
"Apr 19, 2023",74.83,74.99,74.78,74.83,73.36,"26,979,400"
"Apr 18, 2023",75.26,75.36,74.98,75.13,73.65,"28,030,700"
"Apr 17, 2023",75.07,75.16,74.81,75.08,73.6,"26,391,100"
"Apr 14, 2023",75.4,75.55,75.08,75.28,73.8,"43,767,600"
"Apr 13, 2023",75.04,75.62,75.04,75.42,73.93,"95,864,000"
"Apr 12, 2023",75.31,75.38,74.85,74.91,73.43,"41,457,600"
"Apr 11, 2023",74.77,75.1,74.71,74.93,73.45,"28,875,100"
"Apr 10, 2023",74.58,74.81,74.41,74.77,73.3,"29,083,900"
"Apr 06, 2023",74.39,74.96,74.29,74.84,73.37,"35,719,600"
"Apr 05, 2023",74.88,74.95,74.42,74.51,73.04,"37,633,900"
"Apr 04, 2023",75.15,75.26,74.85,74.93,73.45,"46,144,300"
"Apr 03, 2023",75.14,75.3,74.97,75.15,73.67,"43,302,900"
"Mar 31, 2023",74.97,75.65,74.95,75.55,73.73,"54,218,900"
"Mar 30, 2023",74.47,74.75,74.27,74.74,72.94,"37,130,200"
"Mar 29, 2023",73.65,74.31,73.65,74.3,72.51,"44,457,300"
"Mar 28, 2023",73.28,73.47,73.14,73.38,71.61,"38,277,200"
"Mar 27, 2023",73.75,73.86,73.42,73.42,71.65,"30,905,100"
"Mar 24, 2023",73.45,73.69,73.39,73.6,71.82,"44,225,600"
"Mar 23, 2023",74.03,74.37,73.52,73.75,71.97,"54,660,900"
"Mar 22, 2023",73.98,74.79,73.71,74.04,72.25,"55,263,500"
"Mar 21, 2023",73.65,74.08,73.5,73.97,72.18,"38,203,400"
"Mar 20, 2023",73.23,73.56,73.07,73.17,71.4,"38,540,800"
"Mar 17, 2023",73.44,73.78,73.24,73.37,71.6,"55,132,200"
"Mar 16, 2023",73.13,73.95,73.02,73.81,72.03,"63,386,700"
"Mar 15, 2023",72.81,73.4,72.61,73.33,71.56,"81,454,700"
"Mar 14, 2023",73.69,73.91,73.27,73.57,71.79,"66,395,600"
"Mar 13, 2023",73.19,73.98,72.83,73.04,71.28,"78,478,100"
"Mar 10, 2023",73.48,73.95,73.17,73.44,71.67,"81,516,000"
"Mar 09, 2023",73.91,74.22,73.35,73.43,71.66,"52,669,500"
"Mar 08, 2023",74.24,74.36,73.69,73.84,72.06,"54,303,900"
"Mar 07, 2023",74.73,74.77,74.18,74.19,72.4,"40,222,100"
"Mar 06, 2023",74.89,74.99,74.66,74.72,72.92,"33,430,800"
"Mar 03, 2023",74.29,74.81,74.17,74.72,72.92,"50,123,300"
"Mar 02, 2023",73.48,74.05,73.48,73.96,72.17,"37,886,100"
"Mar 01, 2023",74.08,74.1,73.69,73.87,72.09,"45,341,400"
"Feb 28, 2023",74.64,74.64,74.42,74.53,72.29,"32,999,000"
"Feb 27, 2023",74.52,74.77,74.38,74.67,72.43,"40,292,000"
"Feb 24, 2023",74.0,74.32,73.92,74.17,71.94,"47,576,500"
"Feb 23, 2023",74.23,74.73,74.13,74.62,72.38,"47,908,100"
"Feb 22, 2023",73.6,74.19,73.6,73.89,71.67,"70,093,300"
"Feb 21, 2023",73.85,74.03,73.11,73.41,71.2,"98,782,400"
"Feb 17, 2023",74.15,74.68,73.87,74.56,72.32,"75,910,300"
"Feb 16, 2023",74.54,74.59,74.23,74.27,72.04,"89,945,400"
"Feb 15, 2023",74.72,74.88,74.58,74.87,72.62,"44,897,600"
"Feb 14, 2023",74.83,75.19,74.51,74.99,72.74,"54,193,600"
"Feb 13, 2023",74.83,75.22,74.75,74.97,72.72,"38,741,300"
"Feb 10, 2023",75.03,75.25,74.69,74.78,72.53,"65,905,000"
"Feb 09, 2023",76.11,76.11,75.29,75.36,73.1,"42,581,900"
"Feb 08, 2023",76.06,76.16,75.69,75.85,73.57,"34,066,600"
"Feb 07, 2023",75.83,76.36,75.78,76.17,73.88,"37,101,300"
"Feb 06, 2023",76.06,76.1,75.79,75.9,73.62,"40,944,200"
"Feb 03, 2023",76.6,76.86,76.33,76.39,74.1,"39,682,300"
"Feb 02, 2023",77.32,77.34,77.07,77.2,74.88,"56,399,900"
"Feb 01, 2023",75.98,76.98,75.78,76.76,74.45,"46,900,900"
"Jan 31, 2023",75.94,76.36,75.92,76.33,73.68,"41,006,600"
"Jan 30, 2023",75.88,76.03,75.72,75.74,73.11,"32,002,000"
"Jan 27, 2023",76.27,76.37,76.05,76.16,73.52,"35,813,400"
"Jan 26, 2023",76.36,76.47,76.09,76.39,73.74,"25,512,400"
"Jan 25, 2023",75.96,76.28,75.88,76.2,73.55,"25,857,700"
"Jan 24, 2023",76.01,76.25,75.88,76.21,73.56,"27,774,500"
