Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",36.75,36.99,35.51,36.83,36.83,"90,635,600"
"Jul 27, 2023",34.82,35.03,34.11,34.55,34.55,"58,890,800"
"Jul 26, 2023",33.72,34.53,33.70,34.36,34.36,"32,643,200"
"Jul 25, 2023",33.70,34.34,33.40,34.10,34.10,"31,771,100"
"Jul 24, 2023",33.84,34.46,33.56,33.63,33.63,"25,225,800"
"Jul 21, 2023",33.73,34.25,33.42,34.02,34.02,"79,724,100"
"Jul 20, 2023",33.70,34.21,33.23,33.37,33.37,"37,878,000"
"Jul 19, 2023",34.40,34.84,34.33,34.46,34.46,"26,486,700"
"Jul 18, 2023",34.28,34.70,33.83,34.50,34.50,"29,679,500"
"Jul 17, 2023",33.16,34.60,33.07,34.37,34.37,"34,111,200"
"Jul 14, 2023",33.78,33.87,33.00,33.15,33.15,"30,426,200"
"Jul 13, 2023",34.15,34.30,33.62,33.87,33.87,"32,745,800"
"Jul 12, 2023",33.69,34.08,33.06,33.98,33.98,"37,762,200"
"Jul 11, 2023",32.82,33.36,32.50,33.30,33.30,"28,148,800"
"Jul 10, 2023",31.87,32.83,31.77,32.74,32.74,"36,305,700"
"Jul 07, 2023",32.00,32.41,31.82,31.85,31.85,"28,345,700"
"Jul 06, 2023",31.90,32.04,31.38,31.97,31.97,"41,693,600"
"Jul 05, 2023",33.31,33.33,32.50,32.51,32.51,"37,664,700"
"Jul 03, 2023",33.54,33.89,33.14,33.62,33.62,"15,753,000"
"Jun 30, 2023",33.36,33.56,33.16,33.44,33.44,"33,798,400"
"Jun 29, 2023",33.34,33.34,32.49,32.91,32.91,"38,313,000"
"Jun 28, 2023",33.61,33.81,33.03,33.57,33.57,"33,906,900"
"Jun 27, 2023",33.22,34.23,33.01,34.1,34.1,"33,038,900"
"Jun 26, 2023",33.19,33.99,33.1,33.34,33.34,"38,952,400"
"Jun 23, 2023",32.21,33.45,32.03,33.0,33.0,"46,199,200"
"Jun 22, 2023",32.69,33.24,32.13,32.71,32.71,"45,740,300"
"Jun 21, 2023",34.92,35.05,32.83,32.9,32.9,"70,973,500"
"Jun 20, 2023",36.77,37.11,34.72,35.0,35.0,"65,970,200"
"Jun 16, 2023",36.36,36.8,35.6,36.37,36.37,"110,188,500"
"Jun 15, 2023",35.28,36.42,35.22,35.82,35.82,"67,676,300"
"Jun 14, 2023",33.87,35.6,33.8,35.58,35.58,"74,404,300"
"Jun 13, 2023",33.77,33.95,33.07,33.91,33.91,"51,990,000"
"Jun 12, 2023",31.4,33.3,31.36,33.07,33.07,"59,881,600"
"Jun 09, 2023",31.93,31.99,30.68,31.34,31.34,"40,218,000"
"Jun 08, 2023",31.43,31.85,31.06,31.82,31.82,"35,199,000"
"Jun 07, 2023",31.03,31.37,30.93,31.28,31.28,"39,098,000"
"Jun 06, 2023",29.77,31.45,29.7,30.96,30.96,"42,295,300"
"Jun 05, 2023",31.31,31.4,29.83,29.86,29.86,"48,244,100"
"Jun 02, 2023",31.4,31.59,30.83,31.31,31.31,"36,496,200"
"Jun 01, 2023",31.8,31.94,31.02,31.13,31.13,"52,667,400"
"May 31, 2023",29.7,32.29,29.67,31.44,31.44,"136,243,800"
"May 30, 2023",29.7,30.04,29.0,29.99,29.99,"54,874,800"
"May 26, 2023",27.44,29.09,27.1,29.0,29.0,"71,910,600"
"May 25, 2023",28.29,28.29,26.86,27.4,27.4,"78,009,400"
"May 24, 2023",29.31,29.49,28.82,29.0,29.0,"28,045,800"
"May 23, 2023",30.05,30.2,29.49,29.51,29.51,"29,400,900"
"May 22, 2023",29.85,30.45,29.82,30.28,30.28,"28,693,400"
"May 19, 2023",29.6,30.24,29.5,29.93,29.93,"40,668,700"
"May 18, 2023",29.0,29.76,28.87,29.68,29.68,"36,529,200"
"May 17, 2023",29.52,29.56,28.68,28.87,28.87,"41,667,300"
"May 16, 2023",29.62,29.9,29.21,29.22,29.22,"22,812,000"
"May 15, 2023",28.9,29.83,28.88,29.8,29.8,"28,717,500"
"May 12, 2023",29.03,29.1,28.72,28.95,28.95,"24,147,300"
"May 11, 2023",29.6,29.68,28.82,28.86,28.86,"47,144,400"
"May 10, 2023",30.29,30.4,29.49,29.97,29.97,"40,526,500"
"May 09, 2023",30.38,30.58,29.91,30.1,30.1,"30,706,500"
