Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",196.02,196.95,195.50,196.43,196.43,"21,532,000"
"Jul 27, 2023",197.63,197.90,193.18,193.92,193.92,"31,159,300"
"Jul 26, 2023",194.77,197.16,194.71,196.46,196.46,"20,377,900"
"Jul 25, 2023",194.58,196.21,194.42,194.92,194.92,"18,961,100"
"Jul 24, 2023",194.56,196.26,193.99,194.94,194.94,"16,929,800"
"Jul 21, 2023",196.39,196.62,194.09,194.46,194.46,"28,972,100"
"Jul 20, 2023",196.94,196.94,194.27,195.08,195.08,"27,278,100"
"Jul 19, 2023",196.70,197.66,195.93,196.80,196.80,"23,679,000"
"Jul 18, 2023",193.70,196.39,193.49,195.97,195.97,"28,551,500"
"Jul 17, 2023",191.34,194.36,191.14,193.58,193.58,"23,283,700"
"Jul 14, 2023",193.34,193.49,190.29,191.53,191.53,"32,165,700"
"Jul 13, 2023",192.51,193.69,191.80,193.42,193.42,"23,523,000"
"Jul 12, 2023",192.76,193.05,191.37,191.87,191.87,"40,127,300"
"Jul 11, 2023",188.48,190.08,187.69,189.80,189.80,"26,738,800"
"Jul 10, 2023",184.58,188.05,184.16,187.87,187.87,"29,725,100"
"Jul 07, 2023",182.98,186.49,182.93,184.71,184.71,"31,690,400"
"Jul 06, 2023",183.63,183.71,180.72,182.78,182.78,"39,080,800"
"Jul 05, 2023",187.13,187.21,185.44,185.78,185.78,"24,092,100"
"Jul 03, 2023",186.91,188.84,186.74,187.65,187.65,"14,011,900"
"Jun 30, 2023",188.26,188.43,186.91,187.27,187.27,"30,271,600"
"Jun 29, 2023",184.72,187.08,184.43,186.38,186.38,"32,084,100"
"Jun 28, 2023",182.99,184.42,182.12,184.26,184.26,"23,187,600"
"Jun 27, 2023",181.2,183.99,180.4,183.36,183.36,"28,818,800"
"Jun 26, 2023",180.44,182.74,180.37,180.75,180.75,"31,507,900"
"Jun 23, 2023",180.77,182.41,180.05,180.57,180.57,"50,485,400"
"Jun 22, 2023",184.2,184.25,182.49,183.33,183.33,"27,063,700"
"Jun 21, 2023",184.44,185.91,183.59,184.7,184.7,"30,730,200"
"Jun 20, 2023",185.16,185.57,183.76,185.13,185.13,"33,269,300"
"Jun 16, 2023",187.95,188.55,185.09,185.94,185.94,"50,674,000"
"Jun 15, 2023",185.08,187.57,184.91,187.44,187.44,"36,488,400"
"Jun 14, 2023",188.32,189.24,184.55,185.91,185.91,"37,114,100"
"Jun 13, 2023",186.44,188.98,186.27,187.93,187.93,"35,758,200"
"Jun 12, 2023",185.23,186.68,184.22,185.8,185.8,"26,580,500"
"Jun 09, 2023",186.32,186.61,184.45,185.03,185.03,"30,216,600"
"Jun 08, 2023",186.75,187.38,184.91,186.54,186.54,"34,185,000"
"Jun 07, 2023",184.96,187.77,184.96,187.24,187.24,"60,685,600"
"Jun 06, 2023",178.93,184.96,178.93,184.31,183.8,"58,584,500"
"Jun 05, 2023",181.26,181.26,178.44,179.58,179.08,"34,465,800"
"Jun 02, 2023",178.01,182.09,177.45,182.02,181.52,"50,193,400"
"Jun 01, 2023",173.86,176.24,172.93,175.65,175.16,"27,800,900"
"May 31, 2023",174.69,176.01,172.36,173.77,173.29,"34,598,800"
"May 30, 2023",176.71,177.55,174.76,175.5,175.02,"25,572,600"
"May 26, 2023",174.3,176.38,174.02,176.15,175.66,"29,841,300"
"May 25, 2023",175.25,175.53,172.7,174.17,173.69,"36,202,600"
"May 24, 2023",176.55,176.74,174.67,175.54,175.06,"28,744,200"
"May 23, 2023",177.91,180.53,177.38,177.42,176.93,"32,708,900"
"May 22, 2023",176.62,179.02,176.04,178.26,177.77,"28,207,200"
"May 19, 2023",178.51,178.89,175.25,176.11,175.62,"34,298,000"
"May 18, 2023",175.56,177.57,175.02,177.19,176.7,"30,446,600"
"May 17, 2023",173.43,176.5,172.16,176.12,175.63,"38,231,600"
"May 16, 2023",173.61,174.81,172.23,172.28,171.8,"24,212,900"
"May 15, 2023",173.31,175.71,172.82,174.83,174.35,"24,310,000"
"May 12, 2023",173.65,174.21,171.65,172.72,172.24,"20,396,400"
"May 11, 2023",173.22,173.78,172.11,173.07,172.59,"25,884,600"
"May 10, 2023",175.96,176.02,172.72,174.41,173.93,"27,281,900"
"May 09, 2023",172.98,174.27,172.16,173.53,173.05,"21,465,500"
"May 08, 2023",175.26,175.55,173.13,174.05,173.57,"22,109,900"
"May 05, 2023",173.29,175.1,173.1,174.45,173.97,"35,436,200"
"May 04, 2023",171.32,171.56,168.78,170.4,169.93,"42,382,100"
"May 03, 2023",172.22,175.7,172.19,172.33,171.85,"43,261,400"
"May 02, 2023",174.4,174.45,169.92,171.7,171.23,"40,851,100"
"May 01, 2023",175.0,177.34,174.76,175.3,174.82,"27,420,100"
"Apr 28, 2023",173.29,175.83,173.18,175.2,174.72,"31,897,900"
"Apr 27, 2023",172.03,173.86,170.94,173.68,173.2,"33,424,100"
"Apr 26, 2023",172.23,173.4,171.0,171.39,170.92,"30,309,800"
"Apr 25, 2023",175.63,175.94,173.01,173.06,172.58,"28,857,900"
"Apr 24, 2023",177.38,178.45,176.5,177.44,176.95,"17,781,000"
"Apr 21, 2023",177.81,177.96,175.86,177.56,177.07,"25,972,800"
"Apr 20, 2023",177.15,178.43,176.52,177.33,176.84,"20,336,300"
"Apr 19, 2023",177.08,178.79,176.58,178.25,177.76,"19,306,800"
"Apr 18, 2023",179.59,179.63,176.94,178.02,177.53,"22,873,100"
"Apr 17, 2023",176.97,178.86,176.75,178.78,178.29,"22,177,300"
"Apr 14, 2023",178.33,179.22,175.34,176.51,176.02,"29,600,400"
"Apr 13, 2023",176.54,178.69,175.93,178.17,177.68,"23,259,900"
"Apr 12, 2023",178.82,178.98,175.58,175.84,175.35,"27,018,100"
"Apr 11, 2023",176.57,177.97,176.12,177.14,176.65,"21,876,200"
"Apr 10, 2023",173.07,175.88,173.03,175.75,175.26,"22,237,800"
"Apr 06, 2023",173.72,174.46,172.68,173.89,173.41,"26,366,300"
"Apr 05, 2023",174.25,174.83,172.53,173.63,173.15,"28,247,300"
"Apr 04, 2023",178.92,179.1,174.32,175.35,174.87,"33,487,200"
"Apr 03, 2023",178.95,179.78,176.49,178.48,177.99,"27,609,000"
"Mar 31, 2023",176.4,178.64,176.37,178.4,177.91,"39,602,900"
"Mar 30, 2023",176.88,177.31,174.45,175.18,174.7,"26,728,600"
"Mar 29, 2023",175.34,175.55,173.57,175.42,174.94,"25,564,800"
"Mar 28, 2023",173.1,174.51,172.69,173.45,172.97,"28,555,100"
"Mar 27, 2023",173.84,174.73,172.36,173.7,173.22,"33,880,600"
"Mar 24, 2023",168.75,172.11,167.46,171.79,171.32,"47,519,700"
"Mar 23, 2023",172.28,174.39,168.71,170.25,169.78,"47,720,900"
"Mar 22, 2023",176.52,177.35,171.53,171.64,170.54,"56,098,200"
"Mar 21, 2023",176.55,178.18,175.96,176.65,175.51,"34,465,900"
"Mar 20, 2023",173.05,175.37,172.53,173.45,172.34,"46,103,200"
"Mar 17, 2023",174.04,174.76,170.86,171.23,170.13,"70,239,900"
"Mar 16, 2023",171.47,177.38,170.5,175.98,174.85,"52,392,300"
"Mar 15, 2023",171.93,173.91,170.38,173.61,172.49,"54,405,800"
"Mar 14, 2023",178.6,179.26,174.61,176.52,175.39,"48,946,200"
"Mar 13, 2023",172.52,176.4,171.07,173.31,172.2,"74,171,500"
"Mar 10, 2023",180.39,180.39,174.26,176.18,175.05,"69,274,200"
"Mar 09, 2023",186.73,187.27,181.28,181.41,180.24,"33,546,900"
"Mar 08, 2023",186.79,187.61,185.12,186.6,185.4,"22,505,900"
"Mar 07, 2023",188.65,189.07,186.22,186.51,185.31,"25,865,700"
"Mar 06, 2023",191.56,191.74,187.9,188.7,187.49,"23,266,700"
"Mar 03, 2023",189.67,191.93,188.42,191.5,190.27,"22,774,300"
"Mar 02, 2023",186.86,189.3,186.12,188.87,187.66,"18,104,400"
"Mar 01, 2023",188.19,189.49,187.19,188.42,187.21,"22,532,800"
"Feb 28, 2023",188.12,190.02,188.07,188.18,186.97,"19,542,600"
"Feb 27, 2023",189.13,190.2,187.6,188.17,186.96,"17,562,900"
"Feb 24, 2023",186.65,187.78,185.78,187.51,186.3,"24,280,700"
"Feb 23, 2023",189.35,190.3,186.7,189.28,188.06,"21,311,700"
"Feb 22, 2023",187.83,189.15,186.75,187.94,186.73,"24,651,700"
"Feb 21, 2023",190.75,191.34,187.24,187.43,186.23,"26,004,000"
"Feb 17, 2023",191.88,193.37,190.97,193.13,191.89,"23,892,200"
"Feb 16, 2023",191.8,194.87,191.25,192.6,191.36,"21,366,300"
"Feb 15, 2023",190.98,194.55,190.53,194.46,193.21,"18,721,200"
"Feb 14, 2023",191.28,193.95,190.08,192.51,191.27,"21,889,600"
"Feb 13, 2023",190.51,192.86,189.31,192.6,191.36,"15,754,400"
"Feb 10, 2023",189.28,190.63,188.53,190.31,189.09,"15,248,700"
"Feb 09, 2023",194.23,195.12,189.43,189.93,188.71,"20,516,600"
