Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",174.00,175.36,173.23,174.48,174.48,"14,126,400"
"Jul 27, 2023",172.18,174.29,172.04,173.69,173.69,"12,446,400"
"Jul 26, 2023",172.00,173.85,171.40,172.72,172.72,"14,288,200"
"Jul 25, 2023",170.45,172.68,169.75,172.39,172.39,"13,790,100"
"Jul 24, 2023",171.50,173.82,170.99,171.08,171.08,"15,155,400"
"Jul 21, 2023",168.18,170.82,168.18,170.19,170.19,"12,076,500"
"Jul 20, 2023",161.94,169.14,161.30,168.38,168.38,"21,892,900"
"Jul 19, 2023",157.91,160.41,157.33,158.74,158.74,"7,522,600"
"Jul 18, 2023",159.07,160.89,158.19,159.06,159.06,"6,332,500"
"Jul 17, 2023",159.75,159.87,158.15,159.07,159.07,"5,486,800"
"Jul 14, 2023",159.18,160.23,158.98,159.87,159.87,"5,361,700"
"Jul 13, 2023",158.00,159.13,157.41,158.81,158.81,"6,401,700"
"Jul 12, 2023",158.94,158.94,157.88,158.08,158.08,"6,940,400"
"Jul 11, 2023",159.13,160.30,157.60,158.63,158.63,"6,607,000"
"Jul 10, 2023",159.43,160.30,159.00,159.51,159.51,"5,739,200"
"Jul 07, 2023",160.47,161.04,159.20,159.25,159.25,"7,021,700"
"Jul 06, 2023",162.25,162.37,161.00,161.60,161.60,"6,332,500"
"Jul 05, 2023",162.99,163.92,162.73,162.81,162.81,"7,224,600"
"Jul 03, 2023",164.34,164.39,162.96,163.35,163.35,"4,033,700"
"Jun 30, 2023",164.86,165.94,164.35,165.52,165.52,"7,580,000"
"Jun 29, 2023",162.64,164.32,162.23,164.1,164.1,"4,547,500"
"Jun 28, 2023",163.2,163.2,161.91,162.96,162.96,"6,780,400"
"Jun 27, 2023",163.68,163.88,162.44,163.29,163.29,"4,927,500"
"Jun 26, 2023",164.98,164.98,161.33,163.63,163.63,"6,978,800"
"Jun 23, 2023",166.11,166.27,165.03,165.48,165.48,"9,450,700"
"Jun 22, 2023",163.9,165.72,163.79,165.62,165.62,"5,485,900"
"Jun 21, 2023",163.58,164.92,162.69,163.88,163.88,"7,177,500"
"Jun 20, 2023",164.26,165.31,163.81,164.13,164.13,"7,995,800"
"Jun 16, 2023",164.48,164.99,163.87,164.23,164.23,"13,425,100"
"Jun 15, 2023",162.05,163.91,161.43,163.73,163.73,"7,138,300"
"Jun 14, 2023",161.6,162.08,160.98,161.56,161.56,"6,699,100"
"Jun 13, 2023",159.73,160.84,159.15,160.74,160.74,"6,066,800"
"Jun 12, 2023",160.0,160.25,158.73,159.9,159.9,"6,510,600"
"Jun 09, 2023",160.42,160.73,159.47,160.01,160.01,"6,264,400"
"Jun 08, 2023",158.5,160.42,157.82,160.26,160.26,"5,818,400"
"Jun 07, 2023",158.1,158.8,157.44,158.52,158.52,"6,504,300"
"Jun 06, 2023",159.58,159.61,157.4,158.18,158.18,"5,073,600"
"Jun 05, 2023",156.75,158.64,156.75,158.32,158.32,"6,430,500"
"Jun 02, 2023",154.72,157.31,154.09,156.97,156.97,"7,657,200"
"Jun 01, 2023",154.54,155.04,153.15,154.54,154.54,"7,901,300"
"May 31, 2023",154.7,155.69,153.85,155.06,155.06,"11,324,600"
"May 30, 2023",153.97,155.38,153.32,154.37,154.37,"5,593,100"
"May 26, 2023",154.69,155.28,154.2,154.35,154.35,"6,845,400"
"May 25, 2023",156.05,156.29,153.72,154.41,154.41,"6,886,100"
"May 24, 2023",157.08,157.14,155.92,156.66,156.66,"5,015,100"
"May 23, 2023",157.1,158.27,156.37,156.81,156.81,"5,793,000"
"May 22, 2023",158.0,159.14,156.78,156.87,156.87,"5,675,900"
"May 19, 2023",158.59,159.93,158.14,158.91,157.72,"6,524,000"
"May 18, 2023",158.66,158.93,157.56,158.48,157.29,"5,173,000"
"May 17, 2023",159.79,160.06,157.77,158.99,157.8,"6,840,700"
"May 16, 2023",159.06,160.25,158.53,159.34,158.15,"5,599,200"
"May 15, 2023",160.8,161.03,158.94,159.55,158.36,"5,104,500"
"May 12, 2023",161.36,161.56,160.01,160.78,159.58,"3,904,200"
"May 11, 2023",161.83,162.19,159.39,160.99,159.78,"5,867,600"
"May 10, 2023",161.2,161.97,160.06,161.65,160.44,"6,756,600"
"May 09, 2023",161.75,162.13,160.79,161.05,159.84,"5,520,500"
"May 08, 2023",161.99,162.57,161.34,162.31,161.09,"4,994,900"
"May 05, 2023",162.84,163.13,161.69,162.68,161.46,"5,193,700"
"May 04, 2023",162.68,162.9,161.25,162.13,160.92,"5,128,000"
"May 03, 2023",165.55,166.18,162.51,162.87,161.65,"5,937,200"
"May 02, 2023",164.34,165.48,163.56,165.03,163.79,"7,541,700"
"May 01, 2023",163.6,164.3,162.24,163.6,162.37,"4,893,400"
"Apr 28, 2023",162.81,163.76,162.56,163.7,162.47,"6,023,400"
