Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",10.11,11.00,9.93,10.26,10.26,"29,938,500"
"Jun 29, 2023",10.75,11.98,9.57,9.98,9.98,"94,180,700"
"Jun 28, 2023",7.00,9.17,6.90,8.96,8.96,"48,327,100"
"Jun 27, 2023",6.41,6.44,6.19,6.39,6.39,"3,908,700"
"Jun 26, 2023",6.32,6.51,6.26,6.34,6.34,"3,356,300"
"Jun 23, 2023",6.51,6.53,6.24,6.32,6.32,"13,315,900"
"Jun 22, 2023",6.74,6.89,6.63,6.66,6.66,"5,433,600"
"Jun 21, 2023",7.29,7.30,6.84,6.86,6.86,"6,768,800"
"Jun 20, 2023",7.37,7.58,7.12,7.31,7.31,"7,192,500"
"Jun 16, 2023",8.02,8.04,7.39,7.40,7.40,"10,761,200"
"Jun 15, 2023",7.79,7.99,7.55,7.93,7.93,"7,414,500"
"Jun 14, 2023",7.86,8.02,7.65,7.86,7.86,"8,078,200"
"Jun 13, 2023",7.31,7.83,7.21,7.81,7.81,"9,750,800"
"Jun 12, 2023",7.12,7.22,6.85,7.18,7.18,"7,827,200"
"Jun 09, 2023",6.48,7.05,6.40,6.96,6.96,"9,401,600"
"Jun 08, 2023",6.36,6.38,5.96,6.26,6.26,"7,027,200"
"Jun 07, 2023",6.49,6.78,6.34,6.35,6.35,"7,292,100"
"Jun 06, 2023",5.91,6.39,5.88,6.34,6.34,"6,466,500"
"Jun 05, 2023",5.72,6.09,5.72,5.99,5.99,"6,306,100"
"Jun 02, 2023",5.84,5.88,5.51,5.69,5.69,"4,049,100"
"Jun 01, 2023",5.64,5.88,5.57,5.73,5.73,"3,683,200"
"May 31, 2023",5.64,5.73,5.46,5.62,5.62,"3,745,700"
"May 30, 2023",5.40,5.76,5.33,5.72,5.72,"4,592,100"
"May 26, 2023",5.49,5.65,5.28,5.36,5.36,"4,036,300"
"May 25, 2023",5.51,5.60,5.30,5.45,5.45,"3,974,100"
"May 24, 2023",5.44,5.55,5.24,5.42,5.42,"5,065,800"
"May 23, 2023",5.40,5.76,5.36,5.53,5.53,"5,735,400"
"May 22, 2023",5.21,5.52,5.08,5.45,5.45,"5,032,100"
"May 19, 2023",5.58,5.79,4.96,5.11,5.11,"10,192,600"
"May 18, 2023",5.23,5.54,5.20,5.53,5.53,"5,260,300"
"May 17, 2023",4.92,5.25,4.91,5.23,5.23,"5,947,200"
"May 16, 2023",4.86,5.02,4.80,4.88,4.88,"4,050,900"
"May 15, 2023",4.68,4.92,4.63,4.91,4.91,"2,877,000"
"May 12, 2023",4.75,4.99,4.59,4.66,4.66,"5,357,500"
"May 11, 2023",4.55,4.83,4.50,4.74,4.74,"7,518,100"
"May 10, 2023",4.54,4.63,4.47,4.48,4.48,"3,413,100"
"May 09, 2023",4.32,4.57,4.30,4.44,4.44,"3,164,700"
"May 08, 2023",4.45,4.48,4.25,4.37,4.37,"4,038,700"
"May 05, 2023",4.28,4.55,4.26,4.49,4.49,"3,752,500"
"May 04, 2023",4.18,4.55,4.06,4.26,4.26,"5,185,600"
"May 03, 2023",4.06,4.22,3.99,4.10,4.10,"3,970,100"
"May 02, 2023",4.40,4.41,4.01,4.04,4.04,"3,997,800"
"May 01, 2023",4.30,4.58,4.30,4.40,4.40,"6,021,500"
"Apr 28, 2023",3.95,4.36,3.93,4.33,4.33,"4,457,200"
"Apr 27, 2023",3.88,3.99,3.83,3.96,3.96,"1,729,300"
"Apr 26, 2023",3.82,3.88,3.74,3.82,3.82,"1,856,300"
"Apr 25, 2023",3.88,3.89,3.72,3.76,3.76,"2,156,300"
"Apr 24, 2023",3.87,3.93,3.78,3.85,3.85,"1,778,200"
"Apr 21, 2023",3.85,3.88,3.77,3.84,3.84,"2,460,300"
"Apr 20, 2023",4.06,4.10,3.80,3.83,3.83,"2,672,000"
"Apr 19, 2023",4.00,4.14,3.98,4.13,4.13,"1,639,100"
"Apr 18, 2023",4.03,4.05,3.97,4.05,4.05,"1,926,300"
"Apr 17, 2023",3.98,4.07,3.95,4.00,4.00,"1,874,300"
"Apr 14, 2023",4.07,4.10,3.90,3.95,3.95,"2,619,100"
"Apr 13, 2023",4.16,4.17,4.03,4.05,4.05,"2,054,000"
"Apr 12, 2023",4.34,4.36,4.10,4.13,4.13,"2,157,700"
"Apr 11, 2023",4.31,4.37,4.25,4.28,4.28,"1,951,700"
"Apr 10, 2023",4.17,4.34,4.14,4.33,4.33,"1,515,200"
