Date,Open,High,Low,Close*,Adj Close**,Volume
"Jun 30, 2023",144.60,146.00,143.66,145.44,144.45,"14,208,500"
"Jun 29, 2023",140.07,143.56,139.85,143.43,142.45,"15,423,200"
"Jun 28, 2023",139.16,139.21,137.96,138.59,137.64,"7,558,600"
"Jun 27, 2023",139.00,139.84,138.54,139.20,138.25,"8,154,000"
"Jun 26, 2023",138.87,140.01,137.69,139.19,138.24,"8,429,700"
"Jun 23, 2023",138.54,139.18,137.62,138.85,137.90,"9,907,500"
"Jun 22, 2023",142.31,142.60,138.95,139.58,138.63,"10,075,200"
"Jun 21, 2023",142.90,144.02,141.69,142.32,141.35,"9,926,500"
"Jun 20, 2023",142.61,143.00,141.04,142.53,141.56,"8,428,600"
"Jun 16, 2023",143.05,143.97,142.50,143.26,142.28,"13,812,100"
"Jun 15, 2023",140.59,143.40,140.03,143.09,142.11,"9,343,100"
"Jun 14, 2023",143.00,143.61,140.70,141.49,140.52,"9,068,700"
"Jun 13, 2023",140.48,142.87,140.14,142.02,141.05,"7,701,600"
"Jun 12, 2023",141.07,141.32,139.76,141.00,140.04,"7,596,600"
"Jun 09, 2023",140.35,141.80,140.21,141.01,140.05,"7,249,100"
"Jun 08, 2023",140.67,140.89,139.48,140.73,139.77,"7,368,100"
"Jun 07, 2023",139.55,141.27,138.83,140.69,139.73,"9,281,400"
"Jun 06, 2023",138.68,140.10,138.21,139.34,138.39,"9,329,500"
"Jun 05, 2023",140.11,140.11,138.13,139.09,138.14,"8,511,900"
"Jun 02, 2023",139.56,141.48,139.34,140.47,139.51,"12,917,200"
"Jun 01, 2023",136.52,138.23,135.45,137.58,136.64,"12,248,100"
"May 31, 2023",136.73,136.84,134.40,135.71,134.78,"14,219,900"
"May 30, 2023",136.80,137.72,136.02,137.46,136.52,"7,399,900"
"May 26, 2023",136.11,137.60,135.63,136.94,136.01,"8,579,900"
"May 25, 2023",134.82,136.27,134.58,135.67,134.74,"8,472,500"
"May 24, 2023",135.40,136.35,135.08,135.34,134.42,"8,578,000"
"May 23, 2023",137.54,139.03,136.46,136.59,135.66,"9,514,900"
