Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 28, 2023",62.59,62.77,62.22,62.48,62.48,"9,721,800"
"Jul 27, 2023",63.05,63.27,62.38,62.44,62.44,"11,517,100"
"Jul 26, 2023",61.86,63.17,61.39,63.05,63.05,"17,145,500"
"Jul 25, 2023",62.30,62.39,62.05,62.25,62.25,"13,422,700"
"Jul 24, 2023",62.42,62.81,62.40,62.46,62.46,"10,251,100"
"Jul 21, 2023",62.46,62.68,62.24,62.44,62.44,"12,813,200"
"Jul 20, 2023",61.68,62.41,61.67,62.39,62.39,"11,563,000"
"Jul 19, 2023",60.77,61.79,60.68,61.64,61.64,"12,936,000"
"Jul 18, 2023",60.96,61.25,60.41,60.57,60.57,"11,152,900"
"Jul 17, 2023",60.76,61.10,60.49,60.81,60.81,"10,014,300"
"Jul 14, 2023",60.14,61.04,60.09,60.90,60.90,"11,631,600"
"Jul 13, 2023",60.12,60.46,59.98,60.35,60.35,"11,269,800"
"Jul 12, 2023",59.75,60.05,59.45,59.84,59.84,"14,241,300"
"Jul 11, 2023",59.46,59.56,58.84,59.52,59.52,"15,970,100"
"Jul 10, 2023",59.97,60.15,59.14,59.31,59.31,"15,480,600"
"Jul 07, 2023",60.31,60.50,59.73,59.76,59.76,"14,565,500"
"Jul 06, 2023",60.73,61.02,60.50,60.56,60.56,"12,603,900"
"Jul 05, 2023",60.28,61.10,60.16,61.03,61.03,"14,716,600"
"Jul 03, 2023",60.20,60.63,60.03,60.58,60.58,"9,694,500"
"Jun 30, 2023",60.0,60.35,59.87,60.22,60.22,"19,737,000"
"Jun 29, 2023",60.22,60.35,59.77,60.02,60.02,"17,142,300"
"Jun 28, 2023",60.88,61.04,60.4,60.52,60.52,"11,173,200"
"Jun 27, 2023",61.22,61.36,60.98,61.09,61.09,"9,068,500"
"Jun 26, 2023",61.21,61.29,60.39,61.22,61.22,"12,856,100"
"Jun 23, 2023",61.94,61.97,61.18,61.2,61.2,"25,103,600"
"Jun 22, 2023",61.81,62.1,61.59,61.85,61.85,"15,193,400"
"Jun 21, 2023",61.31,61.72,60.98,61.43,61.43,"13,948,700"
"Jun 20, 2023",61.59,61.96,61.24,61.26,61.26,"13,971,800"
"Jun 16, 2023",61.6,62.17,61.48,61.67,61.67,"26,735,800"
"Jun 15, 2023",60.61,61.3,60.34,61.23,61.23,"15,271,400"
"Jun 14, 2023",60.73,61.08,60.6,60.86,60.4,"14,099,700"
"Jun 13, 2023",60.21,60.67,60.04,60.45,59.99,"13,397,800"
"Jun 12, 2023",60.59,60.65,60.02,60.21,59.75,"14,208,900"
"Jun 09, 2023",60.27,60.67,60.17,60.47,60.01,"12,581,500"
"Jun 08, 2023",60.13,60.41,59.98,60.37,59.91,"15,585,900"
"Jun 07, 2023",60.01,60.36,59.82,60.22,59.76,"16,817,900"
"Jun 06, 2023",60.95,60.99,60.12,60.31,59.85,"10,943,500"
"Jun 05, 2023",61.0,61.44,60.55,60.75,60.29,"12,915,600"
"Jun 02, 2023",60.27,61.32,60.08,61.16,60.7,"15,256,300"
"Jun 01, 2023",59.94,60.17,59.77,60.0,59.55,"13,402,700"
"May 31, 2023",59.92,60.28,59.37,59.66,59.21,"59,432,200"
"May 30, 2023",60.09,60.2,59.52,59.78,59.33,"15,634,200"
"May 26, 2023",60.45,60.64,60.11,60.26,59.8,"12,570,300"
"May 25, 2023",60.47,60.73,60.15,60.41,59.95,"14,463,600"
"May 24, 2023",61.38,61.43,60.72,60.88,60.42,"11,090,100"
"May 23, 2023",61.51,61.67,61.17,61.4,60.94,"13,932,700"
"May 22, 2023",62.79,62.87,61.44,61.51,61.05,"15,055,400"
"May 19, 2023",63.04,63.1,62.61,62.83,62.36,"14,242,100"
"May 18, 2023",63.01,63.04,62.57,62.8,62.33,"13,595,100"
"May 17, 2023",63.4,63.42,62.73,63.15,62.67,"11,583,000"
"May 16, 2023",63.9,63.9,63.16,63.22,62.74,"9,129,600"
"May 15, 2023",64.22,64.25,63.71,63.94,63.46,"8,150,000"
"May 12, 2023",63.86,64.19,63.7,64.11,63.63,"8,739,600"
"May 11, 2023",63.58,63.93,63.01,63.86,63.38,"9,581,500"
"May 10, 2023",63.32,63.64,62.99,63.5,63.02,"10,134,000"
"May 09, 2023",63.64,63.75,63.28,63.39,62.91,"9,067,700"
"May 08, 2023",63.81,64.06,63.61,63.92,63.44,"7,240,700"
"May 05, 2023",63.64,64.21,63.63,64.02,63.54,"9,037,300"
"May 04, 2023",63.74,63.93,63.51,63.72,63.24,"11,938,300"
"May 03, 2023",64.02,64.18,63.58,63.65,63.17,"11,084,600"
"May 02, 2023",64.14,64.14,63.27,64.01,63.53,"10,948,400"
"May 01, 2023",64.15,64.69,64.06,64.3,63.81,"9,091,500"
"Apr 28, 2023",63.61,64.16,63.48,64.15,63.67,"13,686,700"
"Apr 27, 2023",63.53,63.76,63.11,63.68,63.2,"13,795,800"
"Apr 26, 2023",63.56,63.77,63.39,63.55,63.07,"13,179,600"
"Apr 25, 2023",64.17,64.17,63.63,63.85,63.37,"12,818,900"
"Apr 24, 2023",64.75,64.99,63.62,63.95,63.47,"15,532,300"
"Apr 21, 2023",64.0,64.27,63.8,64.05,63.57,"12,931,100"
"Apr 20, 2023",63.63,64.0,63.44,63.96,63.48,"10,706,400"
"Apr 19, 2023",63.73,63.83,63.43,63.68,63.2,"9,769,500"
"Apr 18, 2023",63.51,63.6,63.19,63.56,63.08,"9,035,700"
"Apr 17, 2023",63.32,63.53,63.14,63.46,62.98,"9,452,400"
"Apr 14, 2023",63.05,63.15,62.78,63.05,62.57,"8,946,000"
"Apr 13, 2023",62.76,63.16,62.48,63.15,62.67,"9,871,400"
"Apr 12, 2023",62.48,63.03,62.31,62.69,62.22,"9,593,700"
"Apr 11, 2023",62.65,62.71,62.4,62.58,62.11,"9,913,000"
"Apr 10, 2023",62.49,62.69,62.02,62.69,62.22,"7,952,600"
"Apr 06, 2023",62.86,63.04,62.38,62.84,62.37,"9,644,200"
"Apr 05, 2023",62.53,63.02,62.5,62.8,62.33,"12,789,600"
"Apr 04, 2023",62.39,62.74,62.08,62.21,61.74,"11,433,400"
"Apr 03, 2023",62.3,62.52,61.86,62.4,61.93,"12,300,700"
"Mar 31, 2023",62.06,62.25,61.87,62.03,61.56,"14,440,900"
"Mar 30, 2023",61.88,62.09,61.66,61.85,61.38,"9,870,700"
"Mar 29, 2023",61.72,61.95,61.59,61.86,61.39,"9,441,000"
"Mar 28, 2023",61.39,61.74,61.27,61.42,60.96,"10,925,700"
"Mar 27, 2023",61.14,61.48,60.95,61.35,60.89,"12,777,400"
"Mar 24, 2023",60.25,61.02,59.91,60.9,60.44,"12,975,600"
"Mar 23, 2023",60.09,60.39,59.72,59.92,59.47,"15,479,000"
"Mar 22, 2023",60.4,60.87,60.03,60.05,59.6,"10,494,200"
"Mar 21, 2023",60.57,60.75,59.88,60.32,59.86,"13,716,500"
"Mar 20, 2023",60.16,60.6,59.97,60.6,60.14,"12,904,100"
"Mar 17, 2023",60.31,60.35,59.64,60.02,59.57,"27,351,200"
"Mar 16, 2023",60.09,60.34,59.7,60.3,59.84,"15,658,300"
"Mar 15, 2023",59.43,60.48,59.24,60.43,59.52,"21,089,900"
"Mar 14, 2023",60.0,60.46,59.35,60.03,59.12,"19,496,900"
"Mar 13, 2023",59.29,60.87,59.25,59.81,58.91,"21,956,000"
"Mar 10, 2023",59.7,60.14,58.99,59.21,58.32,"13,745,800"
"Mar 09, 2023",60.54,60.54,59.28,59.46,58.56,"13,900,900"
"Mar 08, 2023",60.04,60.33,59.73,60.04,59.13,"10,851,600"
"Mar 07, 2023",60.49,60.57,59.75,60.01,59.1,"13,961,200"
"Mar 06, 2023",59.26,60.38,59.22,60.36,59.45,"16,282,700"
"Mar 03, 2023",59.55,59.68,59.21,59.44,58.54,"13,101,800"
"Mar 02, 2023",58.84,59.78,58.8,59.72,58.82,"11,758,300"
"Mar 01, 2023",59.13,59.18,58.37,58.86,57.97,"13,275,800"
"Feb 28, 2023",59.7,59.7,59.14,59.51,58.61,"16,082,200"
"Feb 27, 2023",60.18,60.3,59.74,59.82,58.92,"8,849,800"
"Feb 24, 2023",59.68,59.91,59.39,59.84,58.94,"9,736,200"
"Feb 23, 2023",60.01,60.42,59.81,60.09,59.18,"12,222,800"
"Feb 22, 2023",59.85,60.36,59.75,59.98,59.07,"12,409,600"
"Feb 21, 2023",59.99,60.23,59.72,59.8,58.9,"14,278,300"
"Feb 17, 2023",59.5,60.23,59.38,60.12,59.21,"16,814,700"
"Feb 16, 2023",59.23,59.82,58.95,59.22,58.33,"16,538,300"
"Feb 15, 2023",59.9,59.93,59.23,59.59,58.69,"13,171,400"
"Feb 14, 2023",60.21,60.9,59.56,59.59,58.69,"20,505,700"
"Feb 13, 2023",59.9,60.76,59.73,60.6,59.68,"16,191,800"
"Feb 10, 2023",59.72,59.9,58.88,59.62,58.72,"14,420,700"
"Feb 09, 2023",60.15,60.32,59.6,59.62,58.72,"12,515,300"
"Feb 08, 2023",59.92,59.92,59.59,59.72,58.82,"11,012,000"
"Feb 07, 2023",59.67,60.24,59.54,60.07,59.16,"14,922,700"
"Feb 06, 2023",59.79,60.34,59.72,60.17,59.26,"11,330,900"
"Feb 03, 2023",60.35,60.42,59.23,59.83,58.93,"15,404,400"
"Feb 02, 2023",60.8,61.02,59.91,60.28,59.37,"16,947,200"
"Feb 01, 2023",61.14,61.58,60.62,61.33,60.4,"12,535,400"
"Jan 31, 2023",60.98,61.34,60.51,61.32,60.39,"14,344,400"
"Jan 30, 2023",60.54,61.17,60.46,60.64,59.72,"15,632,000"
"Jan 27, 2023",60.84,60.96,60.37,60.49,59.58,"14,087,000"
"Jan 26, 2023",60.81,61.1,60.57,60.81,59.89,"11,884,800"
"Jan 25, 2023",60.2,60.94,59.89,60.93,60.01,"11,265,800"
"Jan 24, 2023",60.08,61.85,59.8,60.55,59.63,"10,103,300"
"Jan 23, 2023",60.28,60.57,60.05,60.23,59.32,"12,613,400"
"Jan 20, 2023",59.72,60.09,59.4,60.08,59.17,"14,237,700"
"Jan 19, 2023",59.73,60.64,59.71,59.72,58.82,"14,894,500"
"Jan 18, 2023",61.51,61.59,59.68,59.81,58.91,"19,679,400"
"Jan 17, 2023",61.73,62.38,61.56,61.68,60.75,"18,327,800"
"Jan 13, 2023",60.7,61.46,60.59,61.43,60.5,"13,986,400"
"Jan 12, 2023",62.11,62.18,60.97,61.21,60.28,"13,907,300"
